counter,status,resp_time,value_first
0,Good,3.816,8994
1,Good,4.456,8996
2,Good,4.347,8999
3,Good,3.839,9001
4,Good,4.090,9004
5,Good,3.732,9006
6,Good,5.346,9009
7,Good,3.820,9011
8,Good,3.927,9014
9,Good,3.755,9016
10,Good,4.094,9019
11,Good,8.697,9021
12,Good,4.440,9024
13,Good,8.854,9026
14,Good,4.682,9029
15,Good,7.975,9031
16,Good,3.315,9034
17,Good,5.705,9036
18,Good,4.147,9039
19,Good,6.202,9042
20,Good,3.270,9044
21,Good,5.283,9047
22,Good,4.058,9049
23,Good,4.212,9052
24,Good,4.748,9054
25,Good,3.278,9057
26,Good,4.308,9059
27,Good,3.379,9062
28,Good,3.398,9064
29,Good,3.431,9067
30,Good,3.391,9069
31,Good,5.253,9072
32,Good,5.901,9074
33,Good,3.865,9077
34,Good,4.701,9079
35,Good,3.312,9082
36,Good,3.645,9084
37,Good,4.476,9087
38,Good,3.506,9089
39,Good,5.711,9092
40,Good,3.513,9094
41,Good,5.341,9097
42,Good,4.235,9099
43,Good,3.456,9102
44,Good,4.579,9104
45,Good,3.394,9107
46,Good,3.742,9109
47,Good,3.524,9112
48,Good,3.678,9114
49,Good,3.666,9117
50,Good,3.525,9119
51,Good,4.843,9122
52,Good,4.159,9124
53,Good,3.499,9127
54,Good,3.676,9129
55,Good,4.818,9132
56,Good,5.297,9134
57,Good,3.758,9137
58,Good,3.772,9139
59,Good,4.330,9142
60,Good,4.060,9144
61,Good,5.392,9147
62,Good,4.334,9149
63,Good,3.769,9152
64,Good,3.889,9154
65,Good,3.665,9157
66,Good,4.500,9159
67,Good,3.778,9162
68,Good,3.820,9164
69,Good,3.757,9167
70,Good,3.801,9169
71,Good,4.883,9172
72,Good,4.298,9174
73,Good,3.860,9177
74,Good,4.181,9179
75,Good,3.769,9182
76,Good,4.446,9184
77,Good,3.778,9187
78,Good,4.182,9189
79,Good,4.039,9192
80,Good,4.541,9194
81,Good,4.741,9197
82,Good,3.871,9199
83,Good,3.281,9202
84,Good,4.333,9204
85,Good,3.265,9207
86,Good,4.119,9209
87,Good,3.245,9212
88,Good,4.212,9214
89,Good,3.384,9217
90,Good,3.780,9219
91,Good,4.739,9222
92,Good,3.407,9224
93,Good,4.310,9227
94,Good,4.232,9229
95,Good,3.438,9232
96,Good,4.140,9234
97,Good,3.454,9237
98,Good,3.283,9239
99,Good,3.456,9242
100,Good,4.021,9244
101,Good,5.416,9247
102,Good,3.392,9249
103,Good,4.572,9252
104,Good,3.374,9254
105,Good,3.500,9257
106,Good,4.087,9259
107,Good,4.686,9262
108,Good,4.552,9265
109,Good,3.552,9267
110,Good,11.080,9270
111,Good,4.286,9272
112,Good,8.748,9275
113,Good,3.675,9277
114,Good,7.598,9280
115,Good,3.759,9282
116,Good,5.470,9285
117,Good,3.641,9287
118,Good,6.526,9290
119,Good,3.687,9292
120,Good,4.278,9295
121,Good,5.930,9297
122,Good,3.516,9300
123,Good,3.837,9302
124,Good,3.639,9305
125,Good,4.487,9307
126,Good,3.819,9310
127,Good,3.779,9312
128,Good,4.620,9315
129,Good,3.760,9317
130,Good,5.783,9320
131,Good,6.053,9322
132,Good,4.850,9325
133,Good,4.729,9327
134,Good,3.716,9330
135,Good,4.460,9332
136,Good,3.735,9335
137,Good,2.961,9337
138,Good,4.463,9340
139,Good,4.055,9342
140,Good,4.529,9345
141,Good,3.786,9347
142,Good,4.453,9350
143,Good,4.850,9352
144,Good,3.798,9355
145,Good,3.204,9357
146,Good,4.111,9360
147,Good,3.227,9362
148,Good,6.265,9365
149,Good,3.256,9367
150,Good,4.333,9370
151,Good,4.035,9372
152,Good,4.167,9375
153,Good,4.755,9377
154,Good,4.118,9380
155,Good,5.007,9382
156,Good,4.230,9385
157,Good,3.386,9387
158,Good,4.702,9390
159,Good,3.492,9392
160,Good,4.454,9395
161,Good,4.195,9397
162,Good,3.325,9400
163,Good,4.680,9402
164,Good,3.279,9405
165,Good,4.503,9407
166,Good,3.329,9410
167,Good,3.457,9412
168,Good,3.347,9415
169,Good,3.469,9417
170,Good,5.346,9420
171,Good,4.085,9422
172,Good,3.488,9425
173,Good,4.556,9427
174,Good,3.417,9430
175,Good,4.603,9432
176,Good,3.426,9435
177,Good,3.696,9437
178,Good,3.466,9440
179,Good,3.518,9442
180,Good,5.154,9445
181,Good,4.224,9447
182,Good,3.489,9450
183,Good,3.798,9452
184,Good,3.504,9455
185,Good,4.454,9457
186,Good,3.706,9460
187,Good,3.695,9462
188,Good,3.645,9465
189,Good,3.747,9467
190,Good,4.833,9470
191,Good,4.264,9472
192,Good,3.700,9475
193,Good,4.321,9477
194,Good,3.929,9480
195,Good,4.548,9482
196,Good,3.845,9485
197,Good,4.582,9488
198,Good,3.854,9490
199,Good,5.147,9493
200,Good,5.475,9495
201,Good,3.857,9498
202,Good,4.083,9500
203,Good,2.957,9503
204,Good,4.471,9505
205,Good,4.561,9508
206,Good,4.149,9510
207,Good,4.566,9513
208,Good,4.060,9515
209,Good,12.135,9518
210,Good,3.862,9520
211,Good,10.118,9523
212,Good,4.181,9525
213,Good,6.977,9528
214,Good,3.119,9530
215,Good,7.358,9533
216,Good,4.088,9535
217,Good,5.724,9538
218,Good,5.527,9540
219,Good,4.195,9543
220,Good,3.127,9545
221,Good,4.331,9548
222,Good,4.524,9550
223,Good,3.238,9553
224,Good,3.432,9555
225,Good,3.363,9558
226,Good,3.349,9560
227,Good,5.676,9563
228,Good,5.696,9565
229,Good,3.286,9568
230,Good,4.727,9570
231,Good,3.323,9573
232,Good,3.732,9575
233,Good,3.409,9578
234,Good,3.495,9580
235,Good,4.040,9583
236,Good,3.484,9585
237,Good,4.855,9588
238,Good,6.055,9590
239,Good,3.419,9593
240,Good,4.857,9595
241,Good,3.402,9598
242,Good,3.706,9600
243,Good,3.651,9603
244,Good,3.531,9605
245,Good,4.571,9608
246,Good,3.679,9610
247,Good,5.084,9613
248,Good,4.456,9615
249,Good,3.516,9618
250,Good,3.790,9620
251,Good,3.638,9623
252,Good,4.045,9625
253,Good,3.537,9628
254,Good,3.716,9630
255,Good,3.700,9633
256,Good,3.758,9635
257,Good,5.070,9638
258,Good,4.212,9640
259,Good,4.329,9643
260,Good,3.908,9645
261,Good,3.738,9648
262,Good,4.035,9650
263,Good,3.694,9653
264,Good,3.898,9655
265,Good,3.809,9658
266,Good,3.941,9660
267,Good,5.278,9663
268,Good,4.247,9665
269,Good,3.881,9668
270,Good,6.576,9670
271,Good,3.769,9673
272,Good,4.461,9675
273,Good,3.814,9678
274,Good,4.201,9680
275,Good,3.860,9683
276,Good,3.245,9685
277,Good,5.755,9688
278,Good,3.906,9690
279,Good,4.239,9693
280,Good,5.733,9695
281,Good,3.066,9698
282,Good,3.444,9700
283,Good,3.311,9703
284,Good,3.414,9705
285,Good,3.309,9708
286,Good,5.290,9711
287,Good,3.813,9713
288,Good,4.521,9716
289,Good,3.864,9718
290,Good,4.496,9721
291,Good,3.270,9723
292,Good,3.409,9726
293,Good,3.515,9728
294,Good,4.064,9731
295,Good,3.375,9733
296,Good,3.496,9736
297,Good,4.225,9738
298,Good,4.328,9741
299,Good,5.007,9743
300,Good,4.907,9746
301,Good,3.381,9748
302,Good,3.734,9751
303,Good,3.457,9753
304,Good,4.081,9756
305,Good,3.395,9758
306,Good,3.712,9761
307,Good,4.156,9763
308,Good,9.475,9766
309,Good,3.512,9768
310,Good,8.897,9771
311,Good,4.229,9773
312,Good,7.904,9776
313,Good,3.647,9778
314,Good,5.456,9781
315,Good,3.526,9783
316,Good,5.312,9786
317,Good,4.248,9788
318,Good,4.296,9791
319,Good,5.071,9793
320,Good,3.817,9796
321,Good,3.849,9798
322,Good,4.042,9801
323,Good,3.783,9803
324,Good,4.256,9806
325,Good,3.775,9808
326,Good,4.469,9811
327,Good,6.576,9813
328,Good,3.849,9816
329,Good,5.243,9818
330,Good,3.703,9821
331,Good,3.064,9823
332,Good,3.881,9826
333,Good,4.163,9828
334,Good,5.773,9831
335,Good,3.028,9833
336,Good,4.853,9836
337,Good,4.237,9838
338,Good,4.073,9841
339,Good,4.621,9843
340,Good,3.822,9846
341,Good,4.072,9848
342,Good,4.037,9851
343,Good,3.086,9853
