counter,status,resp_time,value_first
0,Good,4.112,19747
1,Good,5.330,19750
2,Good,3.756,19752
3,Good,5.245,19755
4,Good,4.605,19757
5,Good,4.552,19760
6,Good,5.241,19762
7,Good,4.160,19765
8,Good,4.210,19767
9,Good,3.789,19770
10,Good,4.219,19772
11,Good,4.347,19775
12,Good,4.483,19777
13,Good,4.668,19780
14,Good,6.062,19782
15,Good,4.216,19785
16,Good,4.726,19787
17,Good,4.039,19790
18,Good,3.338,19792
19,Good,3.241,19795
20,Good,3.334,19797
21,Good,3.235,19800
22,Good,3.392,19802
23,Good,5.347,19805
24,Good,4.073,19807
25,Good,3.258,19810
26,Good,5.272,19812
27,Good,3.237,19815
28,Good,4.225,19817
29,Good,3.251,19820
30,Good,3.373,19822
31,Good,3.289,19825
32,Good,3.417,19827
33,Good,4.730,19830
34,Good,5.351,19832
35,Good,3.373,19835
36,Good,5.752,19837
37,Good,3.373,19840
38,Good,4.577,19842
39,Good,3.457,19845
40,Good,3.538,19847
41,Good,3.506,19850
42,Good,3.524,19852
43,Good,4.737,19855
44,Good,4.446,19857
45,Good,3.412,19860
46,Good,5.675,19862
47,Good,3.493,19865
48,Good,5.011,19867
49,Good,3.520,19870
50,Good,3.676,19872
51,Good,3.507,19875
52,Good,3.776,19877
53,Good,5.098,19880
54,Good,4.430,19882
55,Good,3.772,19885
56,Good,3.827,19887
57,Good,3.710,19890
58,Good,5.255,19892
59,Good,3.670,19895
60,Good,3.744,19897
61,Good,3.665,19900
62,Good,4.479,19902
63,Good,5.761,19905
64,Good,4.317,19907
65,Good,4.854,19910
66,Good,3.950,19912
67,Good,3.824,19915
68,Good,5.511,19917
69,Good,3.753,19920
70,Good,4.056,19922
71,Good,3.766,19925
72,Good,3.921,19927
73,Good,5.549,19930
74,Good,4.322,19932
75,Good,4.066,19935
76,Good,8.471,19938
77,Good,4.036,19940
78,Good,6.500,19943
79,Good,4.049,19945
80,Good,4.142,19948
81,Good,4.087,19950
82,Good,3.434,19953
83,Good,3.815,19955
84,Good,4.603,19958
85,Good,4.314,19960
86,Good,4.218,19963
87,Good,3.108,19965
88,Good,3.349,19968
89,Good,3.332,19970
90,Good,3.412,19973
91,Good,3.273,19975
92,Good,10.185,19978
93,Good,3.838,19980
94,Good,9.883,19983
95,Good,3.324,19985
96,Good,11.217,19988
97,Good,3.429,19990
98,Good,9.458,19993
99,Good,3.435,19995
100,Good,4.804,19998
101,Good,3.354,20000
102,Good,5.770,20003
103,Good,4.109,20005
104,Good,4.323,20008
105,Good,3.666,20010
106,Good,4.594,20013
