counter,status,resp_time,value_first
0,Good,5.802,73211.000000
1,Good,3.228,73212.900000
2,Good,3.335,73215.750000
3,Good,6.403,73217.650000
4,Good,3.890,73220.500000
5,Good,4.683,73222.400000
6,Good,3.628,73225.250000
7,Good,4.534,73227.150000
8,Good,4.241,73230.000000
9,Good,3.497,73231.900000
10,Good,4.636,73234.750000
11,Good,3.641,73236.650000
12,Good,3.440,73239.500000
13,Good,5.694,73241.400000
14,Good,4.124,73244.250000
15,Good,4.748,73246.150000
16,Good,3.436,73249.000000
17,Good,3.665,73250.900000
18,Good,5.298,73253.750000
19,Good,3.734,73255.650000
20,Good,3.529,73258.500000
21,Good,3.721,73260.400000
22,Good,3.517,73263.250000
23,Good,3.724,73265.150000
24,Good,4.240,73268.000000
25,Good,5.226,73269.900000
26,Good,3.692,73272.750000
27,Good,3.791,73274.650000
28,Good,3.661,73277.500000
29,Good,3.838,73279.400000
30,Good,4.034,73282.250000
31,Good,4.208,73284.150000
32,Good,4.497,73287.000000
33,Good,3.769,73288.900000
34,Good,4.235,73291.750000
35,Good,5.282,73293.650000
36,Good,3.814,73296.500000
37,Good,3.871,73298.400000
38,Good,3.694,73301.250000
39,Good,4.069,73303.150000
40,Good,4.083,73306.000000
41,Good,3.945,73307.900000
42,Good,3.799,73310.750000
43,Good,3.088,73312.650000
44,Good,4.969,73315.500000
45,Good,5.827,73317.400000
46,Good,4.241,73320.250000
47,Good,4.681,73322.150000
48,Good,6.017,73325.000000
49,Good,7.093,73327.850000
50,Good,4.616,73329.750000
51,Good,5.092,73332.600000
52,Good,4.096,73334.500000
53,Good,3.400,73337.350000
54,Good,12.129,73339.250000
55,Good,3.930,73342.100000
56,Good,9.671,73344.000000
57,Good,4.446,73346.850000
58,Good,10.950,73348.750000
59,Good,3.378,73351.600000
60,Good,8.141,73353.500000
61,Good,3.484,73356.350000
62,Good,5.719,73358.250000
63,Good,3.421,73361.100000
64,Good,3.811,73363.000000
65,Good,4.605,73365.850000
66,Good,3.287,73367.750000
67,Good,5.257,73370.600000
68,Good,3.287,73372.500000
69,Good,3.452,73375.350000
70,Good,3.482,73377.250000
71,Good,3.494,73380.100000
72,Good,3.499,73382.000000
73,Good,3.524,73384.850000
74,Good,4.998,73386.750000
75,Good,5.950,73389.600000
76,Good,3.383,73391.500000
77,Good,4.993,73394.350000
78,Good,3.393,73396.250000
79,Good,3.678,73399.100000
80,Good,3.554,73401.000000
81,Good,3.540,73403.850000
82,Good,3.435,73405.750000
83,Good,3.706,73408.600000
84,Good,4.688,73410.500000
85,Good,4.213,73413.350000
86,Good,3.495,73415.250000
87,Good,3.676,73418.100000
88,Good,3.476,73420.000000
89,Good,6.001,73422.850000
90,Good,3.695,73424.750000
91,Good,3.916,73427.600000
92,Good,3.673,73429.500000
93,Good,3.748,73432.350000
94,Good,4.486,73434.250000
95,Good,4.236,73437.100000
96,Good,3.755,73439.000000
97,Good,4.480,73441.850000
98,Good,3.542,73443.750000
99,Good,4.646,73446.600000
100,Good,3.721,73448.500000
101,Good,3.948,73451.350000
102,Good,3.748,73453.250000
103,Good,3.847,73456.100000
104,Good,5.268,73458.000000
105,Good,3.698,73460.850000
106,Good,3.874,73462.750000
107,Good,4.674,73465.600000
108,Good,3.809,73467.500000
109,Good,4.444,73470.350000
110,Good,3.806,73472.250000
111,Good,3.061,73475.100000
112,Good,3.881,73477.000000
113,Good,3.049,73479.850000
114,Good,5.493,73481.750000
115,Good,4.254,73484.600000
116,Good,4.068,73486.500000
117,Good,4.223,73489.350000
118,Good,4.141,73491.250000
119,Good,3.266,73494.100000
120,Good,4.163,73496.000000
121,Good,3.383,73498.850000
122,Good,4.142,73500.750000
123,Good,3.354,73503.600000
124,Good,5.453,73505.500000
125,Good,4.192,73508.350000
126,Good,4.162,73510.250000
127,Good,6.569,73513.100000
128,Good,3.265,73515.000000
129,Good,4.696,73517.850000
130,Good,3.288,73519.750000
131,Good,4.082,73522.600000
132,Good,3.414,73524.500000
133,Good,3.470,73527.350000
134,Good,4.462,73529.250000
135,Good,4.201,73532.100000
136,Good,4.520,73534.000000
