counter,status,resp_time,value_first
0,Good,3.699,-870
1,Good,2.881,-864
2,Good,3.506,-860
3,Good,3.277,-854
4,Good,3.343,-850
5,Good,3.102,-844
6,Good,2.708,-840
7,Good,3.036,-834
8,Good,2.905,-830
9,Good,2.874,-824
10,Good,2.908,-820
11,Good,3.630,-814
12,Good,3.286,-810
13,Good,2.984,-804
14,Good,3.514,-800
15,Good,2.851,-794
16,Good,2.920,-790
17,Good,2.855,-784
18,Good,2.848,-780
19,Good,2.740,-774
20,Good,3.368,-770
21,Good,3.363,-764
22,Good,3.387,-760
23,Good,3.848,-754
24,Good,2.944,-750
25,Good,2.727,-744
26,Good,3.768,-740
27,Good,2.966,-734
28,Good,2.861,-730
29,Good,4.278,-724
30,Good,3.439,-720
31,Good,3.281,-714
32,Good,3.070,-710
33,Good,2.955,-704
34,Good,2.827,-700
35,Good,3.133,-694
36,Good,2.852,-690
37,Good,2.866,-684
38,Good,2.888,-680
39,Good,4.285,-674
40,Good,3.279,-670
41,Good,3.033,-664
42,Good,2.951,-660
43,Good,2.913,-654
44,Good,4.353,-650
45,Good,2.734,-644
46,Good,10.199,-640
47,Good,2.835,-634
48,Good,9.821,-630
49,Good,3.538,-624
50,Good,8.473,-620
51,Good,3.052,-614
52,Good,6.540,-610
53,Good,3.014,-604
54,Good,4.140,-600
55,Good,3.037,-594
56,Good,2.834,-590
57,Good,2.717,-584
58,Good,2.740,-580
59,Good,4.186,-574
60,Good,3.329,-570
61,Good,3.142,-564
62,Good,2.864,-560
63,Good,2.884,-554
64,Good,3.084,-550
65,Good,2.844,-544
66,Good,2.909,-538
67,Good,2.924,-534
68,Good,2.727,-528
69,Good,3.521,-524
70,Good,3.271,-518
71,Good,2.964,-514
72,Good,2.861,-508
73,Good,2.849,-504
74,Good,2.756,-498
75,Good,2.725,-494
76,Good,2.695,-488
77,Good,2.737,-484
78,Good,2.726,-478
79,Good,3.399,-474
80,Good,3.287,-468
81,Good,3.411,-464
82,Good,4.546,-458
83,Good,2.842,-454
84,Good,2.981,-448
85,Good,2.867,-444
86,Good,3.419,-438
87,Good,2.749,-434
88,Good,2.831,-428
89,Good,3.630,-424
90,Good,4.275,-418
91,Good,3.074,-414
92,Good,2.919,-408
93,Good,2.899,-404
94,Good,2.872,-398
95,Good,3.033,-394
96,Good,2.977,-388
97,Good,2.705,-384
