counter,status,resp_time,value_first
0,Good,2.571,30576.899618
1,Good,2.631,30579.749618
2,Good,2.496,30581.649617
3,Good,2.506,30584.499617
4,Good,2.459,30586.399617
5,Good,2.496,30589.249617
6,Good,3.030,30591.149617
7,Good,2.937,30593.999617
8,Good,2.545,30595.899617
9,Good,2.834,30598.749617
10,Good,2.642,30600.649617
11,Good,2.853,30603.499617
12,Good,2.648,30605.399617
13,Good,2.624,30608.249617
14,Good,3.786,30610.149617
15,Good,3.305,30612.999617
16,Good,3.032,30614.899617
17,Good,3.147,30617.749617
18,Good,2.462,30619.649617
19,Good,2.629,30622.499617
20,Good,2.655,30624.399617
21,Good,2.531,30627.249617
22,Good,2.614,30629.149617
23,Good,9.030,30631.999617
24,Good,3.720,30633.899617
25,Good,8.849,30636.749617
26,Good,2.627,30638.649617
27,Good,5.792,30641.499617
28,Good,2.617,30643.399617
29,Good,3.643,30646.249617
30,Good,2.667,30648.149617
31,Good,2.652,30650.999617
32,Good,2.590,30652.899617
33,Good,3.302,30655.749617
34,Good,3.090,30658.599617
35,Good,2.531,30660.499617
36,Good,2.332,30663.349616
37,Good,2.659,30665.249616
38,Good,2.505,30668.099616
39,Good,2.504,30669.999616
40,Good,2.496,30672.849616
41,Good,2.575,30674.749616
42,Good,3.750,30677.599616
43,Good,3.069,30679.499616
44,Good,2.564,30682.349616
45,Good,2.617,30684.249616
46,Good,2.605,30687.099616
47,Good,3.247,30688.999616
48,Good,2.679,30691.849616
49,Good,2.613,30693.749616
50,Good,2.566,30696.599616
51,Good,3.249,30698.499616
52,Good,3.650,30701.349616
53,Good,2.520,30703.249616
54,Good,2.602,30706.099616
55,Good,2.671,30707.999616
56,Good,2.623,30710.849616
57,Good,3.240,30712.749616
58,Good,2.458,30715.599616
59,Good,2.539,30717.499616
60,Good,3.018,30720.349616
61,Good,3.044,30722.249616
62,Good,2.485,30725.099616
63,Good,2.864,30726.999616
64,Good,2.650,30729.849616
65,Good,2.748,30731.749616
66,Good,2.727,30734.599616
67,Good,2.892,30736.499616
68,Good,2.585,30739.349616
69,Good,3.280,30741.249615
70,Good,3.797,30744.099615
71,Good,2.567,30745.999615
72,Good,2.603,30748.849615
73,Good,2.698,30750.749615
74,Good,2.635,30753.599615
75,Good,2.659,30755.499615
76,Good,2.466,30758.349615
77,Good,3.657,30760.249615
78,Good,3.251,30763.099615
79,Good,3.030,30764.999615
80,Good,3.232,30767.849615
81,Good,2.597,30769.749615
82,Good,2.608,30772.599615
83,Good,2.524,30774.499615
84,Good,2.531,30777.349615
85,Good,3.030,30779.249615
86,Good,2.976,30782.099615
87,Good,3.274,30783.999615
88,Good,3.017,30786.849615
89,Good,2.488,30788.749615
90,Good,2.604,30791.599615
91,Good,2.611,30793.499615
92,Good,2.454,30796.349615
93,Good,2.484,30798.249615
94,Good,2.484,30801.099615
95,Good,2.526,30802.999615
96,Good,3.148,30805.849615
97,Good,2.954,30807.749615
98,Good,2.663,30810.599615
99,Good,2.710,30812.499615
100,Good,2.614,30815.349615
101,Good,2.588,30817.249615
102,Good,2.562,30820.099615
103,Good,2.617,30821.999614
104,Good,2.539,30824.849614
105,Good,3.718,30826.749614
106,Good,3.042,30829.599614
107,Good,2.574,30831.499614
108,Good,3.262,30834.349614
109,Good,2.643,30836.249614
110,Good,2.665,30839.099614
111,Good,2.521,30840.999614
112,Good,2.489,30843.849614
113,Good,2.501,30845.749614
114,Good,9.138,30848.599614
115,Good,3.059,30850.499614
116,Good,7.100,30853.349614
117,Good,2.986,30855.249614
118,Good,4.457,30858.099614
119,Good,2.673,30859.999614
120,Good,2.843,30862.849614
121,Good,2.635,30864.749614
122,Good,2.552,30867.599614
123,Good,3.893,30870.449614
124,Good,3.243,30872.349614
125,Good,2.465,30875.199614
126,Good,2.594,30877.099614
127,Good,2.644,30879.949614
128,Good,3.346,30881.849614
129,Good,2.534,30884.699614
130,Good,2.578,30886.599614
131,Good,2.593,30889.449614
132,Good,3.272,30891.349614
133,Good,3.124,30894.199614
134,Good,2.476,30896.099614
135,Good,2.459,30898.949614
136,Good,2.589,30900.849613
137,Good,2.664,30903.699613
138,Good,3.097,30905.599613
139,Good,2.601,30908.449613
140,Good,2.549,30910.349613
141,Good,3.710,30913.199613
142,Good,3.140,30915.099613
143,Good,2.461,30917.949613
144,Good,2.984,30919.849613
145,Good,2.610,30922.699613
146,Good,2.955,30924.599613
147,Good,2.605,30927.449613
148,Good,2.933,30929.349613
149,Good,2.482,30932.199613
150,Good,3.294,30934.099613
151,Good,2.985,30936.949613
152,Good,2.724,30938.849613
153,Good,2.709,30941.699613
154,Good,3.209,30943.599613
155,Good,2.494,30946.449613
156,Good,3.498,30948.349613
157,Good,2.485,30951.199613
158,Good,3.662,30953.099613
159,Good,3.113,30955.949613
160,Good,3.434,30957.849613
161,Good,3.070,30960.699613
162,Good,2.982,30962.599613
163,Good,2.598,30965.449613
164,Good,2.879,30967.349613
165,Good,2.527,30970.199613
166,Good,3.350,30972.099613
167,Good,2.524,30974.949613
168,Good,3.647,30976.849613
169,Good,3.804,30979.699612
170,Good,2.862,30981.599612
171,Good,2.651,30984.449612
172,Good,2.934,30986.349612
173,Good,2.488,30989.199612
174,Good,2.993,30991.099612
175,Good,2.530,30993.949612
176,Good,3.626,30995.849612
177,Good,3.142,30998.699612
178,Good,3.444,31000.599612
179,Good,2.612,31003.449612
180,Good,2.972,31005.349612
181,Good,2.532,31008.199612
182,Good,2.878,31010.099612
183,Good,2.506,31012.949612
184,Good,3.006,31014.849612
185,Good,2.585,31017.699612
186,Good,3.772,31019.599612
187,Good,3.110,31022.449612
188,Good,2.735,31024.349612
189,Good,3.066,31027.199612
190,Good,2.933,31029.099612
191,Good,2.486,31031.949612
192,Good,2.990,31033.849612
193,Good,2.490,31036.699612
194,Good,4.172,31038.599612
195,Good,3.154,31041.449612
196,Good,3.023,31043.349612
197,Good,3.397,31046.199612
198,Good,2.456,31048.099612
199,Good,2.630,31050.949612
200,Good,2.930,31052.849612
201,Good,2.571,31055.699612
202,Good,3.035,31057.599612
203,Good,9.105,31060.449611
204,Good,3.301,31062.349611
205,Good,9.214,31065.199611
206,Good,2.931,31067.099611
207,Good,5.449,31069.949611
208,Good,2.946,31071.849611
209,Good,3.099,31074.699611
210,Good,2.861,31076.599611
211,Good,2.609,31079.449611
212,Good,3.697,31082.299611
213,Good,3.263,31084.199611
214,Good,3.624,31087.049611
215,Good,2.493,31088.949611
216,Good,3.022,31091.799611
217,Good,2.721,31093.699611
218,Good,3.718,31096.549611
219,Good,3.075,31098.449611
220,Good,2.608,31101.299611
221,Good,2.540,31103.199611
222,Good,4.599,31106.049611
223,Good,3.109,31107.949611
224,Good,2.892,31110.799611
225,Good,2.606,31112.699611
226,Good,2.892,31115.549611
227,Good,3.130,31117.449611
228,Good,2.854,31120.299611
229,Good,2.933,31122.199611
230,Good,3.512,31125.049611
231,Good,3.398,31126.949611
232,Good,3.805,31129.799611
233,Good,2.493,31131.699611
234,Good,2.915,31134.549611
235,Good,2.624,31136.449611
236,Good,2.950,31139.299610
237,Good,2.550,31141.199610
238,Good,2.962,31144.049610
239,Good,2.500,31145.949610
240,Good,3.307,31148.799610
241,Good,3.071,31150.699610
242,Good,2.711,31153.549610
243,Good,2.611,31155.449610
244,Good,2.931,31158.299610
245,Good,2.854,31160.199610
246,Good,2.918,31163.049610
247,Good,3.077,31164.949610
248,Good,3.063,31167.799610
249,Good,3.275,31169.699610
250,Good,4.059,31172.549610
251,Good,2.589,31174.449610
252,Good,3.057,31177.299610
253,Good,2.610,31179.199610
254,Good,2.900,31182.049610
255,Good,2.739,31183.949610
256,Good,2.754,31186.799610
257,Good,3.674,31188.699610
258,Good,3.462,31191.549610
259,Good,3.079,31193.449610
260,Good,4.068,31196.299610
261,Good,2.629,31198.199610
262,Good,3.141,31201.049610
263,Good,2.607,31202.949610
264,Good,2.839,31205.799610
265,Good,2.485,31207.699610
266,Good,3.696,31210.549610
267,Good,3.127,31212.449610
268,Good,3.461,31215.299610
269,Good,2.310,31217.199610
270,Good,3.360,31220.049609
271,Good,2.639,31221.949609
272,Good,2.971,31224.799609
273,Good,2.551,31226.699609
