counter,status,resp_time,value_first
0,Good,7.429,29652
1,Good,2.287,29655
2,Good,2.476,29657
3,Good,2.989,29660
4,Good,3.113,29662
5,Good,2.657,29665
6,Good,2.615,29667
7,Good,2.496,29670
8,Good,2.613,29672
9,Good,2.329,29675
10,Good,2.308,29677
11,Good,2.317,29680
12,Good,3.008,29682
13,Good,2.984,29685
14,Good,2.500,29687
15,Good,2.295,29690
16,Good,2.862,29692
17,Good,2.475,29695
18,Good,2.656,29697
19,Good,2.330,29700
20,Good,2.586,29702
21,Good,2.994,29705
22,Good,3.411,29707
23,Good,2.489,29710
24,Good,2.298,29712
25,Good,2.612,29715
26,Good,2.598,29717
27,Good,2.326,29720
28,Good,2.983,29722
29,Good,2.491,29725
30,Good,3.118,29727
31,Good,3.051,29730
32,Good,2.499,29732
33,Good,2.293,29735
34,Good,2.643,29737
35,Good,2.348,29740
36,Good,2.537,29742
37,Good,2.457,29745
38,Good,2.469,29747
39,Good,3.087,29750
40,Good,3.084,29752
41,Good,2.491,29755
42,Good,2.308,29757
43,Good,2.645,29760
44,Good,2.527,29762
45,Good,2.326,29765
46,Good,2.471,29767
47,Good,2.502,29770
48,Good,3.111,29772
49,Good,3.251,29775
50,Good,2.473,29777
51,Good,2.578,29780
52,Good,2.653,29782
53,Good,2.830,29785
54,Good,2.461,29787
55,Good,9.461,29790
56,Good,2.301,29792
57,Good,8.852,29795
58,Good,4.065,29797
59,Good,6.508,29800
60,Good,2.303,29802
61,Good,4.027,29805
62,Good,2.353,29807
63,Good,2.599,29810
64,Good,2.347,29812
65,Good,2.569,29815
66,Good,3.245,29817
67,Good,3.133,29820
68,Good,2.486,29822
69,Good,2.643,29825
70,Good,2.721,29827
71,Good,2.646,29830
72,Good,2.600,29832
73,Good,2.934,29835
74,Good,2.500,29837
75,Good,3.057,29840
76,Good,3.949,29842
77,Good,2.316,29845
78,Good,2.589,29847
79,Good,2.844,29850
80,Good,2.616,29853
81,Good,2.474,29855
82,Good,2.482,29858
83,Good,2.464,29860
84,Good,3.028,29863
85,Good,3.144,29865
86,Good,2.550,29868
87,Good,2.447,29870
88,Good,2.487,29873
89,Good,2.499,29875
90,Good,2.553,29878
91,Good,2.438,29880
92,Good,3.786,29883
93,Good,3.009,29885
94,Good,3.070,29888
95,Good,2.332,29890
96,Good,2.314,29893
97,Good,2.576,29895
98,Good,2.448,29898
99,Good,2.491,29900
100,Good,2.618,29903
101,Good,2.439,29905
102,Good,3.093,29908
103,Good,2.964,29910
104,Good,2.576,29913
105,Good,2.305,29915
106,Good,2.488,29918
107,Good,2.844,29920
108,Good,2.489,29923
109,Good,2.587,29925
110,Good,2.488,29928
111,Good,3.104,29930
112,Good,3.100,29933
113,Good,2.514,29935
114,Good,2.334,29938
115,Good,2.538,29940
116,Good,2.513,29943
117,Good,2.511,29945
118,Good,2.308,29948
119,Good,2.511,29950
120,Good,3.050,29953
121,Good,3.128,29955
122,Good,2.610,29958
123,Good,2.349,29960
124,Good,2.510,29963
125,Good,2.999,29965
126,Good,2.505,29968
127,Good,2.469,29970
128,Good,2.589,29973
129,Good,3.255,29975
130,Good,3.005,29978
131,Good,2.594,29980
132,Good,2.653,29983
133,Good,2.482,29985
134,Good,2.739,29988
135,Good,2.576,29990
136,Good,2.325,29993
137,Good,4.084,29995
138,Good,3.011,29998
139,Good,2.944,30000
140,Good,3.479,30003
141,Good,2.281,30005
142,Good,2.648,30008
143,Good,2.951,30010
144,Good,2.875,30013
145,Good,2.461,30015
146,Good,9.528,30018
