counter,status,resp_time,value_first
0,Good,3.691,52
1,Good,3.008,54
2,Good,2.597,56
3,Good,3.706,59
4,Good,2.477,61
5,Good,2.480,64
6,Good,2.725,66
7,Good,2.669,69
8,Good,3.399,71
9,Good,3.298,73
10,Good,3.143,76
11,Good,2.611,78
12,Good,2.668,81
13,Good,2.573,83
14,Good,2.684,86
15,Good,2.827,88
16,Good,8.218,91
17,Good,3.286,93
18,Good,3.480,95
19,Good,3.340,98
20,Good,2.569,100
21,Good,3.057,103
22,Good,2.566,105
23,Good,2.502,108
24,Good,2.674,110
25,Good,2.478,112
26,Good,2.884,115
27,Good,3.259,117
28,Good,3.347,120
29,Good,3.004,122
30,Good,2.528,125
31,Good,2.549,127
32,Good,2.470,129
33,Good,2.537,132
34,Good,2.460,134
35,Good,3.402,137
36,Good,3.096,139
37,Good,3.119,142
38,Good,2.617,144
39,Good,3.118,146
40,Good,2.523,149
41,Good,2.470,151
42,Good,2.529,154
43,Good,2.560,156
44,Good,2.867,159
45,Good,3.334,161
46,Good,3.238,164
47,Good,4.234,166
48,Good,2.493,168
49,Good,3.466,171
50,Good,2.534,173
51,Good,2.936,176
52,Good,2.606,178
53,Good,2.861,181
54,Good,3.386,183
55,Good,3.330,185
56,Good,3.357,188
57,Good,2.613,190
58,Good,2.696,193
59,Good,2.465,195
60,Good,2.690,198
61,Good,2.691,200
62,Good,3.267,202
63,Good,3.131,205
64,Good,3.440,207
65,Good,2.625,210
66,Good,2.528,212
67,Good,2.996,215
68,Good,2.592,217
69,Good,11.937,220
70,Good,2.484,222
71,Good,8.481,224
72,Good,3.259,227
73,Good,11.786,229
74,Good,2.587,232
75,Good,5.622,234
76,Good,2.580,237
77,Good,3.456,239
78,Good,2.538,241
79,Good,2.726,244
80,Good,2.884,246
81,Good,3.274,249
82,Good,3.139,251
83,Good,2.720,254
84,Good,2.589,256
85,Good,3.154,258
86,Good,2.490,261
87,Good,2.612,263
88,Good,2.472,266
89,Good,3.467,268
90,Good,3.127,271
91,Good,3.392,273
92,Good,2.567,275
93,Good,2.610,278
94,Good,2.846,280
95,Good,2.576,283
96,Good,2.535,285
97,Good,4.244,288
98,Good,3.293,290
99,Good,3.247,293
100,Good,3.122,295
101,Good,2.882,297
102,Good,2.519,300
103,Good,2.552,302
104,Good,2.522,305
105,Good,2.906,307
106,Good,2.838,310
107,Good,2.854,312
108,Good,3.252,314
109,Good,3.738,317
110,Good,2.640,319
111,Good,2.563,322
112,Good,2.908,324
113,Good,2.656,327
114,Good,2.502,329
115,Good,5.069,331
116,Good,3.372,334
