counter,status,resp_time,value_first
0,Good,3.615,10662
1,Good,5.498,10665
2,Good,2.525,10667
3,Good,3.312,10669
4,Good,4.547,10672
5,Good,3.353,10674
6,Good,2.631,10677
7,Good,2.631,10679
8,Good,2.547,10682
9,Good,3.259,10684
10,Good,2.609,10686
11,Good,2.561,10689
12,Good,3.288,10691
13,Good,3.403,10694
14,Good,5.465,10696
15,Good,2.661,10699
16,Good,2.638,10701
17,Good,2.593,10703
18,Good,2.498,10706
19,Good,5.305,10708
20,Good,2.633,10711
21,Good,2.893,10713
22,Good,3.347,10716
23,Good,3.145,10718
24,Good,5.950,10721
25,Good,2.665,10723
26,Good,2.548,10725
27,Good,2.660,10728
28,Good,2.553,10730
29,Good,2.613,10733
30,Good,3.291,10735
31,Good,3.433,10738
32,Good,3.255,10740
33,Good,2.862,10742
34,Good,2.723,10745
35,Good,2.846,10747
36,Good,2.552,10750
37,Good,2.926,10752
38,Good,2.575,10755
39,Good,3.320,10757
40,Good,3.472,10759
41,Good,3.266,10762
42,Good,2.670,10764
43,Good,2.569,10767
44,Good,2.559,10769
45,Good,2.635,10772
46,Good,2.653,10774
47,Good,2.616,10776
48,Good,3.330,10779
49,Good,3.358,10781
50,Good,3.268,10784
51,Good,2.702,10786
52,Good,4.572,10789
53,Good,2.553,10791
54,Good,2.551,10794
55,Good,2.711,10796
56,Good,2.558,10798
57,Good,5.427,10801
58,Good,3.375,10803
59,Good,3.117,10806
60,Good,2.926,10808
61,Good,2.590,10811
62,Good,2.686,10813
63,Good,2.529,10815
64,Good,2.547,10818
65,Good,2.639,10820
66,Good,3.312,10823
67,Good,4.994,10825
68,Good,3.129,10828
69,Good,2.708,10830
70,Good,3.292,10832
71,Good,2.692,10835
72,Good,2.540,10837
73,Good,2.716,10840
74,Good,2.719,10842
75,Good,3.401,10845
76,Good,3.392,10847
77,Good,4.697,10850
78,Good,2.633,10852
79,Good,2.588,10854
80,Good,2.725,10857
81,Good,2.581,10859
82,Good,2.555,10862
83,Good,2.654,10864
84,Good,8.610,10867
85,Good,3.438,10869
86,Good,9.125,10871
87,Good,2.873,10874
88,Good,5.914,10876
89,Good,2.622,10879
90,Good,3.757,10881
91,Good,2.572,10884
92,Good,2.690,10886
93,Good,2.873,10888
94,Good,3.493,10891
95,Good,5.142,10893
96,Good,2.868,10896
97,Good,2.565,10898
98,Good,2.599,10901
99,Good,2.610,10903
100,Good,6.633,10906
101,Good,2.663,10908
102,Good,3.278,10910
103,Good,3.311,10913
104,Good,3.287,10915
105,Good,3.133,10918
106,Good,2.618,10920
107,Good,2.572,10923
108,Good,2.708,10925
109,Good,2.668,10927
110,Good,5.412,10930
111,Good,2.871,10932
112,Good,3.365,10935
113,Good,3.362,10937
114,Good,2.634,10940
115,Good,2.575,10942
116,Good,2.737,10944
117,Good,2.501,10947
118,Good,5.285,10949
119,Good,2.561,10952
120,Good,3.461,10954
121,Good,3.515,10957
122,Good,3.013,10959
123,Good,7.432,10962
124,Good,2.613,10964
125,Good,2.606,10966
126,Good,2.736,10969
127,Good,2.691,10971
128,Good,3.261,10974
129,Good,3.347,10976
130,Good,3.406,10979
131,Good,3.400,10981
132,Good,2.688,10983
133,Good,2.597,10986
134,Good,2.544,10988
135,Good,2.561,10991
136,Good,2.711,10993
137,Good,2.581,10996
138,Good,3.937,10998
139,Good,3.317,11000
140,Good,3.153,11003
141,Good,2.854,11005
142,Good,2.580,11008
143,Good,2.585,11010
144,Good,2.543,11013
145,Good,2.652,11015
146,Good,5.644,11017
147,Good,2.859,11020
148,Good,3.366,11022
149,Good,3.051,11025
150,Good,2.883,11027
151,Good,2.638,11030
152,Good,2.547,11032
153,Good,3.050,11035
154,Good,2.647,11037
155,Good,2.561,11039
156,Good,4.869,11042
157,Good,3.404,11044
158,Good,3.774,11047
159,Good,5.138,11049
160,Good,2.582,11052
161,Good,2.610,11054
162,Good,2.716,11056
163,Good,2.540,11059
164,Good,2.648,11061
165,Good,3.292,11064
166,Good,3.661,11066
167,Good,3.235,11069
168,Good,2.684,11071
169,Good,3.115,11073
170,Good,2.585,11076
171,Good,2.482,11078
172,Good,2.845,11081
173,Good,2.905,11083
174,Good,3.282,11086
175,Good,9.130,11088
176,Good,5.267,11091
177,Good,7.274,11093
178,Good,2.685,11095
179,Good,4.960,11098
180,Good,2.525,11100
181,Good,2.972,11103
182,Good,2.541,11105
183,Good,3.860,11108
184,Good,3.379,11110
185,Good,3.409,11112
186,Good,2.734,11115
187,Good,2.673,11117
188,Good,2.549,11120
189,Good,4.701,11122
190,Good,2.729,11125
191,Good,2.596,11127
192,Good,3.296,11129
193,Good,3.495,11132
194,Good,3.363,11134
195,Good,2.638,11137
196,Good,2.573,11139
197,Good,2.559,11142
198,Good,2.506,11144
199,Good,5.824,11147
200,Good,2.497,11149
201,Good,3.618,11151
202,Good,3.324,11154
203,Good,3.271,11156
204,Good,4.591,11159
205,Good,2.553,11161
206,Good,2.556,11164
207,Good,2.689,11166
208,Good,2.660,11168
209,Good,4.735,11171
210,Good,2.890,11173
211,Good,3.474,11176
212,Good,3.238,11178
213,Good,2.641,11181
214,Good,2.574,11183
215,Good,2.554,11185
216,Good,2.653,11188
217,Good,2.572,11190
218,Good,2.518,11193
219,Good,5.294,11195
220,Good,3.351,11198
221,Good,3.627,11200
222,Good,2.671,11202
223,Good,2.675,11205
224,Good,2.553,11207
225,Good,2.663,11210
226,Good,2.621,11212
227,Good,3.131,11215
228,Good,3.324,11217
229,Good,3.327,11220
230,Good,3.144,11222
231,Good,2.701,11224
232,Good,2.597,11227
233,Good,2.726,11229
234,Good,2.954,11232
235,Good,2.854,11234
236,Good,2.847,11237
237,Good,3.543,11239
238,Good,3.486,11241
239,Good,3.259,11244
240,Good,3.222,11246
241,Good,2.677,11249
242,Good,2.622,11251
243,Good,2.504,11254
244,Good,2.565,11256
245,Good,2.650,11258
246,Good,3.429,11261
247,Good,3.314,11263
248,Good,3.300,11266
249,Good,2.639,11268
250,Good,4.268,11271
251,Good,2.645,11273
252,Good,4.914,11276
253,Good,2.709,11278
254,Good,2.736,11280
255,Good,3.637,11283
256,Good,3.515,11285
257,Good,3.222,11288
258,Good,2.698,11290
259,Good,2.638,11293
260,Good,4.593,11295
261,Good,2.521,11297
262,Good,2.572,11300
263,Good,2.551,11302
264,Good,8.684,11305
265,Good,5.337,11307
266,Good,9.428,11310
267,Good,2.745,11312
268,Good,6.300,11314
269,Good,2.563,11317
270,Good,6.119,11319
271,Good,2.610,11322
272,Good,2.695,11324
273,Good,3.326,11327
274,Good,3.431,11329
275,Good,8.334,11332
276,Good,2.694,11334
277,Good,2.645,11336
278,Good,2.643,11339
279,Good,2.490,11341
280,Good,3.384,11344
281,Good,2.546,11346
282,Good,3.494,11349
283,Good,3.394,11351
284,Good,3.336,11353
285,Good,2.656,11356
286,Good,2.552,11358
287,Good,2.573,11361
288,Good,2.645,11363
289,Good,2.570,11366
290,Good,3.088,11368
291,Good,3.510,11370
292,Good,3.496,11373
293,Good,3.151,11375
294,Good,2.711,11378
295,Good,2.576,11380
296,Good,2.965,11383
297,Good,2.506,11385
298,Good,2.568,11387
299,Good,2.501,11390
300,Good,2.877,11392
301,Good,3.419,11395
302,Good,3.148,11397
303,Good,2.857,11400
304,Good,2.938,11402
305,Good,2.607,11405
306,Good,2.685,11407
307,Good,2.556,11409
308,Good,5.779,11412
309,Good,3.381,11414
310,Good,3.249,11417
311,Good,3.291,11419
312,Good,2.707,11422
313,Good,3.073,11424
314,Good,2.568,11426
315,Good,2.489,11429
316,Good,2.671,11431
317,Good,2.531,11434
318,Good,5.040,11436
319,Good,3.362,11439
320,Good,3.189,11441
321,Good,2.880,11443
322,Good,2.720,11446
323,Good,2.554,11448
