counter,status,resp_time,value_first
0,Good,3.598,2388.500000
1,Good,2.320,2390.400000
2,Good,2.449,2392.300000
3,Good,2.750,2395.150000
4,Good,2.582,2397.050000
5,Good,3.293,2399.900000
6,Good,3.295,2401.800000
7,Good,3.303,2404.650000
8,Good,4.639,2406.550000
9,Good,2.550,2408.450000
10,Good,2.532,2411.300000
11,Good,2.496,2413.200000
12,Good,2.816,2416.050000
13,Good,2.487,2417.950000
14,Good,3.512,2420.800000
15,Good,3.411,2422.700000
16,Good,3.860,2425.550000
17,Good,2.841,2427.450000
18,Good,2.529,2429.350000
19,Good,2.553,2432.200000
20,Good,2.497,2434.100000
21,Good,2.681,2436.950000
22,Good,2.700,2438.850000
23,Good,3.288,2441.700000
24,Good,3.298,2443.600000
25,Good,3.152,2445.500000
26,Good,4.626,2448.350000
27,Good,2.601,2450.250000
28,Good,2.533,2453.100000
29,Good,2.486,2455.000000
30,Good,2.529,2457.850000
31,Good,2.545,2459.750000
32,Good,3.428,2461.650000
33,Good,3.264,2464.500000
34,Good,3.223,2466.400000
35,Good,2.655,2469.250000
36,Good,4.243,2471.150000
37,Good,2.512,2474.000000
38,Good,2.493,2475.900000
39,Good,6.886,2478.750000
40,Good,2.534,2480.650000
41,Good,5.278,2482.550000
42,Good,3.428,2485.400000
43,Good,3.120,2487.300000
44,Good,2.669,2490.150000
45,Good,2.544,2492.050000
46,Good,3.265,2494.900000
47,Good,2.548,2496.800000
48,Good,2.720,2498.700000
49,Good,2.604,2501.550000
50,Good,3.366,2503.450000
51,Good,3.669,2506.300000
52,Good,3.058,2508.200000
53,Good,2.871,2511.050000
54,Good,2.571,2512.950000
55,Good,2.681,2514.850000
56,Good,2.455,2517.700000
57,Good,2.669,2519.600000
58,Good,2.559,2522.450000
59,Good,3.463,2524.350000
60,Good,9.028,2527.200000
61,Good,3.289,2529.100000
62,Good,7.719,2531.950000
63,Good,2.541,2533.850000
64,Good,4.628,2535.750000
65,Good,2.512,2538.600000
66,Good,3.339,2540.500000
67,Good,2.490,2543.350000
68,Good,3.316,2545.250000
69,Good,5.001,2548.100000
70,Good,3.383,2550.000000
71,Good,2.631,2551.900000
72,Good,2.567,2554.750000
73,Good,2.534,2556.650000
74,Good,2.694,2559.500000
75,Good,2.710,2561.400000
76,Good,2.727,2564.250000
77,Good,2.862,2566.150000
78,Good,3.293,2568.050000
79,Good,3.864,2570.900000
80,Good,2.664,2572.800000
81,Good,2.548,2575.650000
82,Good,2.574,2577.550000
83,Good,2.547,2580.400000
84,Good,2.705,2582.300000
85,Good,2.478,2584.200000
86,Good,3.530,2587.050000
87,Good,3.323,2588.950000
88,Good,3.149,2591.800000
89,Good,5.340,2593.700000
90,Good,2.565,2596.550000
91,Good,2.541,2598.450000
92,Good,2.541,2601.300000
93,Good,2.722,2603.200000
94,Good,2.481,2605.100000
95,Good,3.639,2607.950000
96,Good,3.285,2609.850000
97,Good,3.123,2612.700000
98,Good,2.683,2614.600000
99,Good,2.544,2617.450000
100,Good,2.538,2619.350000
101,Good,2.462,2621.250000
102,Good,2.661,2624.100000
103,Good,2.686,2626.000000
104,Good,4.881,2628.850000
105,Good,3.322,2630.750000
106,Good,3.130,2633.600000
107,Good,3.443,2635.500000
108,Good,2.516,2637.400000
109,Good,2.529,2640.250000
110,Good,2.495,2642.150000
111,Good,2.554,2645.000000
112,Good,2.660,2646.900000
113,Good,3.242,2649.750000
114,Good,3.285,2651.650000
115,Good,5.903,2654.500000
116,Good,2.694,2656.400000
117,Good,3.321,2658.300000
118,Good,2.583,2661.150000
119,Good,2.476,2663.050000
120,Good,2.651,2665.900000
121,Good,2.632,2667.800000
122,Good,2.897,2670.650000
123,Good,3.319,2672.550000
124,Good,3.122,2674.450000
125,Good,3.724,2677.300000
126,Good,2.593,2679.200000
127,Good,2.552,2682.050000
128,Good,2.558,2683.950000
129,Good,2.535,2686.800000
130,Good,2.720,2688.700000
131,Good,3.310,2690.600000
132,Good,3.358,2693.450000
133,Good,3.307,2695.350000
134,Good,2.640,2698.200000
135,Good,4.184,2700.100000
136,Good,2.526,2702.950000
137,Good,2.500,2704.850000
138,Good,7.460,2707.700000
139,Good,2.528,2709.600000
140,Good,2.883,2711.500000
141,Good,3.286,2714.350000
142,Good,3.111,2716.250000
