counter,status,resp_time,value_first
0,Good,3.054,266
1,Good,2.848,268
2,Good,2.909,271
3,Good,2.744,273
4,Good,4.290,276
5,Good,3.522,278
6,Good,3.284,281
7,Good,2.639,283
8,Good,2.712,286
9,Good,2.590,288
10,Good,2.609,291
11,Good,2.748,293
12,Good,2.671,296
13,Good,3.525,298
14,Good,8.997,301
15,Good,3.285,303
16,Good,8.066,306
17,Good,2.650,308
18,Good,6.124,311
19,Good,2.887,313
20,Good,4.119,316
21,Good,2.655,318
22,Good,2.858,321
23,Good,4.051,323
24,Good,3.556,326
25,Good,3.374,328
26,Good,2.880,331
27,Good,2.675,333
28,Good,2.677,336
29,Good,2.666,338
30,Good,2.840,341
31,Good,2.660,343
32,Good,2.877,346
33,Good,2.656,348
34,Good,3.322,351
35,Good,2.937,353
36,Good,2.491,356
37,Good,2.570,358
38,Good,2.525,361
39,Good,2.580,363
40,Good,3.013,366
41,Good,3.030,369
42,Good,2.754,371
43,Good,3.467,374
44,Good,3.646,376
45,Good,3.427,379
46,Good,2.561,381
47,Good,2.681,384
48,Good,2.640,386
49,Good,2.687,389
50,Good,3.090,391
51,Good,2.997,394
52,Good,2.853,396
53,Good,3.465,399
54,Good,3.436,401
55,Good,3.045,404
56,Good,2.839,406
57,Good,2.743,409
58,Good,2.680,411
59,Good,4.713,414
60,Good,2.703,416
61,Good,2.706,419
62,Good,2.725,421
63,Good,2.594,424
64,Good,3.349,426
65,Good,3.020,429
66,Good,2.491,431
67,Good,2.585,434
68,Good,2.550,436
69,Good,2.736,439
70,Good,2.669,441
71,Good,2.953,444
72,Good,3.050,446
73,Good,3.808,449
74,Good,3.629,451
75,Good,3.243,454
76,Good,2.712,456
77,Good,2.750,459
78,Good,2.683,461
79,Good,2.727,464
80,Good,2.845,466
81,Good,2.868,469
82,Good,2.845,471
83,Good,3.494,474
84,Good,3.494,476
85,Good,3.031,479
86,Good,2.816,481
87,Good,2.684,484
88,Good,2.528,486
89,Good,2.571,489
90,Good,2.572,491
91,Good,2.697,494
92,Good,2.743,496
93,Good,3.154,499
94,Good,3.346,501
95,Good,3.198,504
96,Good,3.464,506
97,Good,2.682,509
98,Good,2.683,511
99,Good,4.691,514
100,Good,2.876,516
101,Good,2.749,519
102,Good,3.155,521
103,Good,3.503,524
104,Good,3.256,526
105,Good,2.701,529
106,Good,2.709,531
107,Good,2.713,534
108,Good,2.745,536
109,Good,2.750,539
110,Good,3.017,541
111,Good,2.865,544
112,Good,2.678,546
113,Good,9.109,549
114,Good,3.247,551
115,Good,7.878,554
116,Good,2.669,556
117,Good,5.753,559
118,Good,2.580,561
119,Good,4.236,564
120,Good,2.628,566
121,Good,2.853,569
122,Good,2.623,571
123,Good,3.374,574
124,Good,3.028,576
125,Good,2.701,579
126,Good,2.689,581
127,Good,2.655,584
128,Good,2.755,586
129,Good,2.844,589
130,Good,2.914,591
131,Good,3.229,594
132,Good,2.692,596
133,Good,3.671,599
134,Good,3.071,601
135,Good,2.826,604
136,Good,2.656,606
137,Good,2.662,609
138,Good,2.658,612
139,Good,2.713,614
140,Good,2.849,617
141,Good,3.946,619
142,Good,2.718,622
143,Good,3.457,624
144,Good,3.373,627
145,Good,3.259,629
146,Good,2.616,632
147,Good,2.556,634
148,Good,2.716,637
149,Good,2.757,639
150,Good,2.631,642
151,Good,2.881,644
152,Good,4.069,647
153,Good,3.511,649
154,Good,2.939,652
155,Good,2.704,654
156,Good,2.594,657
157,Good,2.692,659
158,Good,2.827,662
159,Good,2.986,664
160,Good,4.258,667
161,Good,2.967,669
162,Good,3.482,672
163,Good,3.514,674
164,Good,3.254,677
165,Good,2.964,679
166,Good,2.646,682
167,Good,2.712,684
168,Good,2.693,687
169,Good,2.749,689
170,Good,3.034,692
171,Good,2.877,694
172,Good,3.897,697
173,Good,3.534,699
174,Good,2.924,702
175,Good,2.549,704
176,Good,2.562,707
177,Good,2.534,709
178,Good,2.548,712
179,Good,2.538,714
180,Good,2.637,717
181,Good,2.871,719
182,Good,4.250,722
183,Good,3.294,724
184,Good,2.985,727
185,Good,2.687,729
186,Good,2.748,732
187,Good,2.623,734
188,Good,2.645,737
189,Good,2.863,739
190,Good,3.060,742
191,Good,3.064,744
192,Good,3.819,747
193,Good,3.666,749
194,Good,3.413,752
195,Good,2.877,754
196,Good,2.752,757
197,Good,2.843,759
198,Good,2.707,762
199,Good,2.964,764
200,Good,3.066,767
201,Good,2.867,769
202,Good,5.258,772
203,Good,3.431,774
204,Good,2.890,777
205,Good,2.516,779
206,Good,2.572,782
207,Good,2.543,784
208,Good,2.586,787
209,Good,2.534,789
210,Good,2.640,792
211,Good,2.738,794
212,Good,8.973,797
213,Good,3.427,799
214,Good,9.230,802
215,Good,2.779,804
216,Good,7.301,807
217,Good,2.633,809
218,Good,5.324,812
219,Good,2.573,814
220,Good,2.999,817
221,Good,2.674,819
222,Good,3.954,822
223,Good,3.490,824
224,Good,3.242,827
225,Good,2.709,829
226,Good,2.753,832
227,Good,2.676,834
228,Good,2.683,837
229,Good,2.843,839
230,Good,2.670,842
231,Good,2.671,844
232,Good,3.369,847
233,Good,3.265,849
234,Good,3.755,852
235,Good,2.558,855
236,Good,2.519,857
237,Good,2.574,860
238,Good,3.118,862
239,Good,2.705,865
240,Good,2.725,867
241,Good,4.055,870
242,Good,3.650,872
243,Good,3.332,875
244,Good,2.890,877
245,Good,3.044,880
246,Good,2.934,882
247,Good,2.851,885
248,Good,2.866,887
249,Good,2.882,890
250,Good,2.878,892
251,Good,3.785,895
252,Good,3.644,897
253,Good,3.387,900
254,Good,3.092,902
255,Good,2.754,905
256,Good,2.892,907
257,Good,2.823,910
258,Good,3.487,912
259,Good,3.370,915
260,Good,3.056,917
261,Good,2.615,920
262,Good,3.327,922
263,Good,3.001,925
264,Good,2.618,927
265,Good,2.539,930
266,Good,2.680,932
267,Good,2.543,935
268,Good,2.674,937
269,Good,2.671,940
270,Good,3.659,942
271,Good,3.494,945
272,Good,3.262,947
273,Good,2.898,950
274,Good,2.982,952
275,Good,2.837,955
276,Good,2.841,957
277,Good,2.868,960
278,Good,3.366,962
279,Good,3.251,965
280,Good,3.864,967
281,Good,3.868,970
282,Good,3.395,972
283,Good,2.969,975
284,Good,2.884,977
285,Good,2.938,980
286,Good,3.238,982
287,Good,2.885,985
288,Good,3.350,987
289,Good,2.977,990
290,Good,2.617,992
291,Good,3.307,995
292,Good,3.015,997
293,Good,2.708,1000
294,Good,2.584,1002
295,Good,2.558,1005
296,Good,2.569,1007
297,Good,2.521,1010
298,Good,2.845,1012
299,Good,2.688,1015
300,Good,3.949,1017
301,Good,3.501,1020
302,Good,3.417,1022
303,Good,2.977,1025
304,Good,2.876,1027
305,Good,2.849,1030
306,Good,2.837,1032
307,Good,2.996,1035
308,Good,3.319,1037
309,Good,3.254,1040
310,Good,3.854,1042
311,Good,9.237,1045
312,Good,2.886,1047
313,Good,8.026,1050
314,Good,2.631,1052
315,Good,6.291,1055
316,Good,2.632,1057
317,Good,3.762,1060
318,Good,2.641,1062
319,Good,2.699,1065
320,Good,2.626,1067
321,Good,3.418,1070
322,Good,3.025,1072
323,Good,2.992,1075
324,Good,2.579,1077
325,Good,2.553,1080
326,Good,2.545,1082
327,Good,2.703,1085
328,Good,2.898,1087
329,Good,2.682,1090
330,Good,3.158,1092
331,Good,3.539,1095
332,Good,3.313,1098
333,Good,2.883,1100
334,Good,2.755,1103
335,Good,2.719,1105
336,Good,2.859,1108
337,Good,3.052,1110
338,Good,3.423,1113
339,Good,3.145,1115
340,Good,3.705,1118
341,Good,3.654,1120
342,Good,3.338,1123
343,Good,2.857,1125
344,Good,2.747,1128
345,Good,2.728,1130
346,Good,2.552,1133
347,Good,2.694,1135
348,Good,2.838,1138
349,Good,2.702,1140
350,Good,2.656,1143
351,Good,3.378,1145
352,Good,2.966,1148
353,Good,2.578,1150
354,Good,2.594,1153
355,Good,2.663,1155
356,Good,2.740,1158
357,Good,2.691,1160
358,Good,3.682,1163
359,Good,2.842,1165
360,Good,3.080,1168
361,Good,3.531,1170
362,Good,3.474,1173
363,Good,2.802,1175
364,Good,2.876,1178
365,Good,2.740,1180
366,Good,2.881,1183
367,Good,3.011,1185
368,Good,3.229,1188
369,Good,2.861,1190
370,Good,3.681,1193
371,Good,3.496,1195
372,Good,3.215,1198
373,Good,2.816,1200
374,Good,3.310,1203
375,Good,2.542,1205
376,Good,2.554,1208
377,Good,2.538,1210
378,Good,2.882,1213
379,Good,2.717,1215
380,Good,2.600,1218
381,Good,3.348,1220
382,Good,2.992,1223
383,Good,2.480,1225
384,Good,2.714,1228
385,Good,2.731,1230
386,Good,2.730,1233
387,Good,2.846,1235
388,Good,3.022,1238
389,Good,2.983,1240
390,Good,3.800,1243
391,Good,3.670,1245
392,Good,3.284,1248
393,Good,2.908,1250
394,Good,4.567,1253
395,Good,3.017,1255
396,Good,2.865,1258
397,Good,2.855,1260
398,Good,2.967,1263
399,Good,2.881,1265
400,Good,3.802,1268
401,Good,3.647,1270
402,Good,3.343,1273
403,Good,2.494,1275
404,Good,2.608,1278
405,Good,2.604,1280
406,Good,2.632,1283
407,Good,2.550,1285
408,Good,2.748,1288
409,Good,2.715,1290
410,Good,8.244,1293
411,Good,6.108,1295
412,Good,8.443,1298
413,Good,2.822,1300
414,Good,7.366,1303
415,Good,2.697,1305
416,Good,5.327,1308
417,Good,2.710,1310
418,Good,3.176,1313
419,Good,2.747,1315
420,Good,3.630,1318
421,Good,3.259,1320
422,Good,3.537,1323
423,Good,2.838,1325
424,Good,2.659,1328
425,Good,2.707,1330
426,Good,2.701,1333
427,Good,2.845,1336
428,Good,3.241,1338
429,Good,3.063,1341
430,Good,3.688,1343
431,Good,3.338,1346
432,Good,2.490,1348
433,Good,2.567,1351
434,Good,2.524,1353
435,Good,2.588,1356
436,Good,2.702,1358
437,Good,2.687,1361
438,Good,2.863,1363
439,Good,2.646,1366
440,Good,3.268,1368
441,Good,3.069,1371
442,Good,3.002,1373
443,Good,2.703,1376
444,Good,2.732,1378
445,Good,2.936,1381
446,Good,2.994,1383
447,Good,3.238,1386
448,Good,2.938,1388
449,Good,3.722,1391
450,Good,3.666,1393
451,Good,3.332,1396
452,Good,2.919,1398
453,Good,2.860,1401
454,Good,2.853,1403
455,Good,2.834,1406
456,Good,3.254,1408
457,Good,3.261,1411
458,Good,2.948,1413
459,Good,2.692,1416
460,Good,3.277,1418
461,Good,3.134,1421
462,Good,2.714,1423
463,Good,4.643,1426
464,Good,2.616,1428
465,Good,2.564,1431
466,Good,2.686,1433
467,Good,2.996,1436
468,Good,2.627,1438
469,Good,3.290,1441
470,Good,3.044,1443
471,Good,2.589,1446
472,Good,2.647,1448
473,Good,2.675,1451
474,Good,2.890,1453
475,Good,3.078,1456
476,Good,3.441,1458
477,Good,2.872,1461
478,Good,4.159,1463
479,Good,3.552,1466
480,Good,3.411,1468
481,Good,3.080,1471
482,Good,2.924,1473
483,Good,2.963,1476
484,Good,2.824,1478
485,Good,2.974,1481
486,Good,3.146,1483
487,Good,3.251,1486
488,Good,3.837,1488
489,Good,3.395,1491
490,Good,2.969,1493
491,Good,2.640,1496
492,Good,2.684,1498
493,Good,2.863,1501
494,Good,2.601,1503
495,Good,2.999,1506
496,Good,2.730,1508
497,Good,2.702,1511
498,Good,3.486,1513
499,Good,3.236,1516
500,Good,2.675,1518
501,Good,2.728,1521
502,Good,2.730,1523
503,Good,2.930,1526
504,Good,3.091,1528
505,Good,3.047,1531
506,Good,2.878,1533
507,Good,9.503,1536
508,Good,3.426,1538
509,Good,9.242,1541
510,Good,2.802,1543
511,Good,7.631,1546
512,Good,2.630,1548
513,Good,5.388,1551
514,Good,2.603,1553
515,Good,3.317,1556
516,Good,2.685,1558
517,Good,4.207,1561
518,Good,3.390,1563
519,Good,3.223,1566
