counter,status,resp_time,value_first
0,Good,3.567,-1138
1,Good,2.931,-1134
2,Good,3.103,-1128
3,Good,3.529,-1124
4,Good,3.095,-1118
5,Good,4.310,-1114
6,Good,3.822,-1108
7,Good,3.428,-1104
8,Good,3.092,-1098
9,Good,3.224,-1094
10,Good,3.099,-1088
11,Good,2.991,-1084
12,Good,2.984,-1078
13,Good,3.459,-1074
14,Good,5.500,-1068
15,Good,4.137,-1064
16,Good,3.658,-1058
17,Good,3.378,-1054
18,Good,3.256,-1048
19,Good,3.023,-1044
20,Good,3.148,-1038
21,Good,3.076,-1034
22,Good,3.155,-1028
23,Good,3.383,-1024
24,Good,3.136,-1018
25,Good,4.431,-1012
26,Good,3.861,-1008
27,Good,3.423,-1002
28,Good,3.256,-998
29,Good,3.253,-992
30,Good,3.145,-988
31,Good,3.067,-982
32,Good,3.133,-978
33,Good,3.226,-972
34,Good,3.236,-968
35,Good,4.212,-962
36,Good,3.868,-958
37,Good,3.410,-952
38,Good,3.177,-948
39,Good,2.994,-942
40,Good,3.023,-938
41,Good,2.986,-932
42,Good,3.003,-928
43,Good,3.082,-922
44,Good,3.079,-918
45,Good,3.733,-912
46,Good,4.047,-908
47,Good,3.436,-902
48,Good,3.168,-898
49,Good,3.364,-892
50,Good,3.114,-888
51,Good,3.079,-882
52,Good,3.088,-878
53,Good,3.245,-872
54,Good,3.148,-868
55,Good,3.928,-862
56,Good,3.855,-858
57,Good,3.430,-852
58,Good,3.209,-848
59,Good,3.234,-842
60,Good,3.112,-838
61,Good,3.047,-832
62,Good,3.379,-828
63,Good,3.217,-822
64,Good,3.107,-818
65,Good,4.288,-812
66,Good,9.046,-808
67,Good,3.321,-802
68,Good,8.200,-798
69,Good,3.020,-792
70,Good,6.123,-788
71,Good,2.977,-782
72,Good,4.101,-778
73,Good,3.050,-772
74,Good,3.125,-768
75,Good,3.858,-762
76,Good,4.021,-758
77,Good,3.539,-752
78,Good,3.236,-748
79,Good,3.235,-742
80,Good,3.115,-738
81,Good,3.062,-732
82,Good,3.391,-728
83,Good,3.476,-722
84,Good,3.490,-718
85,Good,4.075,-712
86,Good,4.044,-708
87,Good,3.390,-702
88,Good,3.172,-698
89,Good,3.233,-692
90,Good,3.234,-688
91,Good,3.302,-682
92,Good,3.131,-678
93,Good,4.002,-672
94,Good,3.293,-668
95,Good,3.782,-662
96,Good,3.774,-658
97,Good,3.420,-652
98,Good,2.965,-648
99,Good,3.007,-642
100,Good,3.002,-638
101,Good,3.046,-632
102,Good,7.465,-628
103,Good,3.336,-622
104,Good,3.315,-618
105,Good,4.155,-612
106,Good,4.162,-608
107,Good,3.711,-602
108,Good,3.313,-598
109,Good,3.271,-592
110,Good,3.301,-588
111,Good,4.719,-582
112,Good,3.702,-578
113,Good,3.673,-572
114,Good,3.479,-568
115,Good,4.285,-562
116,Good,4.047,-558
117,Good,3.663,-552
118,Good,3.456,-548
119,Good,3.299,-542
120,Good,3.543,-538
121,Good,3.392,-532
122,Good,3.757,-526
123,Good,3.147,-522
124,Good,3.108,-516
125,Good,3.738,-512
126,Good,3.801,-506
127,Good,3.304,-502
128,Good,2.953,-496
129,Good,3.011,-492
130,Good,3.046,-486
131,Good,3.058,-482
132,Good,2.983,-476
133,Good,3.513,-472
134,Good,3.301,-466
135,Good,4.051,-462
136,Good,4.094,-456
137,Good,3.626,-452
138,Good,3.387,-446
139,Good,3.370,-442
140,Good,3.387,-436
141,Good,3.532,-432
142,Good,3.656,-426
143,Good,3.821,-422
144,Good,3.452,-416
145,Good,3.933,-412
146,Good,4.090,-406
147,Good,3.531,-402
148,Good,3.301,-396
149,Good,3.259,-392
150,Good,3.277,-386
151,Good,2.966,-382
152,Good,3.680,-376
153,Good,3.998,-372
154,Good,3.248,-366
155,Good,4.056,-362
156,Good,3.763,-356
157,Good,3.419,-352
158,Good,3.075,-346
159,Good,2.998,-342
160,Good,2.979,-336
161,Good,3.421,-332
162,Good,3.372,-326
163,Good,3.609,-322
164,Good,3.243,-316
165,Good,9.704,-312
166,Good,3.852,-306
167,Good,9.379,-302
168,Good,3.309,-296
169,Good,7.792,-292
170,Good,3.059,-286
171,Good,5.630,-282
172,Good,3.068,-276
