counter,status,resp_time,value_first
0,Good,3.949,2659.250000
1,Good,3.231,2662.100000
2,Good,2.559,2664.000000
3,Good,2.700,2666.850000
4,Good,2.543,2668.750000
5,Good,2.526,2671.600000
6,Good,2.499,2673.500000
7,Good,2.609,2676.350000
8,Good,2.936,2678.250000
9,Good,3.878,2681.100000
10,Good,3.402,2683.000000
11,Good,3.157,2685.850000
12,Good,2.462,2687.750000
13,Good,2.547,2690.600000
14,Good,2.681,2692.500000
15,Good,2.707,2695.350000
16,Good,2.871,2697.250000
17,Good,2.869,2700.100000
18,Good,2.678,2702.000000
19,Good,2.668,2704.850000
20,Good,3.755,2706.750000
21,Good,3.219,2709.600000
22,Good,2.960,2711.500000
23,Good,2.846,2714.350000
24,Good,3.002,2716.250000
25,Good,2.641,2719.100000
26,Good,2.625,2721.000000
27,Good,2.858,2723.850000
28,Good,3.007,2725.750000
29,Good,3.732,2728.600000
30,Good,3.526,2730.500000
31,Good,3.060,2733.350000
32,Good,2.525,2735.250000
33,Good,2.523,2738.100000
34,Good,2.533,2740.000000
35,Good,2.555,2742.850000
36,Good,2.502,2744.750000
37,Good,2.874,2747.600000
38,Good,2.714,2749.500000
39,Good,2.659,2752.350000
40,Good,3.279,2754.250000
41,Good,2.982,2757.100000
42,Good,2.525,2759.000000
43,Good,2.735,2761.850000
44,Good,2.625,2763.750000
45,Good,2.659,2766.600000
46,Good,3.079,2768.500000
47,Good,2.721,2771.350000
48,Good,3.135,2773.250000
49,Good,2.629,2776.100000
50,Good,3.360,2778.000000
51,Good,3.020,2780.850000
52,Good,2.558,2782.750000
53,Good,2.877,2785.600000
54,Good,2.978,2787.500000
55,Good,2.879,2790.350000
56,Good,2.855,2792.250000
57,Good,2.678,2795.100000
58,Good,2.644,2797.000000
59,Good,9.234,2799.850000
60,Good,3.283,2801.750000
61,Good,9.623,2804.600000
62,Good,2.639,2807.450000
63,Good,6.023,2809.350000
64,Good,2.561,2812.200000
65,Good,4.168,2814.100000
66,Good,2.616,2816.950000
67,Good,2.666,2818.850000
68,Good,2.584,2821.700000
69,Good,3.455,2823.600000
70,Good,3.046,2826.450000
71,Good,2.838,2828.350000
72,Good,2.621,2831.200000
73,Good,2.745,2833.100000
74,Good,2.574,2835.950000
75,Good,2.747,2837.850000
76,Good,2.907,2840.700000
77,Good,3.401,2842.600000
78,Good,2.608,2845.450000
79,Good,3.368,2847.350000
