counter,status,resp_time,value_first
0,Good,208.167,4Rsjgpcd9KTe2PZBhvLZGatMmwYaQmcnqy8ZFE3NphCF8G2jA5UzmJwbzqHg4CPh7JpGL4uKfyRhqmg
1,Good,204.718,dhxzJYCvrxU9EL2vxzgUDnBzj4an62puytLcESoBn4gaXAPrhZAKvGgc2RKYGHTWFCncBZfAvHTJfaY
2,Good,195.344,rTpqhwZRKC8YqnuNbayJsDoAQfhVagHXDPx5LtuMANzcdFWUY3NwZhkCgZR2Dym5kVayCspmHdNKfJ7
3,Good,225.851,CSZXhEVgB9cS2hWrgGCjcXESb8B6WDnZFKengoMPQCdZgso5aSFbyCSRmWfFYpbTzE9bUZ4otUFeD8L
4,Good,194.319,gEUmk8XDZTKH7SXDnAzYyeECHaYAnKWTs3hHntFMy3fXzLbfhJPxfjbg6o8Tf7kRDUE3NotTQM5DhQG
5,Good,192.636,tu5aRFVuvsSBPxuAHq7VTAPp4bszKZybtQv9XWdUEVv8mQhVsd4b8CtfQgxWej3zS9BumLnR8NQCn3W
6,Good,193.781,aQ9K3gkvXZbt5EmAGQvRynXWoDkpsmZCkDPVy6fnqmg39VotHZ6wnmNd9YrzT2dguvZyL7AuyDQrq8c
7,Good,194.123,fq3jYANvXcPr3Xo6G2bVsKZ8Vq7XgQvHyUZQRaqbrh5KVJtomMRK8sZoLRYzMbhGgUbqzkBpQbzDLVw
8,Good,195.474,SgGjuyvexNRDSAksxnJMXB4bZTzeM8tUuPec3GaBwE9qCuYPGJh8b2RopJa9QSdPgtvEQ5frLj64vWh
9,Good,195.798,Rs9rATkVL8xvJwqaAvwM3YQKhp5enPT5QYfn7LBHhdTXvqKowYTsfanqyhVR5o3aBcHgPqXHmEWkH27
10,Good,193.538,YgEHcpseyfJd2YEtRGH9KDzS4xywzR2WdCGwq4tCmWMUTrcP3VDYZWBgRKu4qBp3nbW87kMXhqoe9MV
11,Good,204.575,twC5GNr7qyjJYrB9pN5vY7oM6carM8zk529dJNeQGLgwP9vqY76yXr4SPf9mkTrxwJ9KErRHycpYqM5
12,Good,194.255,72QmdbZuUngDVsc3jTUMaLmyo92KVF7x3B5caTzW5hwEFxk78YV5Dfpnwzcgk8fcsKTxAaRc73YfsyX
13,Good,194.111,Esk5UwhRcFp6AHPyBJRxVq4Yy7K5jWy2VUXQAN9P5zp9P2qHAuEUNsXyLFWnqGRwjpt9ywJC4dAJ7RC
14,Good,193.667,MHSgap4CcrxJDkd6a9bSkmHXPwLSu3zTsBc7TdX4Vshn4MJRSYfkKJL2stZCRNd3bcq85rQYyfKRFHA
15,Good,193.367,6C5aeSs2oHXjTWkBF35caT8gYp2GVzAJH4Mq2BFofxB9Xpocf6JYWds74DC9fwHaLbXUN2x5e6hDsBY
16,Good,194.158,nEfowGUu2TFm7tNSkBDLTts2SUkd6yQPvBEdpW6wagyxujgRbh3N4EQCaAJxvCqdbjMFVrQy7RTbfGA
17,Good,192.181,NPcnBS78zYPQNsXyV8L2oqCuc46MC9FbDAWHvDzS3NZcUsa9k4Vx7KWgcE56MRGQUx8zZWwyNSHKd4k
18,Good,191.800,rEVpsXnDueoCQ2f6BcrXufcyWr8XtZcKCnX6sQ5KGa2HFSh4sqTxM3AwVvGSzXW3FvoGkZC8PsZcnDq
19,Good,194.886,KBYPz7QsHfYbZtxpYzFMhsNUVgASaRKVdN5kv3fTe4wNVCUG4wgS8yL4dZPqQNG5egN3m7hCyaGAdqK
20,Good,194.098,9TDPgjc98ox2fGFkmzgY3JL4kwQ2J49pQTewyZ8ojVscq3kAusCx8FJ3U7wNGxtyMRxkwahuTwca45p
21,Good,202.481,6syEBchSJs5wLhJMmpwdS34Dc2fhJU8mtpXEkrLCbnpJvWESAaLhDyvkHjrvkYcN6fPkMvGyawtHdaQ
22,Good,193.042,xnJRQXwBqzEa36FVgRaoTUmNEhJf7oA63VBZsJ7by8kKVbZYWjteSgDLyndaBzJhf6ExHcLdVADtFsG
23,Good,192.271,3A2XvEnSbUWFV8NkpgZxGNg8P9xjGBntEC8YhMog2d5GTaXcDbYguwUYfExrUSsmAT9yCbjvQPsnaHp
24,Good,191.345,Cq8Qzc5Syv7t2yvjxKGkepUYu96np75vgsC5YwzURbj5hcfsBq8o5Ecj6br5WMGAx7ZJvzLBTwUCFYy
25,Good,226.101,4Rh7JzZQ4UvAPqM8cpDwPEY8k5C6UL7u2Je6ZwgSJXM4P9Lf5CuSaRpMKjWPwd6sXBJFKRhqGvoz3dt
26,Good,281.619,DtbcyqWJByXqzFRPt8N4ZwPk78BxATGoHKCWrxYQFUDRXvfw9NVXKToM2dgJsrtgqC56h8wFsNhMdBA
27,Good,191.906,zrjNDoUK4CG5ZzEsDT8YrUCwhzRrcTnmkXzDxReoqmzf5EBW9GTNvfpXnqjZdUC9B4webuBrMG5LpUe
28,Good,188.498,puXJvWyBCzH2kvgmoPqbJegBpfwV7sXPjbDuZUNHuKwM2j75KzYGnHfPzocQjDUb4RJrwMUBgq8rUJE
29,Good,195.276,qe5nst8BfSpAe2xSstFL5W3hAMWy8EgjqbXQHxaRoenJhoCbfkjgtK7xU6kzBaTNkRJr68G5mfDXosU
30,Good,188.074,ya5kqLzXBam2oGzeJvwfTAXUWxkMg6U7BfFb4Q6PqjN8pHVqsudNtxDXQULcdS4nkuDPfzSmaJhpNb5
31,Good,204.056,9QmcW5p6ELeQUzjbxEaMCT8eHSQYfp6vHgnKzGXPCFGBDkFq8XcA76oNmZfhecLTrZmqR79NzdDrJsh
32,Good,186.962,ALZWUbDCdRawsNetrmdUX5bDzZhmEaeyzm29XqMrRwnShfcm9M8QnTdBeaYz67nW43sNBRmFHyuR4E9
33,Good,194.229,EUhRdfqeSY7ysmr63jobr2NL5qEe4ws76k5e7vMw9T8VMLvgwGRc4NFWVxbk9YP2wAa6prgPzsdSgvf
34,Good,187.244,8baS3HNfrcKYmfbVKYQgcbfXxNtCUGFb9oJLVaM5dLgBuxFwVQSed95DcXVE7m3TQAB8Cm9Q8VDYoQ9
35,Good,194.188,3DabsdNGWKvsT3eMsmEuK2aeQLj4abHVSw4HmLe3wxMYE9wzBQH4jB7cSoM5snXBEmFaht79CPT2Fkr
36,Good,193.628,yVpMYfDWKMeYb7ArZBQUDxoSQ4e8K5YZh7fpEdSr3DwBPe2XYmc72ugA5JngY54RG8AdCUg7mLt2QAY
37,Good,193.090,WMtTBuoSRzQMbGAaPfJkVqBr7hEbQymABTDHmNehJDKR39afzCHBKDVZCrsLYAXzo9YxKXgyjf7ZEjn
38,Good,194.198,gtGYW4RCae9vsMGQqx35NyTjxVqH3WCTMYK4R7wLZNgchSKCU5wKvkbDWTmnsV42cn9oRBGxVuk2HhL
39,Good,194.217,okBeJpckHqV2pDfrxGSk39NvYcubFnzNYJrAkpbz72cNhyzF3AP5YVpWPGq4BedzHbfVeFJpboAJuhy
40,Good,193.028,Wbjyt8Xn39uFLNRBHyEbk8G4ugad6B4yApbr3vBXjnd5MP37vxe3cbszNyMXDtLW9hxUQ7SaMYcm8hT
41,Good,202.990,R4XQ5Mak9V6ZUQrKWmbd27ABbPruFdZREAMdP582Yud8rtTe3pb4Y8M3KWRjy658nUtH2WfeAgPDudY
42,Good,193.646,eTHRorhqxdzKWgTF4dQbXKvPuwdHFym287S4hNGfE6YCMuZp7rqQaVg3f2Mak839LZQYgpWtXbvsC9W
43,Good,191.876,wyasJCQPyDw5c3mw2kjCoB39swLPvbo2jh4gLCoyfn3tpYLPtHGu7aAW2BbDkHmTC4UZgYxeQG9vCgB
44,Good,194.210,qWdG7zJUZuCPhyWaHdD3jnwMTAzjGVH7RqTyXgRkYvopCHcBnGwzh4oySuFTZ4SmgpGSek8PBhn7sFy
45,Good,195.354,JSfMc6DjVzvSkuLdVE8PGnmToYVUA6mftNsQg38uXqjbcQRvAKryDYj5JSpPBzNgWC6bGNzZDKXGhTy
46,Good,210.546,thG6rcwBbJH4g2CfBWR9VeypjEMG5d6KCgm6KhPF3Q7kNnfUo7tbjuZ3wN7dVPBZkrAURjzwB3bPEVa
47,Good,194.597,X3h5vLKsjZpxnUfEanxyjL83M4RdoQuqrgRDmaPtueAaVDqJPCUZkwxrCjR3PEUo9FDbcAXDLgfHMGP
48,Good,194.473,hrFeRqmdBcaZFsbVXn3YWvGqsUCMJ6EuQwbW5u6gcVF2QLksTQymL58xd7RbZ2fWpz698b27z4BvjbJ
49,Good,193.877,4emJzNjvWqaTMyBfYzj5xqNL2dsceSfxh4KXB9nwrsHzufC928q5UmBYrRny8x4SN8dpRL3yCAfcFBt
50,Good,311.851,b3Zw4CHmX4RkdvH9sBNvSPjx4WGuBcEmJqBpj52D8q4ku9H7aWYxMTm3g6WeaM8VFTHWsUgpMJW8xpo
51,Good,202.188,QVCGLYzRugZfEmrXn27ZjzvfU3Rorh2VYQKBaxfYQEUcsmGfPMqeQjznCyotMbNkZJ3PTvbG2JofKcB
52,Good,191.911,YVTXKQGsyfTwoyetzB9vSDapCnZtgANY84LQTJcVuvo36Mma3xJCGDQ6eMCFZvwQ2kgszS7fRvG2B8z
53,Good,192.977,5ysVk2RZWAeDxRXQwHVWQTj3wYpuTQKeRSZAkhNTtMVWQHGqW9VgH7Nfj3qPLwnvAG8XHuwCAzGfMgn
54,Good,193.023,rSNC7wULodRVbTH98zP3NskV5y6HgPcqJfmQDy7pQdLMP92dnmxDda2B7XCGQwpe5r2bVvZ6hcFKrk7
55,Good,195.258,xMVQXYPS89FRVznyKSoHED597fRqPEyzfoEq6WUjVmbRgGBZdH8pGqSUYa37kt5QayLhJN5ThtemcsZ
56,Good,194.150,jFRxUZQheRP7wzLCQMoFrt7Tfz4brF9fXjVCbWmwRH9kbR5TXbLFjztrmwzKP8Rbmy94tRCF6pLfPaw
57,Good,193.389,uoDC9FxP6tLEPUnWLPJtTYzULP7zv6VCybn7GWhLAY7qdxabotumYebPMrwz2YJwzCY3AZE2n8s4bKy
58,Good,193.829,2rpNSAjXoYZkXcYMT6JW5V2DLBKUxPM5sH7BqJg3QUCvH3LPjWoGevTVNy8YCKNqpUbLmvRFkTE6zRF
59,Good,194.160,d2jxtH5DFYy278UnGZmPfYRoQqN9tCoJWbUgaVM78usrdVBMQKjcarxEVKMxk3SvK4TbgredXAbYwL3
60,Good,193.648,x4AvrS7BG2ps6FTrnyub5Z9GHoFRaQf6RCcTGdwg3TqwMysKwSfBV9kwjJS5yaZMAyQPUrN8hCFT6xX
61,Good,195.042,pRLMDVkrEWdG5fXzMpxZF5UybWtBTn4DHbkjCgXuLvYnP5WmpqDu7Ws92quskCvEwQJGZp4H5LMrbXY
62,Good,193.655,Xob2GzYj3BMVJaUGyfXpHh6N32rMRTQFtugLBkmnZtN58B7oCHEVxePEfo8qXms6QZR4JEPtXUBPz4C
63,Good,195.409,3T7NzjGkCcwqGRFVhWHmrV2TC7hoE9fR5yjaYtJWvGMApc9JkspL7F4xng67dRJuLaQvH7YcUhuGBSE
64,Good,194.553,ft2n5QkKdFhgL9M2adKkTXgqBeyZwvz8mN2VAuxSGXWhLbQKDCjRUgWhpoqXwjvVf2pqcgAaTcXKnrx
65,Good,193.826,2rneDqCPbu5Ewz8VyU7RhWu6bcPXHW2poUfx4hgDcZpsgNj9MYRtEbSU3jkKaoGE4PabUKRv4wJrCXN
66,Good,195.488,ufdygEWnG4vwWMJDboqpWF4LrxPHCkAuY2FCK6LsWNp7PFnoux2H3omTGsyNk3TvB7UDAjcuotqfjJd
67,Good,194.241,nFpx7D2jQxJduvSWj3BH6FknMdqPF4DKtLw57UFjQBXHodGgf2WdBmUjK4FUpCGjo5rBVyjQD9cLHhX
68,Good,214.169,9a2tkGZ5wHMQDgPwZBNDzndHAF3MeBn54rABzm7axXPhEaG39S6kNQbGTBkmKJofPvhZQmBF4bAnuXJ
69,Good,282.257,2eSfvcoV7MTD8E7hPXu9cSDxkKFaEXq57Q6ZehCH5m2YhMKrvyDF5Vjbd5mXMRjeYFrHfDpas2gqLYB
70,Good,194.683,Q5X6brtBJ2HoUxLRKpSnBqomkW2Vu5dGQbDqrEWRbgjeJREvNLPsUoFzYpX7ogEWHjckRtNGBFyrxEp
71,Good,194.123,QuvqDXom6aTvg5NWkZPzCjtREwrCFjLgnhBr4RQPb3gte7X4feFJGYrL698jyWQvH94ebTKAYCvHxfk
72,Good,193.368,DFfKMDdPqxGh7YgX32cZWKrdo54vmVcdhYsAfU3SKjR34GMnFws3vuYSCdN5y9Jz6FdL9H4XB9WoZsx
73,Good,192.261,jsZNmth27VBd4zx9YD2ZJPYD36GeSwCZgKhzuSCVKTjW8mVn9uSGYVUWqnwaDNcSoahTWxDFde8fad6
