counter,status,resp_time,value_first
0,Good,40.625,14
1,Good,4.579,16
2,Good,9.491,19
3,Good,4.984,21
4,Good,4.446,24
5,Good,7.118,26
6,Good,4.274,29
7,Good,4.061,31
8,Good,4.470,34
9,Good,4.887,36
10,Good,4.885,39
11,Good,5.038,41
12,Good,5.286,44
13,Good,5.176,46
14,Good,4.162,49
15,Good,4.914,51
16,Good,4.242,54
17,Good,4.106,56
18,Good,5.241,59
19,Good,4.852,61
20,Good,9.365,64
21,Good,4.833,66
22,Good,9.062,69
23,Good,4.523,71
24,Good,4.175,74
25,Good,15.650,77
26,Good,4.105,79
27,Good,10.141,81
28,Good,9.662,84
29,Good,10.706,87
30,Good,12.872,89
31,Good,14.661,92
32,Good,4.198,94
33,Good,15.254,97
34,Good,4.334,99
35,Good,6.544,102
36,Good,5.303,104
37,Good,6.179,107
38,Good,4.709,109
39,Good,5.277,112
40,Good,11.151,114
41,Good,4.298,117
42,Good,4.473,119
43,Good,5.513,122
44,Good,4.298,124
45,Good,10.893,127
46,Good,5.934,129
47,Good,4.967,132
48,Good,10.597,134
49,Good,4.859,137
50,Good,6.289,139
51,Good,5.124,142
52,Good,4.271,144
53,Good,4.679,147
54,Good,5.144,149
55,Good,10.337,152
56,Good,5.632,154
57,Good,4.835,157
58,Good,9.659,159
59,Good,4.165,162
60,Good,4.455,164
61,Good,4.634,167
62,Good,4.229,169
63,Good,4.868,172
64,Good,4.890,174
65,Good,4.930,177
66,Good,10.447,179
67,Good,4.581,182
68,Good,4.308,184
69,Good,4.583,187
70,Good,4.209,189
71,Good,4.178,192
72,Good,4.915,194
73,Good,5.084,197
74,Good,4.725,199
75,Good,4.969,202
76,Good,10.789,204
77,Good,4.108,207
78,Good,10.083,209
79,Good,4.257,212
80,Good,4.120,214
81,Good,9.535,217
82,Good,4.868,219
83,Good,5.320,222
84,Good,4.859,224
85,Good,4.452,227
86,Good,4.172,229
87,Good,4.268,232
88,Good,4.230,234
89,Good,4.247,237
90,Good,4.892,239
91,Good,9.444,242
92,Good,5.013,244
93,Good,4.841,247
94,Good,4.734,249
95,Good,4.163,252
96,Good,10.332,254
97,Good,4.247,257
98,Good,4.324,259
99,Good,5.036,262
100,Good,5.720,264
101,Good,5.072,267
102,Good,4.943,269
103,Good,4.559,272
104,Good,4.317,274
105,Good,4.211,277
106,Good,7.720,279
107,Good,3.934,282
108,Good,4.926,284
109,Good,5.738,287
110,Good,4.742,289
111,Good,9.773,292
112,Good,4.578,294
113,Good,10.171,297
114,Good,6.320,299
115,Good,4.486,302
116,Good,4.501,304
117,Good,5.012,307
118,Good,20.147,310
119,Good,8.350,312
120,Good,17.579,315
121,Good,7.361,317
122,Good,14.714,320
123,Good,4.154,322
124,Good,13.635,325
125,Good,4.235,327
126,Good,5.476,330
127,Good,10.100,332
128,Good,5.419,335
129,Good,5.233,337
130,Good,4.818,340
131,Good,4.310,342
132,Good,4.193,345
133,Good,4.564,347
134,Good,8.727,350
135,Good,4.750,352
136,Good,5.011,355
137,Good,5.108,357
138,Good,4.846,360
139,Good,9.258,362
140,Good,4.255,365
141,Good,4.146,367
142,Good,5.069,370
143,Good,4.477,372
144,Good,4.690,375
145,Good,5.798,377
146,Good,5.040,380
147,Good,4.844,382
148,Good,4.745,385
149,Good,4.269,387
150,Good,4.445,390
151,Good,4.227,392
152,Good,10.617,395
153,Good,4.965,397
154,Good,9.126,400
155,Good,4.959,402
156,Good,4.877,405
157,Good,10.918,407
