counter,status,resp_time,value_first
0,Good,16.282,-1640
1,Good,11.742,-1636
2,Good,6.442,-1630
3,Good,13.111,-1624
4,Good,6.226,-1620
5,Good,12.220,-1614
6,Good,5.719,-1610
7,Good,9.557,-1604
8,Good,5.258,-1600
9,Good,6.473,-1594
10,Good,5.738,-1590
11,Good,6.309,-1584
12,Good,5.809,-1580
13,Good,6.139,-1574
14,Good,5.635,-1570
15,Good,5.627,-1564
16,Good,5.470,-1560
17,Good,5.717,-1554
18,Good,5.531,-1550
19,Good,6.103,-1544
20,Good,6.225,-1540
21,Good,6.172,-1534
22,Good,6.299,-1530
23,Good,5.594,-1524
24,Good,5.413,-1520
25,Good,5.654,-1514
26,Good,5.300,-1510
27,Good,6.525,-1504
28,Good,6.231,-1500
29,Good,6.342,-1494
30,Good,6.575,-1490
31,Good,5.882,-1484
32,Good,5.551,-1480
33,Good,5.668,-1474
34,Good,6.078,-1470
35,Good,5.649,-1464
36,Good,6.317,-1460
37,Good,6.425,-1454
38,Good,6.548,-1450
39,Good,6.570,-1444
40,Good,6.650,-1440
41,Good,5.749,-1434
42,Good,5.527,-1430
43,Good,5.523,-1424
44,Good,5.445,-1420
45,Good,6.353,-1414
46,Good,6.456,-1410
47,Good,6.570,-1404
48,Good,6.494,-1400
49,Good,6.113,-1394
50,Good,5.728,-1390
51,Good,5.386,-1384
52,Good,5.082,-1380
53,Good,5.155,-1374
54,Good,6.269,-1370
55,Good,6.351,-1364
56,Good,6.440,-1360
57,Good,6.604,-1354
58,Good,6.314,-1350
59,Good,5.876,-1344
60,Good,5.295,-1340
61,Good,5.518,-1334
62,Good,5.631,-1330
63,Good,6.489,-1324
64,Good,6.430,-1320
65,Good,6.265,-1314
66,Good,6.565,-1310
67,Good,6.592,-1304
68,Good,6.281,-1300
69,Good,5.536,-1294
70,Good,5.473,-1290
71,Good,5.782,-1284
72,Good,6.638,-1280
73,Good,10.349,-1274
74,Good,11.236,-1270
75,Good,6.322,-1264
76,Good,6.236,-1260
77,Good,5.762,-1254
78,Good,5.708,-1250
79,Good,5.844,-1244
80,Good,5.708,-1240
81,Good,6.445,-1234
82,Good,6.476,-1230
83,Good,6.711,-1224
84,Good,6.589,-1220
85,Good,6.354,-1214
86,Good,6.043,-1210
87,Good,6.042,-1204
88,Good,5.648,-1200
89,Good,5.799,-1194
90,Good,11.787,-1190
91,Good,6.454,-1184
92,Good,12.516,-1178
93,Good,6.884,-1174
94,Good,16.384,-1168
95,Good,5.493,-1164
96,Good,10.035,-1158
97,Good,5.641,-1154
98,Good,8.548,-1148
99,Good,6.086,-1144
100,Good,6.434,-1138
101,Good,6.216,-1134
102,Good,6.172,-1128
103,Good,6.268,-1124
104,Good,5.753,-1118
105,Good,5.357,-1114
106,Good,5.760,-1108
107,Good,5.392,-1104
108,Good,6.453,-1098
109,Good,6.342,-1094
110,Good,6.084,-1088
111,Good,6.053,-1084
112,Good,6.086,-1078
113,Good,8.554,-1074
114,Good,5.794,-1068
115,Good,5.648,-1064
116,Good,5.012,-1058
117,Good,4.915,-1054
118,Good,6.446,-1048
119,Good,6.436,-1044
120,Good,6.540,-1038
121,Good,5.951,-1034
122,Good,5.942,-1028
123,Good,5.696,-1024
124,Good,6.086,-1018
125,Good,5.650,-1014
126,Good,6.590,-1008
127,Good,6.455,-1004
128,Good,6.328,-998
129,Good,6.301,-994
130,Good,6.605,-988
131,Good,6.044,-984
132,Good,5.738,-978
