counter,status,resp_time,value_first
0,Good,18.444,2420.800000
1,Good,4.897,2422.700000
2,Good,4.436,2425.550000
3,Good,4.202,2427.450000
4,Good,4.335,2430.300000
5,Good,4.136,2432.200000
6,Good,4.171,2435.050000
7,Good,4.957,2436.950000
8,Good,7.776,2439.800000
9,Good,4.883,2441.700000
10,Good,5.067,2444.550000
11,Good,9.271,2446.450000
12,Good,4.244,2449.300000
13,Good,6.987,2451.200000
14,Good,4.104,2454.050000
15,Good,4.196,2455.950000
16,Good,10.102,2458.800000
17,Good,4.881,2460.700000
18,Good,4.688,2463.550000
19,Good,6.242,2465.450000
20,Good,4.422,2468.300000
21,Good,4.220,2470.200000
22,Good,4.172,2473.050000
23,Good,4.223,2474.950000
24,Good,4.168,2477.800000
25,Good,4.335,2479.700000
26,Good,4.977,2482.550000
27,Good,4.932,2484.450000
28,Good,9.740,2487.300000
29,Good,4.576,2489.200000
30,Good,7.124,2492.050000
31,Good,12.686,2493.950000
32,Good,4.159,2496.800000
33,Good,4.474,2498.700000
34,Good,4.957,2501.550000
35,Good,10.555,2503.450000
36,Good,10.720,2506.300000
37,Good,14.221,2509.150000
38,Good,6.086,2511.050000
39,Good,13.288,2513.900000
40,Good,4.224,2515.800000
41,Good,14.550,2518.650000
42,Good,4.230,2520.550000
43,Good,4.859,2523.400000
44,Good,9.530,2525.300000
45,Good,5.554,2528.150000
46,Good,4.843,2530.050000
47,Good,4.763,2532.900000
48,Good,4.303,2534.800000
49,Good,4.296,2537.650000
50,Good,4.491,2539.550000
51,Good,9.368,2542.400000
52,Good,4.939,2544.300000
53,Good,5.625,2547.150000
54,Good,10.202,2549.050000
55,Good,4.940,2551.900000
56,Good,11.137,2553.800000
57,Good,4.244,2556.650000
58,Good,4.293,2558.550000
59,Good,10.350,2561.400000
60,Good,4.469,2563.300000
61,Good,4.695,2566.150000
62,Good,5.836,2568.050000
63,Good,5.004,2570.900000
64,Good,5.259,2572.800000
65,Good,4.480,2575.650000
66,Good,10.335,2577.550000
67,Good,4.179,2580.400000
68,Good,4.513,2582.300000
69,Good,9.876,2585.150000
70,Good,4.948,2587.050000
71,Good,10.128,2589.900000
72,Good,5.043,2591.800000
73,Good,4.904,2594.650000
74,Good,10.743,2596.550000
75,Good,4.237,2599.400000
76,Good,4.170,2601.300000
77,Good,4.246,2604.150000
78,Good,4.233,2606.050000
79,Good,4.995,2608.900000
80,Good,5.098,2610.800000
81,Good,7.016,2613.650000
82,Good,4.671,2615.550000
83,Good,4.846,2618.400000
84,Good,10.349,2620.300000
85,Good,4.187,2623.150000
86,Good,4.220,2625.050000
87,Good,10.511,2627.900000
88,Good,4.911,2629.800000
89,Good,10.223,2632.650000
90,Good,5.130,2634.550000
91,Good,5.715,2637.400000
92,Good,4.396,2639.300000
93,Good,4.274,2642.150000
94,Good,4.080,2644.050000
95,Good,4.197,2646.900000
96,Good,4.274,2648.800000
97,Good,5.001,2651.650000
98,Good,4.965,2653.550000
99,Good,10.050,2656.400000
100,Good,4.845,2658.300000
101,Good,5.170,2661.150000
102,Good,9.411,2663.050000
103,Good,3.942,2665.900000
104,Good,7.783,2667.800000
105,Good,4.156,2670.650000
106,Good,5.457,2672.550000
107,Good,8.326,2675.400000
108,Good,4.996,2677.300000
109,Good,4.630,2680.150000
110,Good,4.731,2682.050000
111,Good,4.894,2684.900000
112,Good,4.146,2686.800000
113,Good,4.281,2689.650000
114,Good,4.184,2691.550000
115,Good,4.746,2694.400000
116,Good,5.122,2696.300000
117,Good,10.229,2699.150000
118,Good,20.468,2702.000000
119,Good,4.468,2703.900000
120,Good,6.965,2705.800000
121,Good,11.417,2708.650000
122,Good,4.901,2710.550000
123,Good,4.337,2713.400000
124,Good,12.430,2715.300000
125,Good,5.778,2718.150000
126,Good,28.456,2721.000000
127,Good,8.743,2722.900000
128,Good,10.856,2725.750000
129,Good,4.744,2727.650000
130,Good,13.559,2730.500000
131,Good,4.697,2732.400000
132,Good,12.522,2735.250000
133,Good,5.680,2737.150000
134,Good,4.939,2740.000000
135,Good,5.112,2741.900000
136,Good,5.662,2744.750000
137,Good,4.595,2746.650000
138,Good,4.489,2749.500000
139,Good,4.663,2751.400000
140,Good,4.230,2754.250000
141,Good,4.451,2756.150000
142,Good,8.695,2759.000000
143,Good,5.005,2760.900000
144,Good,5.219,2763.750000
145,Good,10.671,2765.650000
