counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,55538107196,55538109196,2,13
1,Good,55538359837,55538361837,2,14
2,Good,55538613145,55538615812,3,15
3,Good,55538867120,55538869786,3,16
4,Good,55539121094,55539123761,3,17
5,Good,55539375069,55539376402,1,18
6,Good,55539627710,55539629710,2,19
7,Good,55539881018,55539883018,2,20
8,Good,55540134326,55540136993,3,21
9,Good,55540388301,55540390967,3,22
10,Good,55540642276,55540643609,1,23
11,Good,55540894917,55540896917,2,24
12,Good,55541148225,55541150225,2,25
13,Good,55541400866,55541402866,2,26
14,Good,55541654174,55541656174,2,27
15,Good,55541906816,55541908816,2,28
16,Good,55542160124,55542162124,2,29
17,Good,55542412765,55542414765,2,30
18,Good,55542666073,55542668073,2,31
19,Good,55542918715,55542921381,3,32
20,Good,55543172689,55543175356,3,33
21,Good,55543427330,55543429330,2,34
22,Good,55543679972,55543681972,2,35
23,Good,55543933280,55543935280,2,36
24,Good,55544185921,55544188588,3,37
25,Good,55544439896,55544442562,3,38
26,Good,55544693870,55544695204,1,39
27,Good,55544945845,55544947178,1,40
28,Good,55545197820,55545199820,2,41
29,Good,55545451128,55545453794,3,42
30,Good,55545705103,55545707769,3,43
31,Good,55545959077,55545960410,1,44
32,Good,55546211719,55546213718,2,45
33,Good,55546465027,55546466360,1,46
34,Good,55546717668,55546719668,2,47
35,Good,55546970976,55546972976,2,48
36,Good,55547224284,55547226950,3,49
37,Good,55547478259,55547479592,1,50
38,Good,55547730900,55547732900,2,51
39,Good,55547984208,55547986208,2,52
40,Good,55548236849,55548238849,2,53
41,Good,55548490157,55548492157,2,54
42,Good,55548742799,55548744799,2,55
43,Good,55548996107,55548998107,2,56
44,Good,55549248748,55549251415,3,57
45,Good,55549502723,55549505389,3,58
46,Good,55549756697,55549759364,3,59
47,Good,55550010672,55550012005,1,60
48,Good,55550263313,55550265313,2,61
49,Good,55550515955,55550518621,3,62
50,Good,55550769929,55550772596,3,63
51,Good,55551023904,55551026570,3,64
52,Good,55551277879,55551280545,3,65
53,Good,55551531853,55551533186,1,66
54,Good,55551783828,55551785161,1,67
55,Good,55552035803,55552037803,2,68
56,Good,55552289111,55552291777,3,69
57,Good,55552543085,55552545752,3,70
58,Good,55552797060,55552798393,1,71
59,Good,55553049701,55553051701,2,72
60,Good,55553303009,55553305009,2,73
61,Good,55553556317,55553558984,3,74
62,Good,55553810292,55553812958,3,75
63,Good,55554064267,55554065600,1,76
64,Good,55554316908,55554318908,2,77
65,Good,55554570216,55554571549,1,78
66,Good,55554822857,55554824857,2,79
67,Good,55555076165,55555078165,2,80
68,Good,55555328807,55555330807,2,81
69,Good,55555582115,55555584115,2,82
70,Good,55555834756,55555836756,2,83
71,Good,55556088064,55556090064,2,84
72,Good,55556340706,55556343372,3,85
73,Good,55556594680,55556597347,3,86
74,Good,55556849321,55556851321,2,87
75,Good,55557101963,55557103963,2,88
76,Good,55557355271,55557357271,2,89
77,Good,55557607912,55557610579,3,90
78,Good,55557861887,55557864553,3,91
79,Good,55558115861,55558117195,1,92
80,Good,55558367836,55558369169,1,93
81,Good,55558619811,55558621144,1,94
82,Good,55558871786,55558873786,2,95
83,Good,55559125094,55559127760,3,96
84,Good,55559379068,55559381735,3,97
85,Good,55559633043,55559634376,1,98
86,Good,55559885684,55559887684,2,99
87,Good,55560138992,55560140992,2,100
88,Good,55560392300,55560394967,3,101
89,Good,55560646275,55560648941,3,102
90,Good,55560900250,55560902249,2,103
91,Good,55561152891,55561154891,2,104
92,Good,55561406199,55561408199,2,105
93,Good,55561658840,55561660840,2,106
94,Good,55561912148,55561914148,2,107
95,Good,55562164790,55562166790,2,108
96,Good,55562418098,55562420098,2,109
97,Good,55562670739,55562673406,3,110
98,Good,55562924714,55562927380,3,111
99,Good,55563178688,55563181355,3,112
100,Good,55563433330,55563435329,2,113
101,Good,55563685971,55563687971,2,114
102,Good,55563939279,55563941279,2,115
103,Good,55564191920,55564194587,3,116
104,Good,55564445895,55564448561,3,117
105,Good,55564699870,55564702536,3,118
106,Good,55564953844,55564955177,1,119
107,Good,55565205819,55565207152,1,120
108,Good,55565457794,55565459794,2,121
109,Good,55565711102,55565713768,3,122
110,Good,55565965076,55565967743,3,123
111,Good,55566219051,55566220384,1,124
112,Good,55566471692,55566473692,2,125
113,Good,55566725000,55566726334,1,126
114,Good,55566978308,55566980975,3,127
115,Good,55567232283,55567234949,3,128
116,Good,55567486258,55567487591,1,129
117,Good,55567738899,55567740899,2,130
118,Good,55567992207,55567993540,1,131
119,Good,55568244848,55568246848,2,132
120,Good,55568498156,55568500156,2,133
121,Good,55568750798,55568752798,2,134
122,Good,55569004106,55569006106,2,135
123,Good,55569256747,55569258747,2,136
124,Good,55569510055,55569512055,2,137
125,Good,55569762697,55569765363,3,138
126,Good,55570016671,55570019338,3,139
127,Good,55570271312,55570273312,2,140
128,Good,55570523954,55570525954,2,141
129,Good,55570777262,55570779262,2,142
130,Good,55571029903,55571032570,3,143
131,Good,55571283878,55571286544,3,144
132,Good,55571537852,55571539186,1,145
133,Good,55571789827,55571791160,1,146
134,Good,55572041802,55572043135,1,147
135,Good,55572293777,55572295777,2,148
136,Good,55572547085,55572549751,3,149
137,Good,55572801059,55572803726,3,150
138,Good,55573055034,55573056367,1,151
139,Good,55573307675,55573309675,2,152
140,Good,55573560983,55573562983,2,153
141,Good,55573814291,55573816958,3,154
142,Good,55574068266,55574070932,3,155
143,Good,55574322241,55574323574,1,156
