counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,56043829952,56043831952,2,26515
1,Good,56044083260,56044085260,2,26516
2,Good,56044335901,56044337901,2,26517
3,Good,56044589209,56044591209,2,26518
4,Good,56044841851,56044843850,2,26519
5,Good,56045095159,56045097158,2,26520
6,Good,56045347800,56045350466,3,26521
7,Good,56045601775,56045604441,3,26522
8,Good,56045855749,56045857082,1,26523
9,Good,56046107724,56046109057,1,26524
10,Good,56046359699,56046361699,2,26525
11,Good,56046613007,56046615673,3,26526
12,Good,56046866981,56046869648,3,26527
13,Good,56047120956,56047123622,3,26528
14,Good,56047374931,56047376264,1,26529
15,Good,56047626905,56047628239,1,26530
16,Good,56047878880,56047880213,1,26531
17,Good,56048130855,56048132855,2,26532
18,Good,56048384163,56048386829,3,26533
19,Good,56048638138,56048639471,1,26534
20,Good,56048890779,56048892779,2,26535
21,Good,56049144087,56049146087,2,26536
22,Good,56049396728,56049398728,2,26537
23,Good,56049650036,56049652036,2,26538
24,Good,56049902678,56049904678,2,26539
25,Good,56050155986,56050157986,2,26540
26,Good,56050409294,56050410627,1,26541
27,Good,56050661935,56050663935,2,26542
28,Good,56050915243,56050917243,2,26543
29,Good,56051167885,56051169884,2,26544
30,Good,56051421193,56051423192,2,26545
31,Good,56051673834,56051675834,2,26546
32,Good,56051927142,56051929142,2,26547
33,Good,56052179783,56052182450,3,26548
34,Good,56052433758,56052436424,3,26549
35,Good,56052687733,56052689066,1,26550
36,Good,56052939707,56052941041,1,26551
37,Good,56053191682,56053193015,1,26552
38,Good,56053444324,56053446323,2,26553
39,Good,56053696965,56053699631,3,26554
40,Good,56053950940,56053952273,1,26555
41,Good,56054202914,56054204248,1,26556
42,Good,56054454889,56054456222,1,26557
43,Good,56054706864,56054708864,2,26558
44,Good,56054960172,56054962838,3,26559
45,Good,56055214147,56055216813,3,26560
46,Good,56055468121,56055469454,1,26561
47,Good,56055720763,56055722762,2,26562
48,Good,56055974071,56055976070,2,26563
49,Good,56056226712,56056228712,2,26564
50,Good,56056480020,56056482020,2,26565
51,Good,56056733328,56056734661,1,26566
52,Good,56056985969,56056987969,2,26567
53,Good,56057239277,56057240611,1,26568
54,Good,56057491919,56057493919,2,26569
55,Good,56057745227,56057747227,2,26570
56,Good,56057997868,56057999868,2,26571
57,Good,56058251176,56058253176,2,26572
58,Good,56058503818,56058505817,2,26573
59,Good,56058757126,56058759125,2,26574
60,Good,56059009767,56059012433,3,26575
61,Good,56059263742,56059266408,3,26576
62,Good,56059517716,56059519049,1,26577
63,Good,56059769691,56059771024,1,26578
64,Good,56060022332,56060024332,2,26579
65,Good,56060274974,56060277640,3,26580
66,Good,56060528948,56060531615,3,26581
67,Good,56060782923,56060784256,1,26582
68,Good,56061034898,56061036231,1,26583
69,Good,56061286873,56061288206,1,26584
70,Good,56061538847,56061540847,2,26585
71,Good,56061792155,56061794822,3,26586
72,Good,56062046130,56062047463,1,26587
73,Good,56062298771,56062300771,2,26588
74,Good,56062552079,56062553413,1,26589
75,Good,56062804721,56062806721,2,26590
76,Good,56063058029,56063060029,2,26591
77,Good,56063310670,56063312670,2,26592
78,Good,56063563978,56063565978,2,26593
79,Good,56063817286,56063818619,1,26594
80,Good,56064069928,56064071927,2,26595
81,Good,56064323236,56064325235,2,26596
82,Good,56064575877,56064577877,2,26597
83,Good,56064829185,56064831185,2,26598
84,Good,56065081826,56065083826,2,26599
85,Good,56065335134,56065337134,2,26600
86,Good,56065587776,56065590442,3,26601
87,Good,56065841750,56065844417,3,26602
88,Good,56066095725,56066097058,1,26603
89,Good,56066347700,56066349033,1,26604
90,Good,56066599675,56066601008,1,26605
91,Good,56066852316,56066854316,2,26606
92,Good,56067104957,56067107624,3,26607
93,Good,56067358932,56067360265,1,26608
94,Good,56067610907,56067612240,1,26609
95,Good,56067862882,56067864215,1,26610
