counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,55791017236,55791019902,3,989.150000
1,Good,55791271210,55791272543,1,990.100000
2,Good,55791523852,55791525851,2,991.050000
3,Good,55791777160,55791778493,1,992.000000
4,Good,55792029801,55792031801,2,992.950000
5,Good,55792283109,55792285109,2,993.900000
6,Good,55792535750,55792537750,2,994.850000
7,Good,55792789058,55792791058,2,995.800000
8,Good,55793041700,55793044366,3,996.750000
9,Good,55793295674,55793298341,3,997.700000
10,Good,55793550316,55793552315,2,998.650000
11,Good,55793802957,55793804957,2,999.600000
12,Good,55794056265,55794058265,2,1000.550000
13,Good,55794308906,55794310906,2,1001.500000
14,Good,55794562214,55794564214,2,1002.450000
15,Good,55794814856,55794817522,3,1003.400000
16,Good,55795068830,55795071497,3,1004.350000
17,Good,55795322805,55795324138,1,1005.300000
18,Good,55795574780,55795576113,1,1006.250000
19,Good,55795826755,55795828088,1,1007.200000
20,Good,55796078729,55796080729,2,1008.150000
21,Good,55796332037,55796334704,3,1009.100000
22,Good,55796586012,55796587345,1,1010.050000
23,Good,55796839320,55796841320,2,1011.000000
24,Good,55797091961,55797093295,1,1011.950000
25,Good,55797343936,55797345936,2,1012.900000
26,Good,55797597244,55797599911,3,1013.850000
27,Good,55797851219,55797853885,3,1014.800000
28,Good,55798105193,55798106527,1,1015.750000
29,Good,55798357835,55798359835,2,1016.700000
30,Good,55798611143,55798613143,2,1017.650000
31,Good,55798863784,55798865784,2,1018.600000
32,Good,55799117092,55799119092,2,1019.550000
33,Good,55799369734,55799371733,2,1020.500000
34,Good,55799623042,55799625041,2,1021.450000
35,Good,55799875683,55799877683,2,1022.400000
36,Good,55800128991,55800130991,2,1023.350000
37,Good,55800382299,55800384299,2,1024.300000
38,Good,55800634940,55800636940,2,1025.250000
39,Good,55800888248,55800890248,2,1026.200000
40,Good,55801140890,55801143556,3,1027.150000
41,Good,55801394864,55801397531,3,1028.100000
42,Good,55801648839,55801651505,3,1029.050000
43,Good,55801902814,55801905480,3,1030.000000
44,Good,55802156788,55802158121,1,1030.950000
45,Good,55802408763,55802410096,1,1031.900000
46,Good,55802660738,55802662071,1,1032.850000
47,Good,55802912713,55802914712,2,1033.800000
48,Good,55803166021,55803168687,3,1034.750000
49,Good,55803419995,55803421328,1,1035.700000
50,Good,55803671970,55803673303,1,1036.650000
51,Good,55803923945,55803925945,2,1037.600000
52,Good,55804177253,55804179919,3,1038.550000
53,Good,55804431227,55804433894,3,1039.500000
54,Good,55804685202,55804686535,1,1040.450000
55,Good,55804937843,55804939843,2,1041.400000
56,Good,55805191151,55805192485,1,1042.350000
57,Good,55805443793,55805445793,2,1043.300000
58,Good,55805697101,55805699101,2,1044.250000
59,Good,55805949742,55805951742,2,1045.200000
60,Good,55806203050,55806205050,2,1046.150000
61,Good,55806455692,55806457691,2,1047.100000
62,Good,55806709000,55806710999,2,1048.050000
63,Good,55806962308,55806964307,2,1049.000000
64,Good,55807214949,55807216949,2,1049.950000
65,Good,55807468257,55807470257,2,1050.900000
66,Good,55807720898,55807722898,2,1051.850000
67,Good,55807974206,55807976206,2,1052.800000
68,Good,55808226848,55808229514,3,1053.750000
69,Good,55808480822,55808483489,3,1054.700000
70,Good,55808734797,55808736130,1,1055.650000
71,Good,55808986772,55808988105,1,1056.600000
72,Good,55809238747,55809240080,1,1057.550000
73,Good,55809490721,55809492721,2,1058.500000
74,Good,55809744029,55809746696,3,1059.450000
75,Good,55809998004,55810000670,3,1060.400000
76,Good,55810251979,55810253312,1,1061.350000
77,Good,55810503953,55810505287,1,1062.300000
78,Good,55810755928,55810757261,1,1063.250000
79,Good,55811007903,55811009903,2,1064.200000
80,Good,55811261211,55811263877,3,1065.150000
81,Good,55811515186,55811516519,1,1066.100000
82,Good,55811767827,55811769827,2,1067.050000
83,Good,55812021135,55812022468,1,1068.000000
84,Good,55812273776,55812275776,2,1068.950000
85,Good,55812527084,55812529084,2,1069.900000
86,Good,55812779726,55812781726,2,1070.850000
87,Good,55813033034,55813035034,2,1071.800000
88,Good,55813285675,55813287675,2,1072.750000
89,Good,55813538983,55813540983,2,1073.700000
90,Good,55813792291,55813794291,2,1074.650000
91,Good,55814044933,55814046932,2,1075.600000
92,Good,55814298241,55814300240,2,1076.550000
93,Good,55814550882,55814552882,2,1077.500000
94,Good,55814804190,55814806190,2,1078.450000
95,Good,55815056831,55815059498,3,1079.400000
96,Good,55815310806,55815313472,3,1080.350000
97,Good,55815564781,55815566114,1,1081.300000
98,Good,55815816755,55815818089,1,1082.250000
99,Good,55816068730,55816070063,1,1083.200000
100,Good,55816320705,55816322705,2,1084.150000
101,Good,55816574013,55816576679,3,1085.100000
102,Good,55816827988,55816829321,1,1086.050000
103,Good,55817079962,55817081296,1,1087.000000
104,Good,55817331937,55817333270,1,1087.950000
105,Good,55817583912,55817585912,2,1088.900000
106,Good,55817837220,55817839886,3,1089.850000
107,Good,55818091195,55818093861,3,1090.800000
108,Good,55818345169,55818346502,1,1091.750000
109,Good,55818597811,55818599810,2,1092.700000
110,Good,55818851119,55818853118,2,1093.650000
111,Good,55819103760,55819105760,2,1094.600000
112,Good,55819357068,55819359068,2,1095.550000
113,Good,55819609709,55819611709,2,1096.500000
114,Good,55819863017,55819865017,2,1097.450000
115,Good,55820116325,55820118325,2,1098.400000
116,Good,55820368967,55820370967,2,1099.350000
117,Good,55820622275,55820624275,2,1100.300000
118,Good,55820874916,55820876916,2,1101.250000
119,Good,55821128224,55821130224,2,1102.200000
120,Good,55821380866,55821383532,3,1103.150000
121,Good,55821634840,55821637507,3,1104.100000
122,Good,55821888815,55821891481,3,1105.050000
123,Good,55822142789,55822144123,1,1106.000000
124,Good,55822394764,55822396097,1,1106.950000
125,Good,55822646739,55822648072,1,1107.900000
126,Good,55822898714,55822900047,1,1108.850000
127,Good,55823150689,55823152688,2,1109.800000
128,Good,55823403997,55823406663,3,1110.750000
129,Good,55823657971,55823659304,1,1111.700000
130,Good,55823909946,55823911279,1,1112.650000
131,Good,55824161921,55824163921,2,1113.600000
132,Good,55824415229,55824417895,3,1114.550000
133,Good,55824669203,55824671870,3,1115.500000
134,Good,55824923178,55824924511,1,1116.450000
135,Good,55825175819,55825177819,2,1117.400000
136,Good,55825429127,55825430461,1,1118.350000
137,Good,55825681769,55825683769,2,1119.300000
138,Good,55825935077,55825937077,2,1120.250000
139,Good,55826187718,55826189718,2,1121.200000
140,Good,55826441026,55826443026,2,1122.150000
141,Good,55826693668,55826696334,3,1123.100000
142,Good,55826948309,55826950309,2,1124.050000
143,Good,55827200950,55827203617,3,1125.000000
144,Good,55827454925,55827456925,2,1125.950000
145,Good,55827708233,55827710233,2,1126.900000
146,Good,55827960874,55827962874,2,1127.850000
147,Good,55828214182,55828216182,2,1128.800000
148,Good,55828466824,55828469490,3,1129.750000
149,Good,55828720798,55828723465,3,1130.700000
150,Good,55828974773,55828976106,1,1131.650000
151,Good,55829226748,55829228081,1,1132.600000
152,Good,55829478722,55829480722,2,1133.550000
153,Good,55829732030,55829734697,3,1134.500000
154,Good,55829986005,55829988671,3,1135.450000
155,Good,55830239980,55830241313,1,1136.400000
156,Good,55830491954,55830493288,1,1137.350000
157,Good,55830743929,55830745262,1,1138.300000
158,Good,55830995904,55830997904,2,1139.250000
159,Good,55831249212,55831251878,3,1140.200000
160,Good,55831503187,55831505853,3,1141.150000
161,Good,55831757161,55831758494,1,1142.100000
162,Good,55832009803,55832011802,2,1143.050000
163,Good,55832263111,55832265110,2,1144.000000
164,Good,55832515752,55832517752,2,1144.950000
