value_last_recv,timestamp_chg
26515,42653870000
26516,42654122000
26517,42654374000
26518,42654626000
26519,42654878000
26520,42655130000
26521,42655382000
26522,42655634000
26523,42655886000
26524,42656138000
26525,42656391000
26526,42656643000
26527,42656895000
26528,42657147000
26529,42657399000
26530,42657651000
26531,42657903000
26532,42658155000
26533,42658406000
26534,42658658000
26535,42658910000
26536,42659164000
26537,42659416000
26538,42659668000
26539,42659920000
26540,42660172000
26541,42660424000
26542,42660676000
26543,42660928000
26544,42661180000
26545,42661432000
26546,42661684000
26547,42661936000
26548,42662188000
26549,42662440000
26550,42662692000
26551,42662944000
26552,42663196000
26553,42663448000
26554,42663700000
26555,42663952000
26556,42664204000
26557,42664456000
26558,42664708000
26559,42664960000
26560,42665212000
26561,42665464000
26562,42665716000
26563,42665968000
26564,42666222000
26565,42666472000
26566,42666724000
26567,42666976000
26568,42667228000
26569,42667480000
26570,42667732000
26571,42667985000
26572,42668237000
26573,42668489000
26574,42668741000
26575,42668993000
26576,42669245000
26577,42669497000
26578,42669749000
26579,42670001000
26580,42670253000
26581,42670505000
26582,42670758000
26583,42671010000
26584,42671262000
26585,42671514000
26586,42671766000
26587,42672019000
26588,42672271000
26589,42672524000
26590,42672777000
26591,42673029000
26592,42673280000
26593,42673532000
26594,42673784000
26595,42674036000
26596,42674288000
26597,42674540000
26598,42674793000
26599,42675044000
26600,42675297000
26601,42675549000
26602,42675801000
26603,42676053000
26604,42676305000
26605,42676557000
26606,42676809000
26607,42677061000
26608,42677313000
26609,42677565000
26610,42677818000
26611,42678070000
26612,42678322000
26613,42678573000
26614,42678825000
26615,42679077000
26616,42679330000
26617,42679582000
26618,42679834000
26619,42680088000
26620,42680340000
26621,42680592000
26622,42680844000
26623,42681096000
26624,42681348000
26625,42681600000
26626,42681852000
26627,42682104000
26628,42682356000
26629,42682608000
26630,42682860000
26631,42683112000
26632,42683364000
26633,42683616000
26634,42683868000
26635,42684120000
26636,42684373000
26637,42684625000
26638,42684877000
26639,42685129000
26640,42685380000
26641,42685632000
26642,42685885000
26643,42686138000
26644,42686390000
26645,42686641000
26646,42686893000
26647,42687145000
26648,42687397000
26649,42687649000
26650,42687901000
26651,42688153000
26652,42688405000
26653,42688657000
26654,42688909000
26655,42689163000
26656,42689415000
26657,42689667000
26658,42689919000
26659,42690171000
26660,42690423000
26661,42690675000
26662,42690927000
26663,42691179000
26664,42691431000
26665,42691683000
26666,42691935000
26667,42692185000
26668,42692437000
26669,42692691000
26670,42692943000
26671,42693195000
26672,42693447000
26673,42693699000
26674,42693951000
26675,42694203000
26676,42694455000
26677,42694707000
26678,42694959000
26679,42695211000
26680,42695463000
26681,42695715000
26682,42695967000
26683,42696219000
26684,42696471000
26685,42696723000
26686,42696975000
26687,42697228000
26688,42697480000
26689,42697732000
26690,42697984000
26691,42698236000
26692,42698488000
26693,42698739000
26694,42698991000
26695,42699244000
26696,42699497000
26697,42699749000
26698,42700001000
26699,42700252000
26700,42700504000
26701,42700756000
26702,42701008000
26703,42701260000
26704,42701512000
26705,42701764000
26706,42702016000
26707,42702268000
26708,42702521000
26709,42702773000
26710,42703025000
26711,42703277000
26712,42703529000
26713,42703781000
26714,42704033000
26715,42704285000
26716,42704537000
26717,42704789000
26718,42705041000
26719,42705293000
26720,42705544000
26721,42705796000
26722,42706049000
26723,42706302000
26724,42706554000
26725,42706805000
26726,42707057000
26727,42707309000
26728,42707561000
26729,42707813000
26730,42708065000
26731,42708317000
26732,42708569000
26733,42708821000
26734,42709073000
26735,42709326000
26736,42709578000
26737,42709830000
26738,42710082000
26739,42710334000
26740,42710586000
26741,42710838000
26742,42711090000
26743,42711342000
26744,42711594000
26745,42711847000
26746,42712099000
26747,42712349000
26748,42712603000
26749,42712856000
26750,42713108000
26751,42713360000
26752,42713611000
26753,42713863000
26754,42714115000
26755,42714367000
26756,42714619000
26757,42714871000
26758,42715123000
26759,42715375000
26760,42715627000
26761,42715880000
26762,42716132000
26763,42716384000
26764,42716636000
26765,42716888000
26766,42717140000
26767,42717392000
26768,42717644000
26769,42717896000
26770,42718148000
26771,42718400000
26772,42718652000
26773,42718903000
26774,42719156000
26775,42719409000
26776,42719661000
26777,42719914000
26778,42720165000
26779,42720416000
26780,42720668000
26781,42720920000
26782,42721172000
26783,42721424000
26784,42721676000
26785,42721928000
26786,42722180000
26787,42722432000
26788,42722686000
26789,42722938000
26790,42723190000
26791,42723442000
26792,42723694000
26793,42723946000
26794,42724198000
26795,42724450000
26796,42724702000
26797,42724954000
26798,42725206000
26799,42725458000
26800,42725709000
26801,42725962000
26802,42726214000
26803,42726466000
26804,42726718000
26805,42726971000
26806,42727222000
26807,42727474000
26808,42727726000
26809,42727978000
26810,42728230000
26811,42728482000
26812,42728734000
26813,42728986000
26814,42729239000
26815,42729491000
26816,42729743000
26817,42729995000
26818,42730247000
26819,42730499000
26820,42730751000
26821,42731003000
26822,42731255000
26823,42731507000
26824,42731759000
26825,42732011000
26826,42732263000
26827,42732515000
26828,42732768000
26829,42733020000
26830,42733272000
26831,42733524000
26832,42733775000
26833,42734027000
26834,42734279000
26835,42734531000
26836,42734783000
26837,42735035000
26838,42735287000
26839,42735539000
26840,42735791000
26841,42736044000
26842,42736296000
26843,42736548000
26844,42736800000
26845,42737052000
