counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,42150116246,42150118246,2,13
1,Good,42150368887,42150369554,1,14
2,Good,42150620862,42150621529,1,15
3,Good,42150872837,42150873504,1,16
4,Good,42151124812,42151125478,1,17
5,Good,42151376787,42151378120,1,18
6,Good,42151628761,42151630095,1,19
7,Good,42151880736,42151882069,1,20
8,Good,42152132711,42152134044,1,21
9,Good,42152384686,42152386019,1,22
10,Good,42152637327,42152638660,1,23
11,Good,42152889969,42152890635,1,24
12,Good,42153141943,42153143277,1,25
13,Good,42153393918,42153395251,1,26
14,Good,42153645893,42153647226,1,27
15,Good,42153897868,42153899201,1,28
16,Good,42154149843,42154151176,1,29
17,Good,42154401817,42154403151,1,30
18,Good,42154653792,42154655125,1,31
19,Good,42154905767,42154907100,1,32
20,Good,42155157742,42155159075,1,33
21,Good,42155409717,42155411050,1,34
22,Good,42155661691,42155663691,2,35
23,Good,42155914999,42155916333,1,36
24,Good,42156166974,42156168307,1,37
25,Good,42156418949,42156420282,1,38
26,Good,42156670924,42156672257,1,39
27,Good,42156922899,42156924898,2,40
28,Good,42157176207,42157177540,1,41
29,Good,42157428848,42157429515,1,42
30,Good,42157680823,42157681489,1,43
31,Good,42157932798,42157933464,1,44
32,Good,42158184772,42158185439,1,45
33,Good,42158436747,42158438080,1,46
34,Good,42158688722,42158690055,1,47
35,Good,42158940697,42158942030,1,48
36,Good,42159192672,42159194005,1,49
37,Good,42159445313,42159446646,1,50
38,Good,42159697954,42159699288,1,51
39,Good,42159949929,42159951262,1,52
40,Good,42160201904,42160203237,1,53
41,Good,42160453879,42160455212,1,54
42,Good,42160705854,42160707187,1,55
43,Good,42160957828,42160959162,1,56
44,Good,42161209803,42161211136,1,57
45,Good,42161461778,42161463111,1,58
46,Good,42161713753,42161715086,1,59
47,Good,42161965728,42161967727,2,60
48,Good,42162219036,42162220369,1,61
49,Good,42162471677,42162472344,1,62
50,Good,42162724318,42162725652,1,63
51,Good,42162976960,42162978293,1,64
52,Good,42163228935,42163230268,1,65
53,Good,42163480909,42163482243,1,66
54,Good,42163732884,42163734884,2,67
55,Good,42163986192,42163987525,1,68
56,Good,42164238834,42164239500,1,69
57,Good,42164490808,42164491475,1,70
58,Good,42164742783,42164743450,1,71
59,Good,42164994758,42164996091,1,72
60,Good,42165246733,42165248066,1,73
61,Good,42165498708,42165500041,1,74
62,Good,42165750682,42165752016,1,75
63,Good,42166003324,42166004657,1,76
64,Good,42166255965,42166256632,1,77
65,Good,42166507940,42166509273,1,78
66,Good,42166759915,42166761248,1,79
67,Good,42167011890,42167013223,1,80
68,Good,42167263864,42167265198,1,81
69,Good,42167515839,42167517172,1,82
70,Good,42167767814,42167769147,1,83
71,Good,42168019789,42168021122,1,84
72,Good,42168271764,42168273097,1,85
73,Good,42168523738,42168525072,1,86
74,Good,42168775713,42168777046,1,87
75,Good,42169027688,42169029688,2,88
76,Good,42169280996,42169282329,1,89
77,Good,42169532971,42169534304,1,90
78,Good,42169784946,42169786279,1,91
79,Good,42170036920,42170038254,1,92
80,Good,42170288895,42170290228,1,93
81,Good,42170540870,42170542870,2,94
82,Good,42170794178,42170795511,1,95
83,Good,42171046819,42171047486,1,96
84,Good,42171298794,42171299461,1,97
85,Good,42171550769,42171551436,1,98
86,Good,42171802744,42171804077,1,99
87,Good,42172054719,42172056052,1,100
88,Good,42172306693,42172308027,1,101
89,Good,42172558668,42172560001,1,102
90,Good,42172811310,42172812643,1,103
91,Good,42173063951,42173065284,1,104
92,Good,42173315926,42173317259,1,105
93,Good,42173567901,42173569234,1,106
94,Good,42173819875,42173821209,1,107
95,Good,42174071850,42174073183,1,108
96,Good,42174323825,42174325158,1,109
97,Good,42174575800,42174577133,1,110
98,Good,42174827775,42174829108,1,111
99,Good,42175079749,42175081083,1,112
100,Good,42175331724,42175333057,1,113
101,Good,42175583699,42175585699,2,114
102,Good,42175837007,42175838340,1,115
103,Good,42176090315,42176091648,1,116
104,Good,42176342956,42176344290,1,117
105,Good,42176594931,42176596264,1,118
106,Good,42176846906,42176848239,1,119
107,Good,42177098881,42177100881,2,120
108,Good,42177352189,42177353522,1,121
109,Good,42177604830,42177605497,1,122
110,Good,42177856805,42177857472,1,123
111,Good,42178108780,42178109446,1,124
112,Good,42178360755,42178361421,1,125
113,Good,42178612729,42178614063,1,126
114,Good,42178864704,42178866037,1,127
115,Good,42179116679,42179118012,1,128
116,Good,42179369320,42179370654,1,129
117,Good,42179621962,42179622628,1,130
118,Good,42179873937,42179875270,1,131
119,Good,42180125911,42180127245,1,132
120,Good,42180377886,42180379219,1,133
121,Good,42180629861,42180631194,1,134
122,Good,42180881836,42180883169,1,135
123,Good,42181133811,42181135144,1,136
124,Good,42181385785,42181387119,1,137
125,Good,42181637760,42181639093,1,138
126,Good,42181889735,42181891068,1,139
127,Good,42182141710,42182143043,1,140
128,Good,42182393685,42182395018,1,141
129,Good,42182646326,42182647659,1,142
130,Good,42182898967,42182900301,1,143
131,Good,42183150942,42183152275,1,144
132,Good,42183402917,42183404250,1,145
133,Good,42183654892,42183656225,1,146
134,Good,42183906867,42183908200,1,147
135,Good,42184158841,42184159508,1,148
136,Good,42184410816,42184411483,1,149
137,Good,42184662791,42184663458,1,150
138,Good,42184914766,42184915432,1,151
139,Good,42185166741,42185167407,1,152
140,Good,42185418715,42185420049,1,153
141,Good,42185670690,42185672023,1,154
142,Good,42185923332,42185924665,1,155
143,Good,42186175973,42186176640,1,156
144,Good,42186427948,42186428614,1,157
145,Good,42186679923,42186681256,1,158
146,Good,42186931897,42186933231,1,159
147,Good,42187183872,42187185205,1,160
148,Good,42187435847,42187437180,1,161
149,Good,42187687822,42187689155,1,162
150,Good,42187939797,42187941130,1,163
151,Good,42188191771,42188193105,1,164
152,Good,42188443746,42188445079,1,165
153,Good,42188695721,42188697054,1,166
154,Good,42188947696,42188949029,1,167
155,Good,42189199671,42189201670,2,168
156,Good,42189452979,42189454312,1,169
157,Good,42189704953,42189706287,1,170
158,Good,42189956928,42189958261,1,171
159,Good,42190208903,42190210236,1,172
160,Good,42190460878,42190462211,1,173
161,Good,42190712853,42190714852,2,174
162,Good,42190966161,42190967494,1,175
163,Good,42191218802,42191219469,1,176
164,Good,42191470777,42191471443,1,177
165,Good,42191722752,42191723418,1,178
166,Good,42191974726,42191975393,1,179
167,Good,42192226701,42192228034,1,180
168,Good,42192478676,42192480009,1,181
169,Good,42192731317,42192732651,1,182
170,Good,42192983959,42192984625,1,183
171,Good,42193235934,42193236600,1,184
172,Good,42193487908,42193489242,1,185
173,Good,42193739883,42193741216,1,186
174,Good,42193991858,42193993191,1,187
175,Good,42194243833,42194245166,1,188
176,Good,42194495808,42194497141,1,189
177,Good,42194747782,42194749116,1,190
178,Good,42194999757,42195001090,1,191
179,Good,42195251732,42195253065,1,192
180,Good,42195503707,42195505040,1,193
181,Good,42195755682,42195757015,1,194
182,Good,42196008323,42196008990,1,195
183,Good,42196260298,42196261631,1,196
184,Good,42196512939,42196514272,1,197
185,Good,42196764914,42196766247,1,198
186,Good,42197016889,42197018222,1,199
187,Good,42197268864,42197270863,2,200
188,Good,42197522172,42197523505,1,201
189,Good,42197774813,42197775480,1,202
190,Good,42198026788,42198027454,1,203
191,Good,42198278763,42198279429,1,204
192,Good,42198530737,42198531404,1,205
193,Good,42198782712,42198784045,1,206
194,Good,42199034687,42199036020,1,207
195,Good,42199287328,42199288662,1,208
196,Good,42199539970,42199540636,1,209
197,Good,42199791945,42199792611,1,210
198,Good,42200043919,42200045253,1,211
199,Good,42200295894,42200297227,1,212
200,Good,42200547869,42200549202,1,213
201,Good,42200799844,42200801177,1,214
202,Good,42201051819,42201053152,1,215
203,Good,42201303793,42201305127,1,216
204,Good,42201555768,42201557101,1,217
205,Good,42201807743,42201809076,1,218
206,Good,42202059718,42202061051,1,219
207,Good,42202311693,42202313026,1,220
208,Good,42202563667,42202565001,1,221
209,Good,42202816309,42202817642,1,222
210,Good,42203068950,42203070283,1,223
211,Good,42203320925,42203322258,1,224
212,Good,42203572900,42203574233,1,225
213,Good,42203824875,42203826208,1,226
214,Good,42204076849,42204078183,1,227
215,Good,42204328824,42204329491,1,228
216,Good,42204580799,42204581466,1,229
217,Good,42204832774,42204833440,1,230
218,Good,42205084749,42205085415,1,231
219,Good,42205336723,42205337390,1,232
220,Good,42205588698,42205590031,1,233
221,Good,42205840673,42205842006,1,234
222,Good,42206093314,42206094648,1,235
223,Good,42206345956,42206346622,1,236
224,Good,42206597931,42206598597,1,237
225,Good,42206849905,42206851239,1,238
226,Good,42207101880,42207103213,1,239
227,Good,42207353855,42207355188,1,240
228,Good,42207605830,42207607163,1,241
229,Good,42207857805,42207859138,1,242
230,Good,42208109779,42208111113,1,243
231,Good,42208361754,42208363087,1,244
232,Good,42208613729,42208615062,1,245
233,Good,42208865704,42208867037,1,246
234,Good,42209117679,42209119012,1,247
235,Good,42209370320,42209370987,1,248
236,Good,42209622295,42209623628,1,249
237,Good,42209874936,42209876269,1,250
238,Good,42210126911,42210128244,1,251
239,Good,42210378886,42210380219,1,252
240,Good,42210630861,42210632194,1,253
241,Good,42210882835,42210884169,1,254
242,Good,42211134810,42211135477,1,255
243,Good,42211386785,42211387452,1,256
244,Good,42211638760,42211639426,1,257
245,Good,42211890735,42211891401,1,258
246,Good,42212142709,42212144043,1,259
247,Good,42212394684,42212396017,1,260
248,Good,42212647326,42212648659,1,261
249,Good,42212899967,42212900634,1,262
250,Good,42213151942,42213152608,1,263
251,Good,42213403917,42213404583,1,264
252,Good,42213655891,42213657225,1,265
253,Good,42213907866,42213909199,1,266
254,Good,42214159841,42214161174,1,267
255,Good,42214411816,42214413149,1,268
256,Good,42214663791,42214665124,1,269
257,Good,42214915765,42214917099,1,270
258,Good,42215167740,42215169073,1,271
259,Good,42215419715,42215421048,1,272
260,Good,42215671690,42215673023,1,273
261,Good,42215924331,42215924998,1,274
262,Good,42216176306,42216177639,1,275
263,Good,42216428947,42216430281,1,276
264,Good,42216680922,42216682255,1,277
265,Good,42216932897,42216934230,1,278
266,Good,42217184872,42217186205,1,279
267,Good,42217436847,42217438180,1,280
268,Good,42217688821,42217690821,2,281
269,Good,42217942129,42217943463,1,282
270,Good,42218194771,42218195437,1,283
271,Good,42218446746,42218447412,1,284
272,Good,42218698720,42218699387,1,285
273,Good,42218950695,42218952028,1,286
274,Good,42219202670,42219204003,1,287
275,Good,42219455311,42219456645,1,288
276,Good,42219707953,42219708619,1,289
277,Good,42219959928,42219960594,1,290
278,Good,42220211902,42220212569,1,291
279,Good,42220463877,42220465210,1,292
280,Good,42220715852,42220717185,1,293
281,Good,42220967827,42220969160,1,294
282,Good,42221219802,42221221135,1,295
283,Good,42221471776,42221473110,1,296
