counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,42905772006,42905772673,1,20653
1,Good,42906023981,42906025314,1,20654
2,Good,42906275956,42906277289,1,20655
3,Good,42906527931,42906529264,1,20656
4,Good,42906779905,42906781239,1,20657
5,Good,42907031880,42907033213,1,20658
6,Good,42907283855,42907285188,1,20659
7,Good,42907535830,42907537163,1,20660
8,Good,42907787805,42907789138,1,20661
9,Good,42908039779,42908041113,1,20662
10,Good,42908291754,42908293087,1,20663
11,Good,42908543729,42908545062,1,20664
12,Good,42908795704,42908797704,2,20665
13,Good,42909049012,42909050345,1,20666
14,Good,42909302320,42909303653,1,20667
15,Good,42909554961,42909556294,1,20668
16,Good,42909806936,42909808936,2,20669
17,Good,42910060244,42910061577,1,20670
18,Good,42910312885,42910313552,1,20671
19,Good,42910564860,42910565527,1,20672
20,Good,42910816835,42910817502,1,20673
21,Good,42911068810,42911069476,1,20674
22,Good,42911320785,42911322118,1,20675
23,Good,42911572759,42911574093,1,20676
24,Good,42911824734,42911826067,1,20677
25,Good,42912076709,42912078042,1,20678
26,Good,42912328684,42912330017,1,20679
27,Good,42912581325,42912583325,2,20680
28,Good,42912833967,42912835300,1,20681
29,Good,42913085941,42913087275,1,20682
30,Good,42913337916,42913339249,1,20683
31,Good,42913589891,42913591224,1,20684
32,Good,42913841866,42913843199,1,20685
33,Good,42914093841,42914095174,1,20686
34,Good,42914345815,42914347149,1,20687
35,Good,42914597790,42914599123,1,20688
36,Good,42914849765,42914851098,1,20689
37,Good,42915101740,42915103073,1,20690
38,Good,42915353715,42915355714,2,20691
39,Good,42915607023,42915608356,1,20692
40,Good,42915860331,42915861664,1,20693
41,Good,42916112972,42916114305,1,20694
42,Good,42916364947,42916366280,1,20695
43,Good,42916616922,42916618255,1,20696
44,Good,42916868896,42916870896,2,20697
45,Good,42917122204,42917123538,1,20698
46,Good,42917374846,42917375512,1,20699
47,Good,42917626821,42917627487,1,20700
48,Good,42917878795,42917879462,1,20701
49,Good,42918130770,42918132103,1,20702
50,Good,42918382745,42918384078,1,20703
51,Good,42918634720,42918636053,1,20704
52,Good,42918886695,42918888028,1,20705
53,Good,42919138669,42919140003,1,20706
54,Good,42919391311,42919393311,2,20707
55,Good,42919643952,42919645285,1,20708
56,Good,42919895927,42919897260,1,20709
57,Good,42920147902,42920149235,1,20710
58,Good,42920399877,42920401210,1,20711
59,Good,42920651851,42920653185,1,20712
60,Good,42920903826,42920905159,1,20713
61,Good,42921155801,42921157134,1,20714
62,Good,42921407776,42921409109,1,20715
63,Good,42921659751,42921661084,1,20716
64,Good,42921911725,42921913059,1,20717
65,Good,42922163700,42922165700,2,20718
66,Good,42922417008,42922418341,1,20719
67,Good,42922670316,42922671649,1,20720
68,Good,42922922958,42922924291,1,20721
69,Good,42923174932,42923176266,1,20722
70,Good,42923426907,42923428907,2,20723
71,Good,42923680215,42923681548,1,20724
72,Good,42923932857,42923933523,1,20725
73,Good,42924184831,42924185498,1,20726
74,Good,42924436806,42924437473,1,20727
75,Good,42924688781,42924689448,1,20728
76,Good,42924940756,42924942089,1,20729
77,Good,42925192731,42925194064,1,20730
78,Good,42925444705,42925446039,1,20731
79,Good,42925696680,42925698013,1,20732
80,Good,42925949322,42925950655,1,20733
81,Good,42926201963,42926203296,1,20734
82,Good,42926453938,42926455271,1,20735
83,Good,42926705913,42926707246,1,20736
84,Good,42926957887,42926959221,1,20737
85,Good,42927209862,42927211195,1,20738
86,Good,42927461837,42927463170,1,20739
87,Good,42927713812,42927715145,1,20740
88,Good,42927965787,42927967120,1,20741
89,Good,42928217761,42928219095,1,20742
90,Good,42928469736,42928471069,1,20743
91,Good,42928721711,42928723044,1,20744
92,Good,42928973686,42928975686,2,20745
93,Good,42929226994,42929228327,1,20746
94,Good,42929478969,42929480302,1,20747
95,Good,42929730943,42929732277,1,20748
96,Good,42929982918,42929984251,1,20749
97,Good,42930234893,42930236893,2,20750
98,Good,42930488201,42930489534,1,20751
99,Good,42930740842,42930741509,1,20752
100,Good,42930992817,42930993484,1,20753
101,Good,42931244792,42931245459,1,20754
102,Good,42931496767,42931497433,1,20755
103,Good,42931748742,42931750075,1,20756
104,Good,42932000716,42932002050,1,20757
105,Good,42932252691,42932254024,1,20758
106,Good,42932505333,42932506666,1,20759
107,Good,42932757974,42932758641,1,20760
108,Good,42933009949,42933011282,1,20761
109,Good,42933261924,42933263257,1,20762
110,Good,42933513898,42933515232,1,20763
111,Good,42933765873,42933767206,1,20764
112,Good,42934017848,42934019181,1,20765
113,Good,42934269823,42934271156,1,20766
114,Good,42934521798,42934523131,1,20767
115,Good,42934773772,42934775106,1,20768
116,Good,42935025747,42935027080,1,20769
117,Good,42935277722,42935279055,1,20770
118,Good,42935529697,42935531030,1,20771
119,Good,42935781672,42935783671,2,20772
120,Good,42936034980,42936036313,1,20773
121,Good,42936286954,42936288288,1,20774
122,Good,42936538929,42936540262,1,20775
123,Good,42936790904,42936792904,2,20776
124,Good,42937044212,42937045545,1,20777
125,Good,42937296853,42937297520,1,20778
126,Good,42937548828,42937549495,1,20779
127,Good,42937800803,42937801470,1,20780
128,Good,42938052778,42938053444,1,20781
129,Good,42938304753,42938306086,1,20782
130,Good,42938556727,42938558061,1,20783
131,Good,42938808702,42938810035,1,20784
132,Good,42939060677,42939062010,1,20785
133,Good,42939313318,42939314652,1,20786
134,Good,42939565960,42939566626,1,20787
135,Good,42939817935,42939819268,1,20788
136,Good,42940069909,42940071243,1,20789
137,Good,42940321884,42940323217,1,20790
138,Good,42940573859,42940575192,1,20791
139,Good,42940825834,42940827167,1,20792
140,Good,42941077809,42941079142,1,20793
141,Good,42941329783,42941331117,1,20794
142,Good,42941581758,42941583091,1,20795
143,Good,42941833733,42941835066,1,20796
144,Good,42942085708,42942087041,1,20797
145,Good,42942337683,42942339682,2,20798
146,Good,42942590991,42942592324,1,20799
147,Good,42942842965,42942844299,1,20800
148,Good,42943094940,42943096273,1,20801
149,Good,42943346915,42943348248,1,20802
150,Good,42943598890,42943600890,2,20803
151,Good,42943852198,42943853531,1,20804
152,Good,42944104839,42944105506,1,20805
153,Good,42944356814,42944357481,1,20806
154,Good,42944608789,42944609455,1,20807
155,Good,42944860764,42944861430,1,20808
156,Good,42945112738,42945114072,1,20809
157,Good,42945364713,42945366046,1,20810
158,Good,42945616688,42945618021,1,20811
159,Good,42945869329,42945870663,1,20812
160,Good,42946121971,42946122637,1,20813
161,Good,42946373946,42946375279,1,20814
162,Good,42946625920,42946627254,1,20815
163,Good,42946877895,42946879228,1,20816
164,Good,42947129870,42947131203,1,20817
165,Good,42947381845,42947383178,1,20818
