counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,42402015720,42402016387,1,989.150000
1,Good,42402267695,42402269028,1,990.100000
2,Good,42402519670,42402521003,1,991.050000
3,Good,42402772311,42402773644,1,992.000000
4,Good,42403024953,42403025619,1,992.950000
5,Good,42403276927,42403277594,1,993.900000
6,Good,42403528902,42403530235,1,994.850000
7,Good,42403780877,42403782210,1,995.800000
8,Good,42404032852,42404034185,1,996.750000
9,Good,42404284827,42404286160,1,997.700000
10,Good,42404536801,42404538135,1,998.650000
11,Good,42404788776,42404790109,1,999.600000
12,Good,42405040751,42405042084,1,1000.550000
13,Good,42405292726,42405294059,1,1001.500000
14,Good,42405544701,42405546034,1,1002.450000
15,Good,42405796675,42405798009,1,1003.400000
16,Good,42406049317,42406049983,1,1004.350000
17,Good,42406301292,42406301958,1,1005.300000
18,Good,42406553266,42406555266,2,1006.250000
19,Good,42406805908,42406807241,1,1007.200000
20,Good,42407057883,42407059216,1,1008.150000
21,Good,42407309857,42407311191,1,1009.100000
22,Good,42407561832,42407563832,2,1010.050000
23,Good,42407815140,42407816473,1,1011.000000
24,Good,42408067782,42408068448,1,1011.950000
25,Good,42408319756,42408320423,1,1012.900000
26,Good,42408571731,42408572398,1,1013.850000
27,Good,42408823706,42408825039,1,1014.800000
28,Good,42409075681,42409077014,1,1015.750000
29,Good,42409328322,42409329655,1,1016.700000
30,Good,42409580964,42409581630,1,1017.650000
31,Good,42409832938,42409833605,1,1018.600000
32,Good,42410084913,42410085580,1,1019.550000
33,Good,42410336888,42410337555,1,1020.500000
34,Good,42410588863,42410590196,1,1021.450000
35,Good,42410840838,42410842171,1,1022.400000
36,Good,42411092812,42411094146,1,1023.350000
37,Good,42411344787,42411346120,1,1024.300000
38,Good,42411596762,42411598095,1,1025.250000
39,Good,42411848737,42411850070,1,1026.200000
40,Good,42412100712,42412102045,1,1027.150000
41,Good,42412352686,42412354020,1,1028.100000
42,Good,42412605328,42412605994,1,1029.050000
43,Good,42412857303,42412857969,1,1030.000000
44,Good,42413109277,42413110611,1,1030.950000
45,Good,42413361919,42413363252,1,1031.900000
46,Good,42413613894,42413615227,1,1032.850000
47,Good,42413865868,42413867202,1,1033.800000
48,Good,42414117843,42414119176,1,1034.750000
49,Good,42414369818,42414371151,1,1035.700000
50,Good,42414621793,42414622459,1,1036.650000
51,Good,42414873768,42414874434,1,1037.600000
52,Good,42415125742,42415126409,1,1038.550000
53,Good,42415377717,42415378384,1,1039.500000
54,Good,42415629692,42415631025,1,1040.450000
55,Good,42415881667,42415883000,1,1041.400000
56,Good,42416134308,42416135641,1,1042.350000
57,Good,42416386950,42416387616,1,1043.300000
58,Good,42416638924,42416639591,1,1044.250000
59,Good,42416890899,42416891566,1,1045.200000
60,Good,42417142874,42417144207,1,1046.150000
61,Good,42417394849,42417396182,1,1047.100000
62,Good,42417646824,42417648157,1,1048.050000
63,Good,42417898798,42417900132,1,1049.000000
64,Good,42418150773,42418152106,1,1049.950000
65,Good,42418402748,42418404081,1,1050.900000
66,Good,42418654723,42418656056,1,1051.850000
67,Good,42418906698,42418908031,1,1052.800000
68,Good,42419158672,42419160006,1,1053.750000
69,Good,42419411314,42419411980,1,1054.700000
70,Good,42419663289,42419663955,1,1055.650000
71,Good,42419915263,42419916597,1,1056.600000
72,Good,42420167905,42420169238,1,1057.550000
73,Good,42420419880,42420421213,1,1058.500000
74,Good,42420671854,42420673188,1,1059.450000
75,Good,42420923829,42420925829,2,1060.400000
76,Good,42421177137,42421178470,1,1061.350000
77,Good,42421429779,42421430445,1,1062.300000
78,Good,42421681753,42421682420,1,1063.250000
79,Good,42421933728,42421934395,1,1064.200000
80,Good,42422185703,42422186370,1,1065.150000
81,Good,42422437678,42422439011,1,1066.100000
82,Good,42422690319,42422691652,1,1067.050000
83,Good,42422942961,42422943627,1,1068.000000
84,Good,42423194935,42423195602,1,1068.950000
85,Good,42423446910,42423447577,1,1069.900000
86,Good,42423698885,42423699552,1,1070.850000
87,Good,42423950860,42423952193,1,1071.800000
88,Good,42424202835,42424204168,1,1072.750000
89,Good,42424454809,42424456143,1,1073.700000
90,Good,42424706784,42424708117,1,1074.650000
91,Good,42424958759,42424960092,1,1075.600000
92,Good,42425210734,42425212067,1,1076.550000
93,Good,42425462709,42425464042,1,1077.500000
94,Good,42425714683,42425716017,1,1078.450000
95,Good,42425967325,42425967991,1,1079.400000
96,Good,42426219300,42426219966,1,1080.350000
97,Good,42426471274,42426472608,1,1081.300000
98,Good,42426723916,42426725249,1,1082.250000
99,Good,42426975891,42426977224,1,1083.200000
100,Good,42427227865,42427229865,2,1084.150000
101,Good,42427481173,42427482507,1,1085.100000
102,Good,42427733815,42427735148,1,1086.050000
103,Good,42427985790,42427986456,1,1087.000000
104,Good,42428237764,42428238431,1,1087.950000
105,Good,42428489739,42428490406,1,1088.900000
106,Good,42428741714,42428742381,1,1089.850000
107,Good,42428993689,42428994355,1,1090.800000
108,Good,42429246330,42429247663,1,1091.750000
109,Good,42429498972,42429499638,1,1092.700000
110,Good,42429750946,42429751613,1,1093.650000
111,Good,42430002921,42430003588,1,1094.600000
112,Good,42430254896,42430255563,1,1095.550000
113,Good,42430506871,42430507537,1,1096.500000
114,Good,42430758846,42430760179,1,1097.450000
115,Good,42431010820,42431012154,1,1098.400000
116,Good,42431262795,42431264128,1,1099.350000
117,Good,42431514770,42431516103,1,1100.300000
118,Good,42431766745,42431768078,1,1101.250000
119,Good,42432018720,42432020053,1,1102.200000
120,Good,42432270694,42432272028,1,1103.150000
121,Good,42432522669,42432524002,1,1104.100000
122,Good,42432775311,42432775977,1,1105.050000
123,Good,42433027285,42433027952,1,1106.000000
124,Good,42433279260,42433280593,1,1106.950000
125,Good,42433531902,42433533235,1,1107.900000
126,Good,42433783876,42433785210,1,1108.850000
127,Good,42434035851,42434037184,1,1109.800000
128,Good,42434287826,42434289159,1,1110.750000
129,Good,42434539801,42434541801,2,1111.700000
130,Good,42434793109,42434794442,1,1112.650000
131,Good,42435045750,42435046417,1,1113.600000
132,Good,42435297725,42435298392,1,1114.550000
133,Good,42435549700,42435550366,1,1115.500000
134,Good,42435801675,42435802341,1,1116.450000
135,Good,42436054316,42436055649,1,1117.400000
136,Good,42436306957,42436307624,1,1118.350000
137,Good,42436558932,42436559599,1,1119.300000
138,Good,42436810907,42436811574,1,1120.250000
139,Good,42437062882,42437063548,1,1121.200000
140,Good,42437314857,42437316190,1,1122.150000
141,Good,42437566831,42437568165,1,1123.100000
142,Good,42437818806,42437820139,1,1124.050000
143,Good,42438070781,42438072114,1,1125.000000
144,Good,42438322756,42438324089,1,1125.950000
145,Good,42438574731,42438576064,1,1126.900000
146,Good,42438826705,42438828039,1,1127.850000
147,Good,42439078680,42439080013,1,1128.800000
148,Good,42439331322,42439331988,1,1129.750000
149,Good,42439583296,42439583963,1,1130.700000
150,Good,42439835271,42439835938,1,1131.650000
151,Good,42440087246,42440088579,1,1132.600000
152,Good,42440339887,42440341221,1,1133.550000
153,Good,42440591862,42440593195,1,1134.500000
154,Good,42440843837,42440845170,1,1135.450000
155,Good,42441095812,42441097145,1,1136.400000
156,Good,42441347787,42441349786,2,1137.350000
157,Good,42441601095,42441602428,1,1138.300000
158,Good,42441853736,42441854403,1,1139.250000
159,Good,42442105711,42442106377,1,1140.200000
160,Good,42442357686,42442358352,1,1141.150000
161,Good,42442610327,42442611660,1,1142.100000
