counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,43157728808,43157733474,5,tkscLAZoeW4EhxoMHCVEzHKgmaynHxKpCoWmgkTjNAXxwuAUKwqSrQkaLztKwfrMPC4HRkjbCemHvt5
1,Good,43157984782,43157989449,5,qS8BcWUYE5arzHvSLju2ChMNQncpbBDUdgqt2rdDWK2m4sykJEx7QYFHvkQ9qvwSKmbrDXwqYUmWcs6
2,Good,43158240757,43158245423,5,ES7QWPH3dvhscFKLyatMHbBaKhAcntoC7LqtfZCBt86dpUjNHvQC9a6z5xMpHYzB4pf5dbSpXrcKef7
3,Good,43158496731,43158501397,5,y8vUzdkDePzxsNW4UGj9wptqdjpR7uUYCWqD9gSmApnojbAxHCk6vTBoW46wgdfYpzqgRHWSXw9GB48
4,Good,43158752706,43158757372,5,cyrsQUXVYmnWxbLFP5mUR25PoXU4mcwRUsvx6YeSL2t6hUwAv9eUM7wcx2FCawJzEdsZSTeFBE9Zds9
5,Good,43159008680,43159013346,5,4fydR7Hu9UGfZPuEV3zkXrcYSG8W9FCLfg7phHW7Z8LqvT5Dk2tSJLWA3owmVBcPsMHqUro7tRdsex1
6,Good,43159265321,43159269321,4,TXN3WkoqdWKxndaDFvWRJCoLaEeJHLsT7wKWVzfBnNVcJGARbr6FDQNL5eJgVKadpWTEsQVn6qLCU72
7,Good,43159519962,43159524628,5,2qdbX2s5HJ6B3F2LBobtqMBkbHjCkgopq9GwoY7hUNbgDeJX2Nxp6BZvYjUFAcPaMdCfoFRQKHw5ED3
8,Good,43159775937,43159780603,5,usUy9ohUYDzg9uNGzA2NHfZu4nodeRNQmJYaczLQBMYnJC4xNDv3eLSj8t6q5hwnRXmxqJnp7FUBHu4
9,Good,43160031911,43160036577,5,tpRMaXF7GzegUcYuWaFGz4HNgF8hyV6PRjL4ory3CFKm5Qu9JogaTSJhzHSpLhFybcvXS72CD5cT9L5
10,Good,43160287885,43160292552,5,qzR4tswhgM4kfaFqTeXQcbPFnXE9kJASZVgpsu8yt7JbYC8mucxAZXoEchmu4TGFgAkuYaesFnPVGW6
11,Good,43160543860,43160548526,5,qLR97tBDphWLHQJR7ZkKrYj5oThAzEWLvrCHx9fFzDTjUyd8Yqup8wqETZcDyd9AWFhGJxmogekD9s7
12,Good,43160799834,43160805167,5,3pZFG4WDxXebQWETMNQXxjDHAWPKcatg7xUjR9ouFAPGLVaSzubJDFkREuoLj6u5Thts6NmjyBADsL8
13,Good,43161055809,43161060475,5,qSY3rsTLP9heZSVRBmqj5gzfUvPQtkcYLQfazBYu8mDNJgq8aBmcHa2gL7D6dYFGNB2ukvpKhPbGWN9
14,Good,43161311783,43161315783,4,rvJawsGBo3pEVxcM8G5fywWpaTjMZxsdNPoTe4yGrjxVEBdAart5YdEVZgyPbzWku7TwZm9qphvn7e1
15,Good,43161567091,43161571757,5,5ZWAuSUh8EWA2PQN7tUDLNBFtP6SrbBoTCcVESZMtxVP9ZShpMLGtV5BDkyRQnUVhMw23b4aYqztaT2
16,Good,43161823065,43161827731,5,tCPzgjHZDPyWchr5nQNeqwuRPSwpERmLgNXcx8VobxNDe7z85FLHCQdjTSCcUvmhK6UayR2zP8gNsU3
17,Good,43162079040,43162083706,5,qJKaLDd834eqTLGCkeUBndR4Nw6Wj7EvKkXGaWgUkhpG56rYTbDp4g7wrq6g5sNZ6bHNjL6SpmWAoK4
18,Good,43162335014,43162340347,5,rdqnZTtqd9Y2VPKcejsU2t7PSKBU64tFjrbuw4zar7gZUWd3D94TzutYHJrWhFpvugsr3RKvZx7wfa5
19,Good,43162592322,43162596988,5,tLQ2qBXhuHEz3ohyvLsBap8TjKVL6GQ5jdpCqUTftxB5gJY8uPpoBKyLrxXY7HBkEDJtea2MSnoCvZ6
20,Good,43162848296,43162852962,5,qam3ZpdU8f5GvpAUjEVxAtNvy2Mfp6XmBfbj8EoYpZf56E7orLUahY7MzDhb7pCJTEPMZWea7JkMTy7
21,Good,43163104270,43163108937,5,VP37tCLbGeWHAF6rudn9SuNVq4cZxt3ATMNErSFHnGrCNdUAazrhMuDdokHrCTucGr3smCLoeWKCGL8
22,Good,43163360245,43163365578,5,c87CUxhJsZGP8jw6GbSxe4qY3ac2hPDWsJSH9M56qEvXFkAGKJHfaKR7nXYLfaNxosSm3hMeV2caD59
23,Good,43163616886,43163620885,4,MrK8bsQSh463KLsY3fP7Ngu6EK47GkMBsopQjWkA5rVhcqSuCLX8QdoaqvKHpUvot2bfCJSKo7xLMc1
24,Good,43163872194,43163876193,4,2H56NPu9hwMcUk6rymPur3NUTMzPdTwQfYyaeFNfxjd7Kmq2dWJGaBDA4bBJAEdZNwLFQUeAN4TXQJ2
25,Good,43164126835,43164131501,5,e8uGbnJFWvaknMXwdAg7xevNCVJ3gsptufLP8BvErxUys3wzFxXrM3ALfDGdQgoGqz2Lgf9v2FqaXT3
26,Good,43164382809,43164387475,5,VCa4Sg3f9s45RyJKN3AGogSY5UvTtJuoMGtxoT8JMymDeC6NaY4kGMFPjJQGmCZYehC8arqUZRzxf54
27,Good,43164638784,43164643450,5,M5xNHgG27QbwXa4Eys2YQ7L5hqQYspyDLxSc8bKAcPfCz7sqLawp2CNVzLmhPktLnDwVuZPcsqCnET5
28,Good,43164894758,43164899424,5,BcYQf7vDHGQgbP2mwM36VaBhZXTgMGS4NdoqSsMoJqwP2DQvasqCWFhbey4JQhBtXSMfkHv2nJbcCa6
29,Good,43165150732,43165155399,5,2KgEzwhHyMXtAaNGq7jVzfgQeycYACvc4YXpfeoYu9tB2aY6VwFz4Ao9xV8EsyKkRFCztaJ6EfwPoX7
30,Good,43165406707,43165411373,5,coPqmAXtd2Lghq6xJtuYhM4no586GMjrBPK5pFoQj84XQHrod38eRtkCramSRd7gav3NEptb7Uptgr8
31,Good,43165662681,43165667347,5,ZgFxke8ZU3CMc8S6zxWZYNCUZ6SKUoMtLpWBcVhGmg9BLwr4akHqWcoAXjxshQNGwjxVBPDSkqVXtd9
32,Good,43165919322,43165923322,4,aMmdE9hyUKvS48su5YN3gZVDY9qTmoEVRmskQfqES9rVjcR3wgFTJfsq7mEHSpmnBtRvYS8DsHTxuY1
33,Good,43166173963,43166178630,5,WEemSF98gkCEFRaLpo62CAurxVEwjM3LNCrDwUgBusKWM2wR7oJygeWTwx7AMXVsz2ChXkUYyRjVkc2
34,Good,43166429938,43166434604,5,fmgsWqfUt9PXfyWbeUyN3hCyZrPEsbMcpvw9cLePnYW6294HyQnDe368SPBf4xKkjbBJU9Pq3gsULk3
35,Good,43166685912,43166690578,5,7zoCrSGgMAm3UCDyTUpwFSEX4y9YP8DZ3EJHSVd7H9nRVzc4A6zgjoxcGH7N6M9Q85qZCTSJKEumcH4
36,Good,43166941887,43166946553,5,V7MdCPehcEyPW94CaSF3hMkxmhqXd3L98NmQtr6AcVNUE5KQCUXVHY3dgHEj3yQJXoTsVEYN9RjfnG5
37,Good,43167197861,43167202527,5,h2krc4UybcVQnbXxvmt9T2GJExV2BAnNgR4t83mD7WxMrztd72SzuTxecjaUnkJQe2vsFrwJRmnBSe6
38,Good,43167453835,43167459168,5,EJ6rfk5bYSKtUuXCbU2n6NujDkfg4zhJxsfRNh96TwgDyB3jLqZ39zXVn5DXhtA5mPGx3Vjqm58C9u7
39,Good,43167709810,43167714476,5,oT3s5p2DNhutDfJNvTUzMX6ZSoJhsP5zS93hN67SWGzK4fgs3VtcjR4oyfMNJUhyVCcEfvuwmzqjTY8
