value_last_recv,timestamp_chg
20653,51656939179
20654,51657191419
20655,51657443363
20656,51657695412
20657,51657947373
20658,51658199325
20659,51658451297
20660,51658703537
20661,51658955534
20662,51659208569
20663,51659461513
20664,51659714383
20665,51659967414
20666,51660220516
20667,51660473699
20668,51660726510
20669,51660979531
20670,51661231706
20671,51661483572
20672,51661735715
20673,51661987568
20674,51662239696
20675,51662491632
20676,51662743694
20677,51662995808
20678,51663247698
20679,51663500797
20680,51663752902
20681,51664004889
20682,51664256863
20683,51664508699
20684,51664760872
20685,51665012723
20686,51665264877
20687,51665517024
20688,51665768877
20689,51666021904
20690,51666275035
20691,51666528039
20692,51666781089
20693,51667033882
20694,51667287073
20695,51667539987
20696,51667792980
20697,51668045089
20698,51668297095
20699,51668549021
20700,51668801169
20701,51669053104
20702,51669305072
20703,51669557046
20704,51669809230
20705,51670062178
20706,51670314268
20707,51670566302
20708,51670818137
20709,51671070328
20710,51671322396
20711,51671574407
20712,51671826433
20713,51672078316
20714,51672330692
20715,51672583352
20716,51672836360
20717,51673089374
20718,51673342424
20719,51673595441
20720,51673848328
20721,51674101462
20722,51674354587
20723,51674606558
20724,51674858452
20725,51675110609
20726,51675362546
20727,51675614454
20728,51675866489
20729,51676118604
20730,51676370595
20731,51676623740
20732,51676875523
20733,51677127587
20734,51677379816
20735,51677631694
20736,51677883809
20737,51678135653
20738,51678387840
20739,51678639779
20740,51678891954
20741,51679144799
20742,51679397736
20743,51679650811
20744,51679903909
20745,51680156736
20746,51680408769
20747,51680661799
20748,51680914879
20749,51681167945
20750,51681420302
20751,51681671959
20752,51681924035
20753,51682175996
20754,51682428011
20755,51682680357
20756,51682932029
20757,51683184043
20758,51683437050
20759,51683689058
20760,51683941101
20761,51684193131
20762,51684445133
20763,51684697015
20764,51684949152
20765,51685201123
20766,51685453279
20767,51685705087
20768,51685958339
20769,51686211368
20770,51686464394
20771,51686717277
20772,51686970135
20773,51687222387
20774,51687475434
20775,51687728351
20776,51687981265
20777,51688233518
20778,51688485460
20779,51688737343
20780,51688989436
20781,51689241345
20782,51689493523
20783,51689745579
20784,51689998471
20785,51690250509
20786,51690502470
20787,51690754593
20788,51691006470
20789,51691258561
20790,51691510612
20791,51691762571
20792,51692014721
20793,51692266572
20794,51692518577
20795,51692771561
20796,51693024534
20797,51693277581
20798,51693529730
20799,51693781770
20800,51694034758
20801,51694287798
20802,51694540820
20803,51694792816
20804,51695044834
20805,51695296860
20806,51695548894
20807,51695800886
20808,51696052915
20809,51696304945
20810,51696556960
20811,51696809994
20812,51697061991
20813,51697314083
20814,51697565946
20815,51697818013
20816,51698070079
20817,51698321998
20818,51698574143
20819,51698825959
20820,51699078146
20821,51699330078
20822,51699583153
20823,51699836107
20824,51700089130
20825,51700341154
20826,51700593173
20827,51700846181
20828,51701099341
20829,51701352203
20830,51701604231
20831,51701856441
20832,51702108294
20833,51702360332
20834,51702612401
20835,51702864218
20836,51703116252
20837,51703369291
20838,51703621441
20839,51703873394
20840,51704125405
20841,51704377446
20842,51704629489
20843,51704881515
20844,51705133638
20845,51705385623
20846,51705637570
20847,51705889409
20848,51706141558
20849,51706394466
20850,51706647653
20851,51706900566
20852,51707152786
20853,51707405723
20854,51707658674
20855,51707911722
20856,51708164681
20857,51708417703
20858,51708669743
20859,51708921749
20860,51709173868
20861,51709425881
20862,51709677744
20863,51709930855
20864,51710182865
20865,51710435003
20866,51710686866
20867,51710938837
20868,51711190858
20869,51711442896
20870,51711694888
20871,51711947007
20872,51712198974
20873,51712450976
20874,51712703097
20875,51712955842
20876,51713209100
20877,51713462002
20878,51713714072
20879,51713966002
20880,51714218026
20881,51714471154
20882,51714724111
20883,51714977228
20884,51715228985
20885,51715481016
20886,51715733107
20887,51715985325
20888,51716237147
20889,51716489202
20890,51716742237
20891,51716994196
20892,51717246238
20893,51717498276
20894,51717750316
20895,51718002284
20896,51718254434
20897,51718506292
20898,51718758517
20899,51719010408
20900,51719262262
20901,51719514282
20902,51719767394
20903,51720020527
20904,51720273388
20905,51720525572
20906,51720777362
20907,51721030455
20908,51721283440
20909,51721536647
20910,51721788568
20911,51722040599
20912,51722292618
20913,51722544621
20914,51722796625
20915,51723048779
20916,51723301646
20917,51723553676
20918,51723805680
20919,51724057695
20920,51724309871
20921,51724561887
20922,51724813736
20923,51725065683
20924,51725317785
20925,51725569888
20926,51725821692
20927,51726073938
20928,51726325812
20929,51726578779
20930,51726830898
20931,51727082948
20932,51727334820
20933,51727586804
20934,51727840015
20935,51728093036
20936,51728346100
20937,51728598085
20938,51728850153
20939,51729101975
20940,51729354147
20941,51729606175
20942,51729858147
20943,51730110985
20944,51730363055
20945,51730615085
20946,51730867130
20947,51731119098
20948,51731371120
20949,51731623283
20950,51731875129
20951,51732127228
20952,51732379232
20953,51732631249
20954,51732883362
20955,51733135163
20956,51733388411
20957,51733640408
20958,51733892425
20959,51734144318
20960,51734396309
20961,51734649404
20962,51734902463
20963,51735155383
20964,51735407360
20965,51735659427
20966,51735911535
20967,51736163476
20968,51736415477
20969,51736668434
20970,51736920610
20971,51737172557
20972,51737424571
20973,51737676673
20974,51737928628
20975,51738180737
20976,51738432679
20977,51738684687
20978,51738936611
20979,51739188605
20980,51739440778
20981,51739692821
20982,51739944672
20983,51740197735
20984,51740449767
20985,51740701782
20986,51740953919
20987,51741205727
20988,51741458891
20989,51741711833
20990,51741964879
20991,51742216864
20992,51742469051
20993,51742720882
20994,51742972930
20995,51743225050
20996,51743478083
20997,51743730041
20998,51743982171
20999,51744234077
21000,51744486021
21001,51744738073
21002,51744989964
21003,51745241974
21004,51745494159
21005,51745746096
21006,51745998083
21007,51746250102
21008,51746503230
21009,51746756113
21010,51747009208
21011,51747261093
21012,51747513297
21013,51747765124
21014,51748018204
21015,51748271335
21016,51748524281
21017,51748776409
21018,51749028406
21019,51749280333
21020,51749532504
21021,51749784336
21022,51750037367
21023,51750289442
21024,51750541539
21025,51750793495
21026,51751045447
21027,51751297566
21028,51751549425
21029,51751801577
21030,51752053582
21031,51752305699
21032,51752557521
21033,51752809617
21034,51753061585
21035,51753313595
21036,51753566719
21037,51753818654
21038,51754070687
21039,51754322742
21040,51754574679
21041,51754827715
21042,51755080738
21043,51755333617
21044,51755585862
21045,51755837879
21046,51756089932
21047,51756341788
21048,51756594960
21049,51756846746
21050,51757098860
21051,51757350877
21052,51757603016
21053,51757854871
21054,51758107026
21055,51758358946
21056,51758610979
21057,51758862968
21058,51759114886
21059,51759367099
21060,51759619052
21061,51759870994
21062,51760123912
21063,51760376029
21064,51760628179
21065,51760880026
21066,51761132258
21067,51761384224
21068,51761637059
21069,51761890076
21070,51762143341
21071,51762395148
21072,51762647259
21073,51762899326
21074,51763151143
21075,51763404406
21076,51763656210
21077,51763908420
21078,51764160407
21079,51764412264
21080,51764664406
21081,51764916293
21082,51765168480
21083,51765420298
21084,51765672477
21085,51765924568
21086,51766176566
21087,51766428511
21088,51766680395
21089,51766933613
21090,51767185675
21091,51767437598
21092,51767689567
21093,51767941567
21094,51768194514
21095,51768447615
21096,51768700522
21097,51768952629
21098,51769204509
21099,51769456528
21100,51769708803
21101,51769961736
21102,51770213723
21103,51770465765
21104,51770717770
21105,51770969814
21106,51771221811
21107,51771473711
21108,51771725731
21109,51771977927
21110,51772229858
21111,51772481964
21112,51772733759
21113,51772985905
21114,51773238027
21115,51773489848
21116,51773742852
21117,51773994892
21118,51774246820
21119,51774498998
21120,51774751063
21121,51775002952
21122,51775255909
21123,51775509133
21124,51775761947
21125,51776014149
21126,51776266253
21127,51776518104
21128,51776771429
21129,51777023170
21130,51777275177
21131,51777527175
21132,51777779233
21133,51778031415
21134,51778283369
21135,51778535364
21136,51778787231
21137,51779039312
21138,51779291396
21139,51779543225
21140,51779795338
21141,51780047397
21142,51780300273
21143,51780552414
21144,51780804393
21145,51781056319
21146,51781308484
21147,51781561427
21148,51781814405
21149,51782067401
21150,51782319540
21151,51782571391
21152,51782823571
21153,51783075412
21154,51783328556
21155,51783581620
21156,51783834456
21157,51784086741
21158,51784338619
21159,51784590566
21160,51784842667
21161,51785094754
21162,51785346735
21163,51785598593
21164,51785850725
21165,51786102856
21166,51786354764
21167,51786606852
21168,51786858893
21169,51787111958
21170,51787363931
21171,51787615916
21172,51787867960
21173,51788119771
21174,51788372057
21175,51788625002
21176,51788877872
21177,51789130977
21178,51789383026
21179,51789634963
21180,51789887086
21181,51790139984
21182,51790391910
21183,51790644109
21184,51790895974
21185,51791148145
21186,51791400106
21187,51791652022
21188,51791904059
21189,51792156130
21190,51792408185
21191,51792660167
21192,51792912347
21193,51793164210
21194,51793416199
21195,51793668232
21196,51793921292
21197,51794173305
21198,51794425221
21199,51794677240
21200,51794929230
