counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,50900919580,50900921580,2,13
1,Good,50901172888,50901173554,1,14
2,Good,50901424863,50901426196,1,15
3,Good,50901676837,50901677504,1,16
4,Good,50901928812,50901930145,1,17
5,Good,50902180787,50902182120,1,18
6,Good,50902432762,50902434095,1,19
7,Good,50902684737,50902686070,1,20
8,Good,50902936711,50902938045,1,21
9,Good,50903188686,50903190019,1,22
10,Good,50903441328,50903443327,2,23
11,Good,50903693969,50903695302,1,24
12,Good,50903945944,50903947277,1,25
13,Good,50904197919,50904199252,1,26
14,Good,50904449893,50904451227,1,27
15,Good,50904701868,50904703201,1,28
16,Good,50904953843,50904955176,1,29
17,Good,50905205818,50905207151,1,30
18,Good,50905457793,50905459126,1,31
19,Good,50905709767,50905711101,1,32
20,Good,50905961742,50905963742,2,33
21,Good,50906215050,50906216383,1,34
22,Good,50906467692,50906469691,2,35
23,Good,50906721000,50906722333,1,36
24,Good,50906972974,50906974308,1,37
25,Good,50907224949,50907226949,2,38
26,Good,50907478257,50907479590,1,39
27,Good,50907730899,50907732898,2,40
28,Good,50907984207,50907985540,1,41
29,Good,50908236848,50908237515,1,42
30,Good,50908488823,50908489489,1,43
31,Good,50908740798,50908742131,1,44
32,Good,50908992772,50908994106,1,45
33,Good,50909244747,50909246080,1,46
34,Good,50909496722,50909498055,1,47
35,Good,50909748697,50909750030,1,48
36,Good,50910000672,50910002005,1,49
37,Good,50910253313,50910255313,2,50
38,Good,50910505954,50910507288,1,51
39,Good,50910757929,50910759262,1,52
40,Good,50911009904,50911011237,1,53
41,Good,50911261879,50911263212,1,54
42,Good,50911513854,50911515187,1,55
43,Good,50911765828,50911767162,1,56
44,Good,50912017803,50912019136,1,57
45,Good,50912269778,50912271111,1,58
46,Good,50912521753,50912523086,1,59
47,Good,50912773728,50912775727,2,60
48,Good,50913027036,50913028369,1,61
49,Good,50913279677,50913280344,1,62
50,Good,50913532318,50913533652,1,63
51,Good,50913784960,50913786293,1,64
52,Good,50914036935,50914038934,2,65
53,Good,50914290243,50914291576,1,66
54,Good,50914542884,50914544884,2,67
55,Good,50914796192,50914797525,1,68
56,Good,50915048833,50915049500,1,69
57,Good,50915300808,50915302141,1,70
58,Good,50915552783,50915554116,1,71
59,Good,50915804758,50915806091,1,72
60,Good,50916056733,50916058066,1,73
61,Good,50916308707,50916310041,1,74
62,Good,50916560682,50916562015,1,75
63,Good,50916813324,50916815323,2,76
64,Good,50917065965,50917067298,1,77
65,Good,50917317940,50917319273,1,78
66,Good,50917569915,50917571248,1,79
67,Good,50917821889,50917823223,1,80
68,Good,50918073864,50918075197,1,81
69,Good,50918325839,50918327172,1,82
70,Good,50918577814,50918579147,1,83
71,Good,50918829789,50918831122,1,84
72,Good,50919081763,50919083097,1,85
73,Good,50919333738,50919335071,1,86
74,Good,50919585713,50919587713,2,87
75,Good,50919839021,50919840354,1,88
76,Good,50920092329,50920093662,1,89
77,Good,50920344970,50920346304,1,90
78,Good,50920596945,50920598945,2,91
79,Good,50920850253,50920851586,1,92
80,Good,50921102895,50921104894,2,93
81,Good,50921356203,50921357536,1,94
82,Good,50921608844,50921609511,1,95
83,Good,50921860819,50921861485,1,96
84,Good,50922112794,50922114127,1,97
85,Good,50922364768,50922366102,1,98
86,Good,50922616743,50922618076,1,99
87,Good,50922868718,50922870051,1,100
88,Good,50923120693,50923122026,1,101
89,Good,50923372668,50923374001,1,102
90,Good,50923625309,50923627309,2,103
91,Good,50923877950,50923879284,1,104
92,Good,50924129925,50924131258,1,105
93,Good,50924381900,50924383233,1,106
94,Good,50924633875,50924635208,1,107
95,Good,50924885850,50924887183,1,108
96,Good,50925137824,50925139158,1,109
97,Good,50925389799,50925391132,1,110
98,Good,50925641774,50925643107,1,111
99,Good,50925893749,50925895082,1,112
100,Good,50926145724,50926147723,2,113
101,Good,50926399032,50926400365,1,114
102,Good,50926651673,50926653673,2,115
103,Good,50926904981,50926906314,1,116
104,Good,50927156956,50927158289,1,117
105,Good,50927408931,50927410264,1,118
106,Good,50927660905,50927662905,2,119
107,Good,50927914213,50927915547,1,120
108,Good,50928166855,50928167521,1,121
109,Good,50928418830,50928419496,1,122
110,Good,50928670804,50928672138,1,123
111,Good,50928922779,50928924112,1,124
112,Good,50929174754,50929176087,1,125
113,Good,50929426729,50929428062,1,126
114,Good,50929678704,50929680037,1,127
115,Good,50929930678,50929932012,1,128
116,Good,50930183320,50930185320,2,129
117,Good,50930435961,50930437294,1,130
118,Good,50930687936,50930689269,1,131
119,Good,50930939911,50930941244,1,132
120,Good,50931191886,50931193219,1,133
121,Good,50931443860,50931445194,1,134
122,Good,50931695835,50931697168,1,135
123,Good,50931947810,50931949143,1,136
124,Good,50932199785,50932201118,1,137
125,Good,50932451760,50932453093,1,138
126,Good,50932703734,50932705068,1,139
127,Good,50932955709,50932957709,2,140
128,Good,50933209017,50933210350,1,141
129,Good,50933462325,50933463658,1,142
130,Good,50933714967,50933716300,1,143
131,Good,50933966941,50933968275,1,144
132,Good,50934218916,50934220916,2,145
133,Good,50934472224,50934473557,1,146
134,Good,50934724866,50934726865,2,147
135,Good,50934978174,50934979507,1,148
136,Good,50935230815,50935231482,1,149
137,Good,50935482790,50935484123,1,150
138,Good,50935734765,50935736098,1,151
139,Good,50935986739,50935988073,1,152
140,Good,50936238714,50936240047,1,153
141,Good,50936490689,50936492022,1,154
142,Good,50936743330,50936744664,1,155
143,Good,50936995972,50936997305,1,156
144,Good,50937247947,50937249280,1,157
145,Good,50937499921,50937501255,1,158
146,Good,50937751896,50937753229,1,159
147,Good,50938003871,50938005204,1,160
148,Good,50938255846,50938257179,1,161
149,Good,50938507821,50938509154,1,162
150,Good,50938759795,50938761129,1,163
151,Good,50939011770,50939013103,1,164
152,Good,50939263745,50939265078,1,165
153,Good,50939515720,50939517053,1,166
154,Good,50939767695,50939769694,2,167
155,Good,50940021003,50940022336,1,168
156,Good,50940274311,50940275644,1,169
157,Good,50940526952,50940528285,1,170
158,Good,50940778927,50940780260,1,171
159,Good,50941030902,50941032901,2,172
160,Good,50941284210,50941285543,1,173
161,Good,50941536851,50941538851,2,174
162,Good,50941790159,50941791492,1,175
163,Good,50942042800,50942043467,1,176
164,Good,50942294775,50942296108,1,177
165,Good,50942546750,50942548083,1,178
166,Good,50942798725,50942800058,1,179
167,Good,50943050700,50943052033,1,180
168,Good,50943302674,50943304008,1,181
169,Good,50943555316,50943556649,1,182
170,Good,50943807957,50943809290,1,183
171,Good,50944059932,50944061265,1,184
172,Good,50944311907,50944313240,1,185
173,Good,50944563882,50944565215,1,186
174,Good,50944815856,50944817190,1,187
175,Good,50945067831,50945069164,1,188
176,Good,50945319806,50945321139,1,189
177,Good,50945571781,50945573114,1,190
178,Good,50945823756,50945825089,1,191
179,Good,50946075730,50946077064,1,192
180,Good,50946327705,50946329705,2,193
181,Good,50946581013,50946582346,1,194
182,Good,50946834321,50946835654,1,195
183,Good,50947086963,50947088296,1,196
184,Good,50947338937,50947340271,1,197
185,Good,50947590912,50947592245,1,198
186,Good,50947842887,50947844887,2,199
187,Good,50948096195,50948097528,1,200
188,Good,50948348836,50948349503,1,201
189,Good,50948600811,50948601478,1,202
190,Good,50948852786,50948853453,1,203
191,Good,50949104761,50949106094,1,204
192,Good,50949356736,50949358069,1,205
193,Good,50949608710,50949610044,1,206
194,Good,50949860685,50949862018,1,207
195,Good,50950113327,50950114660,1,208
196,Good,50950365968,50950367301,1,209
197,Good,50950617943,50950619276,1,210
198,Good,50950869918,50950871251,1,211
199,Good,50951121892,50951123226,1,212
200,Good,50951373867,50951375200,1,213
201,Good,50951625842,50951627175,1,214
202,Good,50951877817,50951879150,1,215
203,Good,50952129792,50952131125,1,216
204,Good,50952381766,50952383100,1,217
205,Good,50952633741,50952635074,1,218
206,Good,50952885716,50952887049,1,219
207,Good,50953137691,50953139691,2,220
208,Good,50953390999,50953392332,1,221
209,Good,50953642974,50953644307,1,222
210,Good,50953894948,50953896282,1,223
211,Good,50954146923,50954148256,1,224
212,Good,50954398898,50954400231,1,225
213,Good,50954650873,50954652873,2,226
214,Good,50954904181,50954905514,1,227
215,Good,50955156822,50955157489,1,228
216,Good,50955408797,50955409464,1,229
217,Good,50955660772,50955661438,1,230
218,Good,50955912747,50955914080,1,231
219,Good,50956164721,50956166055,1,232
220,Good,50956416696,50956418029,1,233
221,Good,50956668671,50956670004,1,234
222,Good,50956921312,50956923312,2,235
223,Good,50957173954,50957175287,1,236
224,Good,50957425929,50957427262,1,237
225,Good,50957677903,50957679237,1,238
226,Good,50957929878,50957931211,1,239
227,Good,50958181853,50958183186,1,240
228,Good,50958433828,50958435161,1,241
229,Good,50958685803,50958687136,1,242
230,Good,50958937777,50958939111,1,243
231,Good,50959189752,50959191085,1,244
232,Good,50959441727,50959443060,1,245
233,Good,50959693702,50959695035,1,246
234,Good,50959945677,50959947676,2,247
235,Good,50960198985,50960200318,1,248
236,Good,50960450959,50960452293,1,249
237,Good,50960702934,50960704267,1,250
238,Good,50960954909,50960956242,1,251
239,Good,50961206884,50961208884,2,252
240,Good,50961460192,50961461525,1,253
241,Good,50961712833,50961714833,2,254
242,Good,50961966141,50961967474,1,255
243,Good,50962218783,50962219449,1,256
244,Good,50962470757,50962472091,1,257
245,Good,50962722732,50962724065,1,258
246,Good,50962974707,50962976040,1,259
247,Good,50963226682,50963228015,1,260
248,Good,50963479323,50963480656,1,261
249,Good,50963731965,50963732631,1,262
250,Good,50963983939,50963984606,1,263
251,Good,50964235914,50964237247,1,264
252,Good,50964487889,50964489222,1,265
253,Good,50964739864,50964741197,1,266
254,Good,50964991839,50964993172,1,267
255,Good,50965243813,50965245147,1,268
256,Good,50965495788,50965497121,1,269
257,Good,50965747763,50965749096,1,270
258,Good,50965999738,50966001071,1,271
259,Good,50966251713,50966253046,1,272
260,Good,50966503687,50966505687,2,273
261,Good,50966756995,50966758329,1,274
262,Good,50967008970,50967010303,1,275
263,Good,50967260945,50967262278,1,276
