counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,51404935173,51404937173,2,26515
1,Good,51405187815,51405189148,1,26516
2,Good,51405439789,51405441123,1,26517
3,Good,51405691764,51405693097,1,26518
4,Good,51405943739,51405945072,1,26519
5,Good,51406195714,51406197047,1,26520
6,Good,51406447689,51406449022,1,26521
7,Good,51406700330,51406700997,1,26522
8,Good,51406952305,51406952971,1,26523
9,Good,51407204280,51407205613,1,26524
10,Good,51407456921,51407458254,1,26525
11,Good,51407708896,51407710229,1,26526
12,Good,51407960871,51407962204,1,26527
13,Good,51408212845,51408214845,2,26528
14,Good,51408466153,51408467487,1,26529
15,Good,51408718795,51408720795,2,26530
16,Good,51408972103,51408973436,1,26531
17,Good,51409224744,51409225411,1,26532
18,Good,51409476719,51409478052,1,26533
19,Good,51409728694,51409730027,1,26534
20,Good,51409980669,51409982002,1,26535
21,Good,51410233310,51410234643,1,26536
22,Good,51410485951,51410486618,1,26537
23,Good,51410737926,51410738593,1,26538
24,Good,51410989901,51410990568,1,26539
25,Good,51411241876,51411243209,1,26540
26,Good,51411493851,51411495184,1,26541
27,Good,51411745825,51411747159,1,26542
28,Good,51411997800,51411999133,1,26543
29,Good,51412249775,51412251108,1,26544
30,Good,51412501750,51412503083,1,26545
31,Good,51412753725,51412755058,1,26546
32,Good,51413005699,51413007033,1,26547
33,Good,51413257674,51413259007,1,26548
34,Good,51413510316,51413510982,1,26549
35,Good,51413762290,51413763624,1,26550
36,Good,51414014932,51414016265,1,26551
37,Good,51414266907,51414268240,1,26552
38,Good,51414518881,51414520215,1,26553
39,Good,51414770856,51414772189,1,26554
40,Good,51415022831,51415024164,1,26555
41,Good,51415274806,51415276806,2,26556
42,Good,51415528114,51415529447,1,26557
43,Good,51415780755,51415782755,2,26558
44,Good,51416034063,51416035396,1,26559
45,Good,51416286705,51416288038,1,26560
46,Good,51416538679,51416540013,1,26561
47,Good,51416791321,51416792654,1,26562
48,Good,51417043962,51417045962,2,26563
49,Good,51417297270,51417298603,1,26564
50,Good,51417549912,51417550578,1,26565
51,Good,51417801886,51417802553,1,26566
52,Good,51418053861,51418055194,1,26567
53,Good,51418305836,51418307169,1,26568
54,Good,51418557811,51418559144,1,26569
55,Good,51418809786,51418811119,1,26570
56,Good,51419061760,51419063094,1,26571
57,Good,51419313735,51419315068,1,26572
58,Good,51419565710,51419567043,1,26573
59,Good,51419817685,51419819018,1,26574
60,Good,51420070326,51420070993,1,26575
61,Good,51420322301,51420322968,1,26576
62,Good,51420574276,51420575609,1,26577
63,Good,51420826917,51420828250,1,26578
64,Good,51421078892,51421080225,1,26579
65,Good,51421330867,51421332200,1,26580
66,Good,51421582842,51421584175,1,26581
67,Good,51421834816,51421836816,2,26582
68,Good,51422088124,51422089458,1,26583
69,Good,51422340766,51422342766,2,26584
70,Good,51422594074,51422595407,1,26585
71,Good,51422846715,51422848048,1,26586
72,Good,51423098690,51423100023,1,26587
73,Good,51423351331,51423352665,1,26588
74,Good,51423603973,51423605973,2,26589
75,Good,51423857281,51423858614,1,26590
76,Good,51424109922,51424110589,1,26591
77,Good,51424361897,51424362564,1,26592
78,Good,51424613872,51424615205,1,26593
79,Good,51424865847,51424867180,1,26594
80,Good,51425117821,51425119155,1,26595
81,Good,51425369796,51425371129,1,26596
82,Good,51425621771,51425623104,1,26597
83,Good,51425873746,51425875079,1,26598
84,Good,51426125721,51426127054,1,26599
85,Good,51426377695,51426379029,1,26600
86,Good,51426629670,51426631003,1,26601
87,Good,51426882312,51426882978,1,26602
88,Good,51427134286,51427135620,1,26603
89,Good,51427386928,51427388261,1,26604
90,Good,51427638903,51427640236,1,26605
91,Good,51427890877,51427892211,1,26606
92,Good,51428142852,51428144185,1,26607
93,Good,51428394827,51428396160,1,26608
94,Good,51428646802,51428648802,2,26609
95,Good,51428900110,51428901443,1,26610
96,Good,51429152751,51429154751,2,26611
97,Good,51429406059,51429407392,1,26612
98,Good,51429658701,51429659367,1,26613
99,Good,51429910675,51429912009,1,26614
100,Good,51430163317,51430164650,1,26615
101,Good,51430415958,51430417958,2,26616
102,Good,51430669266,51430670599,1,26617
103,Good,51430921908,51430922574,1,26618
104,Good,51431173882,51431175216,1,26619
105,Good,51431425857,51431427190,1,26620
106,Good,51431677832,51431679165,1,26621
107,Good,51431929807,51431931140,1,26622
108,Good,51432181782,51432183115,1,26623
109,Good,51432433756,51432435090,1,26624
110,Good,51432685731,51432687064,1,26625
111,Good,51432937706,51432939039,1,26626
112,Good,51433189681,51433191014,1,26627
113,Good,51433442322,51433442989,1,26628
114,Good,51433694297,51433694964,1,26629
115,Good,51433946272,51433947605,1,26630
116,Good,51434198913,51434200246,1,26631
117,Good,51434450888,51434452221,1,26632
118,Good,51434702863,51434704196,1,26633
119,Good,51434954838,51434956171,1,26634
120,Good,51435206812,51435208146,1,26635
121,Good,51435458787,51435460787,2,26636
122,Good,51435712095,51435713428,1,26637
123,Good,51435964737,51435966736,2,26638
124,Good,51436218045,51436219378,1,26639
125,Good,51436470686,51436472019,1,26640
126,Good,51436723327,51436724661,1,26641
127,Good,51436975969,51436977969,2,26642
128,Good,51437229277,51437230610,1,26643
129,Good,51437481918,51437482585,1,26644
130,Good,51437733893,51437734560,1,26645
131,Good,51437985868,51437986534,1,26646
132,Good,51438237843,51438239176,1,26647
133,Good,51438489817,51438491151,1,26648
134,Good,51438741792,51438743125,1,26649
135,Good,51438993767,51438995100,1,26650
136,Good,51439245742,51439247075,1,26651
137,Good,51439497717,51439499050,1,26652
138,Good,51439749691,51439751025,1,26653
139,Good,51440002333,51440004333,2,26654
140,Good,51440254974,51440256307,1,26655
141,Good,51440506949,51440508282,1,26656
142,Good,51440758924,51440760257,1,26657
143,Good,51441010899,51441012232,1,26658
144,Good,51441262873,51441264207,1,26659
145,Good,51441514848,51441516181,1,26660
146,Good,51441766823,51441768156,1,26661
147,Good,51442018798,51442020798,2,26662
148,Good,51442272106,51442273439,1,26663
149,Good,51442524747,51442526747,2,26664
150,Good,51442778055,51442779388,1,26665
151,Good,51443030697,51443031363,1,26666
152,Good,51443282671,51443283338,1,26667
153,Good,51443535313,51443536646,1,26668
154,Good,51443787954,51443789954,2,26669
155,Good,51444041262,51444042595,1,26670
156,Good,51444293904,51444294570,1,26671
157,Good,51444545878,51444546545,1,26672
158,Good,51444797853,51444799186,1,26673
159,Good,51445049828,51445051161,1,26674
160,Good,51445301803,51445303136,1,26675
161,Good,51445553778,51445555111,1,26676
162,Good,51445805752,51445807086,1,26677
163,Good,51446057727,51446059060,1,26678
164,Good,51446309702,51446311035,1,26679
165,Good,51446561677,51446563010,1,26680
166,Good,51446814318,51446816318,2,26681
167,Good,51447066960,51447068293,1,26682
168,Good,51447318934,51447320268,1,26683
169,Good,51447570909,51447572242,1,26684
170,Good,51447822884,51447824217,1,26685
171,Good,51448074859,51448076192,1,26686
172,Good,51448326834,51448328167,1,26687
173,Good,51448578808,51448580142,1,26688
174,Good,51448830783,51448832116,1,26689
175,Good,51449082758,51449084758,2,26690
176,Good,51449336066,51449337399,1,26691
177,Good,51449588707,51449589374,1,26692
178,Good,51449840682,51449841349,1,26693
179,Good,51450093324,51450094657,1,26694
180,Good,51450345965,51450347965,2,26695
181,Good,51450599273,51450600606,1,26696
182,Good,51450851914,51450853914,2,26697
183,Good,51451105222,51451106556,1,26698
184,Good,51451357864,51451358530,1,26699
185,Good,51451609839,51451611172,1,26700
186,Good,51451861813,51451863147,1,26701
187,Good,51452113788,51452115121,1,26702
188,Good,51452365763,51452367096,1,26703
189,Good,51452617738,51452619071,1,26704
190,Good,51452869713,51452871046,1,26705
191,Good,51453121687,51453123021,1,26706
192,Good,51453374329,51453376329,2,26707
193,Good,51453626970,51453628303,1,26708
194,Good,51453878945,51453880278,1,26709
195,Good,51454130920,51454132253,1,26710
196,Good,51454382895,51454384228,1,26711
197,Good,51454634869,51454636203,1,26712
198,Good,51454886844,51454888177,1,26713
199,Good,51455138819,51455140152,1,26714
200,Good,51455390794,51455392794,2,26715
201,Good,51455644102,51455645435,1,26716
202,Good,51455896743,51455898743,2,26717
203,Good,51456150051,51456151384,1,26718
204,Good,51456402693,51456403359,1,26719
205,Good,51456654667,51456655334,1,26720
206,Good,51456907309,51456908642,1,26721
207,Good,51457159950,51457161950,2,26722
208,Good,51457413258,51457414591,1,26723
209,Good,51457665900,51457666566,1,26724
210,Good,51457917874,51457918541,1,26725
211,Good,51458169849,51458170516,1,26726
212,Good,51458421824,51458423157,1,26727
213,Good,51458673799,51458675132,1,26728
214,Good,51458925774,51458927107,1,26729
215,Good,51459177748,51459179082,1,26730
216,Good,51459429723,51459431056,1,26731
217,Good,51459681698,51459683031,1,26732
218,Good,51459933673,51459935006,1,26733
219,Good,51460186314,51460188314,2,26734
220,Good,51460438956,51460440289,1,26735
221,Good,51460690930,51460692264,1,26736
222,Good,51460942905,51460944238,1,26737
223,Good,51461194880,51461196213,1,26738
224,Good,51461446855,51461448188,1,26739
225,Good,51461698830,51461700163,1,26740
226,Good,51461950804,51461952804,2,26741
227,Good,51462204112,51462205446,1,26742
228,Good,51462456754,51462458754,2,26743
229,Good,51462710062,51462711395,1,26744
230,Good,51462962703,51462964703,2,26745
231,Good,51463216011,51463217344,1,26746
232,Good,51463469319,51463470652,1,26747
233,Good,51463721961,51463723960,2,26748
234,Good,51463975269,51463976602,1,26749
235,Good,51464227910,51464229910,2,26750
236,Good,51464481218,51464482551,1,26751
237,Good,51464733859,51464734526,1,26752
238,Good,51464985834,51464987167,1,26753
239,Good,51465237809,51465239142,1,26754
240,Good,51465489784,51465491117,1,26755
241,Good,51465741759,51465743092,1,26756
242,Good,51465993733,51465995067,1,26757
243,Good,51466245708,51466247041,1,26758
244,Good,51466497683,51466499016,1,26759
245,Good,51466750324,51466752324,2,26760
246,Good,51467002966,51467004299,1,26761
247,Good,51467254941,51467256274,1,26762
248,Good,51467506915,51467508249,1,26763
249,Good,51467758890,51467760223,1,26764
250,Good,51468010865,51468012198,1,26765
251,Good,51468262840,51468264173,1,26766
252,Good,51468514815,51468516148,1,26767
253,Good,51468766789,51468768123,1,26768
254,Good,51469018764,51469020097,1,26769
255,Good,51469270739,51469272739,2,26770
256,Good,51469524047,51469525380,1,26771
257,Good,51469776688,51469777355,1,26772
258,Good,51470029330,51470030663,1,26773
259,Good,51470281971,51470283971,2,26774
260,Good,51470535279,51470536612,1,26775
261,Good,51470787921,51470789920,2,26776
262,Good,51471041229,51471042562,1,26777
263,Good,51471293870,51471294537,1,26778
264,Good,51471545845,51471546511,1,26779
265,Good,51471797820,51471799153,1,26780
266,Good,51472049794,51472051128,1,26781
267,Good,51472301769,51472303102,1,26782
