counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,51152931709,51152933043,1,989.150000
1,Good,51153183684,51153185017,1,990.100000
2,Good,51153436326,51153437659,1,991.050000
3,Good,51153688967,51153689634,1,992.000000
4,Good,51153940942,51153941608,1,992.950000
5,Good,51154192917,51154194250,1,993.900000
6,Good,51154444891,51154446225,1,994.850000
7,Good,51154696866,51154698199,1,995.800000
8,Good,51154948841,51154950174,1,996.750000
9,Good,51155200816,51155202149,1,997.700000
10,Good,51155452791,51155454124,1,998.650000
11,Good,51155704765,51155706099,1,999.600000
12,Good,51155956740,51155958073,1,1000.550000
13,Good,51156208715,51156210048,1,1001.500000
14,Good,51156460690,51156462690,2,1002.450000
15,Good,51156713998,51156715331,1,1003.400000
16,Good,51156965973,51156967306,1,1004.350000
17,Good,51157217947,51157219281,1,1005.300000
18,Good,51157469922,51157471255,1,1006.250000
19,Good,51157721897,51157723230,1,1007.200000
20,Good,51157973872,51157975205,1,1008.150000
21,Good,51158225847,51158227846,2,1009.100000
22,Good,51158479155,51158480488,1,1010.050000
23,Good,51158731796,51158732463,1,1011.000000
24,Good,51158983771,51158984437,1,1011.950000
25,Good,51159235746,51159237079,1,1012.900000
26,Good,51159487720,51159489054,1,1013.850000
27,Good,51159739695,51159741028,1,1014.800000
28,Good,51159991670,51159993003,1,1015.750000
29,Good,51160244311,51160245645,1,1016.700000
30,Good,51160496953,51160498286,1,1017.650000
31,Good,51160748928,51160750261,1,1018.600000
32,Good,51161000902,51161002236,1,1019.550000
33,Good,51161252877,51161254210,1,1020.500000
34,Good,51161504852,51161506185,1,1021.450000
35,Good,51161756827,51161758160,1,1022.400000
36,Good,51162008802,51162010135,1,1023.350000
37,Good,51162260776,51162262110,1,1024.300000
38,Good,51162512751,51162514084,1,1025.250000
39,Good,51162764726,51162766059,1,1026.200000
40,Good,51163016701,51163018034,1,1027.150000
41,Good,51163268676,51163270009,1,1028.100000
42,Good,51163521317,51163522650,1,1029.050000
43,Good,51163773958,51163775292,1,1030.000000
44,Good,51164025933,51164027266,1,1030.950000
45,Good,51164277908,51164279241,1,1031.900000
46,Good,51164529883,51164531883,2,1032.850000
47,Good,51164783191,51164784524,1,1033.800000
48,Good,51165035832,51165037832,2,1034.750000
49,Good,51165289140,51165290473,1,1035.700000
50,Good,51165541782,51165542448,1,1036.650000
51,Good,51165793756,51165795090,1,1037.600000
52,Good,51166045731,51166046398,1,1038.550000
53,Good,51166297706,51166299039,1,1039.500000
54,Good,51166549681,51166551014,1,1040.450000
55,Good,51166802322,51166803655,1,1041.400000
56,Good,51167054964,51167055630,1,1042.350000
57,Good,51167306938,51167308272,1,1043.300000
58,Good,51167558913,51167560246,1,1044.250000
59,Good,51167810888,51167812221,1,1045.200000
60,Good,51168062863,51168064196,1,1046.150000
61,Good,51168314838,51168316171,1,1047.100000
62,Good,51168566812,51168568146,1,1048.050000
63,Good,51168818787,51168820120,1,1049.000000
64,Good,51169070762,51169072095,1,1049.950000
65,Good,51169322737,51169324070,1,1050.900000
66,Good,51169574712,51169576045,1,1051.850000
67,Good,51169826686,51169828020,1,1052.800000
68,Good,51170079328,51170080661,1,1053.750000
69,Good,51170331969,51170333302,1,1054.700000
70,Good,51170583944,51170585277,1,1055.650000
71,Good,51170835919,51170837252,1,1056.600000
72,Good,51171087894,51171089227,1,1057.550000
73,Good,51171339868,51171341868,2,1058.500000
74,Good,51171593176,51171594510,1,1059.450000
75,Good,51171845818,51171847818,2,1060.400000
76,Good,51172099126,51172100459,1,1061.350000
77,Good,51172351767,51172352434,1,1062.300000
78,Good,51172603742,51172604409,1,1063.250000
79,Good,51172855717,51172857050,1,1064.200000
80,Good,51173107692,51173109025,1,1065.150000
81,Good,51173360333,51173361666,1,1066.100000
82,Good,51173612974,51173613641,1,1067.050000
83,Good,51173864949,51173865616,1,1068.000000
84,Good,51174116924,51174117591,1,1068.950000
85,Good,51174368899,51174370232,1,1069.900000
86,Good,51174620874,51174622207,1,1070.850000
87,Good,51174872848,51174874182,1,1071.800000
88,Good,51175124823,51175126156,1,1072.750000
89,Good,51175376798,51175378131,1,1073.700000
90,Good,51175628773,51175630106,1,1074.650000
91,Good,51175880748,51175882081,1,1075.600000
92,Good,51176132722,51176134056,1,1076.550000
93,Good,51176384697,51176386030,1,1077.500000
94,Good,51176636672,51176638005,1,1078.450000
95,Good,51176889313,51176890647,1,1079.400000
96,Good,51177141955,51177143288,1,1080.350000
97,Good,51177393930,51177395263,1,1081.300000
98,Good,51177645904,51177647238,1,1082.250000
99,Good,51177897879,51177899879,2,1083.200000
100,Good,51178151187,51178152520,1,1084.150000
101,Good,51178403829,51178405828,2,1085.100000
102,Good,51178657137,51178658470,1,1086.050000
103,Good,51178909778,51178910445,1,1087.000000
104,Good,51179161753,51179162419,1,1087.950000
105,Good,51179413728,51179414394,1,1088.900000
106,Good,51179665702,51179667036,1,1089.850000
107,Good,51179917677,51179919010,1,1090.800000
108,Good,51180170319,51180171652,1,1091.750000
109,Good,51180422960,51180423627,1,1092.700000
110,Good,51180674935,51180675601,1,1093.650000
111,Good,51180926910,51180928243,1,1094.600000
112,Good,51181178884,51181180218,1,1095.550000
113,Good,51181430859,51181432192,1,1096.500000
114,Good,51181682834,51181684167,1,1097.450000
115,Good,51181934809,51181936142,1,1098.400000
116,Good,51182186784,51182188117,1,1099.350000
117,Good,51182438758,51182440092,1,1100.300000
118,Good,51182690733,51182692066,1,1101.250000
119,Good,51182942708,51182944041,1,1102.200000
120,Good,51183194683,51183196016,1,1103.150000
121,Good,51183447324,51183447991,1,1104.100000
122,Good,51183699299,51183700632,1,1105.050000
123,Good,51183951940,51183953274,1,1106.000000
124,Good,51184203915,51184205248,1,1106.950000
125,Good,51184455890,51184457223,1,1107.900000
126,Good,51184707865,51184709198,1,1108.850000
127,Good,51184959840,51184961839,2,1109.800000
128,Good,51185213148,51185214481,1,1110.750000
129,Good,51185465789,51185466456,1,1111.700000
130,Good,51185717764,51185718430,1,1112.650000
131,Good,51185969739,51185970405,1,1113.600000
132,Good,51186221713,51186223047,1,1114.550000
133,Good,51186473688,51186475021,1,1115.500000
134,Good,51186726330,51186727663,1,1116.450000
135,Good,51186978971,51186979638,1,1117.400000
136,Good,51187230946,51187231612,1,1118.350000
137,Good,51187482921,51187483587,1,1119.300000
138,Good,51187734895,51187736229,1,1120.250000
139,Good,51187986870,51187988203,1,1121.200000
140,Good,51188238845,51188240178,1,1122.150000
141,Good,51188490820,51188492153,1,1123.100000
142,Good,51188742795,51188744128,1,1124.050000
143,Good,51188994769,51188996103,1,1125.000000
144,Good,51189246744,51189248077,1,1125.950000
145,Good,51189498719,51189500052,1,1126.900000
146,Good,51189750694,51189752027,1,1127.850000
147,Good,51190002669,51190004002,1,1128.800000
148,Good,51190255310,51190255977,1,1129.750000
149,Good,51190507285,51190508618,1,1130.700000
150,Good,51190759926,51190761259,1,1131.650000
151,Good,51191011901,51191013234,1,1132.600000
152,Good,51191263876,51191265209,1,1133.550000
153,Good,51191515851,51191517850,2,1134.500000
154,Good,51191769159,51191770492,1,1135.450000
155,Good,51192021800,51192023800,2,1136.400000
156,Good,51192275108,51192276441,1,1137.350000
157,Good,51192527749,51192528416,1,1138.300000
158,Good,51192779724,51192780391,1,1139.250000
159,Good,51193031699,51193032366,1,1140.200000
160,Good,51193283674,51193285007,1,1141.150000
161,Good,51193536315,51193537648,1,1142.100000
162,Good,51193788957,51193789623,1,1143.050000
163,Good,51194040931,51194041598,1,1144.000000
164,Good,51194292906,51194293573,1,1144.950000
165,Good,51194544881,51194546214,1,1145.900000
166,Good,51194796856,51194798189,1,1146.850000
167,Good,51195048831,51195050164,1,1147.800000
168,Good,51195300805,51195302139,1,1148.750000
169,Good,51195552780,51195554113,1,1149.700000
170,Good,51195804755,51195806088,1,1150.650000
171,Good,51196056730,51196058063,1,1151.600000
172,Good,51196308705,51196310038,1,1152.550000
173,Good,51196560679,51196562013,1,1153.500000
174,Good,51196813321,51196813987,1,1154.450000
175,Good,51197065296,51197065962,1,1155.400000
176,Good,51197317270,51197318604,1,1156.350000
177,Good,51197569912,51197571245,1,1157.300000
178,Good,51197821887,51197823220,1,1158.250000
