value_last_recv,timestamp_chg
13,58576526713
14,58576779744
15,58577031772
16,58577283813
17,58577535785
18,58577787845
19,58578039832
20,58578291848
21,58578543873
22,58578795901
23,58579048920
24,58579300952
25,58579552988
26,58579804997
27,58580057057
28,58580310025
29,58580563061
30,58580815084
31,58581067064
32,58581320092
33,58581573105
34,58581826144
35,58582079160
36,58582332185
37,58582584200
38,58582837248
39,58583090241
40,58583343272
41,58583595265
42,58583847301
43,58584099301
44,58584351337
45,58584603313
46,58584855353
47,58585107364
48,58585359377
49,58585611404
50,58585864453
51,58586116433
52,58586368497
53,58586620481
54,58586872513
55,58587124537
56,58587377552
57,58587630552
58,58587882596
59,58588135600
60,58588388637
61,58588641648
62,58588893669
63,58589146701
64,58589399733
65,58589652729
66,58589905725
67,58590158760
68,58590410785
69,58590662805
70,58590914824
71,58591166857
72,58591418845
73,58591670865
74,58591922912
75,58592174897
76,58592427920
77,58592679949
78,58592931976
79,58593184037
80,58593436024
81,58593688041
82,58593940060
83,58594192073
84,58594445128
85,58594698121
86,58594951160
87,58595204184
88,58595457169
89,58595710197
90,58595963229
91,58596216244
92,58596469252
93,58596722256
94,58596975292
95,58597228452
96,58597480316
97,58597732329
98,58597984333
99,58598236433
100,58598488392
101,58598740437
102,58598993445
103,58599245468
104,58599497509
105,58599749493
106,58600001512
107,58600253528
108,58600505572
109,58600757584
110,58601009593
111,58601261621
112,58601514605
113,58601767673
114,58602020677
115,58602273717
116,58602526732
117,58602778757
118,58603031828
119,58603284793
120,58603537812
121,58603789825
122,58604041844
123,58604293893
124,58604545849
125,58604797869
126,58605049885
127,58605301920
128,58605553905
129,58605806981
130,58606058976
131,58606311036
132,58606563033
133,58606815065
134,58607067085
135,58607320101
136,58607573172
137,58607825149
138,58608077165
139,58608330168
140,58608583209
141,58608836200
142,58609089256
143,58609342241
144,58609594224
145,58609847300
146,58610100284
147,58610353317
148,58610605344
149,58610857381
150,58611109384
151,58611361397
152,58611613401
153,58611865465
154,58612117449
155,58612370493
156,58612622497
157,58612874521
158,58613126532
159,58613378553
160,58613630557
161,58613882589
162,58614134608
163,58614387633
164,58614640621
165,58614892645
166,58615145777
167,58615398713
168,58615651752
169,58615904753
170,58616157765
171,58616410808
172,58616663837
173,58616916820
174,58617169833
175,58617422865
176,58617674917
177,58617926917
178,58618178897
179,58618431001
180,58618682984
181,58618934989
182,58619188036
183,58619440044
184,58619692101
185,58619944065
186,58620196192
187,58620449101
188,58620702137
189,58620954177
190,58621206141
191,58621459188
192,58621712181
193,58621965209
194,58622218236
195,58622471228
196,58622723289
197,58622975280
198,58623228333
199,58623481341
200,58623734344
201,58623986388
202,58624238405
203,58624490416
204,58624742401
205,58624994428
206,58625246473
207,58625498460
208,58625751504
209,58626003529
210,58626255552
211,58626507585
212,58626759600
213,58627011592
214,58627263624
215,58627515625
216,58627767668
217,58628019680
218,58628271697
219,58628524693
220,58628777748
221,58629030772
222,58629282776
223,58629534776
224,58629786861
225,58630039820
226,58630292876
227,58630545844
228,58630797936
229,58631049916
230,58631301925
231,58631553969
232,58631805976
233,58632058009
234,58632310032
235,58632563045
236,58632815076
237,58633067060
238,58633319117
239,58633571249
240,58633824144
241,58634077157
242,58634329184
243,58634581168
244,58634833229
245,58635085245
246,58635338277
247,58635591241
248,58635844277
249,58636096292
250,58636348337
251,58636601337
252,58636854337
253,58637107364
254,58637360397
255,58637613401
256,58637865424
257,58638117452
258,58638369461
259,58638621493
260,58638873517
261,58639126512
262,58639378548
263,58639630553
264,58639882596
265,58640134645
266,58640386624
267,58640638625
268,58640890652
269,58641142669
270,58641395733
271,58641648709
272,58641900753
273,58642153769
274,58642406793
275,58642659809
276,58642911837
277,58643163849
278,58643416861
279,58643669873
280,58643922900
281,58644174937
282,58644426941
283,58644678952
284,58644931000
285,58645183008
286,58645435025
287,58645688028
288,58645940049
