value_last_recv,timestamp_chg
20653,59333119192
20654,59333372261
20655,59333625236
20656,59333878273
20657,59334131292
20658,59334384313
20659,59334637332
20660,59334890344
20661,59335143332
20662,59335395372
20663,59335648393
20664,59335901425
20665,59336154424
20666,59336407425
20667,59336660484
20668,59336912485
20669,59337164485
20670,59337416540
20671,59337668537
20672,59337920573
20673,59338173537
20674,59338426576
20675,59338679620
20676,59338933664
20677,59339185649
20678,59339437689
20679,59339690749
20680,59339943725
20681,59340196733
20682,59340449760
20683,59340702784
20684,59340955808
20685,59341208801
20686,59341461849
20687,59341714869
20688,59341967869
20689,59342221888
20690,59342474888
20691,59342727913
20692,59342980972
20693,59343233952
20694,59343486001
20695,59343738008
20696,59343990044
20697,59344242061
20698,59344494097
20699,59344746101
20700,59344999121
20701,59345252136
20702,59345505152
20703,59345759189
20704,59346011193
20705,59346264213
20706,59346517233
20707,59346770264
20708,59347023292
20709,59347276276
20710,59347529317
20711,59347782332
20712,59348035364
20713,59348288365
20714,59348541373
20715,59348794404
20716,59349047433
20717,59349300445
20718,59349553440
20719,59349806476
20720,59350059493
20721,59350311532
20722,59350563553
20723,59350815573
20724,59351067561
20725,59351319589
20726,59351571601
20727,59351824644
20728,59352077645
20729,59352330701
20730,59352582693
20731,59352834740
20732,59353087725
20733,59353340744
20734,59353593744
20735,59353846812
20736,59354099793
20737,59354352860
20738,59354605853
20739,59354858869
20740,59355111884
20741,59355364896
20742,59355617912
20743,59355870945
20744,59356123953
20745,59356377029
20746,59356630009
20747,59356883024
20748,59357135001
20749,59357387100
20750,59357639089
20751,59357891141
20752,59358143152
20753,59358396177
20754,59358649165
20755,59358902212
20756,59359154196
20757,59359406236
20758,59359659260
20759,59359912261
20760,59360165304
20761,59360418320
20762,59360671316
20763,59360924324
20764,59361177349
20765,59361430392
20766,59361683405
20767,59361936424
20768,59362189408
20769,59362442445
20770,59362695460
20771,59362948513
20772,59363201469
20773,59363454516
20774,59363706549
20775,59363958596
20776,59364210620
20777,59364462604
20778,59364714624
20779,59364966681
20780,59365219685
20781,59365472673
20782,59365725701
20783,59365977716
20784,59366229733
20785,59366482761
20786,59366735768
20787,59366988785
20788,59367241824
20789,59367494833
20790,59367747840
20791,59368000865
20792,59368253880
20793,59368506924
20794,59368759976
20795,59369014008
20796,59369266988
20797,59369519997
20798,59369773040
20799,59370026084
20800,59370279061
20801,59370532085
20802,59370784128
20803,59371036109
20804,59371288136
20805,59371540168
20806,59371793197
20807,59372046168
20808,59372299204
20809,59372551236
20810,59372803288
20811,59373056273
20812,59373309308
20813,59373562329
20814,59373815333
20815,59374068345
20816,59374321376
20817,59374574385
20818,59374827425
20819,59375080429
20820,59375333445
20821,59375586461
20822,59375839512
20823,59376092505
20824,59376345521
20825,59376598520
20826,59376851573
20827,59377103604
20828,59377355621
20829,59377607612
20830,59377859633
20831,59378111661
20832,59378363692
20833,59378616700
20834,59378870724
20835,59379122768
20836,59379374733
20837,59379626788
20838,59379879825
20839,59380132813
20840,59380385828
20841,59380638853
20842,59380891873
20843,59381144880
20844,59381397921
20845,59381650920
20846,59381903976
20847,59382156909
20848,59382410013
20849,59382663020
20850,59382916037
20851,59383169037
20852,59383422069
20853,59383675121
20854,59383927100
20855,59384179137
20856,59384431145
20857,59384683200
20858,59384935188
20859,59385187333
20860,59385440233
20861,59385694245
20862,59385946276
20863,59386198273
20864,59386450309
20865,59386703341
20866,59386956337
20867,59387209356
20868,59387462364
20869,59387715409
20870,59387968413
20871,59388221404
20872,59388474477
20873,59388727492
20874,59388980489
20875,59389233505
20876,59389486548
20877,59389739548
20878,59389992589
20879,59390245585
20880,59390498608
20881,59390750641
20882,59391002641
20883,59391254677
20884,59391506696
20885,59391758693
20886,59392010716
20887,59392263745
20888,59392515752
20889,59392767773
20890,59393019793
20891,59393271797
20892,59393524844
20893,59393777841
20894,59394030884
20895,59394283889
20896,59394536909
20897,59394789944
20898,59395042992
20899,59395295992
20900,59395548997
20901,59395802032
20902,59396055045
20903,59396308073
20904,59396561077
20905,59396814113
20906,59397067132
20907,59397320172
20908,59397572149
20909,59397824180
20910,59398076225
20911,59398328228
20912,59398580221
20913,59398832249
20914,59399085272
20915,59399337325
20916,59399589349
20917,59399841333
20918,59400093341
20919,59400346384
20920,59400599369
20921,59400852457
20922,59401105449
20923,59401358441
20924,59401611464
20925,59401864501
20926,59402117516
20927,59402370516
20928,59402623536
20929,59402876577
20930,59403129569
20931,59403382617
20932,59403635621
20933,59403888661
20934,59404141684
20935,59404393720
20936,59404645704
20937,59404897721
20938,59405149741
20939,59405401801
20940,59405654768
20941,59405906805
20942,59406158833
20943,59406410841
20944,59406662869
20945,59406915900
20946,59407168880
20947,59407421920
20948,59407674948
20949,59407927936
20950,59408181008
20951,59408434017
20952,59408687028
20953,59408940040
20954,59409193027
20955,59409446112
20956,59409699093
20957,59409952113
20958,59410205116
20959,59410458156
20960,59410711192
20961,59410963220
20962,59411215188
20963,59411467245
20964,59411719264
20965,59411971309
20966,59412224328
20967,59412476344
20968,59412728336
20969,59412980341
20970,59413232341
20971,59413484373
20972,59413737388
20973,59413990405
20974,59414243429
20975,59414496453
20976,59414749480
20977,59415002496
20978,59415255520
20979,59415508549
20980,59415761561
20981,59416014569
20982,59416267573
20983,59416520632
20984,59416773640
20985,59417026652
20986,59417279672
20987,59417532681
20988,59417784720
20989,59418036720
20990,59418288756
20991,59418540745
20992,59418792796
20993,59419045821
20994,59419297821
20995,59419549857
20996,59419801889
20997,59420053913
20998,59420306909
20999,59420559933
21000,59420812928
21001,59421065981
21002,59421319005
21003,59421572016
21004,59421825037
21005,59422078060
21006,59422331065
21007,59422584080
21008,59422837120
21009,59423090180
21010,59423343157
21011,59423596152
21012,59423849188
21013,59424102201
21014,59424354268
21015,59424606229
21016,59424858277
21017,59425110325
21018,59425362341
21019,59425615304
21020,59425867352
21021,59426119340
21022,59426371401
21023,59426623381
21024,59426875433
21025,59427128424
21026,59427381445
21027,59427634469
21028,59427887520
21029,59428140488
21030,59428393529
21031,59428646540
21032,59428899545
21033,59429152589
21034,59429405609
21035,59429658609
21036,59429911673
21037,59430164712
21038,59430417701
21039,59430670708
21040,59430923704
21041,59431175712
21042,59431427736
21043,59431679780
21044,59431931772
21045,59432184824
21046,59432436844
21047,59432688877
21048,59432940881
21049,59433192912
21050,59433444908
21051,59433696917
21052,59433949937
21053,59434202997
21054,59434456024
21055,59434709024
21056,59434962064
21057,59435215008
21058,59435468089
21059,59435721112
21060,59435974129
21061,59436227152
21062,59436480177
21063,59436733244
21064,59436986193
21065,59437239204
21066,59437492232
21067,59437745265
21068,59437997285
21069,59438249292
21070,59438501297
21071,59438753325
21072,59439006361
21073,59439258352
21074,59439510428
21075,59439762421
21076,59440014429
21077,59440266465
21078,59440519461
21079,59440772489
21080,59441025484
21081,59441278528
21082,59441531556
21083,59441784576
21084,59442037585
21085,59442290608
21086,59442543621
21087,59442796657
21088,59443049661
21089,59443302677
21090,59443555661
21091,59443808736
21092,59444061761
21093,59444314773
21094,59444566781
21095,59444818841
21096,59445070833
21097,59445322880
21098,59445575849
21099,59445827860
21100,59446079905
21101,59446331913
21102,59446583917
21103,59446835956
21104,59447087985
21105,59447341009
21106,59447594016
21107,59447847068
21108,59448100080
21109,59448353100
21110,59448606097
21111,59448859140
21112,59449112136
21113,59449365168
21114,59449618193
21115,59449871221
21116,59450124220
21117,59450377248
21118,59450630280
21119,59450883300
21120,59451136288
21121,59451388337
21122,59451640336
21123,59451892360
21124,59452144369
21125,59452397381
21126,59452649392
21127,59452901409
21128,59453153433
21129,59453405448
21130,59453657488
21131,59453910496
21132,59454163568
21133,59454416576
21134,59454669572
21135,59454922584
21136,59455175624
21137,59455428609
21138,59455681648
21139,59455934644
21140,59456187692
21141,59456440693
21142,59456693708
21143,59456946732
21144,59457199764
21145,59457452769
21146,59457705776
21147,59457957808
21148,59458209808
21149,59458461825
21150,59458713869
21151,59458966900
21152,59459219917
21153,59459472941
21154,59459724969
21155,59459976981
21156,59460228993
21157,59460481017
21158,59460734073
21159,59460987033
21160,59461240100
21161,59461493089
21162,59461746093
21163,59461999137
21164,59462252120
21165,59462505168
21166,59462758188
21167,59463011217
21168,59463264200
21169,59463517248
21170,59463770261
21171,59464023276
21172,59464276316
21173,59464529305
21174,59464781336
21175,59465033357
21176,59465285381
21177,59465538429
21178,59465791401
21179,59466044440
21180,59466296444
21181,59466548464
21182,59466800489
21183,59467052517
21184,59467304528
21185,59467557532
21186,59467810577
21187,59468063584
21188,59468316597
21189,59468569645
21190,59468822657
21191,59469075669
21192,59469328705
21193,59469581692
21194,59469834753
21195,59470087780
21196,59470340789
21197,59470593808
21198,59470846800
21199,59471100804
21200,59471353837
21201,59471606865
21202,59471858884
21203,59472110877
21204,59472363912
21205,59472616937
21206,59472869981
21207,59473121973
21208,59473374000
21209,59473626044
21210,59473878061
21211,59474131064
21212,59474384109
21213,59474637108
21214,59474890132
21215,59475143161
21216,59475396200
21217,59475649193
21218,59475902233
21219,59476155228
21220,59476408217
21221,59476661353
21222,59476914261
21223,59477167473
21224,59477420301
21225,59477673344
21226,59477926328
21227,59478178364
21228,59478430365
21229,59478682401
21230,59478935445
21231,59479188437
21232,59479441464
21233,59479693504
21234,59479945512
21235,59480197537
21236,59480449545
21237,59480701569
21238,59480954597
21239,59481207616
21240,59481460617
21241,59481713661
21242,59481966641
21243,59482219688
21244,59482472681
21245,59482725713
21246,59482978720
21247,59483231756
21248,59483484788
21249,59483737800
21250,59483990797
21251,59484243856
21252,59484496852
21253,59484749888
21254,59485001884
21255,59485253909
21256,59485505940
21257,59485758944
21258,59486011988
21259,59486264996
21260,59486517025
21261,59486769025
21262,59487021057
21263,59487273029
21264,59487525076
21265,59487778116
21266,59488031120
21267,59488284180
21268,59488537153
21269,59488790221
21270,59489043237
21271,59489296236
21272,59489549253
21273,59489802305
21274,59490055272
21275,59490308304
21276,59490561312
21277,59490814389
21278,59491067344
21279,59491320405
21280,59491573416
21281,59491825433
21282,59492077453
21283,59492330469
21284,59492583469
21285,59492836489
21286,59493088524
21287,59493340521
21288,59493592536
21289,59493844576
21290,59494096581
21291,59494349616
21292,59494602649
21293,59494855661
21294,59495108688
21295,59495361673
21296,59495615709
21297,59495868741
21298,59496121737
21299,59496374757
21300,59496627784
21301,59496880829
21302,59497133821
21303,59497386828
21304,59497639845
21305,59497892888
21306,59498145904
21307,59498398925
21308,59498650932
21309,59498903981
21310,59499156993
21311,59499410020
21312,59499662064
21313,59499914061
21314,59500166112
21315,59500418100
21316,59500670124
21317,59500922145
21318,59501175132
21319,59501428164
21320,59501681221
21321,59501934245
21322,59502187217
21323,59502440241
21324,59502693273
21325,59502946292
21326,59503199281
21327,59503452336
21328,59503705320
21329,59503958368
21330,59504211365
21331,59504464404
21332,59504717421
21333,59504970440
21334,59505222420
21335,59505474465
21336,59505727496
21337,59505980493
21338,59506233497
21339,59506485536
21340,59506737553
21341,59506989584
21342,59507241612
21343,59507493617
21344,59507745660
21345,59507998673
21346,59508251704
21347,59508504692
21348,59508757717
21349,59509010721
21350,59509262761
21351,59509515824
21352,59509768796
21353,59510021825
21354,59510274836
21355,59510527884
21356,59510780877
21357,59511033909
21358,59511286893
21359,59511539937
21360,59511793001
21361,59512045969
21362,59512298956
21363,59512552005
21364,59512805033
21365,59513058081
21366,59513311073
21367,59513563101
21368,59513815105
21369,59514067132
21370,59514319169
21371,59514571197
21372,59514824208
21373,59515077213
21374,59515330249
21375,59515584268
21376,59515836285
21377,59516089281
21378,59516342329
21379,59516595329
21380,59516848341
21381,59517101348
21382,59517354380
21383,59517607401
21384,59517860432
21385,59518113409
21386,59518366465
21387,59518619457
21388,59518872489
21389,59519125516
21390,59519378545
21391,59519631545
21392,59519884613
21393,59520136597
21394,59520388617
21395,59520640636
21396,59520892657
21397,59521144681
21398,59521397697
21399,59521650724
21400,59521903733
21401,59522156748
21402,59522409756
21403,59522661788
21404,59522914805
21405,59523167828
21406,59523420844
21407,59523673856
21408,59523927876
21409,59524180921
21410,59524433933
21411,59524686976
21412,59524939971
21413,59525193024
21414,59525445048
21415,59525698029
21416,59525951037
21417,59526204072
21418,59526457092
21419,59526710108
21420,59526962124
21421,59527214156
21422,59527466144
21423,59527718192
21424,59527970221
21425,59528223244
21426,59528476225
21427,59528729244
21428,59528983297
21429,59529235324
21430,59529488320
21431,59529741364
21432,59529994377
21433,59530247404
21434,59530500391
21435,59530753405
21436,59531006416
21437,59531259445
21438,59531512485
21439,59531765488
21440,59532018524
21441,59532271516
21442,59532524541
21443,59532777592
21444,59533030568
21445,59533283597
21446,59533535632
21447,59533787657
21448,59534039664
21449,59534291697
21450,59534543693
21451,59534795749
21452,59535048724
21453,59535301765
21454,59535554772
21455,59535806828
21456,59536059817
21457,59536312828
21458,59536565876
21459,59536818869
21460,59537071905
21461,59537324884
21462,59537577968
21463,59537830973
21464,59538083984
21465,59538336977
21466,59538590049
21467,59538843065
21468,59539096073
21469,59539349077
21470,59539602112
21471,59539855132
21472,59540107164
21473,59540359145
21474,59540611185
21475,59540863237
21476,59541115209
21477,59541367280
21478,59541620284
21479,59541873312
21480,59542126316
21481,59542380321
21482,59542632324
21483,59542884361
21484,59543137373
21485,59543390385
21486,59543643404
21487,59543896429
21488,59544149432
21489,59544402445
21490,59544655481
21491,59544908505
21492,59545161540
21493,59545414560
21494,59545668613
21495,59545921581
21496,59546174629
21497,59546427613
21498,59546680649
21499,59546932657
21500,59547184685
21501,59547436705
21502,59547688736
21503,59547940757
21504,59548192749
21505,59548445756
21506,59548698793
21507,59548951804
21508,59549203860
21509,59549455840
21510,59549708881
21511,59549961884
21512,59550214929
21513,59550467920
21514,59550720952
21515,59550973956
21516,59551227021
21517,59551480009
21518,59551733060
21519,59551986056
21520,59552239072
21521,59552492096
21522,59552745108
21523,59552998165
21524,59553251173
21525,59553504160
21526,59553756193
21527,59554008200
21528,59554260221
21529,59554512240
21530,59554764277
21531,59555016297
21532,59555269337
21533,59555523328
21534,59555775332
21535,59556027369
21536,59556279389
21537,59556532396
21538,59556785421
21539,59557038429
21540,59557291460
21541,59557544469
21542,59557797500
21543,59558050513
21544,59558303533
21545,59558556556
21546,59558809584
21547,59559063569
21548,59559316624
21549,59559569612
21550,59559822665
21551,59560075664
21552,59560327688
21553,59560579708
21554,59560831756
21555,59561083736
21556,59561335757
21557,59561587789
21558,59561840820
21559,59562093828
21560,59562346872
21561,59562598889
21562,59562850925
21563,59563103928
21564,59563356901
21565,59563609953
21566,59563863044
21567,59564115977
21568,59564369033
21569,59564622049
21570,59564875105
21571,59565128088
21572,59565381096
21573,59565634085
21574,59565887144
21575,59566140149
21576,59566393197
21577,59566646160
21578,59566899224
21579,59567151233
21580,59567403264
21581,59567655301
21582,59567907280
21583,59568159321
21584,59568411329
21585,59568664329
21586,59568918369
21587,59569170365
21588,59569422373
21589,59569674420
21590,59569927441
21591,59570180441
21592,59570433485
21593,59570686477
21594,59570939525
21595,59571192525
21596,59571445545
21597,59571698557
21598,59571951588
21599,59572204633
21600,59572457621
21601,59572710632
21602,59572963661
21603,59573216684
21604,59573469684
21605,59573722713
21606,59573974760
21607,59574226784
21608,59574478773
21609,59574730820
21610,59574982817
21611,59575234856
21612,59575487844
21613,59575741869
21614,59575993912
21615,59576245933
21616,59576497952
21617,59576750968
21618,59577003988
21619,59577257012
21620,59577510020
21621,59577763053
21622,59578016049
21623,59578269108
21624,59578522116
21625,59578775105
21626,59579028153
21627,59579281160
21628,59579534185
21629,59579787229
21630,59580040237
21631,59580293296
21632,59580546244
