value_last_recv,timestamp_chg
RwvC98nhs2cj8J9ZcyLRamTgzMorJHgxs39uw7oZy5DuemApJ9zxVmocNLwT6YjUozFJPneKuafgCPL,59856562765
5f4WVnjLRF6KmUXNSkLuAx7CtTofADGLdQbox6F35wPVYyufSMyp95s7Tk6oRCy8bW3sYVdTzMjmo4E,59856964736
wzVWJsUoqPCngLb8BH4ArVjpXEPfMAz6KUmkW2oh5n8AYzuv8nAjCuQZJBarKmRnYgpCVJa6rWGRQa2,59857361713
dhnUXHJCpvAz9TG3yrhkznuaftjV5CU6pxkGPb8SzGLZDh4megVn2A34zYhqus5TdeujPkSYvahAqBb,59857761681
Q7CPEhT4KsfPaM5URgfPoBgnpDeJG8TSQxgw2C5aZzNepLkQBHmv6ekZQXBkg6JFwcp3kwNLUHA2cT4,59858159624
VQB8XuKcYnvDHdrPnRNuQV6yohem96GukpfQGztC438RtU28QnfG4ENhyf54AwHBtGj4fKaCvgLqNno,59858560624
6cCbAnyqRVDyaEZ9wTxjqBg75SKyc2rjkMgzqodJ3fBAy5au7nUHT5FfscAMYodPzXMb7nKEgJA65bP,59858960593
TAKDuv4JmRNnecjQwhk5Anp8kmoHYJcr5EXfBRq72aATR7a6TSWULbJGvucwfFhdKZBjfs69AtLoxHC,59859360513
wjaULr8bmSuABtScop4LsGhVzM9BnXDfFZqNbo46GqvUZEwDur3XsNmVGQ8koHWhc5UmQNRw93jew5P,59859760497
gdmF6NtvmcDVFQqXVgGfX5Bj8fAhWoSJCtUMhBb9UFqsm7Knye7oamcBHZMLY7K4TV5dxTEHMSP8AVS,59860160408
JBL3ebHXKD5P3wyX5CMtSZCVmdsQVfdve8bA6LVhcu834w7sUvkYsuzKYf3bwvgZcWxX92zLxoDcJxg,59860561336
8t5MFvrQUa3JwfEjkuebMYEJpmArXZp63xHK2GyJR6Gpvzn5WfjcSsVHuaJqgU5v6Q9Y4sd6WKQRYWx,59860962332
fbHBoFGcEtXmKkMxCqco4k3myQ4aoEefPVh4XzaWcmrSCezfwJMW5thfMXLqyAN2XyBSZLQFKR3j4vu,59861363320
86QtcB9naHv8E5qNX8hgN5XcLfCGDNpc6W4hHmVPMYCBymHKjbaQxsVW9zbjTh4FeJgwfEvmUx2VohX,59861765304
kXDpndF4cBVSErv7Hqyn4PU7Atqa9TEwdNGvKZuDwbx6G2ANdzqHsap4w5tkBNStA5pNHKg6tTGsMyN,59862163257
g8QGCWxBXM9L2f6jDRcTzkYZBc8s4AkgXNfU4XBSLhQU2TMZPgKG62xhB3zSdLYncTPJ7ERhZzDEKuT,59862564216
jE8hfAuczsE9yt7UMBtsxokFhsdMXvK7Hh3WUrupv2bFAn3VL8DbR5c3AwegEDGzRkAdQD76Lx9g2TC,59862964173
AeVtp4c5nPCcVK94shvS4sJwjAXRFBq3cK6NMhPBf8t639khw5YFvL64FogNWj2VACqegQXtZ2qQXpN,59863363169
DwWJrBvEYnr9UvbnwhmTYV39Bfq2YGBj6EW7LsBaXo95rMyWPwpb8QSCuhrvS2XVCcQWNpU8du9GxcB,59863763124
9GugCoPt9DoqZM6JkpEy8YXfHq6Aptgm4PRh2ue4fR83PHoKs8TCKvHoGmFDS9Y4JxSbokt4j6bGZo3,59864162120
azMeGPZcUBPbsGCfrcpWKVCJdPHV65bHxRJbABMxEW9egYDxKkEq2c8tKU4XvgR8NQhbnJWQpK9rtRH,59864563096
Q5HaUkwucmQsJq3fRbWgm6z8MsuHhc2JmZcGVAX7WFqJjTuVC4WedDXnjEAUCJYhfRZY5a8kPzKwX38,59864962045
o945vQo4krGQXCZvWApMBovnWFdapMD9zRdHbsLUvpdVPWG48v3QHC2Rh3knGysWwjEfguTdaFHqsXj,59865360980
xmuH3PgXyeh5vpS8L6FdJcrq6WLA2tBCLoEqxPTphGJZfBVFbzXyrGkpKE62VW7uf2jBMSW7mZ6BTSJ,59865759949
oaU3KcZNSLjV35B2Px6YUfe8wvoKFt25YedqMXh68D3cnwRjEXN9hG5VFXxuCLardZfKBXbWcnesHzX,59866157880
uZC8zfMoSzXQ8bKFDeoB7y5ZnSamLsF9cnL8WwXntRdvwcqVsGdwjHhMPuBFGSQduRMsQGASpVL2d85,59866556833
