counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58576407913,58576409913,2,13
1,Good,58576661221,58576662555,1,14
2,Good,58576913863,58576915196,1,15
3,Good,58577165838,58577167171,1,16
4,Good,58577417812,58577419146,1,17
5,Good,58577669787,58577671120,1,18
6,Good,58577921762,58577923095,1,19
7,Good,58578173737,58578175070,1,20
8,Good,58578425712,58578427045,1,21
9,Good,58578677686,58578679020,1,22
10,Good,58578930328,58578932328,2,23
11,Good,58579182969,58579184302,1,24
12,Good,58579434944,58579436277,1,25
13,Good,58579686919,58579688252,1,26
14,Good,58579938894,58579940893,2,27
15,Good,58580192202,58580193535,1,28
16,Good,58580444843,58580446176,1,29
17,Good,58580696818,58580698151,1,30
18,Good,58580948793,58580950792,2,31
19,Good,58581202101,58581203434,1,32
20,Good,58581454742,58581456742,2,33
21,Good,58581708050,58581709383,1,34
22,Good,58581960691,58581962691,2,35
23,Good,58582213999,58582215333,1,36
24,Good,58582465974,58582467974,2,37
25,Good,58582719282,58582720615,1,38
26,Good,58582971924,58582973923,2,39
27,Good,58583225232,58583226565,1,40
28,Good,58583477873,58583478540,1,41
29,Good,58583729848,58583731181,1,42
30,Good,58583981823,58583983156,1,43
31,Good,58584233797,58584235131,1,44
32,Good,58584485772,58584487105,1,45
33,Good,58584737747,58584739080,1,46
34,Good,58584989722,58584991055,1,47
35,Good,58585241697,58585243030,1,48
36,Good,58585493671,58585495005,1,49
37,Good,58585746313,58585748313,2,50
38,Good,58585998954,58586000287,1,51
39,Good,58586250929,58586252262,1,52
40,Good,58586502904,58586504237,1,53
41,Good,58586754879,58586756212,1,54
42,Good,58587006853,58587008853,2,55
43,Good,58587260161,58587261495,1,56
44,Good,58587512803,58587514136,1,57
45,Good,58587764778,58587766777,2,58
46,Good,58588018086,58588020085,2,59
47,Good,58588270727,58588272727,2,60
48,Good,58588524035,58588525368,1,61
49,Good,58588776676,58588777343,1,62
50,Good,58589029318,58589030651,1,63
51,Good,58589281959,58589283959,2,64
52,Good,58589535267,58589536600,1,65
53,Good,58589787909,58589789908,2,66
54,Good,58590041217,58590043216,2,67
55,Good,58590293858,58590294525,1,68
56,Good,58590545833,58590547166,1,69
57,Good,58590797808,58590799141,1,70
58,Good,58591049782,58591051116,1,71
59,Good,58591301757,58591303090,1,72
60,Good,58591553732,58591555065,1,73
61,Good,58591805707,58591807040,1,74
62,Good,58592057682,58592059015,1,75
63,Good,58592310323,58592312323,2,76
64,Good,58592562964,58592564298,1,77
65,Good,58592814939,58592816272,1,78
66,Good,58593066914,58593068247,1,79
67,Good,58593318889,58593320222,1,80
68,Good,58593570864,58593572197,1,81
69,Good,58593822838,58593824172,1,82
70,Good,58594074813,58594076813,2,83
71,Good,58594328121,58594329454,1,84
72,Good,58594580763,58594582762,2,85
73,Good,58594834071,58594835404,1,86
74,Good,58595086712,58595088712,2,87
75,Good,58595340020,58595341353,1,88
76,Good,58595593328,58595594661,1,89
77,Good,58595845969,58595847969,2,90
78,Good,58596099277,58596101277,2,91
79,Good,58596351919,58596353919,2,92
80,Good,58596605227,58596606560,1,93
81,Good,58596857868,58596859868,2,94
82,Good,58597111176,58597113176,2,95
83,Good,58597363818,58597365151,1,96
84,Good,58597615792,58597617126,1,97
85,Good,58597867767,58597869100,1,98
86,Good,58598119742,58598121075,1,99
87,Good,58598371717,58598373050,1,100
88,Good,58598623692,58598625025,1,101
89,Good,58598876333,58598878333,2,102
90,Good,58599128974,58599130308,1,103
91,Good,58599380949,58599382282,1,104
92,Good,58599632924,58599634257,1,105
93,Good,58599884899,58599886232,1,106
94,Good,58600136874,58600138207,1,107
95,Good,58600388848,58600390182,1,108
96,Good,58600640823,58600642156,1,109
97,Good,58600892798,58600894131,1,110
98,Good,58601144773,58601146773,2,111
99,Good,58601398081,58601399414,1,112
100,Good,58601650722,58601652722,2,113
101,Good,58601904030,58601906030,2,114
102,Good,58602156672,58602158671,2,115
103,Good,58602409980,58602411313,1,116
104,Good,58602661954,58602663954,2,117
105,Good,58602915262,58602917262,2,118
106,Good,58603167904,58603169904,2,119
107,Good,58603421212,58603422545,1,120
108,Good,58603673853,58603674520,1,121
109,Good,58603925828,58603927161,1,122
110,Good,58604177803,58604179136,1,123
111,Good,58604429778,58604431111,1,124
112,Good,58604681752,58604683086,1,125
113,Good,58604933727,58604935060,1,126
114,Good,58605185702,58605187035,1,127
115,Good,58605437677,58605439010,1,128
116,Good,58605690318,58605692318,2,129
117,Good,58605942960,58605944293,1,130
118,Good,58606194934,58606196268,1,131
119,Good,58606446909,58606448242,1,132
120,Good,58606698884,58606700217,1,133
121,Good,58606950859,58606952859,2,134
122,Good,58607204167,58607205500,1,135
123,Good,58607456808,58607458141,1,136
124,Good,58607708783,58607710116,1,137
125,Good,58607960758,58607962758,2,138
126,Good,58608214066,58608215399,1,139
127,Good,58608466707,58608468707,2,140
128,Good,58608720015,58608721348,1,141
129,Good,58608973323,58608974656,1,142
130,Good,58609225965,58609227298,1,143
131,Good,58609477939,58609479939,2,144
132,Good,58609731247,58609732581,1,145
133,Good,58609983889,58609985889,2,146
134,Good,58610237197,58610238530,1,147
135,Good,58610489838,58610490505,1,148
136,Good,58610741813,58610743146,1,149
137,Good,58610993788,58610995121,1,150
138,Good,58611245763,58611247096,1,151
139,Good,58611497737,58611499071,1,152
140,Good,58611749712,58611751045,1,153
141,Good,58612001687,58612003020,1,154
142,Good,58612254328,58612256328,2,155
143,Good,58612506970,58612508303,1,156
144,Good,58612758945,58612760278,1,157
145,Good,58613010919,58613012253,1,158
