counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,59333053575,59333055574,2,20653
1,Good,59333306883,59333308882,2,20654
2,Good,59333560191,59333561524,1,20655
3,Good,59333812832,59333814832,2,20656
4,Good,59334066140,59334068140,2,20657
5,Good,59334318781,59334320781,2,20658
6,Good,59334572089,59334574089,2,20659
7,Good,59334824731,59334826731,2,20660
8,Good,59335078039,59335080039,2,20661
9,Good,59335330680,59335332013,1,20662
10,Good,59335583322,59335585321,2,20663
11,Good,59335835963,59335837963,2,20664
12,Good,59336089271,59336091271,2,20665
13,Good,59336341912,59336343912,2,20666
14,Good,59336595220,59336597220,2,20667
15,Good,59336847862,59336849195,1,20668
16,Good,59337099837,59337101170,1,20669
17,Good,59337351811,59337353145,1,20670
18,Good,59337603786,59337605119,1,20671
19,Good,59337855761,59337857761,2,20672
20,Good,59338109069,59338110402,1,20673
21,Good,59338361710,59338363710,2,20674
22,Good,59338615018,59338616352,1,20675
23,Good,59338868326,59338870326,2,20676
24,Good,59339120968,59339122301,1,20677
25,Good,59339372943,59339374942,2,20678
26,Good,59339626251,59339627584,1,20679
27,Good,59339878892,59339880892,2,20680
28,Good,59340132200,59340133533,1,20681
29,Good,59340384841,59340386841,2,20682
30,Good,59340638149,59340640149,2,20683
31,Good,59340890791,59340892791,2,20684
32,Good,59341144099,59341146099,2,20685
33,Good,59341396740,59341398740,2,20686
34,Good,59341650048,59341652048,2,20687
35,Good,59341902690,59341905356,3,20688
36,Good,59342157331,59342159331,2,20689
37,Good,59342409972,59342411972,2,20690
38,Good,59342663280,59342665280,2,20691
39,Good,59342915922,59342917921,2,20692
40,Good,59343169230,59343171229,2,20693
41,Good,59343421871,59343423204,1,20694
42,Good,59343673846,59343675179,1,20695
43,Good,59343925821,59343927154,1,20696
44,Good,59344177795,59344179129,1,20697
45,Good,59344429770,59344431103,1,20698
46,Good,59344681745,59344683745,2,20699
47,Good,59344935053,59344936386,1,20700
48,Good,59345187694,59345189694,2,20701
49,Good,59345441002,59345442336,1,20702
50,Good,59345694310,59345696310,2,20703
51,Good,59345946952,59345948952,2,20704
52,Good,59346200260,59346201593,1,20705
53,Good,59346452901,59346454901,2,20706
54,Good,59346706209,59346707542,1,20707
55,Good,59346958851,59346960850,2,20708
56,Good,59347212159,59347213492,1,20709
57,Good,59347464800,59347466800,2,20710
58,Good,59347718108,59347720108,2,20711
59,Good,59347970749,59347972749,2,20712
60,Good,59348224057,59348226057,2,20713
61,Good,59348476699,59348478699,2,20714
62,Good,59348730007,59348732007,2,20715
63,Good,59348983315,59348985315,2,20716
64,Good,59349235956,59349237956,2,20717
65,Good,59349489264,59349491264,2,20718
66,Good,59349741906,59349743905,2,20719
67,Good,59349995214,59349997213,2,20720
68,Good,59350247855,59350249188,1,20721
69,Good,59350499830,59350501163,1,20722
70,Good,59350751805,59350753138,1,20723
71,Good,59351003779,59351005113,1,20724
72,Good,59351255754,59351257087,1,20725
73,Good,59351507729,59351509729,2,20726
74,Good,59351761037,59351762370,1,20727
75,Good,59352013678,59352015678,2,20728
76,Good,59352266986,59352268320,1,20729
77,Good,59352518961,59352520294,1,20730
78,Good,59352770936,59352772936,2,20731
79,Good,59353024244,59353025577,1,20732
80,Good,59353276885,59353278885,2,20733
81,Good,59353530193,59353531527,1,20734
82,Good,59353782835,59353784835,2,20735
83,Good,59354036143,59354038143,2,20736
84,Good,59354288784,59354290784,2,20737
85,Good,59354542092,59354544092,2,20738
86,Good,59354794734,59354796733,2,20739
87,Good,59355048042,59355050041,2,20740
88,Good,59355300683,59355302683,2,20741
89,Good,59355553991,59355555991,2,20742
90,Good,59355807299,59355809299,2,20743
91,Good,59356059940,59356061940,2,20744
92,Good,59356313248,59356315248,2,20745
93,Good,59356565890,59356567890,2,20746
94,Good,59356819198,59356821198,2,20747
95,Good,59357071839,59357073172,1,20748
96,Good,59357323814,59357325147,1,20749
97,Good,59357575789,59357577122,1,20750
98,Good,59357827764,59357829097,1,20751
99,Good,59358079738,59358081738,2,20752
100,Good,59358333046,59358334380,1,20753
101,Good,59358585688,59358587688,2,20754
102,Good,59358838996,59358840329,1,20755
103,Good,59359090971,59359092304,1,20756
104,Good,59359342945,59359344945,2,20757
105,Good,59359596253,59359597587,1,20758
106,Good,59359848895,59359850895,2,20759
107,Good,59360102203,59360103536,1,20760
108,Good,59360354844,59360356844,2,20761
109,Good,59360608152,59360609485,1,20762
110,Good,59360860794,59360862793,2,20763
111,Good,59361114102,59361116101,2,20764
112,Good,59361366743,59361368743,2,20765
113,Good,59361620051,59361622051,2,20766
114,Good,59361872692,59361874692,2,20767
115,Good,59362126000,59362128000,2,20768
116,Good,59362379308,59362381308,2,20769
117,Good,59362631950,59362633950,2,20770
118,Good,59362885258,59362887258,2,20771
119,Good,59363137899,59363139899,2,20772
120,Good,59363391207,59363393207,2,20773
121,Good,59363643849,59363645182,1,20774
122,Good,59363895823,59363897157,1,20775
123,Good,59364147798,59364149131,1,20776
124,Good,59364399773,59364401106,1,20777
125,Good,59364651748,59364653081,1,20778
126,Good,59364903723,59364905722,2,20779
127,Good,59365157031,59365158364,1,20780
128,Good,59365409672,59365411672,2,20781
129,Good,59365662980,59365664313,1,20782
130,Good,59365914955,59365916288,1,20783
131,Good,59366166930,59366168929,2,20784
132,Good,59366420238,59366421571,1,20785
133,Good,59366672879,59366674879,2,20786
134,Good,59366926187,59366927520,1,20787
135,Good,59367178828,59367180828,2,20788
136,Good,59367432136,59367433470,1,20789
137,Good,59367684778,59367686778,2,20790
138,Good,59367938086,59367940086,2,20791
139,Good,59368190727,59368192727,2,20792
140,Good,59368444035,59368446035,2,20793
141,Good,59368696677,59368699343,3,20794
142,Good,59368951318,59368953318,2,20795
143,Good,59369203959,59369205959,2,20796
144,Good,59369457267,59369459267,2,20797
145,Good,59369709909,59369711908,2,20798
146,Good,59369963217,59369965216,2,20799
147,Good,59370215858,59370218524,3,20800
148,Good,59370469833,59370471166,1,20801
149,Good,59370721807,59370723141,1,20802
150,Good,59370973782,59370975115,1,20803
151,Good,59371225757,59371227090,1,20804
152,Good,59371477732,59371479732,2,20805
153,Good,59371731040,59371732373,1,20806
154,Good,59371983681,59371985681,2,20807
155,Good,59372236989,59372238322,1,20808
156,Good,59372488964,59372490297,1,20809
157,Good,59372740939,59372742939,2,20810
158,Good,59372994247,59372995580,1,20811
159,Good,59373246888,59373248888,2,20812
160,Good,59373500196,59373501529,1,20813
161,Good,59373752838,59373754837,2,20814
162,Good,59374006146,59374007479,1,20815
163,Good,59374258787,59374260787,2,20816
164,Good,59374512095,59374514095,2,20817
165,Good,59374764736,59374766736,2,20818
