counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58828614690,58828616023,1,989.150000
1,Good,58828867332,58828868665,1,990.100000
2,Good,58829119973,58829121306,1,991.050000
3,Good,58829371948,58829373281,1,992.000000
4,Good,58829623923,58829625256,1,992.950000
5,Good,58829875897,58829877231,1,993.900000
6,Good,58830127872,58830129205,1,994.850000
7,Good,58830379847,58830381180,1,995.800000
8,Good,58830631822,58830633155,1,996.750000
9,Good,58830883797,58830885130,1,997.700000
10,Good,58831135771,58831137105,1,998.650000
11,Good,58831387746,58831389079,1,999.600000
12,Good,58831639721,58831641054,1,1000.550000
13,Good,58831891696,58831893696,2,1001.500000
14,Good,58832145004,58832146337,1,1002.450000
15,Good,58832398312,58832399645,1,1003.400000
16,Good,58832650953,58832652286,1,1004.350000
17,Good,58832902928,58832904261,1,1005.300000
18,Good,58833154903,58833156903,2,1006.250000
19,Good,58833408211,58833409544,1,1007.200000
20,Good,58833660852,58833662852,2,1008.150000
21,Good,58833914160,58833915493,1,1009.100000
22,Good,58834166802,58834168135,1,1010.050000
23,Good,58834418776,58834420110,1,1011.000000
24,Good,58834670751,58834672084,1,1011.950000
25,Good,58834922726,58834924059,1,1012.900000
26,Good,58835174701,58835176034,1,1013.850000
27,Good,58835426676,58835428009,1,1014.800000
28,Good,58835679317,58835680650,1,1015.750000
29,Good,58835931958,58835933292,1,1016.700000
30,Good,58836183933,58836185266,1,1017.650000
31,Good,58836435908,58836437241,1,1018.600000
32,Good,58836687883,58836689216,1,1019.550000
33,Good,58836939858,58836941191,1,1020.500000
34,Good,58837191832,58837193166,1,1021.450000
35,Good,58837443807,58837445140,1,1022.400000
36,Good,58837695782,58837697115,1,1023.350000
37,Good,58837947757,58837949090,1,1024.300000
38,Good,58838199732,58838201065,1,1025.250000
39,Good,58838451706,58838453706,2,1026.200000
40,Good,58838705014,58838706348,1,1027.150000
41,Good,58838958322,58838959656,1,1028.100000
42,Good,58839210964,58839212297,1,1029.050000
43,Good,58839462939,58839464272,1,1030.000000
44,Good,58839714913,58839716247,1,1030.950000
45,Good,58839966888,58839968888,2,1031.900000
46,Good,58840220196,58840221529,1,1032.850000
47,Good,58840472838,58840474837,2,1033.800000
48,Good,58840726146,58840727479,1,1034.750000
49,Good,58840978787,58840979454,1,1035.700000
50,Good,58841230762,58841232095,1,1036.650000
51,Good,58841482737,58841484070,1,1037.600000
52,Good,58841734711,58841736045,1,1038.550000
53,Good,58841986686,58841988019,1,1039.500000
54,Good,58842239328,58842241327,2,1040.450000
55,Good,58842491969,58842493302,1,1041.400000
56,Good,58842743944,58842745277,1,1042.350000
57,Good,58842995919,58842997252,1,1043.300000
58,Good,58843247893,58843249227,1,1044.250000
59,Good,58843499868,58843501201,1,1045.200000
60,Good,58843751843,58843753176,1,1046.150000
61,Good,58844003818,58844005151,1,1047.100000
62,Good,58844255793,58844257126,1,1048.050000
63,Good,58844507767,58844509101,1,1049.000000
64,Good,58844759742,58844761075,1,1049.950000
65,Good,58845011717,58845013050,1,1050.900000
66,Good,58845263692,58845265692,2,1051.850000
67,Good,58845517000,58845518333,1,1052.800000
68,Good,58845768975,58845770308,1,1053.750000
69,Good,58846020949,58846022283,1,1054.700000
70,Good,58846272924,58846274924,2,1055.650000
71,Good,58846526232,58846527565,1,1056.600000
72,Good,58846778874,58846780873,2,1057.550000
73,Good,58847032182,58847033515,1,1058.500000
74,Good,58847284823,58847286823,2,1059.450000
75,Good,58847538131,58847540131,2,1060.400000
76,Good,58847790772,58847791439,1,1061.350000
77,Good,58848042747,58848044080,1,1062.300000
78,Good,58848294722,58848296055,1,1063.250000
79,Good,58848546697,58848548030,1,1064.200000
80,Good,58848798672,58848800005,1,1065.150000
81,Good,58849051313,58849052646,1,1066.100000
82,Good,58849303954,58849305288,1,1067.050000
83,Good,58849555929,58849557262,1,1068.000000
84,Good,58849807904,58849809237,1,1068.950000
85,Good,58850059879,58850061212,1,1069.900000
86,Good,58850311854,58850313187,1,1070.850000
87,Good,58850563828,58850565162,1,1071.800000
88,Good,58850815803,58850817136,1,1072.750000
89,Good,58851067778,58851069111,1,1073.700000
90,Good,58851319753,58851321086,1,1074.650000
91,Good,58851571728,58851573061,1,1075.600000
92,Good,58851823702,58851825036,1,1076.550000
93,Good,58852075677,58852077677,2,1077.500000
94,Good,58852328985,58852330318,1,1078.450000
95,Good,58852580960,58852582293,1,1079.400000
96,Good,58852832935,58852834935,2,1080.350000
97,Good,58853086243,58853087576,1,1081.300000
98,Good,58853338884,58853340884,2,1082.250000
99,Good,58853592192,58853593525,1,1083.200000
100,Good,58853844834,58853846833,2,1084.150000
101,Good,58854098142,58854099475,1,1085.100000
102,Good,58854350783,58854351450,1,1086.050000
