value_last_recv,timestamp_chg
20653,61895653000
20654,61895911000
20655,61896167000
20656,61896423000
20657,61896680000
20658,61896935000
20659,61897191000
20660,61897447000
20661,61897702000
20662,61897959000
20663,61898215000
20664,61898471000
20665,61898727000
20666,61898983000
20667,61899240000
20668,61899496000
20669,61899751000
20670,61900007000
20671,61900263000
20672,61900520000
20673,61900777000
20674,61901034000
20675,61901290000
20676,61901547000
20677,61901803000
20678,61902059000
20679,61902316000
20680,61902571000
20681,61902829000
20682,61903086000
20683,61903343000
20684,61903599000
20685,61903856000
20686,61904111000
20687,61904368000
20688,61904624000
20689,61904880000
20690,61905136000
20691,61905392000
20692,61905650000
20693,61905907000
20694,61906163000
20695,61906420000
20696,61906676000
20697,61906932000
20698,61907188000
20699,61907445000
20700,61907701000
20701,61907959000
20702,61908215000
20703,61908471000
20704,61908728000
20705,61908985000
20706,61909242000
20707,61909499000
20708,61909755000
20709,61910012000
20710,61910269000
20711,61910526000
20712,61910783000
20713,61911040000
20714,61911295000
20715,61911551000
20716,61911807000
20717,61912063000
20718,61912321000
20719,61912577000
20720,61912832000
20721,61913089000
20722,61913345000
20723,61913601000
20724,61913857000
20725,61914114000
20726,61914372000
20727,61914628000
20728,61914884000
20729,61915141000
20730,61915396000
20731,61915652000
20732,61915909000
20733,61916165000
20734,61916421000
20735,61916678000
20736,61916935000
20737,61917191000
20738,61917446000
20739,61917702000
20740,61917959000
20741,61918214000
20742,61918471000
20743,61918726000
20744,61918983000
20745,61919240000
20746,61919495000
20747,61919751000
20748,61920007000
20749,61920263000
20750,61920520000
20751,61920777000
20752,61921034000
20753,61921291000
20754,61921547000
20755,61921804000
20756,61922061000
20757,61922317000
20758,61922573000
20759,61922830000
20760,61923086000
20761,61923342000
20762,61923599000
20763,61923855000
20764,61924111000
20765,61924367000
20766,61924623000
20767,61924880000
20768,61925136000
20769,61925392000
20770,61925649000
20771,61925905000
20772,61926161000
20773,61926417000
20774,61926673000
20775,61926929000
20776,61927186000
20777,61927442000
