counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,61128993993,61128999326,5,13
1,Good,61129249967,61129253967,4,14
2,Good,61129505275,61129509275,4,15
3,Good,61129759916,61129765249,5,16
4,Good,61130015891,61130020557,5,17
5,Good,61130271865,61130277198,5,18
6,Good,61130527840,61130532506,5,19
7,Good,61130783814,61130788480,5,20
8,Good,61131039788,61131043788,4,21
9,Good,61131295096,61131299762,5,22
10,Good,61131551071,61131555737,5,23
11,Good,61131807045,61131812378,5,24
12,Good,61132063686,61132068352,5,25
13,Good,61132320327,61132324993,5,26
14,Good,61132576301,61132580968,5,27
15,Good,61132832276,61132837609,5,28
16,Good,61133088917,61133093583,5,29
17,Good,61133344891,61133349557,5,30
18,Good,61133600866,61133604865,4,31
19,Good,61133856173,61133860173,4,32
20,Good,61134110815,61134115481,5,33
21,Good,61134366789,61134371455,5,34
22,Good,61134622763,61134628096,5,35
23,Good,61134878738,61134883404,5,36
24,Good,61135134712,61135140045,5,37
25,Good,61135390687,61135395353,5,38
26,Good,61135647328,61135651994,5,39
27,Good,61135903302,61135907968,5,40
28,Good,61136159276,61136163276,4,41
29,Good,61136413918,61136419250,5,42
30,Good,61136669892,61136674558,5,43
31,Good,61136925866,61136930533,5,44
32,Good,61137181841,61137186507,5,45
33,Good,61137437815,61137441815,4,46
34,Good,61137693123,61137698456,5,47
35,Good,61137949764,61137953764,4,48
36,Good,61138205072,61138210405,5,49
37,Good,61138461713,61138465712,4,50
38,Good,61138717021,61138721020,4,51
39,Good,61138972328,61138976995,5,52
40,Good,61139228303,61139232969,5,53
41,Good,61139484277,61139489610,5,54
42,Good,61139740918,61139744918,4,55
43,Good,61139996226,61140002892,7,56
44,Good,61140254200,61140258866,5,57
45,Good,61140510175,61140514174,4,58
46,Good,61140764816,61140769482,5,59
47,Good,61141020790,61141026123,5,60
48,Good,61141276765,61141280764,4,61
49,Good,61141532072,61141536072,4,62
50,Good,61141786714,61141791380,5,63
51,Good,61142042688,61142047354,5,64
52,Good,61142299329,61142303329,4,65
53,Good,61142553970,61142559303,5,66
54,Good,61142809945,61142814611,5,67
55,Good,61143065919,61143070585,5,68
56,Good,61143321893,61143326560,5,69
57,Good,61143577868,61143582534,5,70
58,Good,61143833842,61143839175,5,71
59,Good,61144089817,61144093816,4,72
60,Good,61144345124,61144349791,5,73
61,Good,61144601099,61144605765,5,74
62,Good,61144857073,61144861739,5,75
63,Good,61145113048,61145117714,5,76
64,Good,61145369022,61145372355,3,77
65,Good,61145624330,61145630329,6,78
66,Good,61145880971,61145884970,4,79
67,Good,61146136279,61146141611,5,80
68,Good,61146392920,61146396919,4,81
69,Good,61146648227,61146652894,5,82
70,Good,61146904202,61146908201,4,83
71,Good,61147158843,61147162843,4,84
72,Good,61147414151,61147418150,4,85
73,Good,61147668792,61147672792,4,86
74,Good,61147924100,61147928099,4,87
75,Good,61148178741,61148182741,4,88
76,Good,61148434049,61148438048,4,89
77,Good,61148688690,61148693356,5,90
78,Good,61148945331,61148949997,5,91
79,Good,61149201305,61149205305,4,92
80,Good,61149455947,61149460613,5,93
81,Good,61149711921,61149716587,5,94
82,Good,61149967895,61149972562,5,95
83,Good,61150223870,61150229869,6,96
84,Good,61150481177,61150485844,5,97
85,Good,61150737152,61150741818,5,98
86,Good,61150993126,61150997792,5,99
87,Good,61151249101,61151253767,5,100
88,Good,61151505075,61151510408,5,101
89,Good,61151761716,61151765716,4,102
