counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,61640012886,61640018219,5,26515
1,Good,61640268860,61640272860,4,26516
2,Good,61640524168,61640528834,5,26517
3,Good,61640780143,61640784809,5,26518
4,Good,61641036117,61641040783,5,26519
5,Good,61641292091,61641296758,5,26520
6,Good,61641548066,61641552065,4,26521
7,Good,61641802707,61641807373,5,26522
8,Good,61642058681,61642063348,5,26523
9,Good,61642315322,61642319989,5,26524
10,Good,61642571297,61642575296,4,26525
11,Good,61642825938,61642829938,4,26526
12,Good,61643081246,61643085245,4,26527
13,Good,61643335887,61643339887,4,26528
14,Good,61643591195,61643595194,4,26529
15,Good,61643845836,61643850502,5,26530
16,Good,61644101810,61644106477,5,26531
17,Good,61644357785,61644362451,5,26532
18,Good,61644613759,61644619092,5,26533
19,Good,61644869734,61644874400,5,26534
20,Good,61645125708,61645130374,5,26535
21,Good,61645381682,61645385682,4,26536
22,Good,61645636990,61645641656,5,26537
23,Good,61645892965,61645898297,5,26538
24,Good,61646148939,61646153605,5,26539
25,Good,61646404913,61646409580,5,26540
26,Good,61646660888,61646664887,4,26541
27,Good,61646916196,61646920862,5,26542
28,Good,61647172170,61647177503,5,26543
29,Good,61647428811,61647432811,4,26544
30,Good,61647684119,61647689452,5,26545
31,Good,61647940760,61647945426,5,26546
32,Good,61648196734,61648200734,4,26547
33,Good,61648452042,61648456708,5,26548
34,Good,61648708016,61648712016,4,26549
35,Good,61648963324,61648969324,6,26550
36,Good,61649219965,61649224631,5,26551
37,Good,61649475940,61649479939,4,26552
38,Good,61649731247,61649735247,4,26553
39,Good,61649985889,61649990555,5,26554
40,Good,61650241863,61650246529,5,26555
41,Good,61650497837,61650502504,5,26556
42,Good,61650753812,61650759145,5,26557
43,Good,61651009786,61651015119,5,26558
44,Good,61651265761,61651270427,5,26559
45,Good,61651521735,61651526401,5,26560
46,Good,61651777709,61651783042,5,26561
47,Good,61652033684,61652038350,5,26562
48,Good,61652290325,61652294991,5,26563
49,Good,61652546299,61652550965,5,26564
50,Good,61652802274,61652807606,5,26565
51,Good,61653058915,61653064247,5,26566
52,Good,61653314889,61653320222,5,26567
53,Good,61653570863,61653574863,4,26568
54,Good,61653826171,61653830837,5,26569
55,Good,61654082146,61654086812,5,26570
56,Good,61654338120,61654343453,5,26571
57,Good,61654594761,61654600094,5,26572
58,Good,61654850735,61654855402,5,26573
59,Good,61655106710,61655111376,5,26574
60,Good,61655362684,61655367350,5,26575
61,Good,61655619325,61655624658,5,26576
62,Good,61655875966,61655880632,5,26577
63,Good,61656131941,61656135940,4,26578
64,Good,61656387248,61656391248,4,26579
65,Good,61656641890,61656646556,5,26580
66,Good,61656897864,61656901864,4,26581
67,Good,61657153172,61657157171,4,26582
68,Good,61657407813,61657411813,4,26583
69,Good,61657663121,61657667120,4,26584
70,Good,61657917762,61657922428,5,26585
71,Good,61658173736,61658179069,5,26586
72,Good,61658429711,61658434377,5,26587
73,Good,61658685685,61658690351,5,26588
74,Good,61658942326,61658946326,4,26589
75,Good,61659196967,61659201634,5,26590
76,Good,61659452942,61659458275,5,26591
77,Good,61659708916,61659713582,5,26592
78,Good,61659964891,61659970223,5,26593
79,Good,61660220865,61660224865,4,26594
80,Good,61660476173,61660481506,5,26595
81,Good,61660732814,61660737480,5,26596
82,Good,61660988788,61660992788,4,26597
83,Good,61661244096,61661249429,5,26598
84,Good,61661500737,61661505403,5,26599
85,Good,61661756711,61661761378,5,26600
86,Good,61662012686,61662017352,5,26601
87,Good,61662269327,61662273993,5,26602
88,Good,61662525301,61662531967,7,26603
89,Good,61662783275,61662787275,4,26604
90,Good,61663037917,61663043249,5,26605
91,Good,61663293891,61663298557,5,26606
92,Good,61663549865,61663554532,5,26607
93,Good,61663805840,61663810506,5,26608
94,Good,61664061814,61664067814,6,26609
95,Good,61664319122,61664323121,4,26610
96,Good,61664573763,61664578429,5,26611
97,Good,61664829737,61664834404,5,26612
98,Good,61665085712,61665091045,5,26613
99,Good,61665341686,61665347019,5,26614
100,Good,61665598327,61665602327,4,26615
101,Good,61665852968,61665857635,5,26616
102,Good,61666108943,61666113609,5,26617
103,Good,61666364917,61666370917,6,26618
104,Good,61666622225,61666626891,5,26619
105,Good,61666878199,61666882865,5,26620
106,Good,61667134174,61667139506,5,26621
107,Good,61667390815,61667394814,4,26622
108,Good,61667646122,61667651455,5,26623
109,Good,61667902763,61667907430,5,26624
110,Good,61668158738,61668162737,4,26625
111,Good,61668414046,61668418045,4,26626
112,Good,61668668687,61668673353,5,26627
113,Good,61668925328,61668930661,5,26628
114,Good,61669181969,61669185968,4,26629
115,Good,61669437277,61669442609,5,26630
116,Good,61669693918,61669698584,5,26631
117,Good,61669949892,61669954558,5,26632
118,Good,61670205866,61670211199,5,26633
119,Good,61670461841,61670467174,5,26634
120,Good,61670717815,61670722481,5,26635
121,Good,61670973790,61670978456,5,26636
122,Good,61671229764,61671234430,5,26637
123,Good,61671485738,61671491071,5,26638
124,Good,61671741713,61671747046,5,26639
125,Good,61671997687,61672002353,5,26640
126,Good,61672254328,61672258994,5,26641
127,Good,61672510303,61672514969,5,26642
128,Good,61672766277,61672771610,5,26643
129,Good,61673022918,61673027584,5,26644
130,Good,61673278892,61673283559,5,26645
131,Good,61673534867,61673540866,6,26646
132,Good,61673792174,61673796841,5,26647
133,Good,61674048149,61674052815,5,26648
134,Good,61674304123,61674308789,5,26649
135,Good,61674560098,61674564764,5,26650
136,Good,61674816072,61674822071,6,26651
137,Good,61675072713,61675076713,4,26652
138,Good,61675328021,61675332020,4,26653
139,Good,61675583329,61675587995,5,26654
140,Good,61675839303,61675843969,5,26655
141,Good,61676095277,61676100610,5,26656
142,Good,61676351918,61676357251,5,26657
143,Good,61676607893,61676612559,5,26658
144,Good,61676863867,61676868533,5,26659
145,Good,61677119842,61677124508,5,26660
146,Good,61677375816,61677381815,6,26661
147,Good,61677633124,61677637123,4,26662
148,Good,61677887765,61677893098,5,26663
149,Good,61678143739,61678148405,5,26664
150,Good,61678399714,61678404380,5,26665
151,Good,61678655688,61678661021,5,26666
152,Good,61678912329,61678916995,5,26667
153,Good,61679168303,61679172970,5,26668
154,Good,61679424278,61679428944,5,26669
155,Good,61679680252,61679684252,4,26670
156,Good,61679934893,61679941559,7,26671
157,Good,61680192868,61680197534,5,26672
158,Good,61680448842,61680454175,5,26673
159,Good,61680704816,61680708816,4,26674
160,Good,61680960124,61680964790,5,26675
161,Good,61681216099,61681221431,5,26676
162,Good,61681472740,61681480072,7,26677
163,Good,61681730714,61681734713,4,26678
164,Good,61681986022,61681990021,4,26679
165,Good,61682241329,61682245996,5,26680
166,Good,61682497304,61682502637,5,26681
167,Good,61682753945,61682757944,4,26682
168,Good,61683009253,61683013252,4,26683
169,Good,61683263894,61683267893,4,26684
170,Good,61683519202,61683523868,5,26685
171,Good,61683775176,61683779842,5,26686
172,Good,61684031150,61684035817,5,26687
173,Good,61684287125,61684292458,5,26688
174,Good,61684543766,61684548432,5,26689
175,Good,61684799740,61684804406,5,26690
176,Good,61685055715,61685060381,5,26691
177,Good,61685311689,61685316355,5,26692
178,Good,61685568330,61685572996,5,26693
179,Good,61685824304,61685828971,5,26694
180,Good,61686080279,61686084278,4,26695
181,Good,61686334920,61686339586,5,26696
182,Good,61686590894,61686595561,5,26697
183,Good,61686846869,61686852202,5,26698
184,Good,61687102843,61687106843,4,26699
185,Good,61687358151,61687363484,5,26700
186,Good,61687614792,61687619458,5,26701
187,Good,61687870766,61687875433,5,26702
188,Good,61688126741,61688131407,5,26703
189,Good,61688382715,61688386715,4,26704
190,Good,61688638023,61688642689,5,26705
191,Good,61688893997,61688897997,4,26706
192,Good,61689149305,61689153971,5,26707
193,Good,61689405280,61689409946,5,26708
194,Good,61689661254,61689666587,5,26709
195,Good,61689917895,61689922561,5,26710
196,Good,61690173869,61690178536,5,26711
197,Good,61690429844,61690434510,5,26712
198,Good,61690685818,61690690484,5,26713
199,Good,61690941793,61690946459,5,26714
200,Good,61691197767,61691203100,5,26715
201,Good,61691453741,61691458408,5,26716
202,Good,61691709716,61691715049,5,26717
203,Good,61691965690,61691970356,5,26718
204,Good,61692222331,61692226997,5,26719
205,Good,61692478306,61692483638,5,26720
206,Good,61692734947,61692740279,5,26721
207,Good,61692990921,61692995587,5,26722
208,Good,61693246895,61693252228,5,26723
209,Good,61693502870,61693507536,5,26724
210,Good,61693758844,61693763510,5,26725
211,Good,61694014819,61694018818,4,26726
212,Good,61694270126,61694275459,5,26727
213,Good,61694526767,61694530767,4,26728
214,Good,61694782075,61694786741,5,26729
215,Good,61695038050,61695043382,5,26730
216,Good,61695294691,61695300023,5,26731
217,Good,61695551332,61695555998,5,26732
218,Good,61695807306,61695813305,6,26733
219,Good,61696063947,61696067947,4,26734
220,Good,61696319255,61696324588,5,26735
221,Good,61696575896,61696579895,4,26736
222,Good,61696831204,61696835203,4,26737
223,Good,61697085845,61697090511,5,26738
224,Good,61697341819,61697345819,4,26739
225,Good,61697597127,61697601127,4,26740
226,Good,61697851768,61697856434,5,26741
227,Good,61698107743,61698112409,5,26742
228,Good,61698363717,61698368383,5,26743
229,Good,61698619691,61698625024,5,26744
230,Good,61698876332,61698880332,4,26745
231,Good,61699130974,61699135640,5,26746
232,Good,61699386948,61699391614,5,26747
233,Good,61699642922,61699647589,5,26748
234,Good,61699898897,61699904230,5,26749
235,Good,61700154871,61700159537,5,26750
236,Good,61700410846,61700415512,5,26751
237,Good,61700666820,61700670820,4,26752
238,Good,61700922128,61700926794,5,26753
239,Good,61701178102,61701182768,5,26754
240,Good,61701434077,61701438743,5,26755
241,Good,61701690051,61701695384,5,26756
242,Good,61701946692,61701951358,5,26757
243,Good,61702203333,61702210666,7,26758
244,Good,61702461974,61702465973,4,26759
245,Good,61702717282,61702721948,5,26760
246,Good,61702973256,61702977922,5,26761
247,Good,61703229230,61703233897,5,26762
248,Good,61703485205,61703489871,5,26763
249,Good,61703741179,61703745845,5,26764
250,Good,61703997154,61704001153,4,26765
251,Good,61704251795,61704256461,5,26766
252,Good,61704507769,61704512435,5,26767
253,Good,61704763744,61704768410,5,26768
254,Good,61705019718,61705025051,5,26769
255,Good,61705275692,61705280359,5,26770
256,Good,61705531667,61705537000,5,26771
257,Good,61705788308,61705792974,5,26772
258,Good,61706044282,61706048948,5,26773
259,Good,61706300257,61706305589,5,26774
260,Good,61706556898,61706561564,5,26775
261,Good,61706812872,61706817538,5,26776
262,Good,61707068846,61707074846,6,26777
263,Good,61707326154,61707330820,5,26778
264,Good,61707582128,61707586795,5,26779
265,Good,61707838103,61707842769,5,26780
266,Good,61708094077,61708098743,5,26781
267,Good,61708350052,61708355384,5,26782
268,Good,61708606693,61708611359,5,26783
269,Good,61708862667,61708867333,5,26784
270,Good,61709117975,61709122641,5,26785
271,Good,61709373949,61709378615,5,26786
272,Good,61709629924,61709635256,5,26787
273,Good,61709885898,61709889898,4,26788
274,Good,61710141206,61710145872,5,26789
275,Good,61710397180,61710401846,5,26790
276,Good,61710653155,61710657154,4,26791
277,Good,61710907796,61710912462,5,26792
278,Good,61711163770,61711168436,5,26793
279,Good,61711419745,61711425077,5,26794
280,Good,61711675719,61711681052,5,26795
281,Good,61711931693,61711937026,5,26796
282,Good,61712187668,61712192334,5,26797
283,Good,61712444309,61712448308,4,26798
284,Good,61712698950,61712703616,5,26799
285,Good,61712954924,61712959591,5,26800
286,Good,61713210899,61713216232,5,26801
287,Good,61713466873,61713471539,5,26802
288,Good,61713722848,61713727514,5,26803
289,Good,61713978822,61713982822,4,26804
290,Good,61714234130,61714238796,5,26805
291,Good,61714490104,61714495437,5,26806
292,Good,61714746745,61714750745,4,26807
293,Good,61715002053,61715007386,5,26808
294,Good,61715258694,61715264027,5,26809
295,Good,61715514668,61715518668,4,26810
296,Good,61715769976,61715774642,5,26811
297,Good,61716025951,61716029950,4,26812
298,Good,61716281258,61716286591,5,26813
299,Good,61716537899,61716541899,4,26814
300,Good,61716793207,61716797207,4,26815
301,Good,61717047848,61717051848,4,26816
302,Good,61717303156,61717307822,5,26817
303,Good,61717559131,61717563130,4,26818
304,Good,61717813772,61717817771,4,26819
305,Good,61718069080,61718073079,4,26820
306,Good,61718323721,61718327720,4,26821
307,Good,61718579029,61718583028,4,26822
308,Good,61718833670,61718838336,5,26823
309,Good,61719090311,61719094310,4,26824
310,Good,61719344952,61719348952,4,26825
311,Good,61719600260,61719604926,5,26826
312,Good,61719856234,61719860234,4,26827
313,Good,61720110875,61720116208,5,26828
314,Good,61720366850,61720371516,5,26829
315,Good,61720622824,61720628157,5,26830
316,Good,61720878799,61720882798,4,26831
317,Good,61721134106,61721139439,5,26832
318,Good,61721390747,61721395414,5,26833
319,Good,61721646722,61721650721,4,26834
320,Good,61721902030,61721907362,5,26835
321,Good,61722158671,61722163337,5,26836
322,Good,61722415312,61722419978,5,26837
323,Good,61722671286,61722677285,6,26838
324,Good,61722927927,61722932593,5,26839
325,Good,61723183901,61723188568,5,26840
326,Good,61723439876,61723444542,5,26841
327,Good,61723695850,61723699850,4,26842
328,Good,61723951158,61723955824,5,26843
329,Good,61724207132,61724211132,4,26844
330,Good,61724461774,61724467106,5,26845
331,Good,61724717748,61724722414,5,26846
