counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,61384533770,61384538436,5,989.150000
1,Good,61384789744,61384795744,6,990.100000
2,Good,61385047052,61385051051,4,991.050000
3,Good,61385301693,61385307026,5,992.000000
4,Good,61385557667,61385561667,4,992.950000
5,Good,61385812975,61385817641,5,993.900000
6,Good,61386068950,61386073616,5,994.850000
7,Good,61386324924,61386328924,4,995.800000
8,Good,61386580232,61386584231,4,996.750000
9,Good,61386834873,61386839539,5,997.700000
10,Good,61387090847,61387095514,5,998.650000
11,Good,61387346822,61387351488,5,999.600000
12,Good,61387602796,61387608129,5,1000.550000
13,Good,61387858771,61387863437,5,1001.500000
14,Good,61388114745,61388118745,4,1002.450000
15,Good,61388370053,61388374719,5,1003.400000
16,Good,61388626027,61388630693,5,1004.350000
17,Good,61388882002,61388888001,6,1005.300000
18,Good,61389139309,61389143975,5,1006.250000
19,Good,61389395284,61389399950,5,1007.200000
20,Good,61389651258,61389655924,5,1008.150000
21,Good,61389907232,61389911899,5,1009.100000
22,Good,61390163207,61390168540,5,1010.050000
23,Good,61390419848,61390424514,5,1011.000000
24,Good,61390675822,61390680488,5,1011.950000
25,Good,61390931797,61390935796,4,1012.900000
26,Good,61391187104,61391191104,4,1013.850000
27,Good,61391441746,61391446412,5,1014.800000
28,Good,61391697720,61391702386,5,1015.750000
29,Good,61391953694,61391959027,5,1016.700000
30,Good,61392209669,61392214335,5,1017.650000
31,Good,61392466310,61392470309,4,1018.600000
32,Good,61392720951,61392725617,5,1019.550000
33,Good,61392976925,61392980925,4,1020.500000
34,Good,61393232233,61393236233,4,1021.450000
35,Good,61393486874,61393491541,5,1022.400000
36,Good,61393742849,61393748182,5,1023.350000
37,Good,61393998823,61394003489,5,1024.300000
38,Good,61394254798,61394260130,5,1025.250000
39,Good,61394510772,61394515438,5,1026.200000
40,Good,61394766746,61394770746,4,1027.150000
41,Good,61395022054,61395026720,5,1028.100000
42,Good,61395278029,61395282695,5,1029.050000
43,Good,61395534003,61395540002,6,1030.000000
44,Good,61395791311,61395795977,5,1030.950000
45,Good,61396047285,61396051951,5,1031.900000
46,Good,61396303259,61396308592,5,1032.850000
47,Good,61396559900,61396563900,4,1033.800000
48,Good,61396815208,61396820541,5,1034.750000
49,Good,61397071849,61397076515,5,1035.700000
50,Good,61397327824,61397331823,4,1036.650000
51,Good,61397583131,61397587131,4,1037.600000
52,Good,61397837773,61397841772,4,1038.550000
53,Good,61398093080,61398099080,6,1039.500000
54,Good,61398349721,61398353721,4,1040.450000
55,Good,61398605029,61398610362,5,1041.400000
56,Good,61398861670,61398866336,5,1042.350000
57,Good,61399118311,61399122977,5,1043.300000
58,Good,61399374286,61399378952,5,1044.250000
59,Good,61399630260,61399634260,4,1045.200000
60,Good,61399884901,61399889567,5,1046.150000
61,Good,61400140876,61400145542,5,1047.100000
62,Good,61400396850,61400401516,5,1048.050000
63,Good,61400652824,61400657491,5,1049.000000
64,Good,61400908799,61400913465,5,1049.950000
65,Good,61401164773,61401170106,5,1050.900000
66,Good,61401420748,61401424081,3,1051.850000
67,Good,61401674722,61401678722,4,1052.800000
68,Good,61401930030,61401934696,5,1053.750000
69,Good,61402186004,61402190671,5,1054.700000
70,Good,61402441979,61402446645,5,1055.650000
71,Good,61402697953,61402702619,5,1056.600000
72,Good,61402953928,61402957927,4,1057.550000
73,Good,61403209235,61403213902,5,1058.500000
74,Good,61403465210,61403470543,5,1059.450000
75,Good,61403721851,61403725850,4,1060.400000
76,Good,61403977159,61403981825,5,1061.350000
77,Good,61404233133,61404236466,3,1062.300000
78,Good,61404487774,61404491774,4,1063.250000
79,Good,61404743082,61404747082,4,1064.200000
80,Good,61404997723,61405001723,4,1065.150000
81,Good,61405253031,61405257697,5,1066.100000
82,Good,61405509005,61405513005,4,1067.050000
83,Good,61405764313,61405767646,3,1068.000000
84,Good,61406018954,61406022954,4,1068.950000
85,Good,61406274262,61406278262,4,1069.900000
86,Good,61406528903,61406533570,5,1070.850000
87,Good,61406784878,61406790211,5,1071.800000
88,Good,61407040852,61407045518,5,1072.750000
89,Good,61407296827,61407301493,5,1073.700000
90,Good,61407552801,61407557467,5,1074.650000
91,Good,61407808775,61407813442,5,1075.600000
92,Good,61408064750,61408070083,5,1076.550000
93,Good,61408320724,61408324724,4,1077.500000
94,Good,61408576032,61408581365,5,1078.450000
95,Good,61408832673,61408836673,4,1079.400000
96,Good,61409087981,61409092647,5,1080.350000
97,Good,61409343955,61409349288,5,1081.300000
98,Good,61409599930,61409603929,4,1082.250000
99,Good,61409855237,61409860570,5,1083.200000
100,Good,61410111878,61410115878,4,1084.150000
101,Good,61410367186,61410372519,5,1085.100000
102,Good,61410623827,61410627827,4,1086.050000
103,Good,61410879135,61410883135,4,1087.000000
104,Good,61411133776,61411138442,5,1087.950000
105,Good,61411389751,61411394417,5,1088.900000
106,Good,61411645725,61411651058,5,1089.850000
107,Good,61411901699,61411906366,5,1090.800000
108,Good,61412157674,61412162340,5,1091.750000
109,Good,61412414315,61412418314,4,1092.700000
110,Good,61412668956,61412672956,4,1093.650000
111,Good,61412924264,61412928263,4,1094.600000
112,Good,61413178905,61413183571,5,1095.550000
113,Good,61413434879,61413440212,5,1096.500000
114,Good,61413690854,61413695520,5,1097.450000
115,Good,61413946828,61413952161,5,1098.400000
116,Good,61414202803,61414207469,5,1099.350000
117,Good,61414458777,61414463443,5,1100.300000
118,Good,61414714751,61414720084,5,1101.250000
119,Good,61414970726,61414974725,4,1102.200000
120,Good,61415226034,61415231366,5,1103.150000
121,Good,61415482675,61415488007,5,1104.100000
122,Good,61415739316,61415743315,4,1105.050000
123,Good,61415993957,61415999956,6,1106.000000
124,Good,61416251264,61416255264,4,1106.950000
125,Good,61416505906,61416509905,4,1107.900000
126,Good,61416761213,61416765213,4,1108.850000
127,Good,61417015855,61417019854,4,1109.800000
128,Good,61417271162,61417275829,5,1110.750000
129,Good,61417527137,61417532470,5,1111.700000
130,Good,61417783778,61417787777,4,1112.650000
131,Good,61418039086,61418043085,4,1113.600000
132,Good,61418293727,61418297726,4,1114.550000
133,Good,61418549035,61418553034,4,1115.500000
134,Good,61418803676,61418807675,4,1116.450000
135,Good,61419058984,61419062983,4,1117.400000
136,Good,61419314291,61419318291,4,1118.350000
137,Good,61419568933,61419572932,4,1119.300000
138,Good,61419824240,61419828240,4,1120.250000
139,Good,61420078882,61420082881,4,1121.200000
140,Good,61420334189,61420338856,5,1122.150000
141,Good,61420590164,61420594163,4,1123.100000
142,Good,61420844805,61420849471,5,1124.050000
143,Good,61421100779,61421105446,5,1125.000000
144,Good,61421356754,61421362087,5,1125.950000
145,Good,61421612728,61421616061,3,1126.900000
146,Good,61421866703,61421870702,4,1127.850000
147,Good,61422122011,61422126010,4,1128.800000
148,Good,61422377318,61422381985,5,1129.750000
149,Good,61422633293,61422637292,4,1130.700000
150,Good,61422887934,61422893267,5,1131.650000
151,Good,61423143908,61423147908,4,1132.600000
152,Good,61423399216,61423403216,4,1133.550000
153,Good,61423653857,61423657857,4,1134.500000
154,Good,61423909165,61423913831,5,1135.450000
155,Good,61424165140,61424169806,5,1136.400000
156,Good,61424421114,61424424447,3,1137.350000
157,Good,61424675755,61424680421,5,1138.300000
158,Good,61424931730,61424936396,5,1139.250000
159,Good,61425187704,61425193037,5,1140.200000
160,Good,61425443678,61425448345,5,1141.150000
161,Good,61425700319,61425704319,4,1142.100000
162,Good,61425954961,61425958960,4,1143.050000
163,Good,61426210268,61426214268,4,1144.000000
164,Good,61426464910,61426469576,5,1144.950000
165,Good,61426720884,61426725550,5,1145.900000
166,Good,61426976858,61426982191,5,1146.850000
167,Good,61427232833,61427237499,5,1147.800000
168,Good,61427488807,61427494140,5,1148.750000
169,Good,61427744782,61427749448,5,1149.700000
170,Good,61428000756,61428005422,5,1150.650000
171,Good,61428256730,61428262063,5,1151.600000
172,Good,61428512705,61428516704,4,1152.550000
173,Good,61428768013,61428773345,5,1153.500000
174,Good,61429025320,61429029986,5,1154.450000
175,Good,61429281295,61429285961,5,1155.400000
176,Good,61429537269,61429542602,5,1156.350000
177,Good,61429793910,61429797910,4,1157.300000
178,Good,61430049218,61430054551,5,1158.250000
179,Good,61430305859,61430309858,4,1159.200000
180,Good,61430561167,61430566499,5,1160.150000
181,Good,61430817808,61430822474,5,1161.100000
182,Good,61431073782,61431077782,4,1162.050000
183,Good,61431329090,61431333756,5,1163.000000
184,Good,61431585064,61431589064,4,1163.950000
185,Good,61431839705,61431844372,5,1164.900000
186,Good,61432095680,61432099679,4,1165.850000
187,Good,61432350988,61432354987,4,1166.800000
188,Good,61432606295,61432610295,4,1167.750000
189,Good,61432860937,61432864936,4,1168.700000
190,Good,61433116244,61433120911,5,1169.650000
191,Good,61433372219,61433376218,4,1170.600000
192,Good,61433626860,61433632193,5,1171.550000
193,Good,61433882834,61433890834,8,1172.500000
194,Good,61434142142,61434146141,4,1173.450000
195,Good,61434396783,61434401449,5,1174.400000
196,Good,61434652757,61434657424,5,1175.350000
197,Good,61434908732,61434914065,5,1176.300000
198,Good,61435164706,61435168039,3,1177.250000
199,Good,61435418681,61435424014,5,1178.200000
200,Good,61435675322,61435679321,4,1179.150000
201,Good,61435929963,61435934629,5,1180.100000
202,Good,61436185937,61436190604,5,1181.050000
203,Good,61436441912,61436445245,3,1182.000000
204,Good,61436695886,61436699886,4,1182.950000
205,Good,61436951194,61436955860,5,1183.900000
206,Good,61437207169,61437211835,5,1184.850000
207,Good,61437463143,61437467809,5,1185.800000
208,Good,61437719117,61437725117,6,1186.750000
209,Good,61437975758,61437979758,4,1187.700000
210,Good,61438231066,61438235066,4,1188.650000
211,Good,61438485707,61438489707,4,1189.600000
212,Good,61438741015,61438745681,5,1190.550000
213,Good,61438996990,61439000989,4,1191.500000
214,Good,61439252297,61439256297,4,1192.450000
215,Good,61439506939,61439510938,4,1193.400000
216,Good,61439762246,61439766246,4,1194.350000
217,Good,61440016888,61440020887,4,1195.300000
218,Good,61440272195,61440276195,4,1196.250000
219,Good,61440526837,61440531503,5,1197.200000
220,Good,61440782811,61440787477,5,1198.150000
221,Good,61441038785,61441044785,6,1199.100000
222,Good,61441296093,61441300759,5,1200.050000
223,Good,61441552067,61441556067,4,1201.000000
224,Good,61441806709,61441810708,4,1201.950000
225,Good,61442062016,61442066016,4,1202.900000
226,Good,61442317324,61442323990,7,1203.850000
227,Good,61442575298,61442579298,4,1204.800000
228,Good,61442829940,61442835272,5,1205.750000
229,Good,61443085914,61443090580,5,1206.700000
230,Good,61443341888,61443345888,4,1207.650000
231,Good,61443597196,61443601862,5,1208.600000
232,Good,61443853171,61443857837,5,1209.550000
233,Good,61444109145,61444114478,5,1210.500000
234,Good,61444365786,61444369786,4,1211.450000
235,Good,61444621094,61444625760,5,1212.400000
236,Good,61444877068,61444881068,4,1213.350000
237,Good,61445131709,61445135709,4,1214.300000
238,Good,61445387017,61445391017,4,1215.250000
239,Good,61445642325,61445646991,5,1216.200000
240,Good,61445898299,61445902299,4,1217.150000
241,Good,61446152941,61446156940,4,1218.100000
242,Good,61446408248,61446412248,4,1219.050000
243,Good,61446662890,61446667556,5,1220.000000
244,Good,61446918864,61446924197,5,1220.950000
245,Good,61447174838,61447179505,5,1221.900000
246,Good,61447430813,61447436146,5,1222.850000
247,Good,61447686787,61447691453,5,1223.800000
248,Good,61447942762,61447947428,5,1224.750000
249,Good,61448198736,61448204069,5,1225.700000
250,Good,61448454710,61448460043,5,1226.650000
251,Good,61448710685,61448715351,5,1227.600000
252,Good,61448967326,61448971325,4,1228.550000
253,Good,61449221967,61449226633,5,1229.500000
254,Good,61449477941,61449482608,5,1230.450000
255,Good,61449733916,61449738582,5,1231.400000
256,Good,61449989890,61449994556,5,1232.350000
257,Good,61450245865,61450249864,4,1233.300000
258,Good,61450501172,61450506505,5,1234.250000
259,Good,61450757813,61450761813,4,1235.200000
260,Good,61451013121,61451017787,5,1236.150000
261,Good,61451269096,61451273095,4,1237.100000
262,Good,61451523737,61451527736,4,1238.050000
263,Good,61451779045,61451783044,4,1239.000000
264,Good,61452033686,61452037685,4,1239.950000
265,Good,61452288994,61452292993,4,1240.900000
266,Good,61452544301,61452548968,5,1241.850000
267,Good,61452800276,61452804275,4,1242.800000
268,Good,61453054917,61453058917,4,1243.750000
269,Good,61453310225,61453314224,4,1244.700000
270,Good,61453564866,61453570199,5,1245.650000
271,Good,61453820840,61453825507,5,1246.600000
272,Good,61454076815,61454081481,5,1247.550000
273,Good,61454332789,61454336789,4,1248.500000
274,Good,61454588097,61454592097,4,1249.450000
275,Good,61454842738,61454847404,5,1250.400000
276,Good,61455098713,61455103379,5,1251.350000
277,Good,61455354687,61455358687,4,1252.300000
278,Good,61455609995,61455615994,6,1253.250000
279,Good,61455867302,61455871302,4,1254.200000
280,Good,61456121944,61456127276,5,1255.150000
281,Good,61456377918,61456382584,5,1256.100000
282,Good,61456633892,61456637892,4,1257.050000
283,Good,61456889200,61456893200,4,1258.000000
284,Good,61457143841,61457148508,5,1258.950000
285,Good,61457399816,61457403815,4,1259.900000
286,Good,61457655124,61457659790,5,1260.850000
287,Good,61457911098,61457916431,5,1261.800000
288,Good,61458167739,61458171739,4,1262.750000
289,Good,61458423047,61458427046,4,1263.700000
290,Good,61458677688,61458681688,4,1264.650000
291,Good,61458932996,61458937662,5,1265.600000
292,Good,61459188970,61459192970,4,1266.550000
293,Good,61459444278,61459447611,3,1267.500000
294,Good,61459698919,61459702919,4,1268.450000
295,Good,61459954227,61459958227,4,1269.400000
296,Good,61460208868,61460212868,4,1270.350000
297,Good,61460464176,61460468176,4,1271.300000
298,Good,61460718817,61460723483,5,1272.250000
299,Good,61460974792,61460978791,4,1273.200000
300,Good,61461230099,61461234099,4,1274.150000
301,Good,61461484741,61461488740,4,1275.100000
302,Good,61461740048,61461744715,5,1276.050000
303,Good,61461996023,61462000689,5,1277.000000
304,Good,61462251997,61462257330,5,1277.950000
305,Good,61462507972,61462512638,5,1278.900000
306,Good,61462763946,61462768612,5,1279.850000
307,Good,61463019920,61463024587,5,1280.800000
308,Good,61463275895,61463280561,5,1281.750000
