counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,62434775402,62435017378,242,RwvC98nhs2cj8J9ZcyLRamTgzMorJHgxs39uw7oZy5DuemApJ9zxVmocNLwT6YjUozFJPneKuafgCPL
1,Good,62435268686,62435506662,238,5f4WVnjLRF6KmUXNSkLuAx7CtTofADGLdQbox6F35wPVYyufSMyp95s7Tk6oRCy8bW3sYVdTzMjmo4E
2,Good,62435757970,62435991947,234,wzVWJsUoqPCngLb8BH4ArVjpXEPfMAz6KUmkW2oh5n8AYzuv8nAjCuQZJBarKmRnYgpCVJa6rWGRQa2
3,Good,62436243255,62436485897,243,dhnUXHJCpvAz9TG3yrhkznuaftjV5CU6pxkGPb8SzGLZDh4megVn2A34zYhqus5TdeujPkSYvahAqBb
4,Good,62436737206,62436970516,233,Q7CPEhT4KsfPaM5URgfPoBgnpDeJG8TSQxgw2C5aZzNepLkQBHmv6ekZQXBkg6JFwcp3kwNLUHA2cT4
5,Good,62437221824,62437467799,246,VQB8XuKcYnvDHdrPnRNuQV6yohem96GukpfQGztC438RtU28QnfG4ENhyf54AwHBtGj4fKaCvgLqNno
6,Good,62437719107,62437976415,257,6cCbAnyqRVDyaEZ9wTxjqBg75SKyc2rjkMgzqodJ3fBAy5au7nUHT5FfscAMYodPzXMb7nKEgJA65bP
7,Good,62438227723,62438483031,255,TAKDuv4JmRNnecjQwhk5Anp8kmoHYJcr5EXfBRq72aATR7a6TSWULbJGvucwfFhdKZBjfs69AtLoxHC
8,Good,62438733673,62438986314,253,wjaULr8bmSuABtScop4LsGhVzM9BnXDfFZqNbo46GqvUZEwDur3XsNmVGQ8koHWhc5UmQNRw93jew5P
9,Good,62439236956,62439490930,254,gdmF6NtvmcDVFQqXVgGfX5Bj8fAhWoSJCtUMhBb9UFqsm7Knye7oamcBHZMLY7K4TV5dxTEHMSP8AVS
10,Good,62439742238,62439975548,233,JBL3ebHXKD5P3wyX5CMtSZCVmdsQVfdve8bA6LVhcu834w7sUvkYsuzKYf3bwvgZcWxX92zLxoDcJxg
11,Good,62440226857,62440459500,233,8t5MFvrQUa3JwfEjkuebMYEJpmArXZp63xHK2GyJR6Gpvzn5WfjcSsVHuaJqgU5v6Q9Y4sd6WKQRYWx
12,Good,62440710808,62440943452,233,fbHBoFGcEtXmKkMxCqco4k3myQ4aoEefPVh4XzaWcmrSCezfwJMW5thfMXLqyAN2XyBSZLQFKR3j4vu
13,Good,62441194760,62441427403,233,86QtcB9naHv8E5qNX8hgN5XcLfCGDNpc6W4hHmVPMYCBymHKjbaQxsVW9zbjTh4FeJgwfEvmUx2VohX
14,Good,62441678711,62441911355,233,kXDpndF4cBVSErv7Hqyn4PU7Atqa9TEwdNGvKZuDwbx6G2ANdzqHsap4w5tkBNStA5pNHKg6tTGsMyN
15,Good,62442163330,62442393973,231,g8QGCWxBXM9L2f6jDRcTzkYZBc8s4AkgXNfU4XBSLhQU2TMZPgKG62xhB3zSdLYncTPJ7ERhZzDEKuT
16,Good,62442645281,62442877258,232,jE8hfAuczsE9yt7UMBtsxokFhsdMXvK7Hh3WUrupv2bFAn3VL8DbR5c3AwegEDGzRkAdQD76Lx9g2TC
17,Good,62443127900,62443360543,233,AeVtp4c5nPCcVK94shvS4sJwjAXRFBq3cK6NMhPBf8t639khw5YFvL64FogNWj2VACqegQXtZ2qQXpN
18,Good,62443611851,62443843162,231,DwWJrBvEYnr9UvbnwhmTYV39Bfq2YGBj6EW7LsBaXo95rMyWPwpb8QSCuhrvS2XVCcQWNpU8du9GxcB
