value_last_recv,timestamp_chg
31,46967161199
32,46967415174
33,46967663815
34,46967915790
35,46968166432
36,46968413740
37,46968665715
38,46968915690
39,46969165665
40,46969421640
41,46969676281
42,46969925589
43,46970175564
44,46970432205
45,46970684847
46,46970938155
47,46971184130
48,46971438105
49,46971690079
50,46971934055
51,46972186030
52,46972442004
53,46972697979
54,46972952620
55,46973204595
56,46973455903
57,46973707878
58,46973953853
59,46974206494
60,46974458469
61,46974706444
62,46974954420
63,46975205728
64,46975456369
65,46975707011
66,46975960319
67,46976204295
68,46976457603
69,46976708911
70,46976960886
71,46977206194
72,46977456169
73,46977705478
74,46977956119
75,46978206094
76,46978458069
77,46978706044
78,46978956686
79,46979205994
80,46979457969
81,46979706611
82,46979961919
83,46980217227
84,46980471201
85,46980715177
86,46980967818
87,46981224459
88,46981479100
89,46981724409
90,46981983717
91,46982243024
92,46982494999
93,46982748973
94,46982998282
95,46983244924
96,46983497565
97,46983751540
98,46984004181
99,46984257489
100,46984511464
101,46984755439
102,46985007414
103,46985263389
104,46985518696
105,46985771338
106,46986015313
107,46986273954
108,46986527262
109,46986783237
110,46987035211
111,46987290519
112,46987545160
113,46987797135
114,46988048443
115,46988299752
116,46988546394
117,46988798368
118,46989053010
119,46989306318
120,46989555626
121,46989810267
122,46990057576
123,46990305551
124,46990557526
125,46990812167
126,46991062142
127,46991306118
128,46991560759
129,46991807401
130,46992059376
131,46992314683
132,46992571991
133,46992825299
134,46993077940
135,46993325916
136,46993577890
137,46993829199
138,46994085840
139,46994336481
140,46994589123
141,46994842431
142,46995087739
143,46995339048
144,46995588356
145,46995836331
146,46996088306
147,46996341614
148,46996588256
149,46996838898
150,46997086873
151,46997342847
152,46997594822
153,46997848130
154,46998105438
155,46998360079
156,46998612720
157,46998858696
158,46999112670
159,46999359312
160,46999610620
161,46999859262
162,47000111237
163,47000365878
164,47000619186
165,47000873161
166,47001119136
167,47001370444
168,47001619086
169,47001867728
170,47002120369
171,47002371678
172,47002624319
173,47002886293
174,47003140267
175,47003392242
176,47003642217
177,47003887526
178,47004138834
179,47004388809
180,47004639451
181,47004889426
182,47005139401
183,47005392042
184,47005643350
185,47005889326
186,47006143967
187,47006389276
188,47006640584
189,47006891226
190,47007139201
191,47007389842
192,47007639817
193,47007889792
194,47008141767
195,47008393742
196,47008637718
197,47008892359
198,47009137668
199,47009387643
200,47009645617
201,47009898258
202,47010148900
203,47010402874
204,47010656849
205,47010915490
206,47011171464
207,47011420106
208,47011668748
209,47011920723
210,47012174031
211,47012428005
212,47012680647
213,47012929955
214,47013181263
215,47013427905
216,47013679880
217,47013931188
218,47014182496
219,47014428472
220,47014683113
221,47014934421
222,47015187063
223,47015441037
224,47015689012
225,47015941654
226,47016193629
227,47016438271
228,47016689579
229,47016942887
230,47017194862
231,47017444837
232,47017697478
233,47017948120
234,47018200761
235,47018450070
236,47018700711
237,47018949353
238,47019198661
239,47019449970
240,47019700611
241,47019949920
242,47020199228
243,47020451203
244,47020703178
245,47020951819
246,47021201128
247,47021450436
248,47021701078
249,47021953719
250,47022206361
251,47022461002
252,47022712977
253,47022959619
254,47023215593
255,47023464901
256,47023714876
257,47023964851
258,47024210827
259,47024461468
260,47024716110
261,47024961418
262,47025216726
263,47025462035
264,47025714010
265,47025959319
266,47026209960
267,47026459269
268,47026713243
269,47026964551
270,47027211860
271,47027459835
272,47027713143
273,47027967118
274,47028214426
275,47028467734
276,47028723042
277,47028971017
278,47029227658
279,47029490299
280,47029742274
281,47029994248
282,47030245557
283,47030497531
284,47030754172
285,47031005481
286,47031252123
287,47031504764
288,47031750073
289,47032007380
290,47032258022
291,47032517996
292,47032770637
293,47033021946
294,47033274587
295,47033520562
296,47033770537
297,47034025179
298,47034269821
299,47034524462
300,47034775104
301,47035022412
302,47035271054
303,47035523029
304,47035774337
305,47036022312
306,47036271621
307,47036524929
308,47036780903
309,47037034878
310,47037283519
311,47037533494
312,47037786136
313,47038036777
314,47038288086
315,47038542727
316,47038790702
317,47039048010
318,47039302651
319,47039553292
320,47039803267
321,47040053909
322,47040305217
323,47040553192
324,47040808500
325,47041063141
326,47041319116
327,47041571091
328,47041823065
329,47042075707
330,47042329015
331,47042583656
332,47042834964
333,47043086272
334,47043332914
335,47043583556
336,47043834198
337,47044086839
338,47044332814
339,47044581456
340,47044836097
341,47045087406
342,47045332714
343,47045586689
344,47045839997
345,47046091972
346,47046349946
347,47046603254
348,47046859895
349,47047113870
350,47047365178
351,47047618486
352,47047868461
353,47048113770
354,47048366411
355,47048615719
356,47048871027
357,47049125002
358,47049378310
359,47049631618
360,47049882259
361,47050131568
362,47050390875
363,47050644850
364,47050898158
365,47051150133
366,47051404107
367,47051656082
368,47051906057
369,47052156699
370,47052412006
371,47052665314
372,47052918622
373,47053170597
374,47053422572
375,47053673880
376,47053927855
377,47054173164
378,47054428471
379,47054677113
380,47054924422
381,47055177063
382,47055422372
383,47055675680
384,47055932988
385,47056185629
386,47056438270
387,47056687579
388,47056934887
389,47057187529
390,47057434171
391,47057684812
392,47057941453
393,47058193428
394,47058446070
395,47058693378
396,47058946020
397,47059197994
398,47059443303
399,47059699278
400,47059949253
401,47060202561
402,47060453869
403,47060707843
404,47060953819
405,47061205127
406,47061453102
407,47061713743
408,47061965718
409,47062221025
410,47062473000
411,47062726975
412,47062980949
413,47063233591
414,47063485566
415,47063738207
416,47063986182
417,47064233491
418,47064486799
419,47064734107
420,47064985416
421,47065234057
422,47065485366
423,47065738007
424,47065989315
425,47066237957
426,47066483932
427,47066735907
428,47066991215
429,47067248523
430,47067495165
431,47067750472
432,47067995115
433,47068245756
434,47068501731
435,47068762371
436,47069014346
437,47069268321
438,47069518296
439,47069767604
440,47070021579
441,47070273553
442,47070532861
443,47070786169
444,47071036144
445,47071286785
446,47071534094
447,47071786069
448,47072034044
449,47072284686
450,47072534661
451,47072790635
452,47073035944
453,47073284586
454,47073543226
455,47073797201
456,47074046509
457,47074295818
458,47074547793
459,47074795101
460,47075047076
461,47075302384
462,47075554359
463,47075806333
464,47076054309
465,47076306283
466,47076555592
467,47076810233
468,47077062208
469,47077317516
470,47077564824
471,47077824132
