value_last_recv,timestamp_chg
26579,47470694174
26580,47470948149
26581,47471198790
26582,47471446099
26583,47471698074
26584,47471948049
26585,47472196690
26586,47472447999
26587,47472697974
26588,47472945949
26589,47473197257
26590,47473445899
26591,47473696540
26592,47473950515
26593,47474206489
26594,47474460464
26595,47474715772
26596,47474968413
26597,47475217722
26598,47475466363
26599,47475724338
26600,47475982978
26601,47476243619
26602,47476497594
26603,47476750235
26604,47476996877
26605,47477252185
26606,47477496160
26607,47477748135
26608,47477996110
26609,47478249418
26610,47478502060
26611,47478753368
26612,47478997344
26613,47479248652
26614,47479497294
26615,47479749935
26616,47479996577
26617,47480249218
26618,47480497860
26619,47480752501
26620,47481007143
26621,47481260451
26622,47481511759
26623,47481763067
26624,47482009042
26625,47482257684
26626,47482514992
26627,47482769633
26628,47483022941
26629,47483268916
26630,47483520891
26631,47483772866
26632,47484019508
26633,47484269483
26634,47484520791
26635,47484769433
26636,47485020741
26637,47485273383
26638,47485518025
26639,47485772666
26640,47486021974
26641,47486269283
26642,47486519258
26643,47486769233
26644,47487017875
26645,47487269183
26646,47487519825
26647,47487770466
26648,47488018441
26649,47488271749
26650,47488523058
26651,47488767700
26652,47489017675
26653,47489270983
26654,47489525624
26655,47489779599
26656,47490030240
26657,47490288214
26658,47490544189
26659,47490788164
26660,47491041472
26661,47491290114
26662,47491538756
26663,47491790731
26664,47492043372
26665,47492294680
26666,47492540656
26667,47492794630
26668,47493039273
26669,47493291247
26670,47493543222
26671,47493792531
26672,47494048505
26673,47494299813
26674,47494550455
26675,47494801763
26676,47495055738
26677,47495299713
26678,47495552355
26679,47495806996
26680,47496062304
26681,47496314278
26682,47496560254
26683,47496811562
26684,47497063537
26685,47497308846
26686,47497560820
26687,47497813462
26688,47498060104
26689,47498312079
26690,47498565387
26691,47498820028
26692,47499075336
26693,47499319311
26694,47499570619
26695,47499821261
26696,47500069236
26697,47500321878
26698,47500575852
26699,47500831160
26700,47501080468
26701,47501331777
26702,47501581085
26703,47501837059
26704,47502091034
26705,47502339009
26706,47502596317
26707,47502854291
26708,47503100266
26709,47503351575
26710,47503604883
26711,47503859524
26712,47504114832
26713,47504366806
26714,47504620781
26715,47504874089
26716,47505122064
26717,47505372706
