counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,46967486000,46967496000,10,0
1,Good,46967746000,46967750000,4,0
2,Good,46967996000,46967998000,2,0
3,Good,46968246000,46968250000,4,0
4,Good,46968496000,46968501000,5,0
5,Good,46968746000,46968749000,3,0
6,Good,46968996000,46969000000,4,0
7,Good,46969246000,46969250000,4,0
8,Good,46969496000,46969500000,4,0
9,Good,46969746000,46969756000,10,0
10,Good,46970006000,46970010000,4,0
11,Good,46970256000,46970260000,4,0
12,Good,46970506000,46970510000,4,0
13,Good,46970756000,46970766000,10,0
14,Good,46971016000,46971019000,3,0
15,Good,46971266000,46971272000,6,0
16,Good,46971516000,46971518000,2,0
17,Good,46971766000,46971772000,6,0
18,Good,46972016000,46972025000,9,0
19,Good,46972266000,46972269000,3,0
20,Good,46972516000,46972521000,5,0
21,Good,46972766000,46972777000,11,0
22,Good,46973026000,46973033000,7,0
23,Good,46973276000,46973286000,10,0
24,Good,46973536000,46973538000,2,0
25,Good,46973786000,46973789000,3,0
26,Good,46974036000,46974041000,5,0
27,Good,46974286000,46974289000,3,0
28,Good,46974536000,46974541000,5,0
29,Good,46974786000,46974793000,7,0
30,Good,46975036000,46975041000,5,0
31,Good,46975286000,46975287000,1,0
32,Good,46975536000,46975539000,3,0
33,Good,46975786000,46975789000,3,0
34,Good,46976036000,46976041000,5,0
35,Good,46976286000,46976293000,7,0
36,Good,46976536000,46976537000,1,0
37,Good,46976786000,46976792000,6,0
38,Good,46977036000,46977042000,6,0
39,Good,46977286000,46977294000,8,0
40,Good,46977536000,46977540000,4,0
41,Good,46977786000,46977789000,3,0
42,Good,46978036000,46978040000,4,0
43,Good,46978286000,46978289000,3,0
44,Good,46978536000,46978540000,4,0
45,Good,46978786000,46978792000,6,0
46,Good,46979036000,46979040000,4,0
47,Good,46979286000,46979289000,3,0
48,Good,46979536000,46979540000,4,0
49,Good,46979786000,46979792000,6,0
50,Good,46980036000,46980040000,4,0
51,Good,46980286000,46980296000,10,0
