counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,47470966000,47470977000,11,0
1,Good,47471226000,47471230000,4,0
2,Good,47471476000,47471481000,5,0
3,Good,47471726000,47471729000,3,0
4,Good,47471976000,47471980000,4,0
5,Good,47472226000,47472230000,4,0
6,Good,47472476000,47472478000,2,0
7,Good,47472726000,47472730000,4,0
8,Good,47472976000,47472980000,4,0
9,Good,47473226000,47473229000,3,0
10,Good,47473476000,47473479000,3,0
11,Good,47473726000,47473729000,3,0
12,Good,47473976000,47473978000,2,0
13,Good,47474226000,47474232000,6,0
14,Good,47474476000,47474489000,13,0
15,Good,47474736000,47474742000,6,0
16,Good,47474986000,47474998000,12,0
17,Good,47475246000,47475250000,4,0
18,Good,47475496000,47475499000,3,0
19,Good,47475746000,47475749000,3,0
20,Good,47475996000,47476006000,10,0
21,Good,47476256000,47476265000,9,0
22,Good,47476516000,47476525000,9,0
23,Good,47476776000,47476779000,3,0
24,Good,47477026000,47477032000,6,0
25,Good,47477276000,47477278000,2,0
26,Good,47477526000,47477533000,7,0
27,Good,47477776000,47477777000,1,0
28,Good,47478026000,47478030000,4,0
29,Good,47478276000,47478277000,1,0
30,Good,47478526000,47478530000,4,0
31,Good,47478776000,47478783000,7,0
32,Good,47479026000,47479034000,8,0
33,Good,47479276000,47479278000,2,0
34,Good,47479526000,47479530000,4,0
35,Good,47479776000,47479778000,2,0
36,Good,47480026000,47480031000,5,0
37,Good,47480276000,47480277000,1,0
38,Good,47480526000,47480530000,4,0
39,Good,47480776000,47480779000,3,0
40,Good,47481026000,47481033000,7,0
41,Good,47481276000,47481289000,13,0
42,Good,47481536000,47481541000,5,0
43,Good,47481786000,47481793000,7,0
44,Good,47482036000,47482045000,9,0
45,Good,47482286000,47482289000,3,0
46,Good,47482536000,47482538000,2,0
47,Good,47482786000,47482797000,11,0
48,Good,47483046000,47483050000,4,0
49,Good,47483296000,47483305000,9,0
50,Good,47483546000,47483549000,3,0
51,Good,47483796000,47483801000,5,0
52,Good,47484046000,47484053000,7,0
