counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,47219436000,47219442000,6,0.000000
1,Good,47219686000,47219694000,8,0.000000
2,Good,47219936000,47219946000,10,0.000000
3,Good,47220196000,47220207000,11,0.000000
4,Good,47220456000,47220462000,6,0.000000
5,Good,47220706000,47220710000,4,0.000000
6,Good,47220956000,47220963000,7,0.000000
7,Good,47221206000,47221215000,9,0.000000
8,Good,47221466000,47221470000,4,0.000000
9,Good,47221716000,47221720000,4,0.000000
10,Good,47221966000,47221974000,8,0.000000
11,Good,47222216000,47222225000,9,0.000000
12,Good,47222476000,47222479000,3,0.000000
13,Good,47222726000,47222731000,5,0.000000
14,Good,47222976000,47222983000,7,0.000000
15,Good,47223226000,47223229000,3,0.000000
16,Good,47223476000,47223484000,8,0.000000
17,Good,47223726000,47223736000,10,0.000000
18,Good,47223986000,47223993000,7,0.000000
19,Good,47224236000,47224240000,4,0.000000
20,Good,47224486000,47224490000,4,0.000000
21,Good,47224736000,47224740000,4,0.000000
22,Good,47224986000,47224995000,9,0.000000
23,Good,47225246000,47225249000,3,0.000000
24,Good,47225496000,47225497000,1,0.000000
25,Good,47225746000,47225750000,4,0.000000
26,Good,47225996000,47226006000,10,0.000000
27,Good,47226256000,47226258000,2,0.000000
28,Good,47226506000,47226517000,11,0.000000
29,Good,47226766000,47226770000,4,0.000000
30,Good,47227016000,47227022000,6,0.000000
31,Good,47227266000,47227274000,8,0.000000
32,Good,47227516000,47227517000,1,0.000000
33,Good,47227766000,47227773000,7,0.000000
34,Good,47228016000,47228018000,2,0.000000
35,Good,47228266000,47228273000,7,0.000000
36,Good,47228516000,47228523000,7,0.000000
37,Good,47228766000,47228769000,3,0.000000
38,Good,47229016000,47229019000,3,0.000000
39,Good,47229266000,47229269000,3,0.000000
40,Good,47229516000,47229522000,6,0.000000
41,Good,47229766000,47229773000,7,0.000000
42,Good,47230016000,47230021000,5,0.000000
43,Good,47230266000,47230269000,3,0.000000
44,Good,47230516000,47230525000,9,0.000000
45,Good,47230766000,47230777000,11,0.000000
46,Good,47231026000,47231029000,3,0.000000
47,Good,47231276000,47231282000,6,0.000000
48,Good,47231526000,47231528000,2,0.000000
49,Good,47231776000,47231782000,6,0.000000
50,Good,47232026000,47232034000,8,0.000000
51,Good,47232276000,47232285000,9,0.000000
52,Good,47232536000,47232544000,8,0.000000
53,Good,47232786000,47232794000,8,0.000000
54,Good,47233036000,47233037000,1,0.000000
55,Good,47233286000,47233292000,6,0.000000
56,Good,47233536000,47233544000,8,0.000000
57,Good,47233786000,47233790000,4,0.000000
58,Good,47234036000,47234044000,8,0.000000
59,Good,47234286000,47234289000,3,0.000000
60,Good,47234536000,47234544000,8,0.000000
61,Good,47234786000,47234796000,10,0.000000
62,Good,47235046000,47235048000,2,0.000000
63,Good,47235296000,47235303000,7,0.000000
64,Good,47235546000,47235559000,13,0.000000
65,Good,47235806000,47235811000,5,0.000000
66,Good,47236056000,47236061000,5,0.000000
67,Good,47236306000,47236309000,3,0.000000
68,Good,47236556000,47236560000,4,0.000000
69,Good,47236806000,47236815000,9,0.000000
70,Good,47237056000,47237059000,3,0.000000
71,Good,47237306000,47237311000,5,0.000000
72,Good,47237556000,47237560000,4,0.000000
73,Good,47237806000,47237811000,5,0.000000
74,Good,47238056000,47238063000,7,0.000000
75,Good,47238306000,47238311000,5,0.000000
76,Good,47238556000,47238559000,3,0.000000
77,Good,47238806000,47238808000,2,0.000000
78,Good,47239056000,47239060000,4,0.000000
79,Good,47239306000,47239314000,8,0.000000
80,Good,47239556000,47239565000,9,0.000000
81,Good,47239816000,47239827000,11,0.000000
82,Good,47240076000,47240083000,7,0.000000
83,Good,47240326000,47240336000,10,0.000000
84,Good,47240586000,47240592000,6,0.000000
85,Good,47240836000,47240846000,10,0.000000
86,Good,47241096000,47241104000,8,0.000000
87,Good,47241346000,47241358000,12,0.000000
88,Good,47241606000,47241610000,4,0.000000
89,Good,47241856000,47241860000,4,0.000000
90,Good,47242106000,47242111000,5,0.000000
91,Good,47242356000,47242359000,3,0.000000
92,Good,47242606000,47242609000,3,0.000000
93,Good,47242856000,47242858000,2,0.000000
94,Good,47243106000,47243113000,7,0.000000
95,Good,47243356000,47243359000,3,0.000000
