counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,48231126000,48231173000,47,
1,Good,48231416000,48231458000,42,
2,Good,48231706000,48231751000,45,
3,Good,48231996000,48232044000,48,
4,Good,48232286000,48232330000,44,
5,Good,48232576000,48232618000,42,
6,Good,48232866000,48232909000,43,
7,Good,48233156000,48233199000,43,
8,Good,48233446000,48233490000,44,
9,Good,48233736000,48233779000,43,
10,Good,48234026000,48234070000,44,
11,Good,48234316000,48234362000,46,
12,Good,48234606000,48234652000,46,
13,Good,48234896000,48234940000,44,
14,Good,48235186000,48235231000,45,
15,Good,48235476000,48235521000,45,
16,Good,48235766000,48235809000,43,
17,Good,48236056000,48236101000,45,
18,Good,48236346000,48236391000,45,
19,Good,48236636000,48236683000,47,
20,Good,48236926000,48236971000,45,
21,Good,48237216000,48237265000,49,
22,Good,48237516000,48237561000,45,
23,Good,48237806000,48237850000,44,
24,Good,48238096000,48238141000,45,
25,Good,48238386000,48238429000,43,
26,Good,48238676000,48238721000,45,
27,Good,48238966000,48239010000,44,
28,Good,48239256000,48239298000,42,
29,Good,48239546000,48239591000,45,
30,Good,48239836000,48239880000,44,
31,Good,48240126000,48240174000,48,
32,Good,48240416000,48240457000,41,
33,Good,48240706000,48240753000,47,
34,Good,48240996000,48241038000,42,
35,Good,48241286000,48241330000,44,
36,Good,48241576000,48241621000,45,
37,Good,48241866000,48241910000,44,
38,Good,48242156000,48242199000,43,
39,Good,48242446000,48242489000,43,
40,Good,48242736000,48242779000,43,
41,Good,48243026000,48243077000,51,
42,Good,48243326000,48243372000,46,
43,Good,48243616000,48243659000,43,
44,Good,48243906000,48243952000,46,
45,Good,48244196000,48244243000,47,
46,Good,48244486000,48244532000,46,
47,Good,48244776000,48244819000,43,
48,Good,48245066000,48245110000,44,
49,Good,48245356000,48245405000,49,
50,Good,48245646000,48245696000,50,
51,Good,48245946000,48245991000,45,
52,Good,48246236000,48246284000,48,
53,Good,48246526000,48246577000,51,
54,Good,48246826000,48246872000,46,
55,Good,48247116000,48247159000,43,
56,Good,48247406000,48247456000,50,
57,Good,48247706000,48247752000,46,
58,Good,48247996000,48248039000,43,
59,Good,48248286000,48248330000,44,
60,Good,48248576000,48248621000,45,
61,Good,48248866000,48248915000,49,
62,Good,48249166000,48249210000,44,
63,Good,48249456000,48249500000,44,
64,Good,48249746000,48249794000,48,
65,Good,48250036000,48250078000,42,
66,Good,48250326000,48250372000,46,
67,Good,48250616000,48250662000,46,
68,Good,48250906000,48250950000,44,
69,Good,48251196000,48251238000,42,
70,Good,48251486000,48251531000,45,
71,Good,48251776000,48251819000,43,
72,Good,48252066000,48252111000,45,
73,Good,48252356000,48252399000,43,
74,Good,48252646000,48252691000,45,
75,Good,48252936000,48252982000,46,
76,Good,48253226000,48253270000,44,
77,Good,48253516000,48253559000,43,
78,Good,48253806000,48253853000,47,
79,Good,48254096000,48254139000,43,
80,Good,48254386000,48254430000,44,
81,Good,48254676000,48254720000,44,
82,Good,48254966000,48255011000,45,
83,Good,48255256000,48255299000,43,
84,Good,48255546000,48255590000,44,
85,Good,48255836000,48255879000,43,
86,Good,48256126000,48256170000,44,
87,Good,48256416000,48256458000,42,
88,Good,48256706000,48256749000,43,
89,Good,48256996000,48257041000,45,
90,Good,48257286000,48257330000,44,
91,Good,48257576000,48257622000,46,
92,Good,48257866000,48257914000,48,
93,Good,48258156000,48258201000,45,
94,Good,48258446000,48258490000,44,
95,Good,48258736000,48258781000,45,
96,Good,48259026000,48259070000,44,
97,Good,48259316000,48259360000,44,
98,Good,48259606000,48259653000,47,
99,Good,48259896000,48259940000,44,
100,Good,48260186000,48260232000,46,
101,Good,48260476000,48260518000,42,
102,Good,48260766000,48260812000,46,
103,Good,48261056000,48261105000,49,
104,Good,48261346000,48261397000,51,
105,Good,48261646000,48261693000,47,
106,Good,48261936000,48261980000,44,
107,Good,48262226000,48262277000,51,
108,Good,48262526000,48262572000,46,
109,Good,48262816000,48262861000,45,
110,Good,48263106000,48263150000,44,
111,Good,48263396000,48263440000,44,
112,Good,48263686000,48263729000,43,
113,Good,48263976000,48264020000,44,
114,Good,48264266000,48264312000,46,
115,Good,48264556000,48264600000,44,
116,Good,48264846000,48264891000,45,
117,Good,48265136000,48265181000,45,
118,Good,48265426000,48265473000,47,
119,Good,48265716000,48265763000,47,
120,Good,48266006000,48266053000,47,
121,Good,48266296000,48266339000,43,
122,Good,48266586000,48266629000,43,
123,Good,48266876000,48266919000,43,
124,Good,48267166000,48267210000,44,
125,Good,48267456000,48267507000,51,
126,Good,48267756000,48267798000,42,
127,Good,48268046000,48268093000,47,
128,Good,48268336000,48268384000,48,
129,Good,48268626000,48268671000,45,
130,Good,48268916000,48268962000,46,
131,Good,48269206000,48269252000,46,
132,Good,48269496000,48269542000,46,
133,Good,48269786000,48269835000,49,
134,Good,48270086000,48270130000,44,
135,Good,48270376000,48270419000,43,
136,Good,48270666000,48270709000,43,
137,Good,48270956000,48271000000,44,
138,Good,48271246000,48271296000,50,
139,Good,48271546000,48271594000,48,
140,Good,48271836000,48271879000,43,
141,Good,48272126000,48272170000,44,
142,Good,48272416000,48272459000,43,
143,Good,48272706000,48272757000,51,
144,Good,48273006000,48273056000,50,
145,Good,48273306000,48273349000,43,
146,Good,48273596000,48273641000,45,
147,Good,48273886000,48273932000,46,
148,Good,48274176000,48274220000,44,
149,Good,48274466000,48274511000,45,
150,Good,48274756000,48274801000,45,
151,Good,48275046000,48275094000,48,
152,Good,48275336000,48275383000,47,
153,Good,48275626000,48275677000,51,
154,Good,48275926000,48275973000,47,
155,Good,48276216000,48276260000,44,
