value_last_recv,timestamp_chg
30,44651347000
31,44651598000
32,44651853000
33,44652097000
34,44652346000
35,44652598000
36,44652852000
37,44653097000
38,44653347000
39,44653598000
40,44653850000
41,44654097000
42,44654346000
43,44654596000
44,44654847000
45,44655098000
46,44655350000
47,44655596000
48,44655850000
49,44656097000
50,44656350000
51,44656601000
52,44656846000
53,44657096000
54,44657350000
55,44657602000
56,44657849000
57,44658098000
58,44658352000
59,44658601000
60,44658849000
61,44659098000
62,44659349000
63,44659602000
64,44659848000
65,44660106000
66,44660358000
67,44660610000
68,44660864000
69,44661110000
70,44661365000
71,44661618000
72,44661870000
73,44662121000
74,44662370000
75,44662624000
76,44662876000
77,44663129000
78,44663376000
79,44663630000
80,44663880000
81,44664127000
82,44664384000
83,44664626000
84,44664886000
85,44665140000
86,44665386000
87,44665637000
88,44665896000
89,44666151000
90,44666397000
91,44666648000
92,44666897000
93,44667146000
94,44667398000
95,44667652000
96,44667897000
97,44668148000
98,44668404000
99,44668650000
100,44668897000
101,44669149000
102,44669397000
103,44669649000
104,44669899000
105,44670150000
106,44670401000
107,44670646000
108,44670896000
109,44671150000
110,44671401000
111,44671649000
112,44671898000
113,44672146000
114,44672397000
115,44672650000
116,44672904000
117,44673148000
118,44673400000
119,44673652000
120,44673896000
121,44674154000
122,44674398000
123,44674650000
124,44674898000
125,44675152000
126,44675398000
127,44675655000
128,44675906000
129,44676156000
130,44676408000
131,44676656000
132,44676909000
133,44677157000
134,44677414000
135,44677666000
136,44677916000
137,44678166000
138,44678418000
139,44678668000
140,44678926000
141,44679178000
142,44679431000
143,44679683000
144,44679934000
145,44680188000
146,44680440000
147,44680690000
148,44680942000
149,44681187000
150,44681439000
151,44681686000
152,44681942000
153,44682190000
154,44682442000
155,44682689000
156,44682938000
157,44683189000
158,44683441000
159,44683690000
160,44683936000
161,44684187000
162,44684438000
163,44684694000
164,44684946000
165,44685204000
166,44685450000
167,44685705000
168,44685957000
169,44686208000
170,44686462000
171,44686706000
172,44686966000
173,44687224000
174,44687467000
175,44687719000
176,44687970000
177,44688225000
178,44688481000
179,44688733000
180,44688986000
181,44689238000
182,44689489000
183,44689742000
184,44689995000
185,44690249000
186,44690502000
187,44690754000
188,44690996000
189,44691252000
190,44691504000
191,44691750000
192,44691999000
193,44692250000
194,44692503000
195,44692747000
196,44693000000
197,44693257000
198,44693510000
199,44693760000
200,44694006000
201,44694261000
202,44694508000
203,44694761000
204,44695007000
205,44695257000
206,44695506000
207,44695762000
208,44696007000
209,44696258000
210,44696513000
211,44696762000
212,44697006000
213,44697259000
214,44697512000
215,44697766000
216,44698018000
217,44698268000
218,44698518000
219,44698768000
220,44699019000
221,44699272000
222,44699519000
223,44699775000
224,44700029000
225,44700280000
226,44700529000
227,44700781000
228,44701028000
229,44701282000
230,44701530000
231,44701786000
232,44702036000
233,44702287000
234,44702540000
235,44702794000
236,44703048000
237,44703296000
238,44703552000
239,44703802000
240,44704055000
241,44704315000
242,44704568000
243,44704819000
244,44705072000
245,44705318000
246,44705572000
247,44705822000
248,44706066000
249,44706318000
250,44706566000
251,44706818000
252,44707077000
253,44707327000
254,44707586000
255,44707840000
256,44708093000
257,44708337000
258,44708591000
259,44708842000
260,44709093000
261,44709337000
262,44709592000
263,44709838000
264,44710087000
265,44710338000
266,44710596000
267,44710852000
268,44711097000
269,44711352000
270,44711597000
271,44711854000
272,44712106000
273,44712358000
274,44712610000
275,44712866000
276,44713117000
277,44713367000
278,44713616000
279,44713870000
280,44714118000
281,44714373000
282,44714623000
283,44714875000
284,44715127000
285,44715376000
286,44715629000
287,44715881000
288,44716134000
289,44716378000
290,44716628000
291,44716877000
292,44717129000
293,44717384000
294,44717628000
295,44717883000
296,44718128000
297,44718378000
298,44718633000
299,44718886000
300,44719136000
301,44719386000
302,44719642000
303,44719887000
304,44720142000
