counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,45405946000,45405952000,6,20729
1,Good,45406195000,45406204000,9,20730
2,Good,45406446000,45406452000,6,20731
3,Good,45406695000,45406703000,8,20732
4,Good,45406946000,45406946000,0,20733
5,Good,45407195000,45407197000,2,20734
6,Good,45407446000,45407450000,4,20735
7,Good,45407695000,45407700000,5,20736
8,Good,45407946000,45407948000,2,20737
9,Good,45408195000,45408200000,5,20738
10,Good,45408446000,45408452000,6,20739
11,Good,45408695000,45408701000,6,20740
12,Good,45408946000,45408946000,0,20741
13,Good,45409195000,45409197000,2,20742
14,Good,45409446000,45409454000,8,20743
15,Good,45409706000,45409712000,6,20744
16,Good,45409955000,45409958000,3,20745
17,Good,45410206000,45410207000,1,20746
18,Good,45410455000,45410465000,10,20747
19,Good,45410715000,45410716000,1,20748
20,Good,45410966000,45410974000,8,20749
21,Good,45411215000,45411218000,3,20750
22,Good,45411466000,45411469000,3,20751
23,Good,45411715000,45411721000,6,20752
24,Good,45411966000,45411973000,7,20753
25,Good,45412215000,45412223000,8,20754
26,Good,45412466000,45412476000,10,20755
27,Good,45412726000,45412732000,6,20756
28,Good,45412975000,45412976000,1,20757
29,Good,45413226000,45413233000,7,20758
30,Good,45413475000,45413476000,1,20759
31,Good,45413726000,45413731000,5,20760
32,Good,45413975000,45413978000,3,20761
33,Good,45414226000,45414229000,3,20762
34,Good,45414475000,45414481000,6,20763
35,Good,45414726000,45414727000,1,20764
36,Good,45414975000,45414983000,8,20765
37,Good,45415226000,45415228000,2,20766
38,Good,45415475000,45415483000,8,20767
39,Good,45415726000,45415729000,3,20768
40,Good,45415975000,45415978000,3,20769
41,Good,45416226000,45416227000,1,20770
42,Good,45416475000,45416477000,2,20771
43,Good,45416726000,45416730000,4,20772
44,Good,45416975000,45416983000,8,20773
45,Good,45417226000,45417231000,5,20774
46,Good,45417475000,45417486000,11,20775
47,Good,45417735000,45417736000,1,20776
48,Good,45417986000,45417990000,4,20777
49,Good,45418235000,45418238000,3,20778
50,Good,45418486000,45418490000,4,20779
51,Good,45418735000,45418738000,3,20780
52,Good,45418986000,45418989000,3,20781
53,Good,45419235000,45419237000,2,20782
54,Good,45419486000,45419490000,4,20783
55,Good,45419735000,45419737000,2,20784
56,Good,45419986000,45419987000,1,20785
57,Good,45420235000,45420237000,2,20786
58,Good,45420486000,45420491000,5,20787
59,Good,45420735000,45420744000,9,20788
60,Good,45420986000,45420989000,3,20789
61,Good,45421235000,45421241000,6,20790
62,Good,45421486000,45421486000,0,20791
63,Good,45421735000,45421738000,3,20792
64,Good,45421986000,45421990000,4,20793
65,Good,45422235000,45422237000,2,20794
66,Good,45422486000,45422492000,6,20795
67,Good,45422735000,45422746000,11,20796
68,Good,45422995000,45423000000,5,20797
69,Good,45423246000,45423254000,8,20798
70,Good,45423495000,45423499000,4,20799
71,Good,45423746000,45423748000,2,20800
72,Good,45423995000,45423999000,4,20801
73,Good,45424246000,45424251000,5,20802
74,Good,45424495000,45424503000,8,20803
75,Good,45424746000,45424747000,1,20804
76,Good,45424995000,45425006000,11,20805
77,Good,45425255000,45425259000,4,20806
78,Good,45425506000,45425513000,7,20807
79,Good,45425755000,45425756000,1,20808
80,Good,45426006000,45426013000,7,20809
81,Good,45426255000,45426266000,11,20810
82,Good,45426515000,45426521000,6,20811
83,Good,45426766000,45426776000,10,20812
84,Good,45427026000,45427026000,0,20813
85,Good,45427275000,45427284000,9,20814
86,Good,45427526000,45427527000,1,20815
87,Good,45427775000,45427778000,3,20816
88,Good,45428026000,45428032000,6,20817
89,Good,45428275000,45428276000,1,20818
90,Good,45428526000,45428529000,3,20819
91,Good,45428775000,45428783000,8,20820
92,Good,45429026000,45429034000,8,20821
93,Good,45429275000,45429279000,4,20822
94,Good,45429526000,45429526000,0,20823
95,Good,45429775000,45429783000,8,20824
96,Good,45430026000,45430035000,9,20825
97,Good,45430286000,45430290000,4,20826
98,Good,45430535000,45430537000,2,20827
99,Good,45430786000,45430791000,5,20828
100,Good,45431035000,45431038000,3,20829
101,Good,45431286000,45431289000,3,20830
102,Good,45431535000,45431538000,3,20831
103,Good,45431786000,45431790000,4,20832
104,Good,45432035000,45432038000,3,20833
105,Good,45432286000,45432287000,1,20834
106,Good,45432535000,45432539000,4,20835
107,Good,45432786000,45432789000,3,20836
108,Good,45433035000,45433037000,2,20837
