counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,44902826000,44902827000,1,1023.349988
1,Good,44903075000,44903081000,6,1024.299988
2,Good,44903326000,44903326000,0,1025.249988
3,Good,44903575000,44903579000,4,1026.199988
4,Good,44903826000,44903829000,3,1027.149988
5,Good,44904075000,44904078000,3,1028.099988
6,Good,44904326000,44904328000,2,1029.049988
7,Good,44904575000,44904582000,7,1029.999988
8,Good,44904826000,44904830000,4,1030.949988
9,Good,44905075000,44905077000,2,1031.899988
10,Good,44905326000,44905332000,6,1032.849988
11,Good,44905575000,44905577000,2,1033.799988
12,Good,44905826000,44905830000,4,1034.749988
13,Good,44906075000,44906082000,7,1035.699988
14,Good,44906326000,44906330000,4,1036.649988
15,Good,44906575000,44906582000,7,1037.599988
16,Good,44906826000,44906827000,1,1038.549988
17,Good,44907075000,44907082000,7,1039.499988
18,Good,44907326000,44907332000,6,1040.449988
19,Good,44907575000,44907579000,4,1041.399988
20,Good,44907826000,44907833000,7,1042.349988
21,Good,44908075000,44908077000,2,1043.299988
22,Good,44908326000,44908326000,0,1044.249988
23,Good,44908575000,44908576000,1,1045.199988
24,Good,44908826000,44908828000,2,1046.149988
25,Good,44909075000,44909079000,4,1047.099988
26,Good,44909326000,44909330000,4,1048.049988
27,Good,44909575000,44909578000,3,1048.999988
28,Good,44909826000,44909829000,3,1049.949988
29,Good,44910075000,44910080000,5,1050.899988
30,Good,44910326000,44910329000,3,1051.849988
31,Good,44910575000,44910579000,4,1052.799988
32,Good,44910826000,44910832000,6,1053.749988
33,Good,44911075000,44911080000,5,1054.699988
34,Good,44911326000,44911334000,8,1055.649988
35,Good,44911575000,44911576000,1,1056.599988
36,Good,44911826000,44911834000,8,1057.549988
37,Good,44912075000,44912078000,3,1058.499988
38,Good,44912326000,44912334000,8,1059.449988
39,Good,44912575000,44912585000,10,1060.399988
40,Good,44912835000,44912837000,2,1061.349988
41,Good,44913086000,44913090000,4,1062.299988
42,Good,44913335000,44913342000,7,1063.249988
43,Good,44913586000,44913595000,9,1064.199988
44,Good,44913846000,44913847000,1,1065.149988
45,Good,44914095000,44914104000,9,1066.099988
46,Good,44914346000,44914347000,1,1067.049988
47,Good,44914595000,44914597000,2,1067.999988
48,Good,44914846000,44914854000,8,1068.949988
49,Good,44915106000,44915113000,7,1069.899988
50,Good,44915355000,44915361000,6,1070.849988
51,Good,44915606000,44915613000,7,1071.799988
52,Good,44915855000,44915858000,3,1072.749988
53,Good,44916106000,44916109000,3,1073.699988
54,Good,44916355000,44916358000,3,1074.649988
55,Good,44916606000,44916609000,3,1075.599988
56,Good,44916855000,44916862000,7,1076.549988
57,Good,44917106000,44917106000,0,1077.499988
58,Good,44917355000,44917363000,8,1078.449988
59,Good,44917606000,44917610000,4,1079.399988
60,Good,44917855000,44917865000,10,1080.349988
61,Good,44918115000,44918121000,6,1081.299988
62,Good,44918366000,44918368000,2,1082.249988
63,Good,44918615000,44918619000,4,1083.199988
64,Good,44918866000,44918871000,5,1084.149988
65,Good,44919115000,44919117000,2,1085.099988
66,Good,44919366000,44919367000,1,1086.049988
67,Good,44919615000,44919616000,1,1086.999988
68,Good,44919866000,44919867000,1,1087.949988
69,Good,44920115000,44920116000,1,1088.899988
70,Good,44920366000,44920374000,8,1089.849988
71,Good,44920615000,44920616000,1,1090.799988
72,Good,44920866000,44920869000,3,1091.749988
73,Good,44921115000,44921121000,6,1092.699988
74,Good,44921366000,44921374000,8,1093.649988
75,Good,44921626000,44921630000,4,1094.599988
76,Good,44921875000,44921886000,11,1095.549987
77,Good,44922135000,44922141000,6,1096.499987
78,Good,44922386000,44922390000,4,1097.449987
79,Good,44922635000,44922646000,11,1098.399987
80,Good,44922895000,44922901000,6,1099.349987
81,Good,44923146000,44923147000,1,1100.299987
82,Good,44923395000,44923402000,7,1101.249987
83,Good,44923646000,44923648000,2,1102.199987
84,Good,44923895000,44923900000,5,1103.149987
85,Good,44924146000,44924152000,6,1104.099987
86,Good,44924395000,44924396000,1,1105.049987
87,Good,44924646000,44924656000,10,1105.999987
88,Good,44924906000,44924916000,10,1106.949987
89,Good,44925166000,44925168000,2,1107.899987
90,Good,44925415000,44925418000,3,1108.849987
91,Good,44925666000,44925668000,2,1109.799987
92,Good,44925915000,44925918000,3,1110.749987
93,Good,44926166000,44926169000,3,1111.699987
94,Good,44926415000,44926421000,6,1112.649987
95,Good,44926666000,44926673000,7,1113.599987
96,Good,44926915000,44926918000,3,1114.549987
