counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,45909326000,45909337000,11,ohzwuQXYTByqUDEFRgtnCsxmGLYKtxSm5eVcAHThY9K7unAwQ927mzCLBJk8NjgEZsnQEvVhXcyZpST
1,Good,45909586000,45909600000,14,hPwCkzFYGZ2WRardTqL49cENQ7wTh4rtLp8VUhTcPN3wsJtWgxsXVwjemJKwTeogPBfF9H2auPMGZvu
2,Good,45909846000,45909862000,16,f4CUTL2B7AhUJ26DXRsrjUVyShMdV6jxcVuHgzXMoZUCxvwg3xUs9d3SybmpnufL5yZUd54AvcfKsvS
3,Good,45910106000,45910117000,11,gUYx8svozWPEfe4YRK2wt3JTeLoH4ESpux6Qv4CMXcu2mLkCPujepoNn9j6S72tFkV5E3rquzSZRC7S
4,Good,45910366000,45910380000,14,45wV7noQ4gvd6an39PapTAfKeWB53eLaQUwP6xkymsGjJnPN3Xe4QKaRmUBjDqGznHCazyrSYg6Mqon
5,Good,45910626000,45910637000,11,gXxm2eDNoWYBAoS7eg32UGk9CKEjwVeoBRGAdtzNSehPty6hSUpCqB9nc3mjwkqdAQfeYGd3TWaxvHA
6,Good,45910886000,45910897000,11,u5hxsnLpbzavFoZ6aYHAw9NbmgWj7mstFRCfdL2JRzokKYxgrA5uHhUVFyEeNryVgXWZ47HosXxAW7v
7,Good,45911146000,45911157000,11,wF8ncz7fFs2T8xXjpoPcekV9pPvt6URGnCVd2uoUpdchtKA2CWw3UjWRdLsfT96xLVuBEw4jJzF2a5D
8,Good,45911406000,45911417000,11,8h3TLtRZCQogYRWbZYSE7DG2bHJgXqWPsEtAomTY7ZXjkYMBUJfL24aAzCjsBW4YxUgVw9pTFrd3fuU
9,Good,45911666000,45911678000,12,M8Wgfhwse8fyXo9pqQHrvKGNQ9qeMfFP4dKX2BoCzGPB5R8kzeJEBzHSf392R54dkxfPcp5C3LVr4Pk
10,Good,45911926000,45911937000,11,pcJ867yKXtRLeVDEotr6k5eaVUM4TdUaRPJhw5pkVJYFhx2J67GfghDcdk8zP6u4QLdRsDGjafY3gbD
11,Good,45912186000,45912201000,15,aqXby8HgDmC4gd2GRKhFY83drHWNDoyFep9WouhgCqRHsUxRDgsC2r8hVQ9KyhYMxBy2umYAgWSHuXU
12,Good,45912446000,45912457000,11,8YT5UCqZzxj2pECcZjh3z8U4aLJPy2FVqkt4vfK8sn4RgFYfTsFhVkZHfRk9svUYxb2pwVq9kQg4mDz
13,Good,45912706000,45912718000,12,zo6u2VAKDP5MuqLYERbqg4EH9kY8A3ZTb4adPK9AEfUDwTxbdkLzTtXpWYuENBvbS8jBGcqbWNBUqv6
14,Good,45912966000,45912978000,12,5jUrKzWnYqxkgAEH5tfT3ZcD5uAkPbhyFfSTw3LFG6aXdqsU9YjKCBytWSP3XEYWC8eBrvVhZM69EhN
15,Good,45913226000,45913237000,11,LrnNDgknx3tSsA2rcgdpLaTHzXRrKY5uDCTXwUvJQyxnuaAgkpUtYdXMKU5odygp8oFuJ4BLdTMFuyr
16,Good,45913486000,45913497000,11,bPauSh4KLFZdNBFeb7pmEFKAbwjJUFB7VKJ3TZtBYxdt6AjPcoG9QVEaTd8tyETg2z7nHf5kqSpQfw9
17,Good,45913746000,45913758000,12,yfkEpjCZKwr9y7nKM2vB3LGkJThPyHpQnC5TBfvoRNbmFQNfVsYn96VbdKUpBtL5s2KzQP54W2eb9mk
18,Good,45914006000,45914025000,19,cJsemhc6CLsDqM8ehDJL8vUKkxEg5PDqAfMHPReySLK9f3eXtKbP3G7jKHaJ4yM2f7DsduyoSn4vhYW
19,Good,45914275000,45914288000,13,VwukcCxmtEkN3XmQnCawsbj3R6wFyfuv6cbfrgN2Zn9FLcjWM5wVFR3M8sGAe4gya74Js6dN5SykqxV
20,Good,45914535000,45914550000,15,Mc9SHK8CkRBXujmAwYuRS5L6JFDYZ6SoPZ4bSergnQ87VRSsn2APYSDHBFj7a2EFGULVFPhtR57MuvF
21,Good,45914795000,45914808000,13,FmSupoBXG5RTcj5UJDzXQByaJEfDWyAuNvKWm6tsY9EoBRCtvXhBVQ6Pd2Dhtdcyqh9rNaUgnztvHxc
22,Good,45915055000,45915070000,15,EJGrxnELbWHXt8mNdZstjGba3wjJk6N9ge8JQkUuDozd52nXqvzuAdCpQ5yeB2a4YLbnENyY8q5Wk67
23,Good,45915315000,45915328000,13,9Tb7avThqD84gQReKoarkNJ4spHCozPg7baM6NbPYqrkuxCa5E7SrPwgCoaZcsWkwgDhsa9bMgTB59N
24,Good,45915575000,45915590000,15,n8yerUNBtGoMgjv6CUoKT28zMTdE57CAWsfmxPeELXy46wqYbK56Vr4v9SXzJFvDozxCJGwyh86BD4Z
25,Good,45915835000,45915853000,18,GFvs7t6E2ufVt89LSgzsT6o8NmcutUs59362AquEWde6T2Su3DRXbvTrX9BMnx8GQHRzfuWyasoWU3p
26,Good,45916095000,45916108000,13,eBnUjGHpVoKWrFhBzPEAWJacMH4ntjwx8GoKAPHonUfcZLtE8aBQLJ82b9aA5BwRj4LDuPewx7q6Jhv
