value_last_recv,timestamp_chg
79,36353490932
80,36353743927
81,36353997352
82,36354243938
83,36354498902
84,36354750124
85,36355003936
86,36355250947
87,36355508517
88,36355750923
89,36356003959
90,36356253357
91,36356503962
92,36356757349
93,36357008563
94,36357255760
95,36357509359
96,36357765355
97,36358014172
98,36358265393
99,36358511003
100,36358764002
101,36359010995
102,36359266223
103,36359514196
104,36359769470
105,36360022181
106,36360275948
107,36360530929
108,36360781583
109,36361035147
110,36361284588
111,36361537551
112,36361787022
113,36362032639
114,36362289384
115,36362544726
116,36362795016
117,36363048705
118,36363295169
119,36363542252
120,36363792010
121,36364046397
122,36364291914
123,36364546347
124,36364794353
125,36365051249
126,36365302364
127,36365555242
128,36365804101
129,36366052774
130,36366302344
131,36366552880
132,36366805550
133,36367057724
134,36367306434
135,36367553466
136,36367809663
137,36368062473
138,36368320005
139,36368575080
140,36368827131
141,36369078382
142,36369324102
143,36369571148
144,36369831117
145,36370082400
146,36370340891
147,36370600874
148,36370853722
149,36371105629
150,36371351209
151,36371604191
152,36371851239
153,36372107325
154,36372352939
155,36372607932
156,36372852112
157,36373101756
158,36373356175
159,36373605561
160,36373855319
161,36374106456
162,36374360891
163,36374616106
164,36374862638
165,36375113794
166,36375365850
167,36375616923
168,36375864889
169,36376118633
170,36376364284
171,36376614485
172,36376866535
173,36377114563
174,36377368103
175,36377611461
176,36377861798
177,36378112162
178,36378366644
179,36378619314
180,36378871364
181,36379121849
182,36379375325
183,36379627339
184,36379871524
185,36380131409
186,36380385023
187,36380636982
188,36380888217
189,36381131417
190,36381389058
191,36381632201
192,36381882618
193,36382135428
194,36382385067
195,36382633029
196,36382886648
197,36383131455
198,36383384488
199,36383632246
200,36383892269
201,36384144500
202,36384393071
203,36384649061
204,36384892273
205,36385149960
206,36385407436
207,36385660390
208,36385917223
209,36386161974
210,36386412345
211,36386665843
212,36386917090
213,36387169954
214,36387424602
215,36387673195
216,36387921883
217,36388173977
218,36388424548
219,36388673033
220,36388922682
221,36389177184
222,36389424496
223,36389681958
224,36389935725
225,36390185176
226,36390431745
227,36390686736
228,36390937947
229,36391187704
230,36391441255
231,36391692478
232,36391944544
233,36392192488
234,36392447516
235,36392692583
236,36392946722
237,36393197401
238,36393446819
239,36393692474
240,36393942838
241,36394197203
242,36394442248
243,36394694847
244,36394946049
245,36395192544
246,36395442050
247,36395695626
248,36395948627
249,36396191723
250,36396445326
251,36396701456
252,36396955036
253,36397210820
254,36397467618
255,36397717355
256,36397969458
257,36398211753
258,36398464688
259,36398721467
260,36398973487
261,36399222272
262,36399479941
263,36399731702
264,36399984749
265,36400235025
266,36400485359
267,36400737453
268,36400982901
269,36401234095
270,36401482931
271,36401735027
272,36401986237
273,36402237460
274,36402488693
275,36402738155
276,36402990240
277,36403242244
278,36403502240
279,36403756658
280,36404005444
281,36404254259
282,36404507031
283,36404753454
284,36405005466
285,36405262277
286,36405517476
287,36405767156
288,36406016045
289,36406263134
290,36406511992
291,36406767021
292,36407018245
293,36407269466
294,36407517476
295,36407769466
296,36408014354
297,36408264923
298,36408515022
299,36408763028
300,36409017516
301,36409266333
302,36409518436
303,36409769596
304,36410012866
305,36410268694
306,36410511899
307,36410763078
308,36411016010
309,36411270394
310,36411522581
311,36411773487
312,36412024978
313,36412273602
314,36412523127
315,36412774342
316,36413023245
317,36413275325
318,36413530537
319,36413782344
320,36414032872
321,36414287315
322,36414535992
323,36414783129
324,36415038427
325,36415282362
326,36415533788
327,36415787311
328,36416039421
329,36416282429
330,36416533028
331,36416782439
332,36417037649
333,36417283302
334,36417541626
335,36417792998
336,36418042445
337,36418292834
338,36418552215
339,36418808215
340,36419053616
341,36419308085
342,36419559240
343,36419807242
344,36420062457
345,36420321870
346,36420573855
347,36420823378
348,36421075285
349,36421329113
350,36421573010
351,36421828283
352,36422072126
353,36422322589
354,36422577770
355,36422823327
356,36423072112
357,36423322749
358,36423576317
359,36423827503
360,36424072295
361,36424325275
362,36424573853
363,36424828185
364,36425078537
365,36425332391
366,36425583615
367,36425838695
368,36426089765
369,36426332194
370,36426585229
371,36426836248
372,36427082841
373,36427333847
374,36427585206
375,36427835557
376,36428087441
377,36428339533
378,36428585307
379,36428838669
380,36429091518
381,36429343602
382,36429596302
383,36429846910
384,36430093276
385,36430346822
386,36430595510
387,36430849164
388,36431093160
389,36431347607
390,36431600303
391,36431852400
392,36432107706
393,36432352392
394,36432606036
395,36432858135
396,36433112313
397,36433362933
398,36433614717
399,36433869949
400,36434115500
401,36434365465
402,36434618829
403,36434863776
404,36435113219
405,36435369358
406,36435614779
407,36435862859
408,36436112622
409,36436365560
410,36436616537
411,36436869197
412,36437115656
413,36437366053
414,36437619605
415,36437865555
416,36438114161
417,36438365667
418,36438619610
419,36438872545
420,36439128403
421,36439381349
422,36439633475
423,36439885501
424,36440133279
425,36440385573
426,36440640538
427,36440882936
428,36441136557
429,36441393373
430,36441647764
431,36441900615
432,36442145618
433,36442397369
434,36442646988
435,36442902189
436,36443157401
437,36443403027
438,36443662258
439,36443913454
440,36444163761
441,36444418265
442,36444662934
443,36444915922
444,36445172742
445,36445423741
446,36445677334
447,36445930376
448,36446172783
449,36446428699
450,36446675744
451,36446923136
452,36447174291
453,36447423129
454,36447675165
455,36447926337
456,36448175153
457,36448425720
458,36448673474
459,36448926252
460,36449175943
461,36449431043
462,36449683945
463,36449934250
464,36450183951
465,36450436886
466,36450685747
467,36450941593
