value_last_recv,timestamp_chg
20753,37107633302
20754,37107876505
20755,37108125226
20756,37108376591
20757,37108629442
20758,37108878361
20759,37109126274
20760,37109378282
20761,37109625326
20762,37109876395
20763,37110130836
20764,37110382208
20765,37110626263
20766,37110883737
20767,37111138365
20768,37111389379
20769,37111641358
20770,37111887067
20771,37112142189
20772,37112393493
20773,37112635652
20774,37112890839
20775,37113142948
20776,37113388596
20777,37113635832
20778,37113887756
20779,37114140591
20780,37114385495
20781,37114640676
20782,37114891136
20783,37115138500
20784,37115394981
20785,37115650360
20786,37115902929
20787,37116148729
20788,37116405338
20789,37116655720
20790,37116907774
20791,37117156773
20792,37117408586
20793,37117660594
20794,37117912582
20795,37118156791
20796,37118407881
20797,37118660789
20798,37118910284
20799,37119162245
20800,37119408656
20801,37119666374
20802,37119920011
20803,37120167852
20804,37120420652
20805,37120669590
20806,37120915865
20807,37121170506
20808,37121415940
20809,37121666298
20810,37121916697
20811,37122167240
20812,37122418641
20813,37122667243
20814,37122916831
20815,37123172812
20816,37123420134
20817,37123675904
20818,37123928066
20819,37124178602
20820,37124427878
20821,37124678711
20822,37124932043
20823,37125180720
20824,37125428689
20825,37125684938
20826,37125936715
20827,37126191370
20828,37126438647
20829,37126689550
20830,37126944948
20831,37127196230
20832,37127445718
20833,37127700138
20834,37127945780
20835,37128201823
20836,37128447339
20837,37128702437
20838,37128954402
20839,37129207368
20840,37129462366
20841,37129715330
20842,37129967184
20843,37130220161
20844,37130473833
20845,37130724891
20846,37130976931
20847,37131228790
20848,37131480170
20849,37131727272
20850,37131981711
20851,37132230487
20852,37132480823
20853,37132729639
20854,37132982609
20855,37133233949
20856,37133480106
20857,37133735427
20858,37133987272
20859,37134236838
20860,37134491407
20861,37134736859
20862,37134992943
20863,37135240963
20864,37135485952
20865,37135741023
20866,37135986532
20867,37136238961
20868,37136487459
20869,37136738970
20870,37136985802
20871,37137239424
20872,37137488347
20873,37137740150
20874,37137985889
20875,37138241963
20876,37138488221
20877,37138744212
20878,37138996407
20879,37139249198
20880,37139497172
20881,37139753187
20882,37139997227
20883,37140250873
20884,37140501215
20885,37140747435
20886,37140998841
20887,37141247560
20888,37141496324
20889,37141748478
20890,37141998837
20891,37142249191
20892,37142498890
20893,37142751486
20894,37143001281
20895,37143250033
20896,37143499135
20897,37143756447
20898,37144010892
20899,37144263481
20900,37144505907
20901,37144756438
20902,37145009979
20903,37145262714
20904,37145509169
20905,37145759729
20906,37146009143
20907,37146259156
20908,37146510091
20909,37146762030
20910,37147014099
20911,37147266204
20912,37147519188
20913,37147772379
20914,37148023568
20915,37148272437
20916,37148525980
20917,37148782983
20918,37149026863
20919,37149283741
20920,37149526061
20921,37149782239
20922,37150035001
