counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,36353452000,36353463000,11,80
1,Good,36353712000,36353716000,4,81
2,Good,36353962000,36353969000,7,81
3,Good,36354212000,36354216000,4,83
4,Good,36354462000,36354471000,9,83
5,Good,36354712000,36354722000,10,85
6,Good,36354972000,36354976000,4,86
7,Good,36355222000,36355223000,1,86
8,Good,36355472000,36355480000,8,88
9,Good,36355722000,36355723000,1,88
10,Good,36355972000,36355976000,4,90
11,Good,36356222000,36356225000,3,90
12,Good,36356472000,36356476000,4,92
13,Good,36356722000,36356729000,7,92
14,Good,36356972000,36356980000,8,94
15,Good,36357222000,36357227000,5,94
16,Good,36357472000,36357481000,9,96
17,Good,36357732000,36357737000,5,97
18,Good,36357982000,36357986000,4,97
19,Good,36358232000,36358237000,5,99
20,Good,36358482000,36358483000,1,99
21,Good,36358732000,36358736000,4,101
22,Good,36358982000,36358983000,1,101
23,Good,36359232000,36359238000,6,103
24,Good,36359482000,36359486000,4,103
25,Good,36359732000,36359741000,9,105
26,Good,36359992000,36359994000,2,105
27,Good,36360242000,36360247000,5,106
28,Good,36360492000,36360503000,11,108
29,Good,36360752000,36360753000,1,108
30,Good,36361002000,36361007000,5,109
31,Good,36361252000,36361256000,4,111
32,Good,36361502000,36361509000,7,111
33,Good,36361752000,36361759000,7,113
34,Good,36362002000,36362004000,2,113
35,Good,36362252000,36362261000,9,115
36,Good,36362512000,36362516000,4,116
37,Good,36362762000,36362767000,5,116
38,Good,36363012000,36363020000,8,118
39,Good,36363262000,36363267000,5,118
40,Good,36363512000,36363514000,2,119
41,Good,36363762000,36363763000,1,120
42,Good,36364012000,36364018000,6,122
43,Good,36364262000,36364263000,1,122
44,Good,36364512000,36364518000,6,124
45,Good,36364762000,36364766000,4,124
46,Good,36365012000,36365023000,11,126
47,Good,36365272000,36365274000,2,126
48,Good,36365522000,36365527000,5,127
49,Good,36365772000,36365776000,4,129
50,Good,36366022000,36366024000,2,129
51,Good,36366272000,36366274000,2,130
52,Good,36366522000,36366524000,2,131
53,Good,36366772000,36366777000,5,133
54,Good,36367022000,36367029000,7,133
55,Good,36367272000,36367278000,6,135
56,Good,36367522000,36367525000,3,135
57,Good,36367772000,36367781000,9,137
58,Good,36368032000,36368034000,2,137
59,Good,36368282000,36368291000,9,138
60,Good,36368542000,36368547000,5,139
61,Good,36368792000,36368799000,7,141
62,Good,36369042000,36369050000,8,141
63,Good,36369292000,36369296000,4,143
