counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,37107639000,37107648000,9,20753
1,Good,37107889000,37107891000,2,20754
2,Good,37108139000,37108140000,1,20755
3,Good,37108389000,37108391000,2,20756
4,Good,37108639000,37108645000,6,20757
5,Good,37108889000,37108893000,4,20759
6,Good,37109139000,37109141000,2,20759
7,Good,37109389000,37109393000,4,20761
8,Good,37109639000,37109640000,1,20761
9,Good,37109889000,37109891000,2,20762
10,Good,37110139000,37110145000,6,20763
11,Good,37110389000,37110397000,8,20765
12,Good,37110639000,37110641000,2,20765
13,Good,37110890000,37110898000,8,20767
14,Good,37111150000,37111154000,4,20768
15,Good,37111399000,37111404000,5,20768
16,Good,37111650000,37111656000,6,20770
17,Good,37111899000,37111902000,3,20770
18,Good,37112150000,37112157000,7,20772
19,Good,37112399000,37112408000,9,20772
20,Good,37112650000,37112650000,0,20773
21,Good,37112899000,37112906000,7,20774
22,Good,37113150000,37113158000,8,20776
23,Good,37113399000,37113403000,4,20776
24,Good,37113650000,37113651000,1,20777
25,Good,37113899000,37113903000,4,20778
26,Good,37114150000,37114155000,5,20780
27,Good,37114399000,37114400000,1,20780
28,Good,37114650000,37114655000,5,20782
29,Good,37114899000,37114906000,7,20782
30,Good,37115150000,37115154000,4,20784
31,Good,37115400000,37115410000,10,20784
32,Good,37115660000,37115665000,5,20785
33,Good,37115910000,37115918000,8,20787
34,Good,37116160000,37116164000,4,20787
35,Good,37116410000,37116420000,10,20789
36,Good,37116670000,37116671000,1,20789
37,Good,37116920000,37116923000,3,20790
38,Good,37117170000,37117172000,2,20791
39,Good,37117420000,37117424000,4,20792
40,Good,37117670000,37117676000,6,20794
41,Good,37117920000,37117928000,8,20794
42,Good,37118170000,37118172000,2,20795
43,Good,37118420000,37118423000,3,20796
44,Good,37118670000,37118676000,6,20798
45,Good,37118920000,37118925000,5,20798
46,Good,37119170000,37119177000,7,20800
47,Good,37119420000,37119424000,4,20800
48,Good,37119670000,37119681000,11,20802
49,Good,37119930000,37119935000,5,20803
50,Good,37120180000,37120183000,3,20803
51,Good,37120430000,37120436000,6,20805
52,Good,37120680000,37120685000,5,20805
53,Good,37120930000,37120931000,1,20806
54,Good,37121180000,37121186000,6,20807
55,Good,37121430000,37121431000,1,20808
56,Good,37121680000,37121682000,2,20809
57,Good,37121930000,37121932000,2,20810
58,Good,37122180000,37122182000,2,20811
59,Good,37122430000,37122434000,4,20813
60,Good,37122680000,37122682000,2,20813
61,Good,37122931000,37122932000,1,20814
62,Good,37123180000,37123188000,8,20815
63,Good,37123431000,37123435000,4,20817
64,Good,37123680000,37123691000,11,20817
65,Good,37123940000,37123943000,3,20818
66,Good,37124191000,37124195000,4,20820
67,Good,37124440000,37124443000,3,20820
68,Good,37124691000,37124695000,4,20822
69,Good,37124940000,37124947000,7,20822
70,Good,37125191000,37125196000,5,20824
71,Good,37125440000,37125444000,4,20824
72,Good,37125691000,37125700000,9,20826
73,Good,37125951000,37125952000,1,20826
