counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,54065558000,54065565000,7,39.150001
1,Good,54065809000,54065809000,0,40.100001
2,Good,54066058000,54066065000,7,41.050001
3,Good,54066309000,54066316000,7,42.000001
4,Good,54066558000,54066562000,4,42.950001
5,Good,54066809000,54066809000,0,43.900001
6,Good,54067058000,54067061000,3,44.850001
7,Good,54067309000,54067313000,4,45.800001
8,Good,54067558000,54067568000,10,46.750001
9,Good,54067818000,54067821000,3,47.700001
10,Good,54068069000,54068070000,1,48.650001
11,Good,54068318000,54068324000,6,49.600001
12,Good,54068569000,54068577000,8,50.550001
13,Good,54068829000,54068829000,0,51.500001
14,Good,54069078000,54069081000,3,52.450001
15,Good,54069329000,54069333000,4,53.400001
16,Good,54069578000,54069585000,7,54.350001
17,Good,54069829000,54069833000,4,55.300001
18,Good,54070078000,54070080000,2,56.250001
19,Good,54070329000,54070330000,1,57.200001
20,Good,54070578000,54070582000,4,58.150001
21,Good,54070829000,54070832000,3,59.100001
22,Good,54071078000,54071085000,7,60.050000
23,Good,54071329000,54071329000,0,61.000000
24,Good,54071578000,54071584000,6,61.950000
25,Good,54071829000,54071829000,0,62.900000
26,Good,54072078000,54072084000,6,63.850000
27,Good,54072329000,54072338000,9,64.800000
28,Good,54072589000,54072590000,1,65.750000
29,Good,54072838000,54072845000,7,66.700000
30,Good,54073089000,54073092000,3,67.650000
31,Good,54073338000,54073342000,4,68.600000
32,Good,54073589000,54073599000,10,69.550000
33,Good,54073849000,54073854000,5,70.500000
34,Good,54074098000,54074100000,2,71.450000
35,Good,54074349000,54074349000,0,72.400000
36,Good,54074598000,54074602000,4,73.350000
37,Good,54074849000,54074853000,4,74.300000
38,Good,54075098000,54075104000,6,75.250000
39,Good,54075349000,54075350000,1,76.200000
40,Good,54075598000,54075601000,3,77.150000
41,Good,54075849000,54075855000,6,78.100000
42,Good,54076098000,54076099000,1,79.050000
43,Good,54076349000,54076354000,5,80.000000
44,Good,54076598000,54076605000,7,80.950000
45,Good,54076849000,54076860000,11,81.900000
46,Good,54077109000,54077113000,4,82.850000
47,Good,54077358000,54077366000,8,83.800000
48,Good,54077609000,54077613000,4,84.750000
49,Good,54077858000,54077859000,1,85.700000
50,Good,54078109000,54078117000,8,86.650000
51,Good,54078358000,54078359000,1,87.600000
52,Good,54078609000,54078612000,3,88.550000
53,Good,54078858000,54078861000,3,89.500000
54,Good,54079109000,54079117000,8,90.450000
55,Good,54079369000,54079371000,2,91.400000
56,Good,54079618000,54079625000,7,92.350000
57,Good,54079869000,54079880000,11,93.300000
58,Good,54080129000,54080130000,1,94.250000
59,Good,54080378000,54080380000,2,95.200000
60,Good,54080629000,54080637000,8,96.150000
61,Good,54080878000,54080881000,3,97.100000
62,Good,54081129000,54081140000,11,98.050000
63,Good,54081389000,54081392000,3,99.000000
64,Good,54081638000,54081644000,6,99.950000
65,Good,54081889000,54081896000,7,100.900000
66,Good,54082138000,54082149000,11,101.850000
67,Good,54082398000,54082405000,7,102.800000
68,Good,54082649000,54082651000,2,103.750000
69,Good,54082898000,54082905000,7,104.700000
70,Good,54083149000,54083150000,1,105.650000
71,Good,54083398000,54083406000,8,106.600000
72,Good,54083649000,54083657000,8,107.550000
73,Good,54083909000,54083910000,1,108.500000
74,Good,54084158000,54084161000,3,109.450000
75,Good,54084409000,54084416000,7,110.400000
76,Good,54084658000,54084659000,1,111.350000
77,Good,54084909000,54084910000,1,112.300000
78,Good,54085158000,54085164000,6,113.250000
79,Good,54085409000,54085415000,6,114.200000
80,Good,54085658000,54085662000,4,115.150000
81,Good,54085909000,54085915000,6,116.100000
82,Good,54086158000,54086160000,2,117.050000
83,Good,54086409000,54086416000,7,118.000000
84,Good,54086658000,54086669000,11,118.950000
85,Good,54086918000,54086919000,1,119.900000
86,Good,54087169000,54087175000,6,120.850000
87,Good,54087418000,54087421000,3,121.800000
88,Good,54087669000,54087672000,3,122.750000
89,Good,54087918000,54087924000,6,123.700000
90,Good,54088169000,54088177000,8,124.650000
91,Good,54088418000,54088421000,3,125.600000
92,Good,54088669000,54088673000,4,126.550000
93,Good,54088918000,54088919000,1,127.500000
94,Good,54089169000,54089172000,3,128.450000
95,Good,54089418000,54089423000,5,129.400000
96,Good,54089669000,54089673000,4,130.350000
97,Good,54089918000,54089928000,10,131.300000
98,Good,54090178000,54090185000,7,132.250000
99,Good,54090429000,54090432000,3,133.200000
100,Good,54090678000,54090685000,7,134.150000
101,Good,54090929000,54090929000,0,135.100000
102,Good,54091178000,54091183000,5,136.050000
103,Good,54091429000,54091429000,0,137.000000
104,Good,54091678000,54091681000,3,137.950000
105,Good,54091929000,54091933000,4,138.899999
106,Good,54092178000,54092180000,2,139.849999
107,Good,54092429000,54092436000,7,140.799999
108,Good,54092678000,54092679000,1,141.749999
109,Good,54092929000,54092937000,8,142.699999
110,Good,54093178000,54093181000,3,143.649999
111,Good,54093429000,54093433000,4,144.599999
112,Good,54093678000,54093685000,7,145.549999
113,Good,54093929000,54093929000,0,146.499999
114,Good,54094178000,54094180000,2,147.449999
115,Good,54094429000,54094434000,5,148.399999
116,Good,54094678000,54094686000,8,149.349999
117,Good,54094929000,54094932000,3,150.299999
118,Good,54095178000,54095184000,6,151.249999
119,Good,54095429000,54095433000,4,152.199999
