value_last_recv,timestamp_chg
29,55495908253
30,55496158617
31,55496413061
32,55496664224
33,55496917857
34,55497166081
35,55497418641
36,55497666097
37,55497918657
38,55498173892
39,55498426693
40,55498674688
41,55498927501
42,55499176297
43,55499423533
44,55499674728
45,55499927544
46,55500174744
47,55500424361
48,55500675560
49,55500924381
50,55501175576
51,55501426253
52,55501677216
53,55501923593
54,55502174008
55,55502430021
56,55502683632
57,55502937253
58,55503190849
59,55503437253
60,55503690868
61,55503934872
62,55504183688
63,55504433292
64,55504686308
65,55504940501
66,55505186336
67,55505434937
68,55505686357
69,55505938925
70,55506190944
71,55506437340
72,55506686989
73,55506933361
74,55507186985
75,55507436604
76,55507690196
77,55507939016
78,55508186424
79,55508434229
80,55508689413
81,55508933429
82,55509189440
83,55509439057
84,55509691852
85,55509946481
86,55510193469
87,55510443901
88,55510696684
89,55510949508
90,55511203148
91,55511458308
92,55511704736
93,55511961521
94,55512206552
95,55512455973
96,55512708765
97,55512953593
98,55513206592
99,55513456777
100,55513708008
101,55513958408
102,55514212037
103,55514468017
104,55514719269
105,55514964840
106,55515216065
107,55515470457
108,55515714465
109,55515966692
110,55516214464
111,55516464884
112,55516715289
113,55516968920
114,55517220904
115,55517472928
116,55517724941
117,55517977736
118,55518231336
119,55518473761
120,55518728164
121,55518973780
122,55519228981
123,55519479381
124,55519724991
125,55519977013
126,55520229821
127,55520474628
128,55520726841
129,55520973840
130,55521230624
131,55521473877
132,55521726873
133,55521976257
134,55522226888
135,55522473893
136,55522726921
137,55522978709
138,55523228304
139,55523481109
140,55523733141
141,55523985156
142,55524238753
143,55524493977
144,55524744365
145,55524998764
146,55525250781
147,55525497189
148,55525747601
149,55526002020
150,55526249224
151,55526502845
152,55526754832
153,55527004445
154,55527257248
155,55527507100
156,55527760460
157,55528008464
158,55528260469
159,55528507685
160,55528761281
161,55529007157
162,55529262920
163,55529515725
164,55529765329
165,55530021353
166,55530265337
167,55530524544
168,55530774968
169,55531029364
170,55531281392
171,55531525393
172,55531780593
173,55532033404
174,55532285401
175,55532537429
176,55532788621
177,55533041440
178,55533285432
179,55533535856
180,55533787881
181,55534039888
182,55534287309
183,55534541485
184,55534787305
185,55535039112
186,55535292708
187,55535547337
188,55535801513
189,55536048724
190,55536303956
191,55536558340
192,55536810357
193,55537063196
194,55537319177
195,55537565589
196,55537814400
197,55538067417
198,55538317621
199,55538567436
200,55538820837
201,55539065625
202,55539317644
203,55539573676
204,55539827485
205,55540079280
206,55540328121
207,55540581692
208,55540835301
209,55541089705
210,55541341740
211,55541592933
212,55541848140
213,55542096941
214,55542347589
215,55542600168
216,55542848184
217,55543103380
218,55543354585
219,55543607613
220,55543857792
221,55544105024
222,55544358608
223,55544608232
224,55544863433
225,55545117844
226,55545373068
227,55545629856
228,55545878673
229,55546125889
230,55546381105
231,55546625100
232,55546875500
233,55547128312
234,55547381925
235,55547630732
236,55547881153
237,55548133941
238,55548389152
239,55548635573
240,55548887793
241,55549142772
242,55549387809
243,55549636392
244,55549889229
245,55550136405
246,55550388413
247,55550640424
248,55550885233
249,55551134857
250,55551389264
251,55551642072
252,55551892464
253,55552135669
254,55552387916
255,55552639685
256,55552891689
257,55553135697
258,55553387941
259,55553636537
260,55553890148
261,55554142168
262,55554393340
263,55554645349
264,55554904580
265,55555160581
266,55555412596
