counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,55495928000,55495934000,6,0
1,Good,55496178000,55496184000,6,0
2,Good,55496428000,55496439000,11,0
3,Good,55496688000,55496690000,2,0
4,Good,55496938000,55496944000,6,0
5,Good,55497188000,55497192000,4,0
6,Good,55497438000,55497444000,6,0
7,Good,55497688000,55497692000,4,0
8,Good,55497938000,55497944000,6,0
9,Good,55498188000,55498200000,12,0
10,Good,55498448000,55498452000,4,0
11,Good,55498698000,55498700000,2,0
12,Good,55498948000,55498953000,5,0
13,Good,55499198000,55499202000,4,0
14,Good,55499448000,55499449000,1,0
15,Good,55499698000,55499700000,2,0
16,Good,55499948000,55499953000,5,0
17,Good,55500198000,55500200000,2,0
18,Good,55500448000,55500450000,2,0
19,Good,55500698000,55500701000,3,0
20,Good,55500948000,55500950000,2,0
21,Good,55501198000,55501201000,3,0
22,Good,55501448000,55501452000,4,0
23,Good,55501698000,55501703000,5,0
24,Good,55501948000,55501949000,1,0
25,Good,55502198000,55502200000,2,0
26,Good,55502448000,55502456000,8,0
27,Good,55502698000,55502709000,11,0
28,Good,55502958000,55502963000,5,0
29,Good,55503208000,55503216000,8,0
30,Good,55503458000,55503463000,5,0
31,Good,55503708000,55503716000,8,0
32,Good,55503958000,55503960000,2,0
33,Good,55504208000,55504209000,1,0
34,Good,55504458000,55504459000,1,0
35,Good,55504708000,55504712000,4,0
36,Good,55504958000,55504966000,8,0
37,Good,55505208000,55505212000,4,0
38,Good,55505458000,55505460000,2,0
39,Good,55505708000,55505712000,4,0
40,Good,55505958000,55505964000,6,0
41,Good,55506208000,55506216000,8,0
42,Good,55506458000,55506463000,5,0
43,Good,55506708000,55506712000,4,0
44,Good,55506958000,55506959000,1,0
45,Good,55507208000,55507212000,4,0
46,Good,55507458000,55507462000,4,0
47,Good,55507708000,55507716000,8,0
48,Good,55507958000,55507964000,6,0
49,Good,55508208000,55508212000,4,0
50,Good,55508458000,55508460000,2,0
51,Good,55508708000,55508715000,7,0
52,Good,55508958000,55508959000,1,0
53,Good,55509208000,55509215000,7,0
54,Good,55509458000,55509464000,6,0
55,Good,55509708000,55509717000,9,0
56,Good,55509968000,55509972000,4,0
57,Good,55510218000,55510219000,1,0
58,Good,55510468000,55510469000,1,0
59,Good,55510718000,55510722000,4,0
60,Good,55510968000,55510975000,7,0
61,Good,55511218000,55511228000,10,0
62,Good,55511478000,55511484000,6,0
63,Good,55511728000,55511730000,2,0
64,Good,55511978000,55511987000,9,0
65,Good,55512228000,55512232000,4,0
66,Good,55512478000,55512481000,3,0
67,Good,55512728000,55512734000,6,0
68,Good,55512978000,55512979000,1,0
69,Good,55513228000,55513232000,4,0
70,Good,55513478000,55513482000,4,0
71,Good,55513728000,55513733000,5,0
72,Good,55513978000,55513984000,6,0
73,Good,55514228000,55514237000,9,0
74,Good,55514488000,55514493000,5,0
75,Good,55514738000,55514744000,6,0
76,Good,55514988000,55514990000,2,0
77,Good,55515238000,55515241000,3,0
78,Good,55515488000,55515496000,8,0
79,Good,55515738000,55515740000,2,0
80,Good,55515988000,55515992000,4,0
81,Good,55516238000,55516240000,2,0
82,Good,55516488000,55516490000,2,0
83,Good,55516738000,55516740000,2,0
84,Good,55516988000,55516994000,6,0
85,Good,55517238000,55517246000,8,0
86,Good,55517488000,55517498000,10,0
87,Good,55517748000,55517750000,2,0
88,Good,55517998000,55518003000,5,0
89,Good,55518248000,55518256000,8,0
90,Good,55518498000,55518499000,1,0
91,Good,55518748000,55518753000,5,0
92,Good,55518998000,55518999000,1,0
93,Good,55519248000,55519254000,6,0
94,Good,55519498000,55519504000,6,0
95,Good,55519748000,55519750000,2,0
96,Good,55519998000,55520002000,4,0
97,Good,55520248000,55520255000,7,0
98,Good,55520498000,55520500000,2,0
99,Good,55520748000,55520752000,4,0
100,Good,55520998000,55520999000,1,0
101,Good,55521248000,55521256000,8,0
102,Good,55521498000,55521499000,1,0
103,Good,55521748000,55521752000,4,0
104,Good,55521998000,55522001000,3,0
105,Good,55522248000,55522252000,4,0
106,Good,55522498000,55522499000,1,0
107,Good,55522748000,55522752000,4,0
108,Good,55522998000,55523004000,6,0
109,Good,55523248000,55523253000,5,0
110,Good,55523498000,55523506000,8,0
111,Good,55523748000,55523758000,10,0
112,Good,55524008000,55524010000,2,0
113,Good,55524258000,55524264000,6,0
114,Good,55524508000,55524519000,11,0
115,Good,55524768000,55524769000,1,0
116,Good,55525018000,55525024000,6,0
117,Good,55525268000,55525276000,8,0
118,Good,55525518000,55525522000,4,0
119,Good,55525768000,55525772000,4,0
120,Good,55526018000,55526027000,9,0
121,Good,55526268000,55526274000,6,0
122,Good,55526518000,55526528000,10,0
123,Good,55526778000,55526780000,2,0
124,Good,55527028000,55527029000,1,0
125,Good,55527278000,55527282000,4,0
126,Good,55527528000,55527532000,4,0
127,Good,55527778000,55527785000,7,0
128,Good,55528028000,55528033000,5,0
129,Good,55528278000,55528285000,7,0
130,Good,55528528000,55528532000,4,0
131,Good,55528778000,55528786000,8,0
132,Good,55529028000,55529032000,4,0
133,Good,55529278000,55529288000,10,0
134,Good,55529538000,55529540000,2,0
135,Good,55529788000,55529790000,2,0
136,Good,55530038000,55530046000,8,0
137,Good,55530288000,55530290000,2,0
138,Good,55530538000,55530549000,11,0
139,Good,55530798000,55530800000,2,0
140,Good,55531048000,55531054000,6,0
141,Good,55531298000,55531306000,8,0
142,Good,55531548000,55531550000,2,0
143,Good,55531798000,55531805000,7,0
144,Good,55532048000,55532058000,10,0
145,Good,55532308000,55532310000,2,0
146,Good,55532558000,55532562000,4,0
147,Good,55532808000,55532813000,5,0
148,Good,55533058000,55533066000,8,0
149,Good,55533308000,55533310000,2,0
150,Good,55533558000,55533560000,2,0
151,Good,55533808000,55533812000,4,0
152,Good,55534058000,55534064000,6,0
153,Good,55534308000,55534312000,4,0
154,Good,55534558000,55534566000,8,0
155,Good,55534808000,55534812000,4,0
156,Good,55535058000,55535064000,6,0
157,Good,55535308000,55535317000,9,0
158,Good,55535568000,55535572000,4,0
159,Good,55535818000,55535826000,8,0
160,Good,55536068000,55536073000,5,0
161,Good,55536318000,55536328000,10,0
162,Good,55536578000,55536583000,5,0
163,Good,55536828000,55536835000,7,0
164,Good,55537078000,55537088000,10,0
165,Good,55537338000,55537344000,6,0
166,Good,55537588000,55537590000,2,0
167,Good,55537838000,55537839000,1,0
168,Good,55538088000,55538092000,4,0
169,Good,55538338000,55538342000,4,0
170,Good,55538588000,55538592000,4,0
171,Good,55538838000,55538845000,7,0
172,Good,55539088000,55539090000,2,0
173,Good,55539338000,55539342000,4,0
174,Good,55539588000,55539598000,10,0
175,Good,55539848000,55539852000,4,0
176,Good,55540098000,55540104000,6,0
177,Good,55540348000,55540352000,4,0
178,Good,55540598000,55540606000,8,0
179,Good,55540848000,55540860000,12,0
180,Good,55541108000,55541114000,6,0
181,Good,55541358000,55541366000,8,0
182,Good,55541608000,55541617000,9,0
183,Good,55541868000,55541872000,4,0
184,Good,55542118000,55542121000,3,0
185,Good,55542368000,55542372000,4,0
186,Good,55542618000,55542624000,6,0
187,Good,55542868000,55542872000,4,0
188,Good,55543118000,55543128000,10,0
189,Good,55543378000,55543379000,1,0
190,Good,55543628000,55543632000,4,0
191,Good,55543878000,55543882000,4,0
192,Good,55544128000,55544129000,1,0
193,Good,55544378000,55544383000,5,0
194,Good,55544628000,55544632000,4,0
195,Good,55544878000,55544888000,10,0
196,Good,55545138000,55545142000,4,0
197,Good,55545388000,55545397000,9,0
198,Good,55545648000,55545654000,6,0
199,Good,55545898000,55545903000,5,0
200,Good,55546148000,55546150000,2,0
201,Good,55546398000,55546405000,7,0
202,Good,55546648000,55546649000,1,0
203,Good,55546898000,55546900000,2,0
204,Good,55547148000,55547152000,4,0
205,Good,55547398000,55547406000,8,0
206,Good,55547648000,55547655000,7,0
207,Good,55547898000,55547905000,7,0
208,Good,55548148000,55548158000,10,0
209,Good,55548408000,55548413000,5,0
210,Good,55548658000,55548660000,2,0
211,Good,55548908000,55548912000,4,0
212,Good,55549158000,55549167000,9,0
213,Good,55549408000,55549412000,4,0
214,Good,55549658000,55549660000,2,0
215,Good,55549908000,55549913000,5,0
216,Good,55550158000,55550160000,2,0
217,Good,55550408000,55550412000,4,0
218,Good,55550658000,55550664000,6,0
219,Good,55550908000,55550909000,1,0
220,Good,55551158000,55551159000,1,0
221,Good,55551408000,55551413000,5,0
222,Good,55551658000,55551666000,8,0
223,Good,55551908000,55551916000,8,0
224,Good,55552158000,55552160000,2,0
225,Good,55552408000,55552412000,4,0
226,Good,55552658000,55552664000,6,0
227,Good,55552908000,55552916000,8,0
228,Good,55553158000,55553160000,2,0
229,Good,55553408000,55553412000,4,0
230,Good,55553658000,55553660000,2,0
231,Good,55553908000,55553914000,6,0
232,Good,55554158000,55554166000,8,0
233,Good,55554408000,55554417000,9,0
234,Good,55554668000,55554669000,1,0
235,Good,55554918000,55554928000,10,0
236,Good,55555178000,55555184000,6,0
237,Good,55555428000,55555437000,9,0
238,Good,55555678000,55555682000,4,0
239,Good,55555928000,55555937000,9,0
240,Good,55556188000,55556192000,4,0
241,Good,55556438000,55556444000,6,0
242,Good,55556688000,55556692000,4,0
243,Good,55556938000,55556941000,3,0
244,Good,55557188000,55557194000,6,0
245,Good,55557438000,55557439000,1,0
246,Good,55557688000,55557692000,4,0
247,Good,55557938000,55557940000,2,0
248,Good,55558188000,55558192000,4,0
249,Good,55558438000,55558440000,2,0
250,Good,55558688000,55558690000,2,0
251,Good,55558938000,55558939000,1,0
252,Good,55559188000,55559194000,6,0
253,Good,55559438000,55559447000,9,0
254,Good,55559688000,55559696000,8,0
255,Good,55559938000,55559939000,1,0
256,Good,55560188000,55560196000,8,0
257,Good,55560438000,55560439000,1,0
258,Good,55560688000,55560692000,4,0
259,Good,55560938000,55560945000,7,0
260,Good,55561188000,55561190000,2,0
261,Good,55561438000,55561444000,6,0
262,Good,55561688000,55561692000,4,0
263,Good,55561938000,55561945000,7,0
264,Good,55562188000,55562189000,1,0
265,Good,55562438000,55562445000,7,0
266,Good,55562688000,55562690000,2,0
267,Good,55562938000,55562940000,2,0
268,Good,55563188000,55563189000,1,0
269,Good,55563438000,55563440000,2,0
270,Good,55563688000,55563690000,2,0
271,Good,55563938000,55563944000,6,0
272,Good,55564188000,55564192000,4,0
273,Good,55564438000,55564442000,4,0
274,Good,55564688000,55564694000,6,0
275,Good,55564938000,55564940000,2,0
276,Good,55565188000,55565192000,4,0
277,Good,55565438000,55565444000,6,0
278,Good,55565688000,55565692000,4,0
279,Good,55565938000,55565942000,4,0
280,Good,55566188000,55566189000,1,0
281,Good,55566438000,55566440000,2,0
282,Good,55566688000,55566692000,4,0
283,Good,55566938000,55566944000,6,0
284,Good,55567188000,55567193000,5,0
285,Good,55567438000,55567448000,10,0
286,Good,55567698000,55567700000,2,0
287,Good,55567948000,55567950000,2,0
288,Good,55568198000,55568202000,4,0
289,Good,55568448000,55568452000,4,0
290,Good,55568698000,55568702000,4,0
291,Good,55568948000,55568954000,6,0
292,Good,55569198000,55569206000,8,0
293,Good,55569448000,55569449000,1,0
294,Good,55569698000,55569704000,6,0
295,Good,55569948000,55569953000,5,0
296,Good,55570198000,55570199000,1,0
297,Good,55570448000,55570450000,2,0
298,Good,55570698000,55570703000,5,0
299,Good,55570948000,55570949000,1,0
300,Good,55571198000,55571201000,3,0
301,Good,55571448000,55571450000,2,0
302,Good,55571698000,55571703000,5,0
303,Good,55571948000,55571956000,8,0
304,Good,55572198000,55572200000,2,0
305,Good,55572448000,55572449000,1,0
306,Good,55572698000,55572703000,5,0
307,Good,55572948000,55572952000,4,0
308,Good,55573198000,55573204000,6,0
309,Good,55573448000,55573457000,9,0
310,Good,55573708000,55573719000,11,0
311,Good,55573968000,55573970000,2,0
312,Good,55574218000,55574224000,6,0
313,Good,55574468000,55574476000,8,0
314,Good,55574718000,55574720000,2,0
315,Good,55574968000,55574980000,12,0
316,Good,55575228000,55575230000,2,0
317,Good,55575478000,55575485000,7,0
318,Good,55575728000,55575738000,10,0
319,Good,55575988000,55575989000,1,0
320,Good,55576238000,55576244000,6,0
321,Good,55576488000,55576493000,5,0
322,Good,55576738000,55576745000,7,0
323,Good,55576988000,55576995000,7,0
324,Good,55577238000,55577242000,4,0
325,Good,55577488000,55577490000,2,0
326,Good,55577738000,55577742000,4,0
327,Good,55577988000,55577997000,9,0
328,Good,55578248000,55578250000,2,0
329,Good,55578498000,55578505000,7,0
330,Good,55578748000,55578752000,4,0
331,Good,55578998000,55579000000,2,0
332,Good,55579248000,55579252000,4,0
333,Good,55579498000,55579500000,2,0
334,Good,55579748000,55579752000,4,0
335,Good,55579998000,55580004000,6,0
336,Good,55580248000,55580249000,1,0
337,Good,55580498000,55580500000,2,0
338,Good,55580748000,55580756000,8,0
339,Good,55580998000,55581003000,5,0
340,Good,55581248000,55581249000,1,0
341,Good,55581498000,55581502000,4,0
342,Good,55581748000,55581754000,6,0
343,Good,55581998000,55582004000,6,0
344,Good,55582248000,55582257000,9,0
345,Good,55582508000,55582512000,4,0
346,Good,55582758000,55582760000,2,0
347,Good,55583008000,55583012000,4,0
348,Good,55583258000,55583260000,2,0
349,Good,55583508000,55583513000,5,0
350,Good,55583758000,55583760000,2,0
351,Good,55584008000,55584016000,8,0
352,Good,55584258000,55584265000,7,0
353,Good,55584508000,55584509000,1,0
354,Good,55584758000,55584760000,2,0
355,Good,55585008000,55585018000,10,0
356,Good,55585268000,55585272000,4,0
357,Good,55585518000,55585523000,5,0
358,Good,55585768000,55585772000,4,0
359,Good,55586018000,55586026000,8,0
360,Good,55586268000,55586269000,1,0
361,Good,55586518000,55586522000,4,0
362,Good,55586768000,55586770000,2,0
363,Good,55587018000,55587024000,6,0
364,Good,55587268000,55587272000,4,0
365,Good,55587518000,55587528000,10,0
366,Good,55587778000,55587780000,2,0
367,Good,55588028000,55588036000,8,0
368,Good,55588278000,55588280000,2,0
369,Good,55588528000,55588532000,4,0
370,Good,55588778000,55588783000,5,0
371,Good,55589028000,55589036000,8,0
372,Good,55589278000,55589280000,2,0
373,Good,55589528000,55589536000,8,0
374,Good,55589778000,55589780000,2,0
375,Good,55590028000,55590029000,1,0
376,Good,55590278000,55590279000,1,0
377,Good,55590528000,55590529000,1,0
378,Good,55590778000,55590780000,2,0
379,Good,55591028000,55591036000,8,0
380,Good,55591278000,55591281000,3,0
381,Good,55591528000,55591532000,4,0
382,Good,55591778000,55591782000,4,0
383,Good,55592028000,55592030000,2,0
384,Good,55592278000,55592280000,2,0
385,Good,55592528000,55592532000,4,0
386,Good,55592778000,55592784000,6,0
387,Good,55593028000,55593033000,5,0
388,Good,55593278000,55593285000,7,0
389,Good,55593528000,55593538000,10,0
390,Good,55593788000,55593789000,1,0
391,Good,55594038000,55594039000,1,0
392,Good,55594288000,55594292000,4,0
393,Good,55594538000,55594542000,4,0
394,Good,55594788000,55594792000,4,0
395,Good,55595038000,55595040000,2,0
396,Good,55595288000,55595294000,6,0
397,Good,55595538000,55595543000,5,0
398,Good,55595788000,55595796000,8,0
399,Good,55596038000,55596039000,1,0
400,Good,55596288000,55596290000,2,0
401,Good,55596538000,55596544000,6,0
402,Good,55596788000,55596792000,4,0
403,Good,55597038000,55597040000,2,0
404,Good,55597288000,55597292000,4,0
405,Good,55597538000,55597540000,2,0
406,Good,55597788000,55597793000,5,0
407,Good,55598038000,55598043000,5,0
408,Good,55598288000,55598289000,1,0
409,Good,55598538000,55598540000,2,0
410,Good,55598788000,55598790000,2,0
411,Good,55599038000,55599040000,2,0
412,Good,55599288000,55599292000,4,0
413,Good,55599538000,55599541000,3,0
414,Good,55599788000,55599789000,1,0
415,Good,55600038000,55600045000,7,0
416,Good,55600288000,55600289000,1,0
417,Good,55600538000,55600544000,6,0
418,Good,55600788000,55600792000,4,0
419,Good,55601038000,55601044000,6,0
420,Good,55601288000,55601298000,10,0
421,Good,55601548000,55601553000,5,0
422,Good,55601798000,55601801000,3,0
423,Good,55602048000,55602052000,4,0
424,Good,55602298000,55602302000,4,0
425,Good,55602548000,55602552000,4,0
426,Good,55602798000,55602800000,2,0
427,Good,55603048000,55603052000,4,0
428,Good,55603298000,55603304000,6,0
429,Good,55603548000,55603552000,4,0
430,Good,55603798000,55603804000,6,0
431,Good,55604048000,55604052000,4,0
432,Good,55604298000,55604304000,6,0
433,Good,55604548000,55604556000,8,0
434,Good,55604798000,55604805000,7,0
435,Good,55605048000,55605049000,1,0
436,Good,55605298000,55605299000,1,0
437,Good,55605548000,55605552000,4,0
438,Good,55605798000,55605800000,2,0
439,Good,55606048000,55606050000,2,0
440,Good,55606298000,55606302000,4,0
441,Good,55606548000,55606556000,8,0
442,Good,55606798000,55606800000,2,0
443,Good,55607048000,55607050000,2,0
444,Good,55607298000,55607307000,9,0
445,Good,55607548000,55607552000,4,0
446,Good,55607798000,55607809000,11,0
