counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,55998748000,55998751000,3,0
1,Good,55998998000,55999004000,6,0
2,Good,55999248000,55999259000,11,0
3,Good,55999508000,55999510000,2,0
4,Good,55999758000,55999760000,2,0
5,Good,56000008000,56000012000,4,0
6,Good,56000258000,56000261000,3,0
7,Good,56000508000,56000514000,6,0
8,Good,56000758000,56000759000,1,0
9,Good,56001008000,56001014000,6,0
10,Good,56001258000,56001260000,2,0
11,Good,56001508000,56001515000,7,0
12,Good,56001758000,56001760000,2,0
13,Good,56002008000,56002012000,4,0
14,Good,56002258000,56002262000,4,0
15,Good,56002508000,56002512000,4,0
16,Good,56002758000,56002760000,2,0
17,Good,56003008000,56003012000,4,0
18,Good,56003258000,56003260000,2,0
19,Good,56003508000,56003512000,4,0
20,Good,56003758000,56003760000,2,0
21,Good,56004008000,56004009000,1,0
22,Good,56004258000,56004264000,6,0
23,Good,56004508000,56004516000,8,0
24,Good,56004758000,56004760000,2,0
25,Good,56005008000,56005014000,6,0
26,Good,56005258000,56005264000,6,0
27,Good,56005508000,56005518000,10,0
28,Good,56005768000,56005772000,4,0
29,Good,56006018000,56006020000,2,0
30,Good,56006268000,56006270000,2,0
31,Good,56006518000,56006524000,6,0
32,Good,56006768000,56006773000,5,0
33,Good,56007018000,56007025000,7,0
34,Good,56007268000,56007279000,11,0
35,Good,56007528000,56007529000,1,0
36,Good,56007778000,56007784000,6,0
37,Good,56008028000,56008032000,4,0
38,Good,56008278000,56008284000,6,0
39,Good,56008528000,56008537000,9,0
40,Good,56008778000,56008781000,3,0
41,Good,56009028000,56009032000,4,0
42,Good,56009278000,56009280000,2,0
43,Good,56009528000,56009530000,2,0
44,Good,56009778000,56009779000,1,0
45,Good,56010028000,56010033000,5,0
46,Good,56010278000,56010283000,5,0
47,Good,56010528000,56010535000,7,0
48,Good,56010778000,56010788000,10,0
49,Good,56011038000,56011040000,2,0
50,Good,56011288000,56011290000,2,0
51,Good,56011538000,56011544000,6,0
52,Good,56011788000,56011792000,4,0
53,Good,56012038000,56012045000,7,0
54,Good,56012288000,56012296000,8,0
55,Good,56012538000,56012541000,3,0
56,Good,56012788000,56012795000,7,0
57,Good,56013038000,56013041000,3,0
58,Good,56013288000,56013294000,6,0
59,Good,56013538000,56013546000,8,0
60,Good,56013788000,56013793000,5,0
61,Good,56014038000,56014043000,5,0
62,Good,56014288000,56014290000,2,0
63,Good,56014538000,56014546000,8,0
64,Good,56014788000,56014790000,2,0
65,Good,56015038000,56015040000,2,0
66,Good,56015288000,56015292000,4,0
67,Good,56015538000,56015546000,8,0
68,Good,56015788000,56015795000,7,0
69,Good,56016038000,56016041000,3,0
70,Good,56016288000,56016294000,6,0
71,Good,56016538000,56016547000,9,0
72,Good,56016788000,56016793000,5,0
73,Good,56017038000,56017047000,9,0
74,Good,56017288000,56017295000,7,0
75,Good,56017538000,56017546000,8,0
76,Good,56017788000,56017789000,1,0
77,Good,56018038000,56018040000,2,0
78,Good,56018288000,56018289000,1,0
79,Good,56018538000,56018544000,6,0
80,Good,56018788000,56018789000,1,0
81,Good,56019038000,56019044000,6,0
82,Good,56019288000,56019292000,4,0
83,Good,56019538000,56019542000,4,0
84,Good,56019788000,56019790000,2,0
85,Good,56020038000,56020045000,7,0
86,Good,56020288000,56020292000,4,0
87,Good,56020538000,56020547000,9,0
88,Good,56020788000,56020792000,4,0
89,Good,56021038000,56021040000,2,0
90,Good,56021288000,56021289000,1,0
91,Good,56021538000,56021540000,2,0
92,Good,56021788000,56021792000,4,0
93,Good,56022038000,56022042000,4,0
94,Good,56022288000,56022290000,2,0
95,Good,56022538000,56022543000,5,0
96,Good,56022788000,56022798000,10,0
97,Good,56023048000,56023049000,1,0
98,Good,56023298000,56023304000,6,0
99,Good,56023548000,56023555000,7,0
100,Good,56023798000,56023807000,9,0
101,Good,56024048000,56024057000,9,0
102,Good,56024308000,56024312000,4,0
103,Good,56024558000,56024561000,3,0
104,Good,56024808000,56024813000,5,0
105,Good,56025058000,56025059000,1,0
106,Good,56025308000,56025309000,1,0
107,Good,56025558000,56025563000,5,0
108,Good,56025808000,56025819000,11,0
109,Good,56026068000,56026072000,4,0
110,Good,56026318000,56026324000,6,0
111,Good,56026568000,56026570000,2,0
112,Good,56026818000,56026824000,6,0
113,Good,56027068000,56027070000,2,0
114,Good,56027318000,56027320000,2,0
115,Good,56027568000,56027577000,9,0
116,Good,56027828000,56027830000,2,0
117,Good,56028078000,56028088000,10,0
118,Good,56028338000,56028343000,5,0
119,Good,56028588000,56028589000,1,0
120,Good,56028838000,56028842000,4,0
121,Good,56029088000,56029092000,4,0
122,Good,56029338000,56029341000,3,0
123,Good,56029588000,56029597000,9,0
124,Good,56029848000,56029852000,4,0
125,Good,56030098000,56030107000,9,0
126,Good,56030348000,56030359000,11,0
127,Good,56030608000,56030612000,4,0
128,Good,56030858000,56030863000,5,0
129,Good,56031108000,56031112000,4,0
130,Good,56031358000,56031360000,2,0
131,Good,56031608000,56031613000,5,0
132,Good,56031858000,56031868000,10,0
133,Good,56032118000,56032120000,2,0
134,Good,56032368000,56032372000,4,0
135,Good,56032618000,56032623000,5,0
136,Good,56032868000,56032873000,5,0
137,Good,56033118000,56033120000,2,0
138,Good,56033368000,56033372000,4,0
139,Good,56033618000,56033625000,7,0
140,Good,56033868000,56033872000,4,0
141,Good,56034118000,56034119000,1,0
142,Good,56034368000,56034372000,4,0
143,Good,56034618000,56034620000,2,0
144,Good,56034868000,56034872000,4,0
145,Good,56035118000,56035120000,2,0
146,Good,56035368000,56035372000,4,0
147,Good,56035618000,56035620000,2,0
148,Good,56035868000,56035872000,4,0
149,Good,56036118000,56036122000,4,0
150,Good,56036368000,56036370000,2,0
151,Good,56036618000,56036622000,4,0
152,Good,56036868000,56036879000,11,0
153,Good,56037128000,56037129000,1,0
154,Good,56037378000,56037380000,2,0
155,Good,56037628000,56037632000,4,0
156,Good,56037878000,56037884000,6,0
157,Good,56038128000,56038132000,4,0
158,Good,56038378000,56038380000,2,0
159,Good,56038628000,56038632000,4,0
160,Good,56038878000,56038881000,3,0
161,Good,56039128000,56039132000,4,0
162,Good,56039378000,56039385000,7,0
163,Good,56039628000,56039635000,7,0
164,Good,56039878000,56039880000,2,0
165,Good,56040128000,56040132000,4,0
166,Good,56040378000,56040383000,5,0
167,Good,56040628000,56040633000,5,0
168,Good,56040878000,56040884000,6,0
169,Good,56041128000,56041136000,8,0
170,Good,56041378000,56041380000,2,0
171,Good,56041628000,56041632000,4,0
172,Good,56041878000,56041883000,5,0
173,Good,56042128000,56042130000,2,0
174,Good,56042378000,56042382000,4,0
175,Good,56042628000,56042637000,9,0
176,Good,56042888000,56042892000,4,0
177,Good,56043138000,56043142000,4,0
178,Good,56043388000,56043400000,12,0
179,Good,56043648000,56043654000,6,0
180,Good,56043898000,56043903000,5,0
181,Good,56044148000,56044150000,2,0
182,Good,56044398000,56044408000,10,0
183,Good,56044658000,56044667000,9,0
184,Good,56044908000,56044912000,4,0
185,Good,56045158000,56045169000,11,0
186,Good,56045418000,56045424000,6,0
187,Good,56045668000,56045680000,12,0
188,Good,56045928000,56045934000,6,0
189,Good,56046178000,56046180000,2,0
190,Good,56046428000,56046433000,5,0
191,Good,56046678000,56046685000,7,0
192,Good,56046928000,56046932000,4,0
193,Good,56047178000,56047180000,2,0
194,Good,56047428000,56047432000,4,0
195,Good,56047678000,56047684000,6,0
196,Good,56047928000,56047936000,8,0
197,Good,56048178000,56048180000,2,0
198,Good,56048428000,56048430000,2,0
199,Good,56048678000,56048684000,6,0
200,Good,56048928000,56048930000,2,0
201,Good,56049178000,56049179000,1,0
202,Good,56049428000,56049432000,4,0
203,Good,56049678000,56049682000,4,0
204,Good,56049928000,56049936000,8,0
205,Good,56050178000,56050180000,2,0
206,Good,56050428000,56050429000,1,0
207,Good,56050678000,56050680000,2,0
208,Good,56050928000,56050932000,4,0
209,Good,56051178000,56051188000,10,0
210,Good,56051438000,56051444000,6,0
211,Good,56051688000,56051699000,11,0
212,Good,56051948000,56051954000,6,0
213,Good,56052198000,56052199000,1,0
214,Good,56052448000,56052460000,12,0
215,Good,56052708000,56052716000,8,0
216,Good,56052958000,56052960000,2,0
217,Good,56053208000,56053209000,1,0
218,Good,56053458000,56053464000,6,0
219,Good,56053708000,56053710000,2,0
220,Good,56053958000,56053966000,8,0
221,Good,56054208000,56054220000,12,0
222,Good,56054468000,56054472000,4,0
223,Good,56054718000,56054728000,10,0
224,Good,56054978000,56054983000,5,0
225,Good,56055228000,56055234000,6,0
226,Good,56055478000,56055488000,10,0
227,Good,56055738000,56055740000,2,0
228,Good,56055988000,56055994000,6,0
229,Good,56056238000,56056246000,8,0
230,Good,56056488000,56056493000,5,0
231,Good,56056738000,56056748000,10,0
232,Good,56056998000,56057000000,2,0
233,Good,56057248000,56057249000,1,0
234,Good,56057498000,56057500000,2,0
235,Good,56057748000,56057752000,4,0
236,Good,56057998000,56058003000,5,0
237,Good,56058248000,56058256000,8,0
238,Good,56058498000,56058502000,4,0
239,Good,56058748000,56058752000,4,0
240,Good,56058998000,56059008000,10,0
241,Good,56059258000,56059260000,2,0
242,Good,56059508000,56059509000,1,0
243,Good,56059758000,56059763000,5,0
244,Good,56060008000,56060016000,8,0
245,Good,56060258000,56060264000,6,0
246,Good,56060508000,56060512000,4,0
247,Good,56060758000,56060760000,2,0
248,Good,56061008000,56061013000,5,0
249,Good,56061258000,56061265000,7,0
250,Good,56061508000,56061518000,10,0
251,Good,56061768000,56061770000,2,0
252,Good,56062018000,56062021000,3,0
253,Good,56062268000,56062272000,4,0
254,Good,56062518000,56062528000,10,0
