counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,55747308000,55747316000,8,0.000000
1,Good,55747558000,55747560000,2,0.000000
2,Good,55747808000,55747812000,4,0.000000
3,Good,55748058000,55748059000,1,0.000000
4,Good,55748308000,55748316000,8,0.000000
5,Good,55748558000,55748560000,2,0.000000
6,Good,55748808000,55748812000,4,0.000000
7,Good,55749058000,55749069000,11,0.000000
8,Good,55749318000,55749321000,3,0.000000
9,Good,55749568000,55749572000,4,0.000000
10,Good,55749818000,55749827000,9,0.000000
11,Good,55750068000,55750069000,1,0.000000
12,Good,55750318000,55750320000,2,0.000000
13,Good,55750568000,55750569000,1,0.000000
14,Good,55750818000,55750822000,4,0.000000
15,Good,55751068000,55751075000,7,0.000000
16,Good,55751318000,55751325000,7,0.000000
17,Good,55751568000,55751569000,1,0.000000
18,Good,55751818000,55751820000,2,0.000000
19,Good,55752068000,55752072000,4,0.000000
20,Good,55752318000,55752320000,2,0.000000
21,Good,55752568000,55752572000,4,0.000000
22,Good,55752818000,55752823000,5,0.000000
23,Good,55753068000,55753080000,12,0.000000
24,Good,55753328000,55753329000,1,0.000000
25,Good,55753578000,55753580000,2,0.000000
26,Good,55753828000,55753835000,7,0.000000
27,Good,55754078000,55754080000,2,0.000000
28,Good,55754328000,55754338000,10,0.000000
29,Good,55754588000,55754589000,1,0.000000
30,Good,55754838000,55754844000,6,0.000000
31,Good,55755088000,55755094000,6,0.000000
32,Good,55755338000,55755340000,2,0.000000
33,Good,55755588000,55755593000,5,0.000000
34,Good,55755838000,55755840000,2,0.000000
35,Good,55756088000,55756099000,11,0.000000
36,Good,55756348000,55756354000,6,0.000000
37,Good,55756598000,55756606000,8,0.000000
38,Good,55756848000,55756853000,5,0.000000
39,Good,55757098000,55757102000,4,0.000000
40,Good,55757348000,55757359000,11,0.000000
41,Good,55757608000,55757610000,2,0.000000
42,Good,55757858000,55757862000,4,0.000000
43,Good,55758108000,55758116000,8,0.000000
44,Good,55758358000,55758359000,1,0.000000
45,Good,55758608000,55758610000,2,0.000000
46,Good,55758858000,55758866000,8,0.000000
47,Good,55759108000,55759112000,4,0.000000
48,Good,55759358000,55759365000,7,0.000000
49,Good,55759608000,55759609000,1,0.000000
50,Good,55759858000,55759862000,4,0.000000
51,Good,55760108000,55760113000,5,0.000000
52,Good,55760358000,55760368000,10,0.000000
53,Good,55760618000,55760621000,3,0.000000
54,Good,55760868000,55760872000,4,0.000000
55,Good,55761118000,55761124000,6,0.000000
56,Good,55761368000,55761378000,10,0.000000
57,Good,55761628000,55761632000,4,0.000000
58,Good,55761878000,55761884000,6,0.000000
59,Good,55762128000,55762129000,1,0.000000
60,Good,55762378000,55762384000,6,0.000000
61,Good,55762628000,55762632000,4,0.000000
62,Good,55762878000,55762888000,10,0.000000
63,Good,55763138000,55763141000,3,0.000000
64,Good,55763388000,55763393000,5,0.000000
65,Good,55763638000,55763641000,3,0.000000
66,Good,55763888000,55763895000,7,0.000000
67,Good,55764138000,55764148000,10,0.000000
68,Good,55764398000,55764400000,2,0.000000
69,Good,55764648000,55764656000,8,0.000000
70,Good,55764898000,55764899000,1,0.000000
71,Good,55765148000,55765155000,7,0.000000
72,Good,55765398000,55765402000,4,0.000000
73,Good,55765648000,55765649000,1,0.000000
74,Good,55765898000,55765900000,2,0.000000
75,Good,55766148000,55766154000,6,0.000000
76,Good,55766398000,55766407000,9,0.000000
77,Good,55766648000,55766656000,8,0.000000
78,Good,55766898000,55766900000,2,0.000000
79,Good,55767148000,55767152000,4,0.000000
80,Good,55767398000,55767409000,11,0.000000
81,Good,55767658000,55767664000,6,0.000000
82,Good,55767908000,55767917000,9,0.000000
