counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,56501818000,56501840000,22,
1,Good,56502088000,56502114000,26,
2,Good,56502358000,56502388000,30,
3,Good,56502638000,56502659000,21,
4,Good,56502908000,56502932000,24,
5,Good,56503178000,56503200000,22,
6,Good,56503448000,56503473000,25,
7,Good,56503718000,56503747000,29,
8,Good,56503988000,56504008000,20,
9,Good,56504258000,56504276000,18,
10,Good,56504518000,56504536000,18,
11,Good,56504778000,56504796000,18,
12,Good,56505038000,56505061000,23,
13,Good,56505308000,56505334000,26,
14,Good,56505578000,56505597000,19,
15,Good,56505838000,56505858000,20,
16,Good,56506108000,56506129000,21,
17,Good,56506378000,56506396000,18,
18,Good,56506638000,56506658000,20,
19,Good,56506908000,56506932000,24,
20,Good,56507178000,56507199000,21,
21,Good,56507448000,56507472000,24,
22,Good,56507718000,56507740000,22,
23,Good,56507988000,56508006000,18,
24,Good,56508248000,56508268000,20,
25,Good,56508518000,56508542000,24,
26,Good,56508788000,56508812000,24,
27,Good,56509058000,56509083000,25,
28,Good,56509328000,56509354000,26,
29,Good,56509598000,56509622000,24,
30,Good,56509868000,56509889000,21,
31,Good,56510138000,56510156000,18,
32,Good,56510398000,56510424000,26,
33,Good,56510668000,56510692000,24,
34,Good,56510938000,56510960000,22,
35,Good,56511208000,56511234000,26,
36,Good,56511478000,56511497000,19,
37,Good,56511748000,56511776000,28,
38,Good,56512018000,56512041000,23,
39,Good,56512288000,56512311000,23,
40,Good,56512558000,56512584000,26,
41,Good,56512828000,56512849000,21,
42,Good,56513098000,56513118000,20,
43,Good,56513368000,56513392000,24,
44,Good,56513638000,56513658000,20,
45,Good,56513908000,56513933000,25,
46,Good,56514178000,56514196000,18,
47,Good,56514438000,56514465000,27,
48,Good,56514708000,56514732000,24,
49,Good,56514978000,56514997000,19,
50,Good,56515238000,56515264000,26,
51,Good,56515508000,56515532000,24,
52,Good,56515778000,56515796000,18,
53,Good,56516038000,56516061000,23,
54,Good,56516308000,56516329000,21,
55,Good,56516578000,56516596000,18,
56,Good,56516838000,56516863000,25,
57,Good,56517108000,56517129000,21,
58,Good,56517378000,56517396000,18,
59,Good,56517638000,56517661000,23,
60,Good,56517908000,56517929000,21,
61,Good,56518178000,56518204000,26,
62,Good,56518448000,56518466000,18,
63,Good,56518708000,56518736000,28,
64,Good,56518978000,56519000000,22,
65,Good,56519248000,56519268000,20,
66,Good,56519518000,56519542000,24,
67,Good,56519788000,56519815000,27,
68,Good,56520058000,56520078000,20,
69,Good,56520328000,56520351000,23,
70,Good,56520598000,56520616000,18,
71,Good,56520858000,56520886000,28,
72,Good,56521128000,56521153000,25,
73,Good,56521398000,56521419000,21,
74,Good,56521668000,56521688000,20,
75,Good,56521938000,56521963000,25,
76,Good,56522208000,56522229000,21,
77,Good,56522478000,56522505000,27,
78,Good,56522748000,56522772000,24,
79,Good,56523018000,56523037000,19,
80,Good,56523288000,56523313000,25,
81,Good,56523558000,56523577000,19,
82,Good,56523818000,56523844000,26,
83,Good,56524088000,56524109000,21,
84,Good,56524358000,56524383000,25,
85,Good,56524628000,56524656000,28,
86,Good,56524898000,56524921000,23,
87,Good,56525168000,56525187000,19,
88,Good,56525428000,56525450000,22,
89,Good,56525698000,56525716000,18,
90,Good,56525958000,56525982000,24,
91,Good,56526228000,56526253000,25,
92,Good,56526498000,56526516000,18,
93,Good,56526758000,56526780000,22,
94,Good,56527028000,56527048000,20,
95,Good,56527298000,56527318000,20,
96,Good,56527568000,56527593000,25,
97,Good,56527838000,56527858000,20,
98,Good,56528108000,56528129000,21,
99,Good,56528378000,56528397000,19,
100,Good,56528648000,56528668000,20,
101,Good,56528918000,56528940000,22,
102,Good,56529188000,56529209000,21,
103,Good,56529458000,56529477000,19,
104,Good,56529728000,56529749000,21,
105,Good,56529998000,56530025000,27,
106,Good,56530268000,56530295000,27,
107,Good,56530538000,56530558000,20,
108,Good,56530808000,56530832000,24,
109,Good,56531078000,56531098000,20,
110,Good,56531348000,56531372000,24,
111,Good,56531618000,56531636000,18,
112,Good,56531878000,56531903000,25,
113,Good,56532148000,56532170000,22,
114,Good,56532418000,56532438000,20,
115,Good,56532688000,56532709000,21,
116,Good,56532958000,56532984000,26,
117,Good,56533228000,56533247000,19,
118,Good,56533488000,56533509000,21,
119,Good,56533758000,56533780000,22,
120,Good,56534028000,56534052000,24,
121,Good,56534298000,56534316000,18,
122,Good,56534558000,56534580000,22,
123,Good,56534828000,56534856000,28,
124,Good,56535098000,56535120000,22,
125,Good,56535368000,56535396000,28,
126,Good,56535638000,56535663000,25,
127,Good,56535908000,56535929000,21,
128,Good,56536178000,56536203000,25,
129,Good,56536448000,56536468000,20,
130,Good,56536718000,56536737000,19,
131,Good,56536988000,56537007000,19,
132,Good,56537248000,56537268000,20,
133,Good,56537518000,56537545000,27,
134,Good,56537788000,56537810000,22,
135,Good,56538058000,56538078000,20,
136,Good,56538328000,56538352000,24,
137,Good,56538598000,56538625000,27,
138,Good,56538868000,56538886000,18,
139,Good,56539128000,56539149000,21,
140,Good,56539398000,56539416000,18,
141,Good,56539658000,56539678000,20,
142,Good,56539928000,56539949000,21,
143,Good,56540198000,56540219000,21,
144,Good,56540468000,56540492000,24,
145,Good,56540738000,56540758000,20,
146,Good,56541008000,56541028000,20,
147,Good,56541278000,56541308000,30,
148,Good,56541558000,56541581000,23,
149,Good,56541828000,56541849000,21,
150,Good,56542098000,56542124000,26,
151,Good,56542368000,56542389000,21,
152,Good,56542638000,56542656000,18,
153,Good,56542898000,56542918000,20,
154,Good,56543168000,56543192000,24,
155,Good,56543438000,56543457000,19,
156,Good,56543698000,56543720000,22,
157,Good,56543968000,56543987000,19,
158,Good,56544228000,56544249000,21,
159,Good,56544498000,56544522000,24,
160,Good,56544768000,56544793000,25,
161,Good,56545038000,56545065000,27,
162,Good,56545308000,56545330000,22,
163,Good,56545578000,56545599000,21,
164,Good,56545848000,56545872000,24,
165,Good,56546118000,56546139000,21,
166,Good,56546388000,56546408000,20,
167,Good,56546658000,56546679000,21,
168,Good,56546928000,56546949000,21,
169,Good,56547198000,56547216000,18,
170,Good,56547458000,56547476000,18,
171,Good,56547718000,56547740000,22,
172,Good,56547988000,56548008000,20,
173,Good,56548258000,56548287000,29,
174,Good,56548528000,56548548000,20,
175,Good,56548798000,56548818000,20,
176,Good,56549068000,56549091000,23,
177,Good,56549338000,56549357000,19,
178,Good,56549598000,56549616000,18,
179,Good,56549858000,56549886000,28,
180,Good,56550128000,56550149000,21,
181,Good,56550398000,56550420000,22,
182,Good,56550668000,56550688000,20,
183,Good,56550938000,56550956000,18,
184,Good,56551198000,56551217000,19,
185,Good,56551458000,56551478000,20,
186,Good,56551728000,56551751000,23,
187,Good,56551998000,56552016000,18,
188,Good,56552258000,56552281000,23,
189,Good,56552528000,56552551000,23,
190,Good,56552798000,56552825000,27,
191,Good,56553068000,56553092000,24,
192,Good,56553338000,56553361000,23,
193,Good,56553608000,56553636000,28,
194,Good,56553878000,56553897000,19,
195,Good,56554138000,56554164000,26,
196,Good,56554408000,56554435000,27,
197,Good,56554678000,56554697000,19,
198,Good,56554938000,56554967000,29,
199,Good,56555208000,56555230000,22,
200,Good,56555478000,56555496000,18,
201,Good,56555738000,56555761000,23,
202,Good,56556008000,56556035000,27,
203,Good,56556278000,56556299000,21,
204,Good,56556548000,56556577000,29,
205,Good,56556818000,56556847000,29,
206,Good,56557088000,56557107000,19,
207,Good,56557348000,56557370000,22,
208,Good,56557618000,56557643000,25,
209,Good,56557888000,56557908000,20,
210,Good,56558158000,56558181000,23,
211,Good,56558428000,56558454000,26,
212,Good,56558698000,56558726000,28,
213,Good,56558968000,56558996000,28,
214,Good,56559238000,56559262000,24,
215,Good,56559508000,56559528000,20,
216,Good,56559778000,56559798000,20,
217,Good,56560048000,56560076000,28,
218,Good,56560318000,56560337000,19,
219,Good,56560578000,56560596000,18,
220,Good,56560838000,56560856000,18,
221,Good,56561098000,56561116000,18,
222,Good,56561358000,56561385000,27,
223,Good,56561628000,56561650000,22,
224,Good,56561898000,56561920000,22,
225,Good,56562168000,56562188000,20,
226,Good,56562438000,56562462000,24,
227,Good,56562708000,56562731000,23,
228,Good,56562978000,56562996000,18,
229,Good,56563238000,56563260000,22,
230,Good,56563508000,56563535000,27,
231,Good,56563778000,56563798000,20,
232,Good,56564048000,56564072000,24,
233,Good,56564318000,56564337000,19,
234,Good,56564578000,56564603000,25,
235,Good,56564848000,56564866000,18,
236,Good,56565108000,56565128000,20,
237,Good,56565378000,56565399000,21,
238,Good,56565648000,56565668000,20,
239,Good,56565918000,56565944000,26,
240,Good,56566188000,56566209000,21,
241,Good,56566458000,56566477000,19,
242,Good,56566728000,56566747000,19,
243,Good,56566988000,56567009000,21,
244,Good,56567258000,56567284000,26,
245,Good,56567528000,56567555000,27,
246,Good,56567798000,56567820000,22,
247,Good,56568068000,56568088000,20,
248,Good,56568338000,56568358000,20,
249,Good,56568608000,56568629000,21,
250,Good,56568878000,56568897000,19,
251,Good,56569138000,56569160000,22,
252,Good,56569408000,56569427000,19,
253,Good,56569668000,56569693000,25,
254,Good,56569938000,56569956000,18,
255,Good,56570198000,56570217000,19,
256,Good,56570458000,56570476000,18,
257,Good,56570718000,56570742000,24,
258,Good,56570988000,56571009000,21,
259,Good,56571258000,56571279000,21,
260,Good,56571528000,56571549000,21,
261,Good,56571798000,56571817000,19,
262,Good,56572068000,56572089000,21,
263,Good,56572338000,56572358000,20,
264,Good,56572608000,56572634000,26,
265,Good,56572878000,56572901000,23,
266,Good,56573148000,56573168000,20,
267,Good,56573418000,56573438000,20,
268,Good,56573688000,56573711000,23,
269,Good,56573958000,56573978000,20,
270,Good,56574228000,56574248000,20,
271,Good,56574498000,56574521000,23,
272,Good,56574768000,56574788000,20,
273,Good,56575038000,56575066000,28,
274,Good,56575308000,56575327000,19,
275,Good,56575568000,56575588000,20,
276,Good,56575838000,56575863000,25,
277,Good,56576108000,56576136000,28,
278,Good,56576378000,56576399000,21,
279,Good,56576648000,56576667000,19,
280,Good,56576908000,56576932000,24,
281,Good,56577178000,56577199000,21,
282,Good,56577448000,56577473000,25,
283,Good,56577718000,56577737000,19,
284,Good,56577978000,56578001000,23,
285,Good,56578248000,56578268000,20,
286,Good,56578518000,56578546000,28,
287,Good,56578788000,56578808000,20,
288,Good,56579058000,56579076000,18,
289,Good,56579318000,56579342000,24,
290,Good,56579588000,56579609000,21,
291,Good,56579858000,56579880000,22,
292,Good,56580128000,56580148000,20,
293,Good,56580398000,56580421000,23,
294,Good,56580668000,56580696000,28,
295,Good,56580938000,56580959000,21,
296,Good,56581208000,56581229000,21,
297,Good,56581478000,56581496000,18,
298,Good,56581738000,56581760000,22,
299,Good,56582008000,56582027000,19,
300,Good,56582268000,56582294000,26,
301,Good,56582538000,56582560000,22,
302,Good,56582808000,56582829000,21,
303,Good,56583078000,56583097000,19,
304,Good,56583338000,56583363000,25,
305,Good,56583608000,56583630000,22,
306,Good,56583878000,56583906000,28,
307,Good,56584148000,56584168000,20,
308,Good,56584418000,56584437000,19,
309,Good,56584688000,56584708000,20,
310,Good,56584958000,56584978000,20,
311,Good,56585228000,56585249000,21,
312,Good,56585498000,56585519000,21,
313,Good,56585768000,56585793000,25,
314,Good,56586038000,56586059000,21,
315,Good,56586308000,56586328000,20,
316,Good,56586578000,56586599000,21,
317,Good,56586848000,56586872000,24,
318,Good,56587118000,56587146000,28,
319,Good,56587388000,56587408000,20,
320,Good,56587658000,56587682000,24,
321,Good,56587928000,56587953000,25,
322,Good,56588198000,56588218000,20,
323,Good,56588468000,56588495000,27,
324,Good,56588738000,56588758000,20,
325,Good,56589008000,56589027000,19,
326,Good,56589268000,56589295000,27,
327,Good,56589538000,56589556000,18,
328,Good,56589798000,56589817000,19,
329,Good,56590068000,56590092000,24,
330,Good,56590338000,56590361000,23,
331,Good,56590608000,56590627000,19,
332,Good,56590868000,56590896000,28,
333,Good,56591138000,56591161000,23,
334,Good,56591408000,56591429000,21,
335,Good,56591678000,56591706000,28,
336,Good,56591948000,56591971000,23,
337,Good,56592218000,56592238000,20,
338,Good,56592488000,56592512000,24,
339,Good,56592758000,56592781000,23,
340,Good,56593028000,56593048000,20,
341,Good,56593298000,56593319000,21,
342,Good,56593568000,56593589000,21,
343,Good,56593838000,56593860000,22,
344,Good,56594108000,56594129000,21,
345,Good,56594378000,56594401000,23,
346,Good,56594648000,56594670000,22,
347,Good,56594918000,56594941000,23,
348,Good,56595188000,56595215000,27,
349,Good,56595458000,56595477000,19,
350,Good,56595718000,56595736000,18,
351,Good,56595978000,56596004000,26,
352,Good,56596248000,56596269000,21,
353,Good,56596518000,56596545000,27,
354,Good,56596788000,56596813000,25,
355,Good,56597058000,56597079000,21,
356,Good,56597328000,56597348000,20,
357,Good,56597598000,56597621000,23,
358,Good,56597868000,56597890000,22,
359,Good,56598138000,56598162000,24,
