value_last_recv,timestamp_chg
13,51224414000
14,51224662000
15,51224913000
16,51225163000
17,51225416000
18,51225667000
19,51225925000
20,51226177000
21,51226427000
22,51226688000
23,51226943000
24,51227198000
25,51227452000
26,51227703000
27,51227955000
28,51228206000
29,51228458000
30,51228717000
31,51228963000
32,51229215000
33,51229467000
34,51229715000
35,51229962000
36,51230222000
37,51230474000
38,51230724000
39,51230978000
40,51231242000
41,51231495000
42,51231750000
43,51232008000
44,51232264000
45,51232517000
46,51232762000
47,51233014000
48,51233266000
49,51233517000
50,51233768000
51,51234025000
52,51234273000
53,51234523000
54,51234774000
55,51235023000
56,51235273000
57,51235525000
58,51235783000
59,51236033000
60,51236284000
61,51236534000
62,51236782000
63,51237033000
64,51237286000
65,51237536000
66,51237793000
67,51238046000
68,51238297000
69,51238542000
70,51238793000
71,51239050000
72,51239303000
73,51239555000
74,51239803000
75,51240053000
76,51240306000
77,51240561000
78,51240818000
79,51241072000
80,51241320000
81,51241570000
82,51241822000
83,51242072000
84,51242323000
85,51242571000
86,51242825000
87,51243090000
88,51243340000
89,51243594000
90,51243845000
91,51244101000
92,51244352000
93,51244604000
94,51244859000
95,51245112000
96,51245369000
97,51245622000
98,51245871000
99,51246123000
100,51246376000
101,51246631000
102,51246881000
103,51247133000
104,51247380000
105,51247632000
106,51247886000
107,51248139000
108,51248391000
109,51248644000
110,51248895000
111,51249144000
112,51249398000
113,51249654000
114,51249900000
115,51250154000
116,51250405000
117,51250659000
118,51250910000
119,51251160000
120,51251411000
121,51251663000
122,51251911000
123,51252164000
124,51252415000
125,51252665000
126,51252920000
127,51253172000
128,51253420000
129,51253673000
130,51253921000
131,51254175000
132,51254433000
133,51254680000
134,51254937000
135,51255191000
136,51255443000
137,51255699000
138,51255952000
139,51256203000
140,51256461000
141,51256714000
142,51256969000
143,51257221000
144,51257476000
145,51257724000
146,51257974000
147,51258222000
148,51258480000
149,51258733000
150,51258990000
151,51259249000
152,51259505000
153,51259760000
154,51260013000
155,51260267000
156,51260527000
157,51260784000
158,51261037000
159,51261286000
160,51261538000
161,51261792000
162,51262044000
163,51262295000
164,51262548000
165,51262802000
166,51263054000
167,51263306000
168,51263552000
169,51263804000
170,51264052000
171,51264307000
172,51264562000
173,51264814000
174,51265068000
175,51265321000
176,51265572000
177,51265823000
178,51266076000
179,51266327000
180,51266591000
181,51266848000
182,51267103000
183,51267354000
184,51267604000
185,51267856000
186,51268106000
187,51268354000
188,51268602000
189,51268857000
190,51269112000
191,51269363000
192,51269617000
193,51269881000
194,51270133000
195,51270384000
196,51270636000
197,51270890000
198,51271151000
199,51271406000
200,51271667000
201,51271931000
202,51272184000
203,51272433000
204,51272685000
205,51272942000
206,51273195000
207,51273445000
208,51273699000
209,51273952000
210,51274201000
211,51274453000
212,51274701000
213,51274956000
214,51275211000
215,51275463000
216,51275711000
217,51275962000
218,51276216000
219,51276467000
220,51276731000
221,51276981000
222,51277232000
223,51277483000
224,51277734000
225,51277981000
226,51278235000
227,51278486000
228,51278741000
229,51279000000
230,51279259000
231,51279515000
232,51279761000
233,51280013000
234,51280264000
235,51280517000
236,51280773000
237,51281024000
238,51281279000
239,51281533000
240,51281783000
241,51282036000
242,51282286000
243,51282545000
244,51282797000
245,51283052000
246,51283303000
247,51283551000
248,51283806000
249,51284052000
250,51284305000
251,51284552000
252,51284804000
253,51285056000
254,51285307000
255,51285571000
256,51285823000
257,51286074000
258,51286330000
259,51286586000
260,51286835000
261,51287086000
262,51287336000
263,51287584000
264,51287842000
265,51288098000
266,51288353000
267,51288606000
268,51288862000
269,51289113000
270,51289365000
271,51289617000
272,51289868000
273,51290115000
274,51290367000
275,51290617000
276,51290867000
277,51291116000
278,51291372000
279,51291627000
280,51291881000
281,51292135000
282,51292391000
283,51292646000
284,51292896000
285,51293149000
286,51293412000
287,51293664000
288,51293918000
289,51294177000
290,51294424000
291,51294679000
292,51294935000
293,51295183000
294,51295434000
295,51295683000
296,51295934000
297,51296187000
298,51296433000
299,51296683000
300,51296935000
301,51297189000
302,51297443000
303,51297699000
304,51297953000
305,51298205000
306,51298459000
307,51298713000
308,51298967000
309,51299217000
310,51299465000
311,51299717000
312,51299969000
313,51300224000
314,51300473000
315,51300722000
316,51300976000
317,51301229000
318,51301484000
319,51301737000
320,51301984000
321,51302232000
322,51302484000
323,51302737000
324,51302984000
325,51303238000
326,51303499000
327,51303754000
328,51304008000
329,51304264000
330,51304518000
331,51304782000
332,51305033000
333,51305286000
334,51305535000
335,51305785000
336,51306034000
337,51306284000
338,51306535000
339,51306783000
340,51307033000
341,51307284000
342,51307539000
343,51307794000
344,51308048000
345,51308305000
346,51308562000
347,51308814000
348,51309066000
349,51309314000
350,51309569000
351,51309826000
352,51310079000
353,51310334000
354,51310584000
355,51310836000
356,51311088000
357,51311346000
358,51311602000
359,51311854000
360,51312106000
361,51312352000
362,51312611000
363,51312867000
364,51313116000
365,51313363000
366,51313616000
367,51313867000
368,51314116000
369,51314372000
370,51314631000
371,51314884000
372,51315134000
373,51315386000
374,51315641000
375,51315894000
376,51316147000
377,51316398000
378,51316658000
379,51316914000
380,51317165000
381,51317414000
382,51317666000
383,51317914000
384,51318164000
385,51318415000
386,51318665000
387,51318916000
388,51319164000
389,51319426000
390,51319674000
391,51319928000
392,51320174000
393,51320424000
394,51320675000
395,51320924000
396,51321179000
397,51321441000
398,51321702000
399,51321956000
400,51322204000
401,51322457000
402,51322708000
403,51322970000
404,51323225000
405,51323479000
406,51323734000
407,51323983000
408,51324237000
409,51324494000
410,51324745000
411,51324994000
412,51325248000
413,51325494000
414,51325746000
415,51326012000
416,51326270000
417,51326532000
418,51326787000
419,51327035000
420,51327290000
421,51327550000
422,51327805000
423,51328056000
424,51328308000
425,51328558000
426,51328808000
427,51329060000
428,51329324000
429,51329580000
430,51329834000
431,51330086000
432,51330338000
433,51330588000
434,51330840000
435,51331100000
436,51331354000
437,51331606000
438,51331858000
439,51332107000
440,51332362000
441,51332615000
442,51332872000
443,51333124000
444,51333374000
445,51333611000
446,51333864000
447,51334113000
448,51334360000
449,51334612000
450,51334860000
451,51335110000
452,51335361000
453,51335610000
454,51335866000
455,51336120000
456,51336371000
457,51336629000
458,51336886000
459,51337151000
460,51337400000
461,51337650000
462,51337903000
463,51338152000
464,51338408000
465,51338664000
466,51338912000
467,51339161000
468,51339414000
469,51339664000
470,51339914000
471,51340170000
472,51340421000
473,51340673000
474,51340920000
475,51341173000
476,51341431000
477,51341684000
478,51341936000
479,51342199000
480,51342450000
481,51342702000
482,51342953000
483,51343201000
484,51343450000
485,51343704000
486,51343951000
487,51344200000
488,51344450000
489,51344700000
490,51344953000
491,51345206000
492,51345468000
493,51345721000
494,51345974000
495,51346222000
496,51346471000
497,51346724000
498,51346975000
499,51347233000
500,51347481000
501,51347730000
502,51347983000
503,51348236000
504,51348497000
505,51348756000
506,51349025000
507,51349278000
508,51349527000
509,51349779000
510,51350030000
511,51350287000
512,51350535000
513,51350785000
514,51351043000
515,51351296000
516,51351552000
517,51351807000
518,51352055000
519,51352305000
520,51352555000
521,51352805000
522,51353057000
523,51353308000
524,51353555000
525,51353808000
526,51354059000
527,51354308000
528,51354565000
529,51354815000
530,51355066000
531,51355317000
532,51355565000
533,51355819000
534,51356068000
535,51356316000
536,51356569000
537,51356818000
538,51357071000
539,51357334000
540,51357585000
541,51357840000
542,51358103000
543,51358364000
544,51358618000
545,51358865000
546,51359121000
547,51359376000
548,51359627000
549,51359877000
550,51360131000
551,51360386000
552,51360643000
553,51360897000
554,51361149000
555,51361395000
556,51361648000
557,51361896000
558,51362148000
559,51362400000
560,51362660000
561,51362905000
562,51363157000
563,51363407000
564,51363658000
565,51363907000
566,51364155000
567,51364405000
568,51364664000
569,51364917000
570,51365166000
571,51365422000
572,51365674000
573,51365924000
574,51366177000
575,51366426000
576,51366674000
577,51366933000
578,51367184000
579,51367435000
580,51367686000
581,51367936000
582,51368186000
583,51368434000
584,51368684000
585,51368938000
586,51369184000
587,51369437000
588,51369688000
589,51369935000
590,51370187000
591,51370434000
592,51370686000
593,51370935000
594,51371186000
595,51371434000
596,51371686000
597,51371934000
598,51372189000
599,51372444000
600,51372698000
601,51372950000
602,51373208000
603,51373458000
604,51373706000
605,51373963000
606,51374218000
607,51374467000
608,51374720000
609,51374974000
610,51375224000
611,51375475000
612,51375725000
613,51375982000
614,51376236000
615,51376484000
616,51376735000
617,51376986000
618,51377234000
619,51377490000
620,51377754000
621,51378006000
622,51378258000
623,51378510000
624,51378770000
625,51379025000
626,51379282000
627,51379534000
628,51379787000
629,51380034000
630,51380285000
631,51380536000
632,51380791000
633,51381050000
634,51381314000
635,51381566000
636,51381824000
637,51382080000
638,51382330000
