value_last_recv,timestamp_chg
26515,51731207000
26516,51731466000
26517,51731724000
26518,51731971000
26519,51732228000
26520,51732481000
26521,51732737000
26522,51732997000
26523,51733261000
26524,51733515000
26525,51733767000
26526,51734024000
26527,51734272000
26528,51734523000
26529,51734771000
26530,51735022000
26531,51735276000
26532,51735534000
26533,51735786000
26534,51736045000
26535,51736295000
26536,51736542000
26537,51736797000
26538,51737054000
26539,51737301000
26540,51737554000
26541,51737804000
26542,51738055000
26543,51738306000
26544,51738554000
26545,51738805000
26546,51739071000
26547,51739322000
26548,51739575000
26549,51739822000
26550,51740070000
26551,51740325000
26552,51740577000
26553,51740831000
26554,51741086000
26555,51741350000
26556,51741604000
26557,51741859000
26558,51742113000
26559,51742363000
26560,51742614000
26561,51742865000
26562,51743125000
26563,51743389000
26564,51743641000
26565,51743894000
26566,51744145000
26567,51744394000
26568,51744645000
26569,51744897000
26570,51745153000
26571,51745404000
26572,51745654000
26573,51745905000
26574,51746151000
26575,51746409000
26576,51746661000
26577,51746911000
26578,51747161000
26579,51747412000
26580,51747663000
26581,51747914000
26582,51748161000
26583,51748418000
26584,51748672000
26585,51748925000
26586,51749171000
26587,51749425000
26588,51749676000
26589,51749931000
26590,51750182000
26591,51750437000
26592,51750692000
26593,51750941000
26594,51751191000
26595,51751445000
26596,51751705000
26597,51751966000
26598,51752224000
26599,51752478000
26600,51752731000
26601,51752983000
26602,51753237000
26603,51753499000
26604,51753758000
26605,51754014000
26606,51754261000
26607,51754515000
26608,51754770000
26609,51755024000
26610,51755280000
26611,51755533000
26612,51755784000
26613,51756034000
26614,51756286000
26615,51756537000
26616,51756786000
26617,51757032000
26618,51757286000
26619,51757537000
26620,51757782000
26621,51758036000
26622,51758287000
26623,51758533000
26624,51758782000
26625,51759038000
26626,51759292000
26627,51759547000
26628,51759798000
26629,51760054000
26630,51760312000
26631,51760563000
26632,51760813000
26633,51761069000
26634,51761326000
26635,51761582000
26636,51761833000
26637,51762085000
26638,51762338000
26639,51762593000
26640,51762847000
26641,51763098000
26642,51763361000
26643,51763622000
26644,51763877000
26645,51764131000
26646,51764384000
26647,51764634000
26648,51764883000
26649,51765133000
26650,51765382000
26651,51765633000
26652,51765887000
26653,51766143000
26654,51766396000
26655,51766647000
26656,51766912000
26657,51767164000
26658,51767418000
26659,51767672000
26660,51767927000
26661,51768176000
26662,51768426000
26663,51768680000
26664,51768933000
26665,51769188000
26666,51769444000
26667,51769693000
26668,51769945000
26669,51770194000
26670,51770446000
26671,51770697000
26672,51770955000
26673,51771206000
26674,51771451000
26675,51771702000
26676,51771957000
26677,51772218000
26678,51772477000
26679,51772733000
26680,51772988000
26681,51773244000
26682,51773498000
26683,51773757000
26684,51774018000
26685,51774278000
26686,51774538000
26687,51774792000
26688,51775043000
26689,51775296000
26690,51775545000
26691,51775797000
26692,51776052000
26693,51776302000
26694,51776552000
26695,51776806000
26696,51777064000
26697,51777316000
26698,51777566000
26699,51777820000
26700,51778073000
26701,51778328000
26702,51778586000
26703,51778836000
26704,51779095000
26705,51779342000
26706,51779594000
26707,51779845000
26708,51780091000
26709,51780344000
26710,51780598000
26711,51780861000
26712,51781117000
26713,51781371000
26714,51781625000
26715,51781876000
26716,51782128000
26717,51782383000
26718,51782634000
26719,51782883000
26720,51783132000
26721,51783385000
26722,51783631000
26723,51783887000
26724,51784148000
26725,51784407000
26726,51784665000
26727,51784911000
26728,51785162000
26729,51785418000
26730,51785678000
26731,51785938000
26732,51786197000
26733,51786452000
26734,51786705000
26735,51786957000
26736,51787208000
26737,51787462000
26738,51787718000
26739,51787973000
26740,51788223000
26741,51788478000
26742,51788738000
26743,51788993000
26744,51789244000
26745,51789503000
26746,51789763000
