counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,51224843000,51224848000,5,13
1,Good,51225092000,51225096000,4,14
2,Good,51225343000,51225347000,4,15
3,Good,51225592000,51225597000,5,16
4,Good,51225843000,51225850000,7,17
5,Good,51226092000,51226102000,10,18
6,Good,51226352000,51226360000,8,19
7,Good,51226603000,51226612000,9,20
8,Good,51226852000,51226863000,11,21
9,Good,51227112000,51227124000,12,22
10,Good,51227372000,51227378000,6,23
11,Good,51227623000,51227632000,9,24
12,Good,51227883000,51227887000,4,25
13,Good,51228132000,51228137000,5,26
14,Good,51228383000,51228390000,7,27
15,Good,51228632000,51228640000,8,28
16,Good,51228883000,51228892000,9,29
17,Good,51229143000,51229152000,9,30
18,Good,51229392000,51229397000,5,31
19,Good,51229643000,51229649000,6,32
20,Good,51229892000,51229901000,9,33
21,Good,51230143000,51230149000,6,34
22,Good,51230392000,51230396000,4,35
23,Good,51230643000,51230656000,13,36
24,Good,51230903000,51230908000,5,37
25,Good,51231152000,51231159000,7,38
26,Good,51231403000,51231412000,9,39
27,Good,51231663000,51231676000,13,40
28,Good,51231923000,51231929000,6,41
29,Good,51232172000,51232184000,12,42
30,Good,51232432000,51232444000,12,43
31,Good,51232692000,51232699000,7,44
32,Good,51232943000,51232952000,9,45
33,Good,51233192000,51233196000,4,46
34,Good,51233443000,51233448000,5,47
35,Good,51233692000,51233700000,8,48
36,Good,51233943000,51233952000,9,49
37,Good,51234192000,51234204000,12,50
38,Good,51234452000,51234460000,8,51
39,Good,51234703000,51234708000,5,52
40,Good,51234952000,51234957000,5,53
41,Good,51235203000,51235208000,5,54
42,Good,51235452000,51235458000,6,55
43,Good,51235703000,51235708000,5,56
44,Good,51235952000,51235960000,8,57
45,Good,51236203000,51236218000,15,58
46,Good,51236463000,51236468000,5,59
47,Good,51236712000,51236719000,7,60
48,Good,51236963000,51236968000,5,61
49,Good,51237212000,51237216000,4,62
50,Good,51237463000,51237468000,5,63
51,Good,51237712000,51237720000,8,64
52,Good,51237963000,51237971000,8,65
53,Good,51238212000,51238227000,15,66
54,Good,51238472000,51238480000,8,67
55,Good,51238723000,51238732000,9,68
56,Good,51238972000,51238976000,4,69
57,Good,51239223000,51239228000,5,70
58,Good,51239472000,51239484000,12,71
59,Good,51239732000,51239738000,6,72
60,Good,51239983000,51239989000,6,73
61,Good,51240232000,51240240000,8,74
62,Good,51240483000,51240490000,7,75
63,Good,51240732000,51240744000,12,76
64,Good,51240992000,51240999000,7,77
65,Good,51241243000,51241255000,12,78
66,Good,51241503000,51241509000,6,79
67,Good,51241752000,51241756000,4,80
68,Good,51242003000,51242007000,4,81
69,Good,51242252000,51242258000,6,82
70,Good,51242503000,51242508000,5,83
71,Good,51242752000,51242760000,8,84
72,Good,51243003000,51243008000,5,85
73,Good,51243252000,51243262000,10,86
74,Good,51243512000,51243527000,15,87
75,Good,51243772000,51243776000,4,88
76,Good,51244023000,51244031000,8,89
77,Good,51244272000,51244282000,10,90
78,Good,51244532000,51244538000,6,91
79,Good,51244783000,51244789000,6,92
80,Good,51245032000,51245041000,9,93
81,Good,51245283000,51245296000,13,94
82,Good,51245543000,51245549000,6,95
83,Good,51245792000,51245806000,14,96
84,Good,51246052000,51246059000,7,97
85,Good,51246303000,51246308000,5,98
86,Good,51246552000,51246560000,8,99
87,Good,51246803000,51246814000,11,100
88,Good,51247063000,51247068000,5,101
89,Good,51247312000,51247318000,6,102
90,Good,51247563000,51247570000,7,103
91,Good,51247812000,51247816000,4,104
92,Good,51248063000,51248069000,6,105
93,Good,51248312000,51248324000,12,106
94,Good,51248572000,51248576000,4,107
95,Good,51248823000,51248828000,5,108
96,Good,51249072000,51249080000,8,109
97,Good,51249323000,51249332000,9,110
98,Good,51249572000,51249581000,9,111
99,Good,51249823000,51249836000,13,112
100,Good,51250083000,51250091000,8,113
101,Good,51250332000,51250337000,5,114
102,Good,51250583000,51250591000,8,115
103,Good,51250832000,51250841000,9,116
104,Good,51251083000,51251096000,13,117
105,Good,51251343000,51251347000,4,118
106,Good,51251592000,51251597000,5,119
107,Good,51251843000,51251848000,5,120
108,Good,51252092000,51252100000,8,121
109,Good,51252343000,51252348000,5,122
110,Good,51252592000,51252601000,9,123
111,Good,51252843000,51252852000,9,124
112,Good,51253092000,51253102000,10,125
113,Good,51253352000,51253357000,5,126
114,Good,51253603000,51253609000,6,127
115,Good,51253852000,51253856000,4,128
116,Good,51254103000,51254110000,7,129
117,Good,51254352000,51254358000,6,130
118,Good,51254603000,51254612000,9,131
119,Good,51254863000,51254870000,7,132
120,Good,51255112000,51255117000,5,133
121,Good,51255363000,51255374000,11,134
122,Good,51255623000,51255628000,5,135
123,Good,51255872000,51255877000,5,136
124,Good,51256123000,51256135000,12,137
125,Good,51256383000,51256387000,4,138
126,Good,51256632000,51256638000,6,139
127,Good,51256883000,51256896000,13,140
128,Good,51257143000,51257149000,6,141
129,Good,51257392000,51257404000,12,142
130,Good,51257652000,51257656000,4,143
131,Good,51257903000,51257912000,9,144
132,Good,51258152000,51258160000,8,145
133,Good,51258403000,51258409000,6,146
134,Good,51258652000,51258657000,5,147
135,Good,51258903000,51258915000,12,148
136,Good,51259163000,51259168000,5,149
137,Good,51259412000,51259424000,12,150
138,Good,51259672000,51259684000,12,151
139,Good,51259932000,51259940000,8,152
140,Good,51260183000,51260195000,12,153
141,Good,51260443000,51260448000,5,154
142,Good,51260692000,51260702000,10,155
143,Good,51260952000,51260962000,10,156
144,Good,51261212000,51261221000,9,157
145,Good,51261463000,51261472000,9,158
146,Good,51261712000,51261721000,9,159
147,Good,51261963000,51261973000,10,160
148,Good,51262223000,51262227000,4,161
149,Good,51262472000,51262479000,7,162
150,Good,51262723000,51262730000,7,163
151,Good,51262972000,51262983000,11,164
152,Good,51263232000,51263237000,5,165
153,Good,51263483000,51263489000,6,166
154,Good,51263732000,51263740000,8,167
155,Good,51263983000,51263988000,5,168
156,Good,51264232000,51264240000,8,169
157,Good,51264483000,51264487000,4,170
158,Good,51264732000,51264742000,10,171
159,Good,51264992000,51264997000,5,172
160,Good,51265243000,51265249000,6,173
161,Good,51265492000,51265503000,11,174
162,Good,51265752000,51265756000,4,175
163,Good,51266003000,51266007000,4,176
164,Good,51266252000,51266258000,6,177
165,Good,51266503000,51266511000,8,178
166,Good,51266752000,51266762000,10,179
167,Good,51267012000,51267026000,14,180
168,Good,51267272000,51267284000,12,181
169,Good,51267532000,51267538000,6,182
170,Good,51267783000,51267789000,6,183
171,Good,51268032000,51268039000,7,184
172,Good,51268283000,51268292000,9,185
173,Good,51268532000,51268540000,8,186
174,Good,51268783000,51268789000,6,187
175,Good,51269032000,51269037000,5,188
176,Good,51269283000,51269292000,9,189
177,Good,51269543000,51269547000,4,190
178,Good,51269792000,51269798000,6,191
179,Good,51270043000,51270052000,9,192
180,Good,51270303000,51270316000,13,193
181,Good,51270563000,51270568000,5,194
182,Good,51270812000,51270820000,8,195
183,Good,51271063000,51271071000,8,196
184,Good,51271312000,51271325000,13,197
185,Good,51271572000,51271586000,14,198
186,Good,51271832000,51271842000,10,199
187,Good,51272092000,51272103000,11,200
188,Good,51272352000,51272366000,14,201
189,Good,51272612000,51272619000,7,202
190,Good,51272863000,51272869000,6,203
191,Good,51273112000,51273121000,9,204
192,Good,51273363000,51273377000,14,205
193,Good,51273623000,51273632000,9,206
194,Good,51273872000,51273881000,9,207
195,Good,51274123000,51274135000,12,208
196,Good,51274383000,51274388000,5,209
197,Good,51274632000,51274636000,4,210
198,Good,51274883000,51274889000,6,211
199,Good,51275132000,51275137000,5,212
200,Good,51275383000,51275392000,9,213
201,Good,51275632000,51275647000,15,214
202,Good,51275892000,51275899000,7,215
203,Good,51276143000,51276148000,5,216
204,Good,51276392000,51276397000,5,217
205,Good,51276643000,51276651000,8,218
206,Good,51276892000,51276903000,11,219
207,Good,51277152000,51277167000,15,220
208,Good,51277412000,51277416000,4,221
209,Good,51277663000,51277668000,5,222
210,Good,51277912000,51277919000,7,223
211,Good,51278163000,51278169000,6,224
212,Good,51278412000,51278417000,5,225
213,Good,51278663000,51278671000,8,226
214,Good,51278912000,51278922000,10,227
215,Good,51279172000,51279177000,5,228
216,Good,51279423000,51279436000,13,229
217,Good,51279683000,51279696000,13,230
218,Good,51279943000,51279951000,8,231
219,Good,51280192000,51280196000,4,232
220,Good,51280443000,51280449000,6,233
221,Good,51280692000,51280700000,8,234
222,Good,51280943000,51280952000,9,235
223,Good,51281203000,51281209000,6,236
224,Good,51281452000,51281460000,8,237
225,Good,51281703000,51281715000,12,238
226,Good,51281963000,51281969000,6,239
227,Good,51282212000,51282219000,7,240
228,Good,51282463000,51282471000,8,241
