counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,51985478000,51985484000,6,20653
1,Good,51985728000,51985738000,10,20654
2,Good,51985988000,51985992000,4,20655
3,Good,51986238000,51986243000,5,20656
4,Good,51986487000,51986498000,11,20657
5,Good,51986747000,51986762000,15,20658
6,Good,51987007000,51987019000,12,20659
7,Good,51987267000,51987272000,5,20660
8,Good,51987517000,51987528000,11,20661
9,Good,51987777000,51987784000,7,20662
10,Good,51988027000,51988035000,8,20663
11,Good,51988277000,51988289000,12,20664
12,Good,51988537000,51988557000,20,20665
13,Good,51988806000,51988818000,12,20666
14,Good,51989066000,51989073000,7,20667
15,Good,51989316000,51989323000,7,20668
16,Good,51989566000,51989578000,12,20669
17,Good,51989826000,51989831000,5,20670
18,Good,51990076000,51990083000,7,20671
19,Good,51990325000,51990338000,13,20672
20,Good,51990585000,51990592000,7,20673
21,Good,51990836000,51990847000,11,20674
22,Good,51991095000,51991102000,7,20675
23,Good,51991345000,51991357000,12,20676
24,Good,51991605000,51991611000,6,20677
25,Good,51991855000,51991866000,11,20678
26,Good,51992115000,51992122000,7,20679
27,Good,51992364000,51992377000,13,20680
28,Good,51992624000,51992631000,7,20681
29,Good,51992874000,51992879000,5,20682
30,Good,51993124000,51993135000,11,20683
31,Good,51993384000,51993394000,10,20684
32,Good,51993644000,51993649000,5,20685
33,Good,51993894000,51993905000,11,20686
34,Good,51994154000,51994159000,5,20687
35,Good,51994403000,51994411000,8,20688
36,Good,51994654000,51994664000,10,20689
37,Good,51994913000,51994923000,10,20690
38,Good,51995173000,51995184000,11,20691
39,Good,51995433000,51995439000,6,20692
40,Good,51995683000,51995689000,6,20693
41,Good,51995933000,51995939000,6,20694
42,Good,51996182000,51996193000,11,20695
43,Good,51996442000,51996453000,11,20696
44,Good,51996702000,51996713000,11,20697
45,Good,51996962000,51996967000,5,20698
46,Good,51997212000,51997218000,6,20699
47,Good,51997462000,51997467000,5,20700
48,Good,51997712000,51997717000,5,20701
49,Good,51997962000,51997966000,4,20702
50,Good,51998212000,51998217000,5,20703
51,Good,51998461000,51998466000,5,20704
52,Good,51998712000,51998721000,9,20705
53,Good,51998971000,51998987000,16,20706
54,Good,51999231000,51999242000,11,20707
55,Good,51999491000,51999503000,12,20708
56,Good,51999751000,51999759000,8,20709
57,Good,52000001000,52000009000,8,20710
58,Good,52000251000,52000264000,13,20711
59,Good,52000511000,52000517000,6,20712
60,Good,52000760000,52000774000,14,20713
61,Good,52001020000,52001027000,7,20714
