counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,51478003000,51478012000,9,989.149989
1,Good,51478252000,51478260000,8,990.099989
2,Good,51478503000,51478512000,9,991.049989
3,Good,51478763000,51478770000,7,991.999989
4,Good,51479012000,51479022000,10,992.949989
5,Good,51479272000,51479288000,16,993.899989
6,Good,51479532000,51479538000,6,994.849989
7,Good,51479783000,51479795000,12,995.799989
8,Good,51480043000,51480047000,4,996.749989
9,Good,51480292000,51480298000,6,997.699989
10,Good,51480543000,51480548000,5,998.649989
11,Good,51480792000,51480800000,8,999.599989
12,Good,51481043000,51481051000,8,1000.549989
13,Good,51481292000,51481302000,10,1001.499989
14,Good,51481552000,51481561000,9,1002.449989
15,Good,51481803000,51481812000,9,1003.399989
16,Good,51482052000,51482060000,8,1004.349989
17,Good,51482303000,51482308000,5,1005.299989
18,Good,51482552000,51482560000,8,1006.249989
19,Good,51482803000,51482808000,5,1007.199989
20,Good,51483052000,51483062000,10,1008.149989
21,Good,51483312000,51483324000,12,1009.099989
22,Good,51483572000,51483583000,11,1010.049989
23,Good,51483832000,51483843000,11,1010.999989
24,Good,51484092000,51484108000,16,1011.949989
25,Good,51484352000,51484357000,5,1012.899989
26,Good,51484603000,51484609000,6,1013.849989
27,Good,51484852000,51484861000,9,1014.799989
28,Good,51485103000,51485118000,15,1015.749988
29,Good,51485363000,51485378000,15,1016.699988
30,Good,51485623000,51485628000,5,1017.649988
31,Good,51485872000,51485882000,10,1018.599988
32,Good,51486132000,51486140000,8,1019.549988
33,Good,51486383000,51486389000,6,1020.499988
34,Good,51486632000,51486640000,8,1021.449988
35,Good,51486883000,51486891000,8,1022.399988
36,Good,51487132000,51487147000,15,1023.349988
37,Good,51487392000,51487403000,11,1024.299988
38,Good,51487652000,51487658000,6,1025.249988
39,Good,51487903000,51487908000,5,1026.199988
40,Good,51488152000,51488160000,8,1027.149988
41,Good,51488403000,51488413000,10,1028.099988
42,Good,51488663000,51488668000,5,1029.049988
43,Good,51488912000,51488919000,7,1029.999988
44,Good,51489163000,51489169000,6,1030.949988
45,Good,51489412000,51489423000,11,1031.899988
46,Good,51489672000,51489681000,9,1032.849988
47,Good,51489923000,51489933000,10,1033.799988
48,Good,51490183000,51490188000,5,1034.749988
49,Good,51490432000,51490438000,6,1035.699988
50,Good,51490683000,51490687000,4,1036.649988
51,Good,51490932000,51490939000,7,1037.599988
52,Good,51491183000,51491189000,6,1038.549988
53,Good,51491432000,51491440000,8,1039.499988
54,Good,51491683000,51491694000,11,1040.449988
55,Good,51491943000,51491948000,5,1041.399988
56,Good,51492192000,51492204000,12,1042.349988
57,Good,51492452000,51492459000,7,1043.299988
58,Good,51492703000,51492713000,10,1044.249988
59,Good,51492963000,51492976000,13,1045.199988
60,Good,51493223000,51493232000,9,1046.149988
61,Good,51493483000,51493491000,8,1047.099988
62,Good,51493732000,51493740000,8,1048.049988
63,Good,51493983000,51493992000,9,1048.999988
64,Good,51494243000,51494248000,5,1049.949988
65,Good,51494492000,51494500000,8,1050.899988
66,Good,51494743000,51494758000,15,1051.849988
67,Good,51495003000,51495008000,5,1052.799988
68,Good,51495252000,51495261000,9,1053.749988
69,Good,51495503000,51495515000,12,1054.699988
70,Good,51495763000,51495768000,5,1055.649988
71,Good,51496012000,51496019000,7,1056.599988
72,Good,51496263000,51496268000,5,1057.549988
73,Good,51496512000,51496519000,7,1058.499988
74,Good,51496763000,51496772000,9,1059.449988
75,Good,51497023000,51497037000,14,1060.399988
76,Good,51497283000,51497288000,5,1061.349988
77,Good,51497532000,51497545000,13,1062.299988
78,Good,51497792000,51497803000,11,1063.249988
79,Good,51498052000,51498060000,8,1064.199988
80,Good,51498303000,51498314000,11,1065.149988
81,Good,51498563000,51498570000,7,1066.099988
82,Good,51498812000,51498820000,8,1067.049988
83,Good,51499063000,51499073000,10,1067.999988
84,Good,51499323000,51499330000,7,1068.949988
85,Good,51499572000,51499578000,6,1069.899988
86,Good,51499823000,51499828000,5,1070.849988
87,Good,51500072000,51500081000,9,1071.799988
88,Good,51500323000,51500337000,14,1072.749988
89,Good,51500583000,51500589000,6,1073.699988
90,Good,51500832000,51500838000,6,1074.649988
91,Good,51501083000,51501090000,7,1075.599988
92,Good,51501332000,51501337000,5,1076.549988
93,Good,51501583000,51501588000,5,1077.499988
94,Good,51501832000,51501840000,8,1078.449988
95,Good,51502083000,51502094000,11,1079.399988
96,Good,51502343000,51502348000,5,1080.349988
97,Good,51502592000,51502602000,10,1081.299988
98,Good,51502852000,51502858000,6,1082.249988
99,Good,51503103000,51503107000,4,1083.199988
100,Good,51503352000,51503363000,11,1084.149988
101,Good,51503612000,51503618000,6,1085.099988
102,Good,51503863000,51503868000,5,1086.049988
103,Good,51504112000,51504119000,7,1086.999988
104,Good,51504363000,51504373000,10,1087.949988
105,Good,51504623000,51504636000,13,1088.899988
106,Good,51504883000,51504888000,5,1089.849988
107,Good,51505132000,51505141000,9,1090.799988
108,Good,51505383000,51505392000,9,1091.749988
109,Good,51505643000,51505652000,9,1092.699988
110,Good,51505892000,51505898000,6,1093.649988
111,Good,51506143000,51506152000,9,1094.599988
112,Good,51506403000,51506407000,4,1095.549987
113,Good,51506652000,51506659000,7,1096.499987
114,Good,51506903000,51506910000,7,1097.449987
115,Good,51507152000,51507160000,8,1098.399987
116,Good,51507403000,51507414000,11,1099.349987
117,Good,51507663000,51507668000,5,1100.299987
118,Good,51507912000,51507924000,12,1101.249987
119,Good,51508172000,51508182000,10,1102.199987
120,Good,51508432000,51508437000,5,1103.149987
121,Good,51508683000,51508688000,5,1104.099987
122,Good,51508932000,51508945000,13,1105.049987
123,Good,51509192000,51509204000,12,1105.999987
124,Good,51509452000,51509458000,6,1106.949987
125,Good,51509703000,51509712000,9,1107.899987
126,Good,51509963000,51509968000,5,1108.849987
127,Good,51510212000,51510217000,5,1109.799987
128,Good,51510463000,51510473000,10,1110.749987
129,Good,51510723000,51510728000,5,1111.699987
130,Good,51510972000,51510980000,8,1112.649987
131,Good,51511223000,51511228000,5,1113.599987
132,Good,51511472000,51511477000,5,1114.549987
133,Good,51511723000,51511729000,6,1115.499987
134,Good,51511972000,51511979000,7,1116.449987
135,Good,51512223000,51512231000,8,1117.399987
136,Good,51512472000,51512483000,11,1118.349987
137,Good,51512732000,51512738000,6,1119.299987
138,Good,51512983000,51512987000,4,1120.249987
139,Good,51513232000,51513248000,16,1121.199987
140,Good,51513492000,51513498000,6,1122.149987
141,Good,51513743000,51513748000,5,1123.099987
142,Good,51513992000,51514000000,8,1124.049987
143,Good,51514243000,51514251000,8,1124.999987
144,Good,51514492000,51514503000,11,1125.949987
145,Good,51514752000,51514760000,8,1126.899987
146,Good,51515003000,51515008000,5,1127.849987
147,Good,51515252000,51515257000,5,1128.799987
148,Good,51515503000,51515509000,6,1129.749987
149,Good,51515752000,51515760000,8,1130.699987
150,Good,51516003000,51516008000,5,1131.649987
151,Good,51516252000,51516262000,10,1132.599987
152,Good,51516512000,51516521000,9,1133.549987
153,Good,51516763000,51516768000,5,1134.499987
154,Good,51517012000,51517020000,8,1135.449987
155,Good,51517263000,51517275000,12,1136.399987
156,Good,51517523000,51517528000,5,1137.349987
157,Good,51517772000,51517788000,16,1138.299987
158,Good,51518032000,51518039000,7,1139.249987
159,Good,51518283000,51518293000,10,1140.199987
160,Good,51518543000,51518548000,5,1141.149987
161,Good,51518792000,51518798000,6,1142.099987
162,Good,51519043000,51519050000,7,1143.049987
163,Good,51519292000,51519302000,10,1143.999987
164,Good,51519552000,51519564000,12,1144.949987
165,Good,51519812000,51519828000,16,1145.899987
